 time                   v(gate)                v(fault)               v(tripped)             v(xg.n_34)             v(xg.n_35)            
 7.457418029314129e-07  1.199999980791854e+00  1.199999980791838e+00  4.583660757464567e-08  3.896005038335253e-09  3.299999990371575e+00 
 7.458418029314129e-07  1.199999980791858e+00  1.199999980791826e+00  4.583660527705669e-08  3.896001943645582e-09  3.299999990371564e+00 
 7.459418029314129e-07  1.199999980791861e+00  1.199999980791833e+00  4.583660731740244e-08  3.896002091048951e-09  3.299999990371571e+00 
 7.460418029314129e-07  1.199999980791839e+00  1.199999980791840e+00  4.583660544429571e-08  3.895998602468975e-09  3.299999990371556e+00 
 7.461418029314129e-07  1.199999980791865e+00  1.199999980791853e+00  4.583660575820580e-08  3.896001516836706e-09  3.299999990371559e+00 
 7.462418029314130e-07  1.199999980791872e+00  1.199999980791813e+00  4.583660685896735e-08  3.896001980035895e-09  3.299999990371561e+00 
 7.463418029314130e-07  1.199999980791880e+00  1.199999980791812e+00  4.583660739198054e-08  3.896003202353200e-09  3.299999990371567e+00 
 7.464418029314130e-07  1.199999980791862e+00  1.199999980791817e+00  4.583660666685933e-08  3.895999078046808e-09  3.299999990371548e+00 
 7.465418029314130e-07  1.199999980791836e+00  1.199999980791823e+00  4.583660570265224e-08  3.895998612197197e-09  3.299999990371542e+00 
 7.466418029314130e-07  1.199999980791861e+00  1.199999980791804e+00  4.583660608034558e-08  3.896002386887262e-09  3.299999990371558e+00 
 7.467418029314130e-07  1.199999980791842e+00  1.199999980791812e+00  4.583660882667682e-08  3.896003426435986e-09  3.299999990371565e+00 
 7.468418029314130e-07  1.199999980791843e+00  1.199999980791815e+00  4.583660621959373e-08  3.896003229863869e-09  3.299999990371572e+00 
 7.469418029314130e-07  1.199999980791871e+00  1.199999980791796e+00  4.583660638893326e-08  3.895999999260990e-09  3.299999990371558e+00 
 7.470418029314130e-07  1.199999980791882e+00  1.199999980791823e+00  4.583660583808936e-08  3.896001526363048e-09  3.299999990371558e+00 
 7.471418029314130e-07  1.199999980791891e+00  1.199999980791810e+00  4.583660701748358e-08  3.896001945500290e-09  3.299999990371558e+00 
 7.472418029314130e-07  1.199999980791847e+00  1.199999980791813e+00  4.583660760706752e-08  3.896003229147520e-09  3.299999990371562e+00 
 7.473418029314130e-07  1.199999980791840e+00  1.199999980791791e+00  4.583660592239653e-08  3.896000750464591e-09  3.299999990371564e+00 
 7.474418029314130e-07  1.199999980791843e+00  1.199999980791790e+00  4.583660492349908e-08  3.895999226430766e-09  3.299999990371548e+00 
 7.475418029314131e-07  1.199999980791872e+00  1.199999980791820e+00  4.583660564041469e-08  3.896000948034339e-09  3.299999990371543e+00 
 7.476418029314131e-07  1.199999980791882e+00  1.199999980791830e+00  4.583660746175877e-08  3.896004478798608e-09  3.299999990371557e+00 
 7.477418029314131e-07  1.199999980791866e+00  1.199999980791815e+00  4.583660706550249e-08  3.896001027621188e-09  3.299999990371557e+00 
 7.478418029314131e-07  1.199999980791868e+00  1.199999980791816e+00  4.583660595406599e-08  3.896001707510804e-09  3.299999990371559e+00 
 7.479418029314131e-07  1.199999980791874e+00  1.199999980791820e+00  4.583660556224774e-08  3.896001915284865e-09  3.299999990371563e+00 
 7.480418029314131e-07  1.199999980791854e+00  1.199999980791827e+00  4.583660693419007e-08  3.896003353529606e-09  3.299999990371568e+00 
 7.481418029314131e-07  1.199999980791827e+00  1.199999980791839e+00  4.583660888574763e-08  3.896002064681834e-09  3.299999990371575e+00 
 7.482418029314131e-07  1.199999980791848e+00  1.199999980791827e+00  4.583660726177472e-08  3.896000252505421e-09  3.299999990371568e+00 
 7.483418029314131e-07  1.199999980791851e+00  1.199999980791803e+00  4.583660379549354e-08  3.895997812512970e-09  3.299999990371553e+00 
 7.484418029314131e-07  1.199999980791853e+00  1.199999980791810e+00  4.583660671064057e-08  3.895999968957188e-09  3.299999990371551e+00 
 7.485418029314131e-07  1.199999980791830e+00  1.199999980791814e+00  4.583660716484963e-08  3.896002585103643e-09  3.299999990371547e+00 
 7.486418029314131e-07  1.199999980791826e+00  1.199999980791819e+00  4.583660564166540e-08  3.896000696942562e-09  3.299999990371534e+00 
 7.487418029314131e-07  1.199999980791851e+00  1.199999980791801e+00  4.583660709861628e-08  3.896002489533792e-09  3.299999990371541e+00 
 7.488418029314132e-07  1.199999980791830e+00  1.199999980791832e+00  4.583660814013616e-08  3.896005488928321e-09  3.299999990371558e+00 
 7.489418029314132e-07  1.199999980791854e+00  1.199999980791844e+00  4.583660596467348e-08  3.896002021745235e-09  3.299999990371563e+00 
 7.490418029314132e-07  1.199999980791859e+00  1.199999980791833e+00  4.583660725989566e-08  3.896002913062229e-09  3.299999990371570e+00 
 7.491418029314132e-07  1.199999980791862e+00  1.199999980791811e+00  4.583660368276070e-08  3.896000073025932e-09  3.299999990371553e+00 
 7.492418029314132e-07  1.199999980791866e+00  1.199999980791789e+00  4.583660639977054e-08  3.895999840516355e-09  3.299999990371549e+00 
 7.493418029314132e-07  1.199999980791872e+00  1.199999980791792e+00  4.583660859955340e-08  3.896002307111172e-09  3.299999990371546e+00 
 7.494418029314132e-07  1.199999980791877e+00  1.199999980791821e+00  4.583660604972414e-08  3.895999117760667e-09  3.299999990371538e+00 
 7.495418029314132e-07  1.199999980791859e+00  1.199999980791834e+00  4.583660757259189e-08  3.896002924145959e-09  3.299999990371551e+00 
 7.496418029314132e-07  1.199999980791833e+00  1.199999980791844e+00  4.583660550473695e-08  3.896001113654324e-09  3.299999990371544e+00 
 7.497418029314132e-07  1.199999980791831e+00  1.199999980791860e+00  4.583660774128696e-08  3.896004059002663e-09  3.299999990371558e+00 
 7.498418029314132e-07  1.199999980791832e+00  1.199999980791847e+00  4.583660760002777e-08  3.896002782205174e-09  3.299999990371564e+00 
 7.499418029314132e-07  1.199999980791834e+00  1.199999980791798e+00  4.583660440248672e-08  3.896003448714266e-09  3.299999990371569e+00 
 7.500418029314132e-07  1.199999980791861e+00  1.199999980791823e+00  4.583660574614728e-08  3.896004694649144e-09  3.299999990371578e+00 
 7.501418029314132e-07  1.199999980791842e+00  1.199999980791832e+00  4.583660663395596e-08  3.896000112752225e-09  3.299999990371569e+00 
 7.502418029314133e-07  1.199999980791869e+00  1.199999980791821e+00  4.583660831347144e-08  3.896000415846499e-09  3.299999990371556e+00 
 7.503418029314133e-07  1.199999980791879e+00  1.199999980791824e+00  4.583660582026015e-08  3.895999654615034e-09  3.299999990371554e+00 
 7.504418029314133e-07  1.199999980791888e+00  1.199999980791832e+00  4.583660707119016e-08  3.896002037433721e-09  3.299999990371556e+00 
 7.505418029314133e-07  1.199999980791900e+00  1.199999980791841e+00  4.583660584641666e-08  3.896002715485316e-09  3.299999990371557e+00 
 7.506418029314133e-07  1.199999980791857e+00  1.199999980791826e+00  4.583660531352899e-08  3.896002496832413e-09  3.299999990371558e+00 
 7.507418029314133e-07  1.199999980791827e+00  1.199999980791834e+00  4.583660699339924e-08  3.896001711605831e-09  3.299999990371562e+00 
 7.508418029314133e-07  1.199999980791821e+00  1.199999980791817e+00  4.583660578196988e-08  3.896000740740218e-09  3.299999990371569e+00 
 7.509418029314133e-07  1.199999980791844e+00  1.199999980791795e+00  4.583660636477771e-08  3.895999941972750e-09  3.299999990371556e+00 
 7.510418029314133e-07  1.199999980791878e+00  1.199999980791824e+00  4.583660733709790e-08  3.896000744077661e-09  3.299999990371558e+00 
 7.511418029314133e-07  1.199999980791891e+00  1.199999980791811e+00  4.583660881086341e-08  3.896002268231956e-09  3.299999990371561e+00 
 7.512418029314133e-07  1.199999980791873e+00  1.199999980791783e+00  4.583660432985474e-08  3.896001317959808e-09  3.299999990371564e+00 
 7.513418029314133e-07  1.199999980791876e+00  1.199999980791809e+00  4.583660717245701e-08  3.896003557773067e-09  3.299999990371572e+00 
 7.514418029314133e-07  1.199999980791857e+00  1.199999980791790e+00  4.583660650174308e-08  3.895997919740953e-09  3.299999990371558e+00 
 7.515418029314134e-07  1.199999980791857e+00  1.199999980791792e+00  4.583660580138954e-08  3.895999334831661e-09  3.299999990371562e+00 
 7.516418029314134e-07  1.199999980791858e+00  1.199999980791800e+00  4.583660862379497e-08  3.896004116155635e-09  3.299999990371569e+00 
 7.517418029314134e-07  1.199999980791861e+00  1.199999980791808e+00  4.583660783081160e-08  3.896004415828972e-09  3.299999990371577e+00 
 7.518418029314134e-07  1.199999980791864e+00  1.199999980791809e+00  4.583660397996147e-08  3.896001376724001e-09  3.299999990371569e+00 
 7.519418029314134e-07  1.199999980791843e+00  1.199999980791791e+00  4.583660755811046e-08  3.895999410894173e-09  3.299999990371555e+00 
 7.520418029314134e-07  1.199999980791869e+00  1.199999980791820e+00  4.583660800998383e-08  3.896000852795302e-09  3.299999990371556e+00 
 7.521418029314134e-07  1.199999980791878e+00  1.199999980791801e+00  4.583660451922296e-08  3.896001487536906e-09  3.299999990371555e+00 
 7.522418029314134e-07  1.199999980791860e+00  1.199999980791805e+00  4.583660551657623e-08  3.896000843997776e-09  3.299999990371555e+00 
 7.523418029314134e-07  1.199999980791834e+00  1.199999980791807e+00  4.583660516974071e-08  3.895998906697873e-09  3.299999990371556e+00 
 7.524418029314134e-07  1.199999980791858e+00  1.199999980791814e+00  4.583660825636677e-08  3.896001523102683e-09  3.299999990371558e+00 
 7.525418029314134e-07  1.199999980791865e+00  1.199999980791819e+00  4.583660739531226e-08  3.896001250915530e-09  3.299999990371562e+00 
 7.526418029314134e-07  1.199999980791870e+00  1.199999980791824e+00  4.583660579796239e-08  3.896003254658155e-09  3.299999990371568e+00 
 7.527418029314134e-07  1.199999980791875e+00  1.199999980791810e+00  4.583660870358641e-08  3.896002438799462e-09  3.299999990371576e+00 
 7.528418029314135e-07  1.199999980791857e+00  1.199999980791807e+00  4.583660428676808e-08  3.896001238661161e-09  3.299999990371567e+00 
 7.529418029314135e-07  1.199999980791857e+00  1.199999980791789e+00  4.583660838070505e-08  3.896003272579974e-09  3.299999990371572e+00 
 7.530418029314135e-07  1.199999980791859e+00  1.199999980791790e+00  4.583660740574849e-08  3.896001887003492e-09  3.299999990371562e+00 
 7.531418029314135e-07  1.199999980791835e+00  1.199999980791818e+00  4.583660466349387e-08  3.896001102513143e-09  3.299999990371563e+00 
 7.532418029314135e-07  1.199999980791859e+00  1.199999980791828e+00  4.583660693626253e-08  3.896001499293886e-09  3.299999990371572e+00 
 7.533418029314135e-07  1.199999980791840e+00  1.199999980791809e+00  4.583660504961969e-08  3.895999817801037e-09  3.299999990371562e+00 
 7.534418029314135e-07  1.199999980791866e+00  1.199999980791787e+00  4.583660691474404e-08  3.896003069731506e-09  3.299999990371569e+00 
 7.535418029314135e-07  1.199999980791873e+00  1.199999980791816e+00  4.583660885115880e-08  3.896001813891184e-09  3.299999990371576e+00 
 7.536418029314135e-07  1.199999980791880e+00  1.199999980791823e+00  4.583660588625690e-08  3.896000124054871e-09  3.299999990371568e+00 
 7.537418029314135e-07  1.199999980791864e+00  1.199999980791830e+00  4.583660486820950e-08  3.895998025080425e-09  3.299999990371550e+00 
