adduser	3.152
libssh2-1t64:arm64	1.11.1-1+deb13u2
libssl3t64:arm64	3.5.7-1~deb13u2
libstdc++-14-dev:arm64	14.2.0-19
libstdc++6:arm64	14.2.0-19
libsuitesparse-dev:arm64	1:7.10.1+dfsg-1
libsuitesparse-mongoose3:arm64	1:7.10.1+dfsg-1
libsuitesparseconfig7:arm64	1:7.10.1+dfsg-1
libsystemd0:arm64	257.13-1~deb13u1
libtasn1-6:arm64	4.20.0-2+deb13u1
libtinfo6:arm64	6.5+20250216-2
libtool	2.5.4-4
libtsan2:arm64	14.2.0-19
libubsan1:arm64	14.2.0-19
libudev1:arm64	257.13-1~deb13u1
libumfpack6:arm64	1:7.10.1+dfsg-1
libunistring5:arm64	1.3-2
libuuid1:arm64	2.41.5-0+deb13u1
libxml2:arm64	2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxml2-dev:arm64	2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxxhash0:arm64	0.8.3-2
libyaml-0-2:arm64	0.2.5-2
libz3-4:arm64	4.13.3-1
libz3-dev:arm64	4.13.3-1
libzstd-dev:arm64	1.5.7+dfsg-1
libzstd1:arm64	1.5.7+dfsg-1
linux-libc-dev	6.12.107-1
lld-19	1:19.1.7-3+b1
llvm-19	1:19.1.7-3+b1
llvm-19-dev	1:19.1.7-3+b1
llvm-19-linker-tools	1:19.1.7-3+b1
llvm-19-runtime	1:19.1.7-3+b1
llvm-19-tools	1:19.1.7-3+b1
login	1:4.16.0-2+really2.41.5-0+deb13u1
login.defs	1:4.17.4-2
m4	1.4.19-8
make	4.4.1-2
mawk	1.3.4.20250131-1
media-types	13.0.0
mount	2.41.5-0+deb13u1
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
netbase	6.5
openssl	3.5.7-1~deb13u2
openssl-provider-legacy	3.5.7-1~deb13u2
passwd	1:4.17.4-2
patch	2.8-2
perl	5.40.1-6+deb13u1
perl-base	5.40.1-6+deb13u1
perl-modules-5.40	5.40.1-6+deb13u1
pkg-config:arm64	1.8.1-4
pkgconf:arm64	1.8.1-4
pkgconf-bin	1.8.1-4
python3	3.13.5-1
python3-minimal	3.13.5-1
python3-pygments	2.18.0+dfsg-2
python3-yaml	6.0.2-1+b2
python3.13	3.13.5-2+deb13u5
python3.13-minimal	3.13.5-2+deb13u5
readline-common	8.2-6
rpcsvc-proto	1.4.3-1+b1
sed	4.9-2+deb13u1
sqv	1.3.0-3+b2
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
tzdata	2026b-0+deb13u1
util-linux	2.41.5-0+deb13u1
xz-utils	5.8.1-1+deb13u1
zlib1g:arm64	1:1.3.dfsg+really1.3.1-1+b1
zlib1g-dev:arm64	1:1.3.dfsg+really1.3.1-1+b1
