 v-sweep         ic              ib              beta           
 5.06000000e-01  4.35772078e-12  4.60968070e-14  9.45341134e+01 
 5.07000000e-01  4.57745994e-12  4.73961149e-14  9.65788007e+01 
 5.08000000e-01  4.80828745e-12  4.87231784e-14  9.86858330e+01 
 5.09000000e-01  5.05075669e-12  5.00866711e-14  1.00840335e+02 
 5.10000000e-01  5.30544879e-12  5.14952665e-14  1.03027893e+02 
 5.11000000e-01  5.57299172e-12  5.29454954e-14  1.05259034e+02 
 5.12000000e-01  5.85401519e-12  5.44495007e-14  1.07512743e+02 
 5.13000000e-01  6.14922696e-12  5.59968740e-14  1.09813754e+02 
 5.14000000e-01  6.45931225e-12  5.75928196e-14  1.12154819e+02 
 5.15000000e-01  6.78504648e-12  5.92286639e-14  1.14556805e+02 
 5.16000000e-01  7.12719987e-12  6.09182846e-14  1.16996070e+02 
 5.17000000e-01  7.48661549e-12  6.26720901e-14  1.19456930e+02 
 5.18000000e-01  7.86414857e-12  6.44744678e-14  1.21973067e+02 
 5.19000000e-01  8.26072717e-12  6.63340914e-14  1.24532152e+02 
 5.20000000e-01  8.67730193e-12  6.82544303e-14  1.27131703e+02 
 5.21000000e-01  9.11489113e-12  7.02372193e-14  1.29772950e+02 
 5.22000000e-01  9.57454255e-12  7.22824583e-14  1.32460112e+02 
 5.23000000e-01  1.00573751e-11  7.43953516e-14  1.35188219e+02 
 5.24000000e-01  1.05645579e-11  7.65758991e-14  1.37961918e+02 
 5.25000000e-01  1.10973192e-11  7.88171619e-14  1.40798260e+02 
 5.26000000e-01  1.16569532e-11  8.11399567e-14  1.43664770e+02 
 5.27000000e-01  1.22448024e-11  8.35408140e-14  1.46572697e+02 
 5.28000000e-01  1.28622998e-11  8.60162645e-14  1.49533345e+02 
 5.29000000e-01  1.35109406e-11  8.85767165e-14  1.52533771e+02 
 5.30000000e-01  1.41922880e-11  9.12169657e-14  1.55588249e+02 
 5.31000000e-01  1.49080054e-11  9.39456859e-14  1.58687493e+02 
 5.32000000e-01  1.56598033e-11  9.67663464e-14  1.61831090e+02 
 5.33000000e-01  1.64495310e-11  9.96789473e-14  1.65025127e+02 
 5.34000000e-01  1.72790757e-11  1.02686958e-13  1.68269429e+02 
 5.35000000e-01  1.81504551e-11  1.05802521e-13  1.71550307e+02 
 5.36000000e-01  1.90657819e-11  1.09022168e-13  1.74879863e+02 
 5.37000000e-01  2.00272715e-11  1.12344164e-13  1.78267128e+02 
 5.38000000e-01  2.10372449e-11  1.15785856e-13  1.81690974e+02 
 5.39000000e-01  2.20981566e-11  1.19335100e-13  1.85177342e+02 
 5.40000000e-01  2.32125708e-11  1.23009245e-13  1.88705904e+02 
 5.41000000e-01  2.43831847e-11  1.26813494e-13  1.92275948e+02 
 5.42000000e-01  2.56128278e-11  1.30742643e-13  1.95902632e+02 
 5.43000000e-01  2.69044908e-11  1.34807100e-13  1.99577698e+02 
 5.44000000e-01  2.82612839e-11  1.39012071e-13  2.03300935e+02 
 5.45000000e-01  2.96865102e-11  1.43367962e-13  2.07065162e+02 
 5.46000000e-01  3.11836095e-11  1.47869570e-13  2.10885915e+02 
 5.47000000e-01  3.27562075e-11  1.52541181e-13  2.14736816e+02 
 5.48000000e-01  3.44081187e-11  1.57367182e-13  2.18648630e+02 
 5.49000000e-01  3.61433244e-11  1.62359717e-13  2.22612635e+02 
 5.50000000e-01  3.79660487e-11  1.67523990e-13  2.26630519e+02 
 5.51000000e-01  3.98806873e-11  1.72880817e-13  2.30683126e+02 
 5.52000000e-01  4.18918875e-11  1.78424994e-13  2.34787103e+02 
 5.53000000e-01  4.40045118e-11  1.84172134e-13  2.38931433e+02 
 5.54000000e-01  4.62236759e-11  1.90120502e-13  2.43128308e+02 
 5.55000000e-01  4.85547557e-11  1.96278772e-13  2.47376500e+02 
 5.56000000e-01  5.10033907e-11  2.02662556e-13  2.51666572e+02 
 5.57000000e-01  5.35755086e-11  2.09280528e-13  2.55998536e+02 
 5.58000000e-01  5.62773404e-11  2.16132687e-13  2.60383291e+02 
 5.59000000e-01  5.91154313e-11  2.23234647e-13  2.64812976e+02 
 5.60000000e-01  6.20966490e-11  2.30598551e-13  2.69284646e+02 
 5.61000000e-01  6.52282134e-11  2.38238275e-13  2.73794013e+02 
 5.62000000e-01  6.85176898e-11  2.46148617e-13  2.78359028e+02 
 5.63000000e-01  7.19730646e-11  2.54353862e-13  2.82964308e+02 
 5.64000000e-01  7.56026942e-11  2.62859215e-13  2.87616678e+02 
 5.65000000e-01  7.94153753e-11  2.71676818e-13  2.92315611e+02 
 5.66000000e-01  8.34203279e-11  2.80836163e-13  2.97042685e+02 
 5.67000000e-01  8.76272440e-11  2.90338982e-13  3.01810123e+02 
 5.68000000e-01  9.20463150e-11  3.00183543e-13  3.06633448e+02 
 5.69000000e-01  9.66882459e-11  3.10409744e-13  3.11485860e+02 
 5.70000000e-01  1.01564273e-10  3.21015850e-13  3.16383981e+02 
 5.71000000e-01  1.06686200e-10  3.32038290e-13  3.21306919e+02 
 5.72000000e-01  1.12066417e-10  3.43452778e-13  3.26293523e+02 
 5.73000000e-01  1.17717959e-10  3.55318295e-13  3.31302835e+02 
 5.74000000e-01  1.23654519e-10  3.67641780e-13  3.36345121e+02 
 5.75000000e-01  1.29890456e-10  3.80435376e-13  3.41425809e+02 
 5.76000000e-01  1.36440864e-10  3.93711226e-13  3.46550605e+02 
 5.77000000e-01  1.43321618e-10  4.07507495e-13  3.51703024e+02 
