 frequency              real(ifout)            imag(ifout)            real(ve)               imag(ve)              
 5.754399373371541e+01 -8.000000001162003e-01 -4.820794343120640e-06  6.666666662793324e+01 -1.606931447706881e-03 
 5.888436553555861e+01 -8.000000001216767e-01 -4.933085068406985e-06  6.666666662610780e+01 -1.644361689468993e-03 
 6.025595860743547e+01 -8.000000001274112e-01 -5.047991380680945e-06  6.666666662419631e+01 -1.682663793560316e-03 
 6.165950018614791e+01 -8.000000001334158e-01 -5.165574204789367e-06  6.666666662219474e+01 -1.721858068263125e-03 
 6.309573444801901e+01 -8.000000001397036e-01 -5.285895884701013e-06  6.666666662009885e+01 -1.761965294900339e-03 
 6.456542290346522e+01 -8.000000001462875e-01 -5.409020216562157e-06  6.666666661790417e+01 -1.803006738854054e-03 
 6.606934480075925e+01 -8.000000001531818e-01 -5.535012482522181e-06  6.666666661560606e+01 -1.845004160840729e-03 
 6.760829753919782e+01 -8.000000001604011e-01 -5.663939485347001e-06  6.666666661319965e+01 -1.887979828449002e-03 
 6.918309709189329e+01 -8.000000001679606e-01 -5.795869583838779e-06  6.666666661067984e+01 -1.931956527946261e-03 
 7.079457843841342e+01 -8.000000001758764e-01 -5.930872729080656e-06  6.666666660804125e+01 -1.976957576360221e-03 
 7.244359600749863e+01 -8.000000001841652e-01 -6.069020501525745e-06  6.666666660527832e+01 -2.023006833841916e-03 
 7.413102413009136e+01 -8.000000001928446e-01 -6.210386148950008e-06  6.666666660238518e+01 -2.070128716316671e-03 
 7.585775750291798e+01 -8.000000002019331e-01 -6.355044625289215e-06  6.666666659935569e+01 -2.118348208429740e-03 
 7.762471166286876e+01 -8.000000002114499e-01 -6.503072630380482e-06  6.666666659618342e+01 -2.167690876793496e-03 
 7.943282347242773e+01 -8.000000002214152e-01 -6.654548650629548e-06  6.666666659286165e+01 -2.218182883543182e-03 
 8.128305161640949e+01 -8.000000002318503e-01 -6.809553000625271e-06  6.666666658938333e+01 -2.269851000208427e-03 
 8.317637711026666e+01 -8.000000002427770e-01 -6.968167865723524e-06  6.666666658574107e+01 -2.322722621907844e-03 
 8.511380382023719e+01 -8.000000002542186e-01 -7.130477345622900e-06  6.666666658192716e+01 -2.376825781874301e-03 
 8.709635899560760e+01 -8.000000002661996e-01 -7.296567498955488e-06  6.666666657793351e+01 -2.432189166318497e-03 
 8.912509381337408e+01 -8.000000002787451e-01 -7.466526388916304e-06  6.666666657375164e+01 -2.488842129638767e-03 
 9.120108393559049e+01 -8.000000002918820e-01 -7.640444129955518e-06  6.666666656937269e+01 -2.546814709985174e-03 
 9.332543007969861e+01 -8.000000003056380e-01 -7.818412935558355e-06  6.666666656478738e+01 -2.606137645186119e-03 
 9.549925860214309e+01 -8.000000003200423e-01 -8.000527167137855e-06  6.666666655998594e+01 -2.666842389045953e-03 
 9.772372209558054e+01 -8.000000003351254e-01 -8.186883384066542e-06  6.666666655495824e+01 -2.728961128022182e-03 
 9.999999999999946e+01 -8.000000003509193e-01 -8.377580394873456e-06  6.666666654969359e+01 -2.792526798291155e-03 
 1.023292992280749e+02 -8.000000003674577e-01 -8.572719309633760e-06  6.666666654418081e+01 -2.857573103211253e-03 
 1.047128548050894e+02 -8.000000003847754e-01 -8.772403593578537e-06  6.666666653840824e+01 -2.924134531192846e-03 
 1.071519305237600e+02 -8.000000004029093e-01 -8.976739121953501e-06  6.666666653236359e+01 -2.992246373984502e-03 
 1.096478196143179e+02 -8.000000004218979e-01 -9.185834236155377e-06  6.666666652603409e+01 -3.061944745385128e-03 
 1.122018454301957e+02 -8.000000004417813e-01 -9.399799801175940e-06  6.666666651940628e+01 -3.133266600391979e-03 
