 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 4.557500000000038e-05 -1.372192846240174e-10 -1.373564997020674e-10  6.549642423757224e-01  9.616800630952436e-01  1.319931904728006e+00  4.175028394975412e-13  8.350056789950825e-13 -1.361905439880573e-04 
 4.562500000000038e-05 -1.370822752875407e-10 -1.372193532434520e-10  6.549648670807289e-01  9.616808036325664e-01  1.319931904666616e+00  4.174704013790366e-13  8.349408027580731e-13 -1.361906667680657e-04 
 4.567500000000038e-05 -1.369454046713232e-10 -1.370823445228774e-10  6.549654919227441e-01  9.616815438104541e-01  1.319931904605215e+00  4.174409355901337e-13  8.348818711802674e-13 -1.361907895702785e-04 
 4.572500000000038e-05 -1.368086660248807e-10 -1.369454713795638e-10  6.549661166450077e-01  9.616822840669979e-01  1.319931904543827e+00  4.174110080466790e-13  8.348220160933580e-13 -1.361909123462901e-04 
 4.577500000000038e-05 -1.366720683423373e-10 -1.368087355360105e-10  6.549667413276551e-01  9.616830245148403e-01  1.319931904482448e+00  4.173803055383879e-13  8.347606110767759e-13 -1.361910351040940e-04 
 4.582500000000038e-05 -1.365356044354316e-10 -1.366721359270683e-10  6.549673659219868e-01  9.616837649632182e-01  1.319931904421080e+00  4.173499514865474e-13  8.346999029730947e-13 -1.361911578401376e-04 
 4.587500000000038e-05 -1.363992798985556e-10 -1.365356735938748e-10  6.549679906462189e-01  9.616845052813751e-01  1.319931904359702e+00  4.173165314484073e-13  8.346330628968147e-13 -1.361912805952770e-04 
 4.592500000000038e-05 -1.362630866727068e-10 -1.363993463587689e-10  6.549686152773776e-01  9.616852452148776e-01  1.319931904298335e+00  4.172860673807181e-13  8.345721347614362e-13 -1.361914033299882e-04 
 4.597500000000039e-05 -1.361270339890744e-10 -1.362631559638699e-10  6.549692399303400e-01  9.616859856909177e-01  1.319931904236971e+00  4.172581225544501e-13  8.345162451089002e-13 -1.361915260580382e-04 
 4.602500000000039e-05 -1.359911151673601e-10 -1.361271015662862e-10  6.549698646296708e-01  9.616867252217807e-01  1.319931904175601e+00  4.172299568899837e-13  8.344599137799675e-13 -1.361916487971904e-04 
 4.607500000000039e-05 -1.358553318955771e-10 -1.359911828184858e-10  6.549704893336087e-01  9.616874646142319e-01  1.319931904114231e+00  4.171951107296019e-13  8.343902214592039e-13 -1.361917715381189e-04 
 4.612500000000039e-05 -1.357196845772286e-10 -1.358553997724229e-10  6.549711140436665e-01  9.616882049381951e-01  1.319931904052867e+00  4.171620890963865e-13  8.343241781927730e-13 -1.361918942670570e-04 
 4.617500000000039e-05 -1.355841722158158e-10 -1.357197521405675e-10  6.549717387135275e-01  9.616889447242888e-01  1.319931903991508e+00  4.171320058734046e-13  8.342640117468093e-13 -1.361920169840047e-04 
 4.622500000000039e-05 -1.354487967789214e-10 -1.355842404695380e-10  6.549723634609753e-01  9.616896839965677e-01  1.319931903930145e+00  4.171033408780528e-13  8.342066817561055e-13 -1.361921397107224e-04 
 4.627500000000039e-05 -1.353135538323741e-10 -1.354488634804665e-10  6.549729881543789e-01  9.616904225329425e-01  1.319931903868781e+00  4.170771223520806e-13  8.341542447041612e-13 -1.361922624387724e-04 
 4.632500000000039e-05 -1.351784478859108e-10 -1.353136218448299e-10  6.549736128088390e-01  9.616911623039719e-01  1.319931903807430e+00  4.170445446633912e-13  8.340890893267824e-13 -1.361923851406210e-04 
 4.637500000000040e-05 -1.350434757326555e-10 -1.351785150728328e-10  6.549742373932427e-01  9.616919016848924e-01  1.319931903746089e+00  4.170162419929999e-13  8.340324839859999e-13 -1.361925078220416e-04 
 4.642500000000040e-05 -1.349086401054464e-10 -1.350435437314789e-10  6.549748620202520e-01  9.616926416130045e-01  1.319931903684752e+00  4.169836566561986e-13  8.339673133123972e-13 -1.361926304954686e-04 
 4.647500000000040e-05 -1.347739372408060e-10 -1.349087068669389e-10  6.549754866654233e-01  9.616933808839880e-01  1.319931903623411e+00  4.169561255376965e-13  8.339122510753931e-13 -1.361927531791096e-04 
 4.652500000000040e-05 -1.346393692912825e-10 -1.347740044637684e-10  6.549761112583249e-01  9.616941201179164e-01  1.319931903562075e+00  4.169239416258562e-13  8.338478832517124e-13 -1.361928758498721e-04 
 4.657500000000040e-05 -1.345049366779454e-10 -1.346394368688051e-10  6.549767358756410e-01  9.616948590248272e-01  1.319931903500742e+00  4.168936378128301e-13  8.337872756256602e-13 -1.361929985170818e-04 
 4.662500000000040e-05 -1.343706377066816e-10 -1.345050036849630e-10  6.549773605506642e-01  9.616955975220480e-01  1.319931903439399e+00  4.168647126526320e-13  8.337294253052640e-13 -1.361931212029432e-04 
