 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 1.172750000000013e-06 -8.207878455989534e-05 -8.213365142719614e-05 -4.556701676239116e-01 -1.884617531817891e-05  1.665003396463348e-01 -5.660510631430831e-09 -1.132102126286166e-08  6.000679292824163e-03 
 1.173250000000013e-06 -8.207836181153375e-05 -8.213310338549025e-05 -4.557095324623257e-01 -1.890796207958557e-05  1.635003392796452e-01 -5.602649472037351e-09 -1.120529894407470e-08  6.000678559445194e-03 
 1.173750000000013e-06 -8.207794050674435e-05 -8.213255659764894e-05 -4.557475643609791e-01 -1.897024398834525e-05  1.605003389059461e-01 -5.544270274750026e-09 -1.108854054950005e-08  6.000677812047717e-03 
 1.174250000000013e-06 -8.207752063984864e-05 -8.213201106553062e-05 -4.557842129895960e-01 -1.903300266692691e-05  1.575003385242462e-01 -5.485252248036565e-09 -1.097050449607313e-08  6.000677048648206e-03 
 1.174750000000013e-06 -8.207710220477452e-05 -8.213146679091689e-05 -4.558194242327995e-01 -1.909621821755939e-05  1.545003381334993e-01 -5.425468224289548e-09 -1.085093644857910e-08  6.000676267155058e-03 
 1.175250000000013e-06 -8.207668519485247e-05 -8.213092377550794e-05 -4.558531400282623e-01 -1.915986943131268e-05  1.515003377326002e-01 -5.364784298853214e-09 -1.072956859770643e-08  6.000675465357375e-03 
 1.175750000000013e-06 -8.207626960290068e-05 -8.213038202091817e-05 -4.558852981793121e-01 -1.922393310343834e-05  1.485003373203815e-01 -5.303059443295547e-09 -1.060611888659109e-08  6.000674640920189e-03 
 1.176250000000013e-06 -8.207585542113108e-05 -8.212984152867130e-05 -4.559158321759546e-01 -1.928838460570005e-05  1.455003368956110e-01 -5.240145245094022e-09 -1.048029049018804e-08  6.000673791379474e-03 
 1.176750000000013e-06 -8.207544264100477e-05 -8.212930230019441e-05 -4.559446710127458e-01 -1.935319714586534e-05  1.425003364569905e-01 -5.175885680032407e-09 -1.035177136006481e-08  6.000672914139193e-03 
 1.177250000000013e-06 -8.207503125334925e-05 -8.212876433681237e-05 -4.559717390184816e-01 -1.941834228107327e-05  1.395003360031529e-01 -5.110117050383133e-09 -1.022023410076627e-08  6.000672006464258e-03 
 1.177750000000013e-06 -8.207462124808100e-05 -8.212822763974063e-05 -4.559969556714777e-01 -1.948378928873034e-05  1.365003355326628e-01 -5.042667962995606e-09 -1.008533592599121e-08  6.000671065484686e-03 
 1.178250000000013e-06 -8.207421261425406e-05 -8.212769221007789e-05 -4.560202354599920e-01 -1.954950562862903e-05  1.335003350440159e-01 -4.973359567276526e-09 -9.946719134553053e-09  6.000670088191551e-03 
 1.178750000000013e-06 -8.207380533992596e-05 -8.212715804879784e-05 -4.560414877205898e-01 -1.961545654627101e-05  1.305003345356410e-01 -4.902005887568521e-09 -9.804011775137042e-09  6.000669071441922e-03 
 1.179250000000013e-06 -8.207339941205813e-05 -8.212662515673995e-05 -4.560606165124237e-01 -1.968160533158902e-05  1.275003340059033e-01 -4.828414415009075e-09 -9.656828830018150e-09  6.000668011966859e-03 
 1.179750000000013e-06 -8.207299481642750e-05 -8.212609353459952e-05 -4.560775205300859e-01 -1.974791345191445e-05  1.245003334531083e-01 -4.752386962001589e-09 -9.504773924003177e-09  6.000666906377544e-03 
 1.180250000000013e-06 -8.207259153740376e-05 -8.212556318291596e-05 -4.560920930382928e-01 -1.981434022120185e-05  1.215003328755084e-01 -4.673720747873126e-09 -9.347441495746251e-09  6.000665751178275e-03 
 1.180750000000013e-06 -8.207218955794217e-05 -8.212503410206064e-05 -4.561042218524602e-01 -1.988084340445707e-05  1.185003322713120e-01 -4.592209803506713e-09 -9.184419607013426e-09  6.000664542785805e-03 
 1.181250000000013e-06 -8.207178885929259e-05 -8.212450629222267e-05 -4.561137893690470e-01 -1.994737922456145e-05  1.155003316386938e-01 -4.507646683258190e-09 -9.015293366516380e-09  6.000663277550056e-03 
 1.181750000000014e-06 -8.207138942091229e-05 -8.212397975339346e-05 -4.561206726769367e-01 -2.001390262965520e-05  1.125003309758073e-01 -4.419824543307347e-09 -8.839649086614693e-09  6.000661951777231e-03 
