 v-sweep                v(g)                   v(dh)                  v(dl)                  i(vm_g)                i(vm_dh)               i(vm_dl)               i(vg)                  i(vdh)                 i(vdl)                 i(vdd)                 i(vdda)               
 2.800000000000002e-01  2.800000002630834e-01  1.199997901542635e+00  1.199499863517231e+00 -9.706273111642627e-12  1.475903541139950e-08  5.975135676450899e-06  1.927218751089676e-09 -1.443067959136706e-08 -5.974807320636110e-06  0.000000000000000e+00 -5.700611259493021e-09 
 2.900000000000002e-01  2.900000002520945e-01  1.199997363325133e+00  1.199388370645370e+00 -9.300845683901660e-12  1.854446908319952e-08  7.307142157239013e-06  1.901619663213318e-09 -1.821611326275054e-08 -7.306813801423961e-06  0.000000000000000e+00 -5.679645322173049e-09 
 3.000000000000002e-01  3.000000002413338e-01  1.199996685688860e+00  1.199256855209456e+00 -8.903837736551345e-12  2.331047381872925e-08  8.878358415610659e-06  1.876275309237062e-09 -2.298211799945054e-08 -8.878030059795102e-06  0.000000000000000e+00 -5.658946990235964e-09 
 3.100000000000002e-01  3.100000002307792e-01  1.199995832445374e+00  1.199103440678724e+00 -8.514434816919714e-12  2.931157302592289e-08  1.071120338382931e-05  1.851181780866402e-09 -2.898321720555735e-08 -1.071087502801225e-05  0.000000000000000e+00 -5.638513904457204e-09 
 3.200000000000002e-01  3.200000002204083e-01  1.199994758130313e+00  1.198926520433009e+00 -8.131799920929605e-12  3.686753021507853e-08  1.282487136942633e-05  1.826335282531418e-09 -3.653917439535016e-08 -1.282454301361114e-05  0.000000000000000e+00 -5.618343164378620e-09 
 3.300000000000002e-01  3.300000002101977e-01  1.199993405729878e+00  1.198724805047475e+00 -7.755085636163006e-12  4.637933933771061e-08  1.523476714410961e-05  1.801732100511311e-09 -4.605098351694264e-08 -1.523443878829483e-05  0.000000000000000e+00 -5.598433562633804e-09 
 3.400000000000002e-01  3.400000002001243e-01  1.199991703918064e+00  1.198497317918090e+00 -7.383439346031473e-12  5.834865605904946e-08  1.795255820625087e-05  1.777368579188916e-09 -5.802030023873055e-08 -1.795222985043527e-05  0.000000000000000e+00 -5.578782781631558e-09 
 3.500000000000003e-01  3.500000001901653e-01  1.199989563740141e+00  1.198243337885564e+00 -7.016004097137873e-12  7.340112377481572e-08  2.098686025326855e-05  1.753241162393028e-09 -7.307276795371066e-08 -2.098653189745186e-05  0.000000000000000e+00 -5.559388018058248e-09 
 3.600000000000003e-01  3.600000001802968e-01  1.199986874694064e+00  1.197962301294586e+00 -6.651914262467695e-12  9.231393416428997e-08  2.434440728091942e-05  1.729346314913899e-09 -9.198557834268431e-08 -2.434407892510317e-05  0.000000000000000e+00 -5.540247509435953e-09 
 3.700000000000003e-01  3.700000001704954e-01  1.199983500195561e+00  1.197653685774756e+00 -6.290301612921212e-12  1.160477224780196e-07  2.803144005371820e-05  1.705680545036451e-09 -1.157193666575537e-07 -2.803111169790202e-05  0.000000000000000e+00 -5.521359576551715e-09 
