 time                   v(clk)                 v(xt.icmp)             v(xt.vth_soft)         v(xt.vth_hard)         v(cmp_soft)            v(cmp_hard)            v(isense)             
 1.206234832292830e-07  1.200000000000000e+00  7.746810934308150e-01  7.095382271431158e-01  1.025160705564272e+00  1.199974604916939e+00 -2.169940298691014e-05  1.550016888514038e+00 
 1.206372154844465e-07  1.200000000000000e+00  7.748888509496414e-01  7.095827909623516e-01  1.025428080337493e+00  1.199974651748950e+00 -1.161761608046877e-05  1.550011730993892e+00 
 1.206520510935719e-07  1.200000000000000e+00  7.750369006447135e-01  7.096313139256646e-01  1.025615642614873e+00  1.199974740171865e+00 -4.479124867586806e-06  1.550006118977524e+00 
 1.206661412294092e-07  1.200000000000000e+00  7.751316954477376e-01  7.096776691675947e-01  1.025730528555642e+00  1.199974853369472e+00 -3.155472829760716e-06  1.550000774855784e+00 
 1.206826694397101e-07  1.200000000000000e+00  7.752099352180590e-01  7.097321955783059e-01  1.025816821472646e+00  1.199974964752540e+00 -5.263284130653935e-07  1.549994521818620e+00 
 1.207010780190084e-07  1.200000000000000e+00  7.752724797211106e-01  7.097929247129851e-01  1.025873832634134e+00  1.199975103273194e+00 -1.035097951210056e-06  1.549987619315046e+00 
 1.207245936201264e-07  1.200000000000000e+00  7.753313748812541e-01  7.098702604873643e-01  1.025909561014859e+00  1.199975263730707e+00  4.852064333720439e-07  1.549978970086057e+00 
 1.207528161689227e-07  1.200000000000000e+00  7.753841275886828e-01  7.099625245254650e-01  1.025917174551241e+00  1.199975490823451e+00 -5.311095376617225e-07  1.549968950971588e+00 
 1.207904247076277e-07  1.200000000000000e+00  7.754366488998773e-01  7.100843735390928e-01  1.025888902100393e+00  1.199975794933080e+00  6.582508633524092e-07  1.549956418116999e+00 
 1.208258844955122e-07  1.200000000000000e+00  7.754738794113966e-01  7.101980828311610e-01  1.025834721394995e+00  1.199976111347003e+00 -4.619123429277898e-07  1.549945630687242e+00 
 1.208695941339013e-07  1.200000000000000e+00  7.755089947801111e-01  7.103367016741988e-01  1.025743411488580e+00  1.199976480325650e+00  6.605777820524307e-07  1.549933903773176e+00 
 1.209148372372525e-07  1.200000000000000e+00  7.755364546277466e-01  7.104784511889216e-01  1.025629118867147e+00  1.199976872441914e+00 -4.466677728246551e-07  1.549923703386330e+00 
 1.209733790697020e-07  1.200000000000000e+00  7.755630699550456e-01  7.106593571682203e-01  1.025461801617177e+00  1.199977341377014e+00  6.555950129578869e-07  1.549913458036061e+00 
 1.210383801926547e-07  1.200000000000000e+00  7.755847104093355e-01  7.108570556515411e-01  1.025259473977319e+00  1.199977859393420e+00 -4.382545474009745e-07  1.549905814510067e+00 
 1.211250354274294e-07  1.200000000000000e+00  7.756056623464164e-01  7.111156970794962e-01  1.024974024917907e+00  1.199978493555337e+00  6.509536143831772e-07  1.549901061438682e+00 
 1.212283389010083e-07  1.200000000000000e+00  7.756236082985221e-01  7.114171009400430e-01  1.024621026719594e+00  1.199979222889920e+00 -4.335515698316783e-07  1.549902099788622e+00 
 1.213730522143818e-07  1.200000000000000e+00  7.756420268358358e-01  7.118275169411291e-01  1.024116930495673e+00  1.199980144272573e+00  6.476959309296843e-07  1.549912344207669e+00 
 1.215573926482799e-07  1.200000000000000e+00  7.756597749753079e-01  7.123318828685835e-01  1.023471794795440e+00  1.199981224819429e+00 -4.310038227015456e-07  1.549934265771886e+00 
 1.218121700818336e-07  1.200000000000000e+00  7.756793432428678e-01  7.129981060141164e-01  1.022588757201361e+00  1.199982518034808e+00  6.458000665846853e-07  1.549970570230998e+00 
 1.221221538794632e-07  1.200000000000000e+00  7.756986801237421e-01  7.137652756475745e-01  1.021537775194472e+00  1.199983886507496e+00 -4.295454721956800e-07  1.550013367141124e+00 
 1.225423096385347e-07  1.200000000000000e+00  7.757191550428327e-01  7.147381820167094e-01  1.020160706350564e+00  1.199985412506378e+00  6.446597848161828e-07  1.550059792817160e+00 
 1.230697821642743e-07  1.200000000000000e+00  7.757370410893768e-01  7.158648067248632e-01  1.018509184366117e+00  1.199986977182406e+00 -4.286750640165113e-07  1.550098757043378e+00 
 1.237867000176172e-07  1.200000000000000e+00  7.757505583871235e-01  7.172528199760295e-01  1.016393288495542e+00  1.199988614055209e+00  6.439902976485737e-07  1.550128836528861e+00 
 1.246936528417384e-07  1.200000000000000e+00  7.757553545143029e-01  7.188114486315339e-01  1.013907391887511e+00  1.199990187326149e+00 -4.281669183128391e-07  1.550148440660931e+00 
 1.256936528417384e-07  1.200000000000000e+00  7.757506151887132e-01  7.203184578707340e-01  1.011383785320340e+00  1.199991463427801e+00  6.435625613756039e-07  1.550160307911642e+00 
 1.266936528417384e-07  1.200000000000000e+00  7.757394579417560e-01  7.216408947907090e-01  1.009059925829723e+00  1.199992455237745e+00 -4.277600659028780e-07  1.550167527974207e+00 
 1.276936528417384e-07  1.200000000000000e+00  7.757243305352874e-01  7.228077420458833e-01  1.006913464387114e+00  1.199993220950072e+00  6.431557374065418e-07  1.550172105304484e+00 
 1.286936528417384e-07  1.200000000000000e+00  7.757066419117545e-01  7.238413953758497e-01  1.004928002854623e+00  1.199993857744258e+00 -4.273532695328313e-07  1.550175303483316e+00 
 1.296936528417384e-07  1.200000000000000e+00  7.756873057171364e-01  7.247599365762653e-01  1.003091372941435e+00  1.199994366355981e+00  6.427489732351540e-07  1.550178032883100e+00 
 1.306936528417384e-07  1.200000000000000e+00  7.756669157916848e-01  7.255784594169000e-01  1.001393966987093e+00  1.199994810947061e+00 -4.269465361591217e-07  1.550180866799181e+00 
 1.316936528417384e-07  1.200000000000000e+00  7.756459125478851e-01  7.263098464762999e-01  9.998277287780633e-01  1.199995172037801e+00  6.423422689293386e-07  1.550184107391608e+00 
 1.326936528417384e-07  1.200000000000000e+00  7.756245947972035e-01  7.269652759727812e-01  9.983853595855271e-01  1.199995500943444e+00 -4.265398620921033e-07  1.550187857923732e+00 
 1.336936528417384e-07  1.200000000000000e+00  7.756032040198533e-01  7.275545152858878e-01  9.970600011327766e-01  1.199995769602524e+00  6.419356260268517e-07  1.550192091710488e+00 
 1.346936528417384e-07  1.200000000000000e+00  7.755819000024036e-01  7.280861433037212e-01  9.958449228751813e-01  1.199996023505893e+00 -4.261332509063977e-07  1.550196715402654e+00 
 1.356936528417384e-07  1.200000000000000e+00  7.755608211230034e-01  7.285676814864313e-01  9.947335142264986e-01  1.199996230444448e+00  6.415290478266096e-07  1.550201620559023e+00 
 1.366936528417384e-07  1.200000000000000e+00  7.755400511005505e-01  7.290057256251935e-01  9.937191721710901e-01  1.199996432965770e+00 -4.257267075726609e-07  1.550206719101974e+00 
 1.376936528417384e-07  1.200000000000000e+00  7.755196697031029e-01  7.294060266916195e-01  9.927954082491047e-01  1.199996596653074e+00  6.411225411767429e-07  1.550211961758547e+00 
 1.386936528417384e-07  1.200000000000000e+00  7.754997174956053e-01  7.297735941203122e-01  9.919558020864651e-01  1.199996762441808e+00 -4.253202373410373e-07  1.550217341433021e+00 
 1.396936528417384e-07  1.200000000000000e+00  7.754802410257539e-01  7.301127590950087e-01  9.911941333030651e-01  1.199996894649959e+00  6.407161066548785e-07  1.550222885158599e+00 
 1.406936528417384e-07  1.200000000000000e+00  7.754612571883110e-01  7.304272652644503e-01  9.905043423363878e-01  1.199997033274219e+00 -4.249138410052057e-07  1.550228638964056e+00 
 1.416936528417384e-07  1.200000000000000e+00  7.754427942577954e-01  7.307203212621881e-01  9.898806521233329e-01  1.199997141859538e+00  6.403097474786779e-07  1.550234649902047e+00 
 1.426936528417384e-07  1.200000000000000e+00  7.754248563066937e-01  7.309946810601612e-01  9.893175163632344e-01  1.199997259831287e+00 -4.245075187966236e-07  1.550240948844505e+00 
 1.436936528417384e-07  1.200000000000000e+00  7.754074609487250e-01  7.312526859169445e-01  9.888097224434450e-01  1.199997350238541e+00  6.399034622169873e-07  1.550247536731830e+00 
 1.446936528417383e-07  1.200000000000000e+00  7.753906041667972e-01  7.314963339953364e-01  9.883523249615337e-01  1.199997452143465e+00 -4.241012688888705e-07  1.550254375897289e+00 
 1.456936528417383e-07  1.200000000000000e+00  7.753742956122321e-01  7.317273114908682e-01  9.879407322436133e-01  1.199997528263919e+00  6.394972494706980e-07  1.550261387099638e+00 
 1.466936528417383e-07  1.200000000000000e+00  7.753585242534873e-01  7.319470517187485e-01  9.875706290114977e-01  1.199997617425082e+00 -4.236950971763032e-07  1.550268452015627e+00 
 1.476936528417383e-07  1.200000000000000e+00  7.753432920236329e-01  7.321567561194762e-01  9.872380514729719e-01  1.199997682113064e+00  6.390911220172511e-07  1.550275420317080e+00 
 1.486936528417383e-07  1.200000000000000e+00  7.753285806284662e-01  7.323574439236673e-01  9.869393035227934e-01  1.199997760996960e+00 -4.232890144360776e-07  1.550282120027031e+00 
 1.496936528417383e-07  1.200000000000000e+00  7.753143841422485e-01  7.325499644420467e-01  9.866710245385254e-01  1.199997816394730e+00  6.386850832279095e-07  1.550288369695121e+00 
 1.506936528417383e-07  1.200000000000000e+00  7.753006771263220e-01  7.327350388727484e-01  9.864301021259052e-01  1.199997886870525e+00 -4.228830200255738e-07  1.550293990934888e+00 
 1.516936528417383e-07  1.200000000000000e+00  7.752874465140791e-01  7.329132654943042e-01  9.862137352223042e-01  1.199997934615701e+00  6.382791277823236e-07  1.550298820067721e+00 
 1.526936528417383e-07  1.200000000000000e+00  7.752746609761162e-01  7.330851552031133e-01  9.860193450418469e-01  1.199997998125755e+00 -4.224771032971624e-07  1.550302717877611e+00 
 1.536936528417383e-07  1.200000000000000e+00  7.752623022037403e-01  7.332511310879511e-01  9.858446349847962e-01  1.199998039493173e+00  6.378732545132457e-07  1.550305576837903e+00 
 1.546936528417383e-07  1.200000000000000e+00  7.752503353012006e-01  7.334115590361471e-01  9.856875007225795e-01  1.199998097167586e+00 -4.220712747520212e-07  1.550307325487532e+00 
 1.556936528417383e-07  1.200000000000000e+00  7.752387394337880e-01  7.335667429048266e-01  9.855460879821820e-01  1.199998133163283e+00  6.374674706080396e-07  1.550307929966589e+00 
 1.566936528417383e-07  1.200000000000000e+00  7.752274789672383e-01  7.337169512721249e-01  9.854187025591497e-01  1.199998185901418e+00 -4.216655352938058e-07  1.550307392954030e+00 
 1.576936528417383e-07  1.200000000000000e+00  7.752165334027424e-01  7.338624091459848e-01  9.853038669891475e-01  1.199998217330356e+00  6.370617750002555e-07  1.550305750455094e+00 
 1.586936528417383e-07  1.200000000000000e+00  7.752058690096210e-01  7.340033216991283e-01  9.852002313373607e-01  1.199998265855299e+00 -4.212598831996572e-07  1.550303066977362e+00 
 1.596936528417383e-07  1.200000000000000e+00  7.751954680003387e-01  7.341398632853091e-01  9.851066298213513e-01  1.199998293369707e+00  6.366561687821305e-07  1.550299429693710e+00 
 1.606936528417383e-07  1.200000000000000e+00  7.751853004807505e-01  7.342721988610666e-01  9.850219932414951e-01  1.199998338270487e+00 -4.208543239613676e-07  1.550294942152658e+00 
 1.616936528417383e-07  1.200000000000000e+00  7.751753528833343e-01  7.344004709558023e-01  9.849454065096839e-01  1.199998362403561e+00  6.362506530826287e-07  1.550289718049821e+00 
 1.626936528417383e-07  1.200000000000000e+00  7.751656001464504e-01  7.345248193694507e-01  9.848760234247210e-01  1.199998404164220e+00 -4.204488548365782e-07  1.550283875459209e+00 
 1.636936528417383e-07  1.200000000000000e+00  7.751560334866296e-01  7.346453666528104e-01  9.848131258172448e-01  1.199998425356124e+00  6.358452344351063e-07  1.550277531829942e+00 
 1.646936528417383e-07  1.200000000000000e+00  7.751466327894942e-01  7.347622366065935e-01  9.847560410679919e-01  1.199998464378762e+00 -4.200434852468012e-07  1.550270799921033e+00 
