 frequency                ir                       ii                       vr                       vi                      
 2.45470891568502019e+01 -1.37316915650720350e-15  2.19429554177742476e-13  9.02387070255028512e-04  1.18929133865434853e-05 
 2.51188643150956956e+01 -1.52324984223350945e-15  2.24540727058448835e-13  9.02387075435662211e-04  1.21699349262123097e-05 
 2.57039578276885301e+01 -1.67960534803307526e-15  2.29770954655056522e-13  9.02387080860767021e-04  1.24534091264633452e-05 
 2.63026799189537073e+01 -1.84918812033696423e-15  2.35123009835797492e-13  9.02387086540668015e-04  1.27434862890695522e-05 
 2.69153480392690412e+01 -2.02404282570456395e-15  2.40599730584561522e-13  9.02387092488465825e-04  1.30403202167819003e-05 
 2.75422870333815446e+01 -2.20137086727814624e-15  2.46204020953808271e-13  9.02387098717261082e-04  1.33440682948810331e-05 
 2.81838293126444164e+01 -2.38387597422534681e-15  2.51938852017479355e-13  9.02387105238600107e-04  1.36548915746114244e-05 
 2.88403150312659342e+01 -2.58464988777892812e-15  2.57807264517976296e-13  9.02387112068137043e-04  1.39729548585934468e-05 
 2.95120922666637284e+01 -2.79126494053677510e-15  2.63812370348468189e-13  9.02387119218972522e-04  1.42984267881896053e-05 
 3.01995172040200295e+01 -3.01370256874933240e-15  2.69957353505803762e-13  9.02387126707648868e-04  1.46314799329287539e-05 
 3.09029543251357701e+01 -3.24265218626038076e-15  2.76245471572819038e-13  9.02387134548043868e-04  1.49722908819895666e-05 
 3.16227766016836540e+01 -3.48006535698039410e-15  2.82680059000590001e-13  9.02387142758587224e-04  1.53210403378497507e-05 
 3.23593656929626832e+01 -3.72004673159648247e-15  2.89264527637828192e-13  9.02387151356376371e-04  1.56779132120875666e-05 
 3.31131121482589634e+01 -3.99486487726724571e-15  2.96002368530825719e-13  9.02387160358730789e-04  1.60430987234241961e-05 
 3.38844156139201047e+01 -4.26474990305319990e-15  3.02897153617521153e-13  9.02387169785634491e-04  1.64167904980508441e-05 
 3.46736850452530092e+01 -4.55614956569941332e-15  3.09952540174422502e-13  9.02387179657071492e-04  1.67991866722924000e-05 
 3.54813389233573844e+01 -4.84828784107563249e-15  3.17172267851991894e-13  9.02387189993136829e-04  1.71904899976615658e-05 
 3.63078054770099712e+01 -5.16170358408687968e-15  3.24560164815634444e-13  9.02387200816812118e-04  1.75909079483597180e-05 
 3.71535229097170827e+01 -5.48588003366004551e-15  3.32120148592731203e-13  9.02387212149968754e-04  1.80006528312839186e-05 
 3.80189396320559467e+01 -5.82488294794195061e-15  3.39856227343188579e-13  9.02387224018252887e-04  1.84199418985939926e-05 
 3.89045144994278829e+01 -6.19284083649279671e-15  3.47772502824053652e-13  9.02387236445312269e-04  1.88489974629024761e-05 
 3.98107170553495422e+01 -6.57755642487212189e-15  3.55873172930613012e-13  9.02387249457681229e-04  1.92880470151477960e-05 
 4.07380277804110875e+01 -6.97103372205784555e-15  3.64162532119909239e-13  9.02387263084225566e-04  1.97373233452131577e-05 
 4.16869383470333474e+01 -7.37445179791254568e-15  3.72644976281180347e-13  9.02387277352811878e-04  2.01970646653728387e-05 
 4.26579518801590680e+01 -7.82106177781363709e-15  3.81325002312343309e-13  9.02387292293749255e-04  2.06675147365235231e-05 
 4.36515832240163917e+01 -8.26231850948808133e-15  3.90207212566917030e-13  9.02387307938901095e-04  2.11489229975463824e-05 
 4.46683592150961033e+01 -8.73280804223816598e-15  3.99296317395121192e-13  9.02387324321130002e-04  2.16415446974512348e-05 
 4.57088189614872888e+01 -9.24162412178561321e-15  4.08597134932118015e-13  9.02387341474741866e-04  2.21456410307936108e-05 
 4.67735141287195972e+01 -9.75913414750367858e-15  4.18114597239001122e-13  9.02387359437484271e-04  2.26614792761205900e-05 
 4.78630092322636074e+01 -1.03031258112847024e-14  4.27853750726312019e-13  9.02387378246660710e-04  2.31893329377010337e-05 
 4.89778819368443834e+01 -1.08717559694354593e-14  4.37819759118655404e-13  9.02387397944792724e-04  2.37294818905739188e-05 
 5.01187233627269819e+01 -1.14696392574525907e-14  4.48017906842830961e-13  9.02387418568850741e-04  2.42822125287621017e-05 
 5.12861383991362345e+01 -1.20813664519596464e-14  4.58453600933657487e-13  9.02387440164797994e-04  2.48478179174166276e-05 
 5.24807460249770017e+01 -1.27568650629995839e-14  4.69132375057379394e-13  9.02387462778153626e-04  2.54265979479987425e-05 
 5.37031796370250092e+01 -1.34460585027307289e-14  4.80059890570457893e-13  9.02387486457434385e-04  2.60188594973395797e-05 
 5.49540873857621861e+01 -1.41634411989464970e-14  4.91241942237043388e-13  9.02387511252378260e-04  2.66249165903508242e-05 
 5.62341325190346311e+01 -1.49021826779602296e-14  5.02684458652491949e-13  9.02387537216275959e-04  2.72450905665203892e-05 
 5.75439937337154106e+01 -1.57057323418342831e-14  5.14393507113804758e-13  9.02387564403972497e-04  2.78797102502997241e-05 
 5.88843655355586080e+01 -1.65277134426405903e-14  5.26375296160726952e-13  9.02387592872644362e-04  2.85291121254456274e-05 
 6.02559586074354741e+01 -1.73775856443340870e-14  5.38636178540362939e-13  9.02387622683353818e-04  2.91936405134127890e-05 
 6.16595001861479091e+01 -1.82854423334648242e-14  5.51182655865857605e-13  9.02387653898828468e-04  2.98736477559546793e-05 
 6.30957344480190088e+01 -1.92291793382412535e-14  5.64021379463429265e-13  9.02387686585348625e-04  3.05694944019032315e-05 
