 time                   v(gate_core)           v(xg.n_34)             v(xg.n_35)             v(trip_d)             
 1.833750000000000e-09  1.673331680644534e-07  1.862214160652798e-09  3.299999989536953e+00  0.000000000000000e+00 
 1.858750000000000e-09  1.673331653235903e-07  1.862223084070358e-09  3.299999989536969e+00  0.000000000000000e+00 
 1.908750000000000e-09  1.673331645045840e-07  1.862216245790416e-09  3.299999989536969e+00  0.000000000000000e+00 
 2.008750000000000e-09  1.673331677561063e-07  1.862212094597138e-09  3.299999989536967e+00  0.000000000000000e+00 
 2.108750000000000e-09  1.673331651920766e-07  1.862208063099779e-09  3.299999989536961e+00  0.000000000000000e+00 
 2.208750000000000e-09  1.673331624081707e-07  1.862204713348747e-09  3.299999989536939e+00  0.000000000000000e+00 
 2.221250000000000e-09  1.673331634182134e-07  1.862209740577381e-09  3.299999989536946e+00  0.000000000000000e+00 
 2.246250000000000e-09  1.673331676420482e-07  1.862219885240268e-09  3.299999989536953e+00  0.000000000000000e+00 
 2.296250000000000e-09  1.673331644469044e-07  1.862216058440280e-09  3.299999989536960e+00  0.000000000000000e+00 
 2.396250000000000e-09  1.673331643083434e-07  1.862211619282905e-09  3.299999989536957e+00  0.000000000000000e+00 
 2.408750000000000e-09  1.673331696198498e-07  1.862213591663497e-09  3.299999989536958e+00  0.000000000000000e+00 
 2.433750000000000e-09  1.673331631547523e-07  1.862223410198371e-09  3.299999989536965e+00  0.000000000000000e+00 
 2.483750000000000e-09  1.673331655588622e-07  1.862217914594400e-09  3.299999989536975e+00  0.000000000000000e+00 
 2.583750000000000e-09  1.673331673797797e-07  1.862210713757251e-09  3.299999989536963e+00  0.000000000000000e+00 
 2.596250000000000e-09  1.673331668210903e-07  1.862199561220024e-09  3.299999989536940e+00  0.000000000000000e+00 
 2.621250000000000e-09  1.673331625016289e-07  1.862214146775010e-09  3.299999989536954e+00  0.000000000000000e+00 
 2.671250000000000e-09  1.673331661590765e-07  1.862216297832120e-09  3.299999989536974e+00  0.000000000000000e+00 
 2.683750000000000e-09  1.673331635546060e-07  1.862204203340045e-09  3.299999989536958e+00  0.000000000000000e+00 
 2.708750000000000e-09  1.673331643790334e-07  1.862216970904829e-09  3.299999989536974e+00  0.000000000000000e+00 
 2.758750000000000e-09  1.673331694140683e-07  1.862216828657504e-09  3.299999989536985e+00  0.000000000000000e+00 
 2.858750000000000e-09  1.673331625681989e-07  1.862212472766855e-09  3.299999989536981e+00  0.000000000000000e+00 
 2.958750000000000e-09  1.673331639165127e-07  1.862204626612574e-09  3.299999989536947e+00  0.000000000000000e+00 
 2.971250000000000e-09  1.673331709174230e-07  1.862211121417268e-09  3.299999989536953e+00  0.000000000000000e+00 
 2.996250000000000e-09  1.673331665554608e-07  1.862223819593112e-09  3.299999989536974e+00  0.000000000000000e+00 
 3.046250000000000e-09  1.673331662980712e-07  1.862217730713711e-09  3.299999989536979e+00  0.000000000000000e+00 
 3.146250000000000e-09  1.673331647775861e-07  1.862214717499033e-09  3.299999989536986e+00  0.000000000000000e+00 
 3.246250000000000e-09  1.673331620108106e-07  1.862204095787190e-09  3.299999989536970e+00  0.000000000000000e+00 
 3.258750000000001e-09  1.673331675104261e-07  1.862209636493972e-09  3.299999989536964e+00  0.000000000000000e+00 
 3.283750000000000e-09  1.673331684012066e-07  1.862220433412887e-09  3.299999989536970e+00  0.000000000000000e+00 
 3.333750000000000e-09  1.673331662729177e-07  1.862214941278362e-09  3.299999989536968e+00  0.000000000000000e+00 
 3.433750000000000e-09  1.673331650311810e-07  1.862212595932222e-09  3.299999989536960e+00  0.000000000000000e+00 
 3.446250000000001e-09  1.673331653227229e-07  1.862202322899797e-09  3.299999989536950e+00  0.000000000000000e+00 
 3.471250000000000e-09  1.673331612970803e-07  1.862216436609998e-09  3.299999989536964e+00  0.000000000000000e+00 
 3.521250000000000e-09  1.673331664878066e-07  1.862220398718417e-09  3.299999989536980e+00  0.000000000000000e+00 
 3.533750000000001e-09  1.673331653173019e-07  1.862212273273656e-09  3.299999989536965e+00  0.000000000000000e+00 
 3.558750000000000e-09  1.673331647695630e-07  1.862219711767921e-09  3.299999989536970e+00  0.000000000000000e+00 
 3.608750000000000e-09  1.673331665515577e-07  1.862214535353068e-09  3.299999989536973e+00  0.000000000000000e+00 
 3.708750000000000e-09  1.673331642767931e-07  1.862213052164496e-09  3.299999989536965e+00  0.000000000000000e+00 
 3.808750000000000e-09  1.673331622767654e-07  1.862205513056270e-09  3.299999989536946e+00  0.000000000000000e+00 
 3.908750000000000e-09  1.673331636945765e-07  1.862206569502867e-09  3.299999989536946e+00  0.000000000000000e+00 
 3.921250000000000e-09  1.673331650557924e-07  1.862208137692889e-09  3.299999989536943e+00  0.000000000000000e+00 
 3.946250000000001e-09  1.673331688340201e-07  1.862220884440990e-09  3.299999989536960e+00  0.000000000000000e+00 
 3.996250000000000e-09  1.673331681644168e-07  1.862214559639197e-09  3.299999989536963e+00  0.000000000000000e+00 
 4.096250000000000e-09  1.673331649894392e-07  1.862212599401669e-09  3.299999989536954e+00  0.000000000000000e+00 
 4.196250000000000e-09  1.673331626017007e-07  1.862208172387358e-09  3.299999989536945e+00  0.000000000000000e+00 
 4.296250000000000e-09  1.673331623571047e-07  1.862207001449012e-09  3.299999989536943e+00  0.000000000000000e+00 
 4.396250000000000e-09  1.673331642333166e-07  1.862209780476021e-09  3.299999989536914e+00  0.000000000000000e+00 
 4.496250000000000e-09  1.673331635657733e-07  1.862208588720993e-09  3.299999989536887e+00  0.000000000000000e+00 
 4.508750000000001e-09  1.673331723745907e-07  1.862209740577381e-09  3.299999989536882e+00  0.000000000000000e+00 
 4.533750000000001e-09  1.673331645529394e-07  1.862223666937446e-09  3.299999989536901e+00  0.000000000000000e+00 
 4.534531250000001e-09  1.673331648886084e-07  1.862221821191667e-09  3.299999989536897e+00  0.000000000000000e+00 
 4.536093750000001e-09  1.673331668635911e-07  1.862219850545799e-09  3.299999989536896e+00  0.000000000000000e+00 
 4.539218750000001e-09  1.673331596150490e-07  1.862213841463678e-09  3.299999989536885e+00  0.000000000000000e+00 
 4.545468750000001e-09  1.673331815978986e-07  1.862213321046635e-09  3.299999989536889e+00  0.000000000000000e+00 
 4.557968750000001e-09  1.673331675986801e-07  1.862219128900833e-09  3.299999989536894e+00  0.000000000000000e+00 
 4.582968750000001e-09  1.673331645609625e-07  1.862231917282298e-09  3.299999989536921e+00  0.000000000000000e+00 
 4.589218750000001e-09  1.673331622088943e-07  1.862215485981533e-09  3.299999989536903e+00  0.000000000000000e+00 
 4.601718750000001e-09  1.673331711583327e-07  1.862211836123340e-09  3.299999989536896e+00  0.000000000000000e+00 
 4.626718750000001e-09  1.673331633013364e-07  1.862220544435189e-09  3.299999989536905e+00  0.000000000000000e+00 
 4.676718750000001e-09  1.673331640292697e-07  1.862217009068745e-09  3.299999989536920e+00  0.000000000000000e+00 
 4.776718750000001e-09  1.673331673444347e-07  1.862215714965032e-09  3.299999989536952e+00  0.000000000000000e+00 
 4.876718750000001e-09  1.673331636696399e-07  1.862208474229243e-09  3.299999989536936e+00  0.000000000000000e+00 
 4.976718750000001e-09  1.673331659423445e-07  1.862210998251901e-09  3.299999989536939e+00  0.000000000000000e+00 
 4.989218750000001e-09  1.673331706229537e-07  1.862214056569389e-09  3.299999989536939e+00  0.000000000000000e+00 
 5.014218750000001e-09  1.673331641396415e-07  1.862219128900833e-09  3.299999989536944e+00  0.000000000000000e+00 
 5.064218750000001e-09  1.673331672402429e-07  1.862218216436284e-09  3.299999989536949e+00  0.000000000000000e+00 
 5.164218750000001e-09  1.673331649692730e-07  1.862211473566133e-09  3.299999989536955e+00  0.000000000000000e+00 
 5.176718750000001e-09  1.673331693303678e-07  1.862207429925711e-09  3.299999989536943e+00  0.000000000000000e+00 
 5.201718750000001e-09  1.673331609061170e-07  1.862218337866928e-09  3.299999989536949e+00  0.000000000000000e+00 
 5.251718750000001e-09  1.673331654268063e-07  1.862216283954332e-09  3.299999989536955e+00  0.000000000000000e+00 
 5.351718750000001e-09  1.673331669745049e-07  1.862213439007832e-09  3.299999989536970e+00  0.000000000000000e+00 
 5.364218750000001e-09  1.673331676171116e-07  1.862202357594267e-09  3.299999989536952e+00  0.000000000000000e+00 
 5.389218750000001e-09  1.673331627136988e-07  1.862215701087244e-09  3.299999989536965e+00  0.000000000000000e+00 
 5.439218750000001e-09  1.673331657496818e-07  1.862214143305563e-09  3.299999989536969e+00  0.000000000000000e+00 
 5.539218750000001e-09  1.673331647567694e-07  1.862212183068035e-09  3.299999989536967e+00  0.000000000000000e+00 
 5.551718750000001e-09  1.673331715135173e-07  1.862207159308849e-09  3.299999989536945e+00  0.000000000000000e+00 
 5.576718750000001e-09  1.673331615922001e-07  1.862218608483790e-09  3.299999989536950e+00  0.000000000000000e+00 
 5.582968750000001e-09  1.673331600057955e-07  1.862205868674582e-09  3.299999989536935e+00  0.000000000000000e+00 
 5.595468750000001e-09  1.673331742843044e-07  1.862209761394062e-09  3.299999989536933e+00  0.000000000000000e+00 
 5.620468750000001e-09  1.673331650059191e-07  1.862223271420493e-09  3.299999989536956e+00  0.000000000000000e+00 
 5.670468750000001e-09  1.673331604301522e-07  1.862220131571002e-09  3.299999989536982e+00  0.000000000000000e+00 
 5.682968750000001e-09  1.673331680104601e-07  1.862216707226860e-09  3.299999989536977e+00  0.000000000000000e+00 
 5.707968750000001e-09  1.673331627351660e-07  1.862222112625211e-09  3.299999989536989e+00  0.000000000000000e+00 
 5.757968750000001e-09  1.673331687089032e-07  1.862215555370472e-09  3.299999989537002e+00  0.000000000000000e+00 
 5.770468750000001e-09  1.673331689797369e-07  1.862203738434154e-09  3.299999989536987e+00  0.000000000000000e+00 
 5.795468750000001e-09  1.673331603989272e-07  1.862214216163949e-09  3.299999989536995e+00  0.000000000000000e+00 
 5.845468750000001e-09  1.673331672560723e-07  1.862212051229051e-09  3.299999989536993e+00  0.000000000000000e+00 
 5.945468750000001e-09  1.673331664875898e-07  1.862211806633041e-09  3.299999989536988e+00  0.000000000000000e+00 
 6.045468750000001e-09  1.673331645136913e-07  1.862209714556529e-09  3.299999989536964e+00  0.000000000000000e+00 
 6.057968750000001e-09  1.673331678994378e-07  1.862212564707200e-09  3.299999989536963e+00  0.000000000000000e+00 
 6.061093750000001e-09  1.673331569127835e-07  1.862207395231241e-09  3.299999989536958e+00  0.000000000000000e+00 
 6.067343750000001e-09  1.673331621872103e-07  1.862209317304853e-09  3.299999989536964e+00  0.000000000000000e+00 
 6.079843750000001e-09  1.673331590087632e-07  1.862219510539997e-09  3.299999989536974e+00  0.000000000000000e+00 
 6.104843750000001e-09  1.673331637829390e-07  1.862230904203788e-09  3.299999989537004e+00  0.000000000000000e+00 
 6.154843750000001e-09  1.673331663180205e-07  1.862221047504997e-09  3.299999989537030e+00  0.000000000000000e+00 
 6.254843750000001e-09  1.673331676274115e-07  1.862212727771206e-09  3.299999989537054e+00  0.000000000000000e+00 
 6.267343750000001e-09  1.673331691454030e-07  1.862200456337337e-09  3.299999989537032e+00  0.000000000000000e+00 
 6.292343750000001e-09  1.673331682197111e-07  1.862219510539997e-09  3.299999989537050e+00  0.000000000000000e+00 
 6.342343750000001e-09  1.673331661050832e-07  1.862216578857323e-09  3.299999989537054e+00  0.000000000000000e+00 
 6.354843750000001e-09  1.673331664166829e-07  1.862212252456974e-09  3.299999989537036e+00  0.000000000000000e+00 
 6.379843750000001e-09  1.673331665045033e-07  1.862220995463293e-09  3.299999989537048e+00  0.000000000000000e+00 
 6.429843750000001e-09  1.673331639095738e-07  1.862216603143452e-09  3.299999989537057e+00  0.000000000000000e+00 
 6.529843750000001e-09  1.673331658906280e-07  1.862209556696692e-09  3.299999989537041e+00  0.000000000000000e+00 
 6.542343750000001e-09  1.673331670127773e-07  1.862200331437247e-09  3.299999989537019e+00  0.000000000000000e+00 
 6.567343750000001e-09  1.673331624860164e-07  1.862214035752707e-09  3.299999989537030e+00  0.000000000000000e+00 
 6.617343750000001e-09  1.673331645848149e-07  1.862214594333667e-09  3.299999989537038e+00  0.000000000000000e+00 
 6.717343750000001e-09  1.673331654054476e-07  1.862213218697950e-09  3.299999989537037e+00  0.000000000000000e+00 
 6.729843750000001e-09  1.673331599782567e-07  1.862196979951491e-09  3.299999989537004e+00  0.000000000000000e+00 
 6.754843750000001e-09  1.673331665040696e-07  1.862211176928419e-09  3.299999989537015e+00  0.000000000000000e+00 
 6.804843750000001e-09  1.673331672467481e-07  1.862215007197854e-09  3.299999989537013e+00  0.000000000000000e+00 
 6.817343750000001e-09  1.673331668644584e-07  1.862207506253544e-09  3.299999989536995e+00  0.000000000000000e+00 
 6.842343750000001e-09  1.673331645973917e-07  1.862218622361578e-09  3.299999989537002e+00  0.000000000000000e+00 
 6.892343750000001e-09  1.673331667404257e-07  1.862214989850619e-09  3.299999989536997e+00  0.000000000000000e+00 
 6.992343750000001e-09  1.673331643887912e-07  1.862211135295055e-09  3.299999989536988e+00  0.000000000000000e+00 
 7.004843750000001e-09  1.673331662202255e-07  1.862199769386841e-09  3.299999989536968e+00  0.000000000000000e+00 
 7.029843750000001e-09  1.673331600606561e-07  1.862214826786612e-09  3.299999989536982e+00  0.000000000000000e+00 
 7.079843750000001e-09  1.673331663874095e-07  1.862216117420878e-09  3.299999989537000e+00  0.000000000000000e+00 
 7.179843750000001e-09  1.673331662511253e-07  1.862213005326963e-09  3.299999989536998e+00  0.000000000000000e+00 
 7.192343750000001e-09  1.673331678168216e-07  1.862208491576478e-09  3.299999989536990e+00  0.000000000000000e+00 
 7.217343750000001e-09  1.673331619085703e-07  1.862218268477989e-09  3.299999989536996e+00  0.000000000000000e+00 
 7.267343750000001e-09  1.673331643692755e-07  1.862213331454976e-09  3.299999989536999e+00  0.000000000000000e+00 
 7.279843750000001e-09  1.673331685200351e-07  1.862203113933703e-09  3.299999989536982e+00  0.000000000000000e+00 
 7.279892578125001e-09  1.673331692887345e-07  1.862203724556366e-09  3.299999989536984e+00  0.000000000000000e+00 
 7.279990234375001e-09  1.673331701135955e-07  1.862205195601874e-09  3.299999989536987e+00  0.000000000000000e+00 
 7.280185546875001e-09  1.673331642675774e-07  1.862206763791896e-09  3.299999989536989e+00  0.000000000000000e+00 
 7.280576171875001e-09  1.673331587181970e-07  1.862211662650992e-09  3.299999989536990e+00  0.000000000000000e+00 
 7.280588378906251e-09  1.673331579063464e-07  1.862210607939119e-09  3.299999989536989e+00  0.000000000000000e+00 
 7.280612792968751e-09  1.673331574726655e-07  1.862209608738397e-09  3.299999989536989e+00  0.000000000000000e+00 
 7.280661621093751e-09  1.673331573425613e-07  1.862206513991715e-09  3.299999989536986e+00  0.000000000000000e+00 
 7.280673828125001e-09  1.673331569817388e-07  1.862203335978307e-09  3.299999989536981e+00  0.000000000000000e+00 
 7.280698242187501e-09  1.673331577493539e-07  1.862201073898895e-09  3.299999989536977e+00  0.000000000000000e+00 
 7.280747070312501e-09  1.673331598691860e-07  1.862196508106706e-09  3.299999989536973e+00  0.000000000000000e+00 
 7.280844726562502e-09  1.673331637549666e-07  1.862195661561650e-09  3.299999989536972e+00  0.000000000000000e+00 
 7.281040039062501e-09  1.673331610375223e-07  1.862194204393930e-09  3.299999989536972e+00  0.000000000000000e+00 
 7.281430664062501e-09  1.673331554204877e-07  1.862194148882779e-09  3.299999989536971e+00  0.000000000000000e+00 
 7.281528320312502e-09  1.673331541801604e-07  1.862194329294020e-09  3.299999989536972e+00  0.000000000000000e+00 
 7.281552734375002e-09  1.673331528305455e-07  1.862190776580341e-09  3.299999989536969e+00  0.000000000000000e+00 
 7.281601562500002e-09  1.673331510836790e-07  1.862188431234202e-09  3.299999989536966e+00  0.000000000000000e+00 
 7.281699218750002e-09  1.673331507991843e-07  1.862186710388514e-09  3.299999989536962e+00  0.000000000000000e+00 
 7.281894531250002e-09  1.673331494721209e-07  1.862184989542826e-09  3.299999989536960e+00  0.000000000000000e+00 
 7.281900634765626e-09  1.673331477755613e-07  1.862181187028966e-09  3.299999989536952e+00  0.000000000000000e+00 
 7.281912841796876e-09  1.673331459931329e-07  1.862176399192172e-09  3.299999989536945e+00  0.000000000000000e+00 
 7.281937255859376e-09  1.673331435506423e-07  1.862171999933437e-09  3.299999989536941e+00  0.000000000000000e+00 
 7.281986083984376e-09  1.673331384219323e-07  1.862166129629195e-09  3.299999989536936e+00  0.000000000000000e+00 
 7.281998291015626e-09  1.673331357235699e-07  1.862163145904816e-09  3.299999989536933e+00  0.000000000000000e+00 
 7.282022705078126e-09  1.673331328673477e-07  1.862162132826306e-09  3.299999989536932e+00  0.000000000000000e+00 
 7.282071533203126e-09  1.673331300466874e-07  1.862158954812898e-09  3.299999989536931e+00  0.000000000000000e+00 
 7.282169189453127e-09  1.673331313234439e-07  1.862154555554163e-09  3.299999989536933e+00  0.000000000000000e+00 
 7.282364501953126e-09  1.673331368884368e-07  1.862147644415835e-09  3.299999989536936e+00  0.000000000000000e+00 
 7.282755126953126e-09  1.673331466479910e-07  1.862140830422021e-09  3.299999989536933e+00  0.000000000000000e+00 
 7.282852783203127e-09  1.673331470018746e-07  1.862140483477326e-09  3.299999989536933e+00  0.000000000000000e+00 
 7.283048095703126e-09  1.673331468665662e-07  1.862139553665543e-09  3.299999989536935e+00  0.000000000000000e+00 
 7.283438720703126e-09  1.673331472135109e-07  1.862140441843962e-09  3.299999989536933e+00  0.000000000000000e+00 
 7.283536376953126e-09  1.673331485050125e-07  1.862140899810960e-09  3.299999989536933e+00  0.000000000000000e+00 
 7.283560791015626e-09  1.673331475960174e-07  1.862137666286401e-09  3.299999989536928e+00  0.000000000000000e+00 
 7.283609619140627e-09  1.673331476645390e-07  1.862133308661029e-09  3.299999989536922e+00  0.000000000000000e+00 
 7.283707275390627e-09  1.673331491425234e-07  1.862129020424597e-09  3.299999989536918e+00  0.000000000000000e+00 
 7.283731689453127e-09  1.673331472820325e-07  1.862125870166764e-09  3.299999989536913e+00  0.000000000000000e+00 
 7.283780517578127e-09  1.673331447536730e-07  1.862123080731415e-09  3.299999989536908e+00  0.000000000000000e+00 
 7.283878173828127e-09  1.673331442870324e-07  1.862120582729609e-09  3.299999989536905e+00  0.000000000000000e+00 
 7.284073486328127e-09  1.673331483202645e-07  1.862117487982928e-09  3.299999989536903e+00  0.000000000000000e+00 
 7.284079589843751e-09  1.673331465595201e-07  1.862113019335254e-09  3.299999989536896e+00  0.000000000000000e+00 
 7.284081115722657e-09  1.673331461206351e-07  1.862110993178234e-09  3.299999989536892e+00  0.000000000000000e+00 
 7.284081497192384e-09  1.673331466549299e-07  1.862112436468166e-09  3.299999989536893e+00  0.000000000000000e+00 
