 time                   v(d)                   v(g)                  
 5.633536329917014e-06  8.542485828467174e-02  4.562472985972367e+00 
 5.634536329917014e-06  8.542110881092056e-02  4.563154805779961e+00 
 5.635536329917014e-06  8.541736100063325e-02  4.563836627999871e+00 
 5.636536329917013e-06  8.541361485278340e-02  4.564518452631374e+00 
 5.637536329917013e-06  8.540987036618253e-02  4.565200279673577e+00 
 5.638536329917013e-06  8.540612753980782e-02  4.565882109125753e+00 
 5.639536329917012e-06  8.540238637255250e-02  4.566563940987096e+00 
 5.640536329917012e-06  8.539864686333398e-02  4.567245775256812e+00 
 5.641536329917011e-06  8.539490901097811e-02  4.567927611934030e+00 
 5.642536329917011e-06  8.539117281456111e-02  4.568609451018119e+00 
 5.643536329917011e-06  8.538743827286352e-02  4.569291292508153e+00 
 5.644536329917010e-06  8.538370538480461e-02  4.569973136403353e+00 
 5.645536329917010e-06  8.537997414940897e-02  4.570654982703029e+00 
 5.646536329917010e-06  8.537624456542173e-02  4.571336831406223e+00 
 5.647536329917009e-06  8.537251663192250e-02  4.572018682512311e+00 
 5.648536329917009e-06  8.536879034774128e-02  4.572700536020412e+00 
 5.649536329917009e-06  8.536506571180524e-02  4.573382391929739e+00 
 5.650536329917008e-06  8.536134272306392e-02  4.574064250239546e+00 
 5.651536329917008e-06  8.535762138038457e-02  4.574746110948984e+00 
 5.652536329917008e-06  8.535390168274910e-02  4.575427974057329e+00 
 5.653536329917007e-06  8.535018362900558e-02  4.576109839563719e+00 
 5.654536329917007e-06  8.534646721820341e-02  4.576791707467489e+00 
 5.655536329917007e-06  8.534275244909596e-02  4.577473577767683e+00 
 5.656536329917006e-06  8.533903932078334e-02  4.578155450463697e+00 
 5.657536329917006e-06  8.533532783204448e-02  4.578837325554593e+00 
 5.658536329917006e-06  8.533161798190078e-02  4.579519203039679e+00 
 5.659536329917005e-06  8.532790976921939e-02  4.580201082918109e+00 
 5.660536329917005e-06  8.532420319297218e-02  4.580882965189150e+00 
 5.661536329917005e-06  8.532049825205965e-02  4.581564849851982e+00 
 5.662536329917004e-06  8.531679494545955e-02  4.582246736905873e+00 
 5.663536329917004e-06  8.531309327205261e-02  4.582928626349983e+00 
 5.664536329917003e-06  8.530939323076869e-02  4.583610518183535e+00 
 5.665536329917003e-06  8.530569482059959e-02  4.584292412405802e+00 
 5.666536329917003e-06  8.530199804040278e-02  4.584974309015926e+00 
 5.667536329917002e-06  8.529830288918366e-02  4.585656208013195e+00 
 5.668536329917002e-06  8.529460936580535e-02  4.586338109396753e+00 
 5.669536329917002e-06  8.529091746930792e-02  4.587020013165936e+00 
 5.670536329917001e-06  8.528722719851567e-02  4.587701919319836e+00 
 5.671536329917001e-06  8.528353855242676e-02  4.588383827857741e+00 
 5.672536329917001e-06  8.527985153003173e-02  4.589065738778922e+00 
 5.673536329917000e-06  8.527616613011807e-02  4.589747652082450e+00 
 5.674536329917000e-06  8.527248235179079e-02  4.590429567767708e+00 
 5.675536329917000e-06  8.526880019390921e-02  4.591111485833835e+00 
 5.676536329916999e-06  8.526511965541396e-02  4.591793406280056e+00 
 5.677536329916999e-06  8.526144073529318e-02  4.592475329105630e+00 
 5.678536329916999e-06  8.525776343248978e-02  4.593157254309788e+00 
 5.679536329916998e-06  8.525408774584668e-02  4.593839181891652e+00 
 5.680536329916998e-06  8.525041367448039e-02  4.594521111850614e+00 
 5.681536329916998e-06  8.524674121717429e-02  4.595203044185726e+00 
 5.682536329916997e-06  8.524307037302381e-02  4.595884978896375e+00 
 5.683536329916997e-06  8.523940114085940e-02  4.596566915981660e+00 
 5.684536329916997e-06  8.523573351969525e-02  4.597248855440870e+00 
 5.685536329916996e-06  8.523206750850532e-02  4.597930797273260e+00 
 5.686536329916996e-06  8.522840310613128e-02  4.598612741477948e+00 
 5.687536329916995e-06  8.522474031164352e-02  4.599294688054274e+00 
 5.688536329916995e-06  8.522107912398620e-02  4.599976637001465e+00 
 5.689536329916995e-06  8.521741954202544e-02  4.600658588318652e+00 
 5.690536329916994e-06  8.521376156482025e-02  4.601340542005172e+00 
