 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 1.242821211315722e-06  1.188525896186494e-05  9.942690684695222e-06  2.429117367248902e-02  1.850274933959770e-02  4.214644377781549e-09  3.998297554616179e-01 -1.650486418647512e-03  8.429288755563098e-09 
 1.247821211315722e-06  1.207558662560682e-05  1.013676130877372e-05  2.478366006369146e-02  1.889798911092281e-02  4.298460857460931e-09  4.080797554447993e-01 -1.650486452284494e-03  8.596921714921862e-09 
 1.252821211315722e-06  1.226557881374576e-05  1.033045947285900e-05  2.527613462047457e-02  1.929854392593212e-02  4.397823690397388e-09  4.163297553457698e-01 -1.650486650343175e-03  8.795647380794777e-09 
 1.257821211315722e-06  1.245523872087963e-05  1.052378885213694e-05  2.576867549935355e-02  1.970572437455013e-02  4.516180444683776e-09  4.245797551470500e-01 -1.650487047782701e-03  9.032360889367551e-09 
 1.262821211315722e-06  1.264456952749512e-05  1.071675307537119e-05  2.626137490340390e-02  2.012113921550578e-02  4.657759870356671e-09  4.328297548273716e-01 -1.650487687139490e-03  9.315519740713343e-09 
 1.267821211315722e-06  1.283357440397907e-05  1.090935572816988e-05  2.675434150183600e-02  2.054675971759972e-02  4.827741328267004e-09  4.410797543609297e-01 -1.650488620023149e-03  9.655482656534007e-09 
 1.272821211315722e-06  1.302225651464585e-05  1.110160035632422e-05  2.724770322303456e-02  2.098499520923104e-02  5.032457571264485e-09  4.493297537165620e-01 -1.650489908758379e-03  1.006491514252897e-08 
 1.277821211315722e-06  1.321061902129312e-05  1.129349046918301e-05  2.774161044944733e-02  2.143877927615580e-02  5.279638594603957e-09  4.575797528568386e-01 -1.650491628205075e-03  1.055927718920791e-08 
 1.282821211315722e-06  1.339866508602528e-05  1.148502954300403e-05  2.823623959452545e-02  2.191166268474625e-02  5.578711686251392e-09  4.658297517371470e-01 -1.650493867587977e-03  1.115742337250278e-08 
 1.287821211315722e-06  1.358639787337588e-05  1.167622102422133e-05  2.873179695245007e-02  2.240790080546157e-02  5.941196907915359e-09  4.740797503048703e-01 -1.650496732141349e-03  1.188239381583072e-08 
 1.292821211315722e-06  1.377382055048988e-05  1.186706833249353e-05  2.922852240705252e-02  2.293250200395737e-02  6.381313039992833e-09  4.823297484988426e-01 -1.650500344196559e-03  1.276262607998567e-08 
 1.297821211315722e-06  1.396093628484572e-05  1.205757486335060e-05  2.972669190755809e-02  2.349114467688222e-02  6.917159884282025e-09  4.905797462494551e-01 -1.650504842971245e-03  1.383431976856405e-08 
 1.302821211315722e-06  1.414774823854569e-05  1.224774399019313e-05  3.022661525066125e-02  2.408969143989435e-02  7.573714650191891e-09  4.988297434800324e-01 -1.650510381816517e-03  1.514742930038378e-08 
 1.307821211315722e-06  1.433425955723800e-05  1.243757906527172e-05  3.072861802329055e-02  2.473241693236996e-02  8.392164349960033e-09  5.070797401108446e-01 -1.650517120192152e-03  1.678432869992007e-08 
 1.312821211315721e-06  1.452047335210455e-05  1.262708341916083e-05  3.123296647784518e-02  2.541570377219987e-02  9.463668416532850e-09  5.153297360693536e-01 -1.650525203173769e-03  1.892733683306570e-08 
 1.317821211315721e-06  1.470537164690292e-05  1.281619654398506e-05  3.173908946062954e-02  2.606309130745369e-02  1.151621833046702e-08  5.235797311288136e-01 -1.650535084253502e-03  2.303243666093404e-08 
 1.322821211315721e-06  1.489092084350267e-05  1.300496466421249e-05  3.224385599259223e-02  2.639621834280162e-02  1.580532600045074e-08  5.318297261776017e-01 -1.650544986677271e-03  3.161065200090148e-08 
 1.327821211315721e-06  1.507617873134604e-05  1.319340558097940e-05  3.273810886655955e-02  2.565713868898469e-02  2.497978251229512e-08  5.400797239159805e-01 -1.650549509919497e-03  4.995956502459024e-08 
 1.332821211315721e-06  1.526114900636823e-05  1.338152733155587e-05  3.322046093196655e-02  2.369363883033000e-02  3.042116333153284e-08  5.483297280213690e-01 -1.650541299142327e-03  6.084232666306568e-08 
 1.337821211315721e-06  1.544583324189388e-05  1.356933449800714e-05  3.371435080545646e-02  2.230063449077724e-02  1.603889025568925e-08  5.565797340086646e-01 -1.650529324551009e-03  3.207778051137851e-08 
 1.342821211315721e-06  1.563023428693746e-05  1.375683047433131e-05  3.422874482814083e-02  2.212737243190289e-02  2.176550328438371e-09  5.648297388951836e-01 -1.650519551512852e-03  4.353100656876742e-09 
 1.347821211315721e-06  1.581435462991187e-05  1.394401822665640e-05  3.475652927833351e-02  2.255124097004399e-02  2.554496495181890e-09  5.730797458928811e-01 -1.650505556117565e-03  5.108992990363780e-09 
 1.352821211315721e-06  1.599818965843363e-05  1.413090011374407e-05  3.529155794950034e-02  2.301822953566972e-02  6.539569579269391e-09  5.813297488763709e-01 -1.650499589137766e-03  1.307913915853878e-08 
 1.357821211315721e-06  1.618173979630935e-05  1.431747818361929e-05  3.583356728481936e-02  2.342786834619838e-02  7.994751606157820e-09  5.895797476480517e-01 -1.650502045776214e-03  1.598950321231564e-08 
 1.362821211315721e-06  1.636500047071134e-05  1.450375397339855e-05  3.638435000766653e-02  2.383153797894787e-02  8.056039246635545e-09  5.978297453801987e-01 -1.650506581481803e-03  1.611207849327109e-08 
 1.367821211315721e-06  1.654890901890834e-05  1.468978734804894e-05  3.694503003439153e-02  2.425167632392209e-02  8.059747696875962e-09  6.060797435166121e-01 -1.650510308655040e-03  1.611949539375192e-08 
 1.372821211315721e-06  1.673163746326441e-05  1.487553840982815e-05  3.751730063224511e-02  2.469215949245838e-02  8.280716219765238e-09  6.143297416174758e-01 -1.650514106927403e-03  1.656143243953048e-08 
 1.377821211315721e-06  1.691403870729592e-05  1.506099188522589e-05  3.810278957159226e-02  2.515199916215489e-02  8.607079938303683e-09  6.225797394921012e-01 -1.650518357676489e-03  1.721415987660737e-08 
 1.382821211315721e-06  1.709608210217817e-05  1.524613923484720e-05  3.870327024096403e-02  2.563285512877151e-02  8.946440415903074e-09  6.308297371029197e-01 -1.650523136039528e-03  1.789288083180615e-08 
 1.387821211315721e-06  1.727772194255121e-05  1.543097170083536e-05  3.932068131361729e-02  2.613691441996357e-02  9.295039347142832e-09  6.390797344591542e-01 -1.650528423570163e-03  1.859007869428566e-08 
 1.392821211315721e-06  1.745889344954637e-05  1.561547695575110e-05  3.995714331212291e-02  2.666619248398233e-02  9.659874538023143e-09  6.473297315543655e-01 -1.650534233147649e-03  1.931974907604629e-08 
