 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 0.000000000000000e+00  8.155401867390540e-08  8.155401867390540e-08  3.829572301337421e-06  3.955393791490663e-06  1.199999972143466e+00  3.299999997139606e+00 -5.720788287533196e-09 -5.571306882501403e-08 
 6.640000000000002e-07  8.155401868363272e-08  8.155401867873681e-08  3.829572301300731e-06  3.955393791442721e-06  1.199999972143468e+00  3.299999997139589e+00 -5.720822038313145e-09 -5.571306438412194e-08 
 7.140000000000003e-07  8.155401865053745e-08  8.155401866834852e-08  3.829572301170182e-06  3.955393791589240e-06  1.199999972143468e+00  3.299999997139590e+00 -5.720820261956305e-09 -5.571306438412194e-08 
 7.640000000000003e-07  8.155401866745101e-08  8.155401866591186e-08  3.829572301274920e-06  3.955393791570823e-06  1.199999972143468e+00  3.299999997139590e+00 -5.720821150134725e-09 -5.571306438412194e-08 
 8.140000000000004e-07  8.155401867200466e-08  8.155401866786165e-08  3.829572301266238e-06  3.955393791530982e-06  1.199999972143468e+00  3.299999997139591e+00 -5.720819373777886e-09 -5.571306438412194e-08 
 8.640000000000004e-07  8.155401867571805e-08  8.155401867139416e-08  3.829572301247430e-06  3.955393791664210e-06  1.199999972143468e+00  3.299999997139589e+00 -5.720822038313145e-09 -5.571306438412194e-08 
 9.140000000000005e-07  8.155401864153857e-08  8.155401866015844e-08  3.829572301243572e-06  3.955393791475968e-06  1.199999972143468e+00  3.299999997139589e+00 -5.720822926491564e-09 -5.571306438412194e-08 
 9.640000000000004e-07  8.155401865847923e-08  8.155401865723961e-08  3.829572301227156e-06  3.955393791464127e-06  1.199999972143468e+00  3.299999997139590e+00 -5.720821150134725e-09 -5.571306438412194e-08 
 1.014000000000000e-06  8.155401862440818e-08  8.155401864352328e-08  3.829572301214865e-06  3.955393791440454e-06  1.199999972143468e+00  3.299999997139590e+00 -5.720820261956305e-09 -5.571306438412194e-08 
 1.064000000000000e-06  8.155401864115910e-08  8.155401863983434e-08  3.829572301316014e-06  3.955393791407349e-06  1.199999972143468e+00  3.299999997139590e+00 -5.720821150134725e-09 -5.571306438412194e-08 
 1.114000000000000e-06  8.155401864633617e-08  8.155401864169729e-08  3.829572301306849e-06  3.955393791549735e-06  1.199999972143468e+00  3.299999997139591e+00 -5.720818485599466e-09 -5.571306438412194e-08 
 1.164000000000000e-06  8.155401864964299e-08  8.155401864524816e-08  3.829572301174040e-06  3.955393791518862e-06  1.199999972143468e+00  3.299999997139592e+00 -5.720816709242627e-09 -5.571306438412194e-08 
 1.214000000000000e-06  8.155401865351901e-08  8.155401864926667e-08  3.829572301279257e-06  3.955393791513939e-06  1.199999972143468e+00  3.299999997139591e+00 -5.720819373777886e-09 -5.571306438412194e-08 
 1.264000000000000e-06  8.155401865820818e-08  8.155401865364699e-08  3.829572301266903e-06  3.955393791490446e-06  1.199999972143468e+00  3.299999997139590e+00 -5.720820261956305e-09 -5.571306482821115e-08 
 1.314000000000000e-06  8.155401866249078e-08  8.155401865806057e-08  3.829572301254104e-06  3.955393791459109e-06  1.199999972143468e+00  3.299999997139590e+00 -5.720820261956305e-09 -5.571306394003273e-08 
 1.364000000000000e-06  8.155401862809447e-08  8.155401864695685e-08  3.829572301236597e-06  3.955393791569911e-06  1.199999972143468e+00  3.299999997139592e+00 -5.720815821064207e-09 -5.571306482821115e-08 
 1.414000000000000e-06  8.155401864473697e-08  8.155401864384816e-08  3.829572301226025e-06  3.955393791553309e-06  1.199999972143468e+00  3.299999997139592e+00 -5.720816709242627e-09 -5.571306438412194e-08 
 1.464000000000000e-06  8.155401864948036e-08  8.155401864547930e-08  3.829572301207015e-06  3.955393791522742e-06  1.199999972143468e+00  3.299999997139592e+00 -5.720815821064207e-09 -5.571306394003273e-08 
 1.514000000000000e-06  8.155401865365453e-08  8.155401864907563e-08  3.829572301317382e-06  3.955393791632676e-06  1.199999972143468e+00  3.299999997139593e+00 -5.720814932885787e-09 -5.571306394003273e-08 
 1.564000000000000e-06  8.155401865850634e-08  8.155401865356718e-08  3.829572301296683e-06  3.955393791617508e-06  1.199999972143468e+00  3.299999997139593e+00 -5.720814044707367e-09 -5.571306394003273e-08 
 1.614000000000000e-06  8.155401866300578e-08  8.155401865824093e-08  3.829572301284369e-06  3.955393791425221e-06  1.199999972143468e+00  3.299999997139594e+00 -5.720813156528948e-09 -5.571306394003273e-08 
 1.664000000000000e-06  8.155401866696312e-08  8.155401866266456e-08  3.829572301265123e-06  3.955393791558334e-06  1.199999972143468e+00  3.299999997139595e+00 -5.720811380172108e-09 -5.571306438412194e-08 
 1.714000000000000e-06  8.155401867073072e-08  8.155401866677575e-08  3.829572301255358e-06  3.955393791529636e-06  1.199999972143468e+00  3.299999997139594e+00 -5.720812268350528e-09 -5.571306438412194e-08 
 1.764000000000000e-06  8.155401867590778e-08  8.155401867125080e-08  3.829572301242931e-06  3.955393791501542e-06  1.199999972143468e+00  3.299999997139596e+00 -5.720808715636849e-09 -5.571306438412194e-08 
 1.813999999999999e-06  8.155401867986512e-08  8.155401867559154e-08  3.829572301350435e-06  3.955393791499519e-06  1.199999972143468e+00  3.299999997139595e+00 -5.720809603815269e-09 -5.571306438412194e-08 
 1.863999999999999e-06  8.155401868441877e-08  8.155401867999056e-08  3.829572301338770e-06  3.955393791603623e-06  1.199999972143468e+00  3.299999997139597e+00 -5.720806051101590e-09 -5.571306438412194e-08 
 1.913999999999999e-06  8.155401864994114e-08  8.155401866885062e-08  3.829572301206991e-06  3.955393791590413e-06  1.199999972143468e+00  3.299999997139597e+00 -5.720806939280010e-09 -5.571306438412194e-08 
 1.963999999999999e-06  8.155401866669207e-08  8.155401866575922e-08  3.829572301194466e-06  3.955393791555071e-06  1.199999972143468e+00  3.299999997139597e+00 -5.720806939280010e-09 -5.571306438412194e-08 
 2.013999999999999e-06  8.155401863403047e-08  8.155401865244944e-08  3.829572301302788e-06  3.955393791555918e-06  1.199999972143468e+00  3.299999997139597e+00 -5.720806939280010e-09 -5.571306438412194e-08 
 2.063999999999999e-06  8.155401864948036e-08  8.155401864859985e-08  3.829572301287827e-06  3.955393791498161e-06  1.199999972143468e+00  3.299999997139596e+00 -5.720807827458430e-09 -5.571306438412194e-08 
