 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 4.607499999999951e-07 -4.476158837739904e-12 -4.473425506948901e-12  6.098245156592812e-01  8.209329553546074e-01  1.199836861221967e+00  3.109154903130332e-10  6.218309806260665e-10 -3.262775560659570e-04 
 4.612499999999951e-07 -4.476173207315462e-12 -4.473452773361084e-12  6.098247861487182e-01  8.209368300041785e-01  1.199836861450167e+00  3.107344265202608e-10  6.214688530405215e-10 -3.262770996665942e-04 
 4.617499999999950e-07 -4.476232791819461e-12 -4.473480212692657e-12  6.098250567165350e-01  8.209407028249476e-01  1.199836861678257e+00  3.105536135066801e-10  6.211072270133602e-10 -3.262766434861675e-04 
 4.622499999999950e-07 -4.476220543107674e-12 -4.473507446447581e-12  6.098253273605412e-01  8.209445738322870e-01  1.199836861906236e+00  3.103730610482161e-10  6.207461220964322e-10 -3.262761875286735e-04 
 4.627499999999950e-07 -4.476257827169936e-12 -4.473534678689095e-12  6.098255980820579e-01  8.209484430267979e-01  1.199836862134104e+00  3.101927622392739e-10  6.203855244785478e-10 -3.262757317923359e-04 
 4.632499999999950e-07 -4.476298233124784e-12 -4.473561997672615e-12  6.098258688812372e-01  8.209523104202044e-01  1.199836862361865e+00  3.100127139453022e-10  6.200254278906043e-10 -3.262752762700494e-04 
 4.637499999999950e-07 -4.476302326347635e-12 -4.473589191565667e-12  6.098261397565918e-01  8.209561760024756e-01  1.199836862589517e+00  3.098329204099889e-10  6.196658408199778e-10 -3.262748209671429e-04 
 4.642499999999950e-07 -4.476342235068749e-12 -4.473616428242195e-12  6.098264107094997e-01  8.209600397650382e-01  1.199836862817058e+00  3.096533777142715e-10  6.193067554285430e-10 -3.262743658849487e-04 
 4.647499999999949e-07 -4.476365674375353e-12 -4.473643653937291e-12  6.098266817398027e-01  8.209639017128617e-01  1.199836863044490e+00  3.094740862214741e-10  6.189481724429482e-10 -3.262739110199142e-04 
 4.652499999999949e-07 -4.476421979092686e-12 -4.473671068572457e-12  6.098269528487832e-01  8.209677618494061e-01  1.199836863271813e+00  3.092950422350920e-10  6.185900844701841e-10 -3.262734563747038e-04 
 4.657499999999949e-07 -4.476419643305270e-12 -4.473698348747895e-12  6.098272240336747e-01  8.209716201752267e-01  1.199836863499027e+00  3.091162598306424e-10  6.182325196612847e-10 -3.262730019470972e-04 
 4.662499999999949e-07 -4.476458023914726e-12 -4.473725657913053e-12  6.098274952965391e-01  8.209754767034795e-01  1.199836863726129e+00  3.089377284887170e-10  6.178754569774340e-10 -3.262725477415351e-04 
 4.667499999999949e-07 -4.476475062801615e-12 -4.473752908662366e-12  6.098277666361746e-01  8.209793314196825e-01  1.199836863953126e+00  3.087594442084088e-10  6.175188884168176e-10 -3.262720937473595e-04 
 4.672499999999949e-07 -4.476495561009717e-12 -4.473780095349871e-12  6.098280380519793e-01  8.209831843383960e-01  1.199836864180012e+00  3.085814214446526e-10  6.171628428893053e-10 -3.262716399770049e-04 
 4.677499999999949e-07 -4.476537465416508e-12 -4.473807358293194e-12  6.098283095458660e-01  8.209870354547986e-01  1.199836864406790e+00  3.084036401039741e-10  6.168072802079482e-10 -3.262711864207013e-04 
 4.682499999999948e-07 -4.476571418864533e-12 -4.473834690794767e-12  6.098285811174482e-01  8.209908847722510e-01  1.199836864633459e+00  3.082261030131868e-10  6.164522060263736e-10 -3.262707330828896e-04 
 4.687499999999948e-07 -4.476584587504821e-12 -4.473861952528467e-12  6.098288527654457e-01  8.209947322936402e-01  1.199836864860019e+00  3.080488180692849e-10  6.160976361385697e-10 -3.262702799617934e-04 
 4.692499999999948e-07 -4.476608271121184e-12 -4.473889167132954e-12  6.098291244905573e-01  8.209985780136401e-01  1.199836865086470e+00  3.078717819463934e-10  6.157435638927867e-10 -3.262698270609654e-04 
 4.697499999999948e-07 -4.476643762262367e-12 -4.473916420943243e-12  6.098293962927486e-01  8.210024219479112e-01  1.199836865312812e+00  3.076949964053350e-10  6.153899928106700e-10 -3.262693743772971e-04 
 4.702499999999948e-07 -4.476655649584607e-12 -4.473943585970765e-12  6.098296681715543e-01  8.210062640852597e-01  1.199836865539047e+00  3.075184600929217e-10  6.150369201858434e-10 -3.262689219072357e-04 
 4.707499999999948e-07 -4.476686221813441e-12 -4.473970744164268e-12  6.098299401270668e-01  8.210101044324201e-01  1.199836865765173e+00  3.073421714468012e-10  6.146843428936024e-10 -3.262684696543339e-04 
 4.712499999999947e-07 -4.476722404220280e-12 -4.473997959857852e-12  6.098302121602984e-01  8.210139429935547e-01  1.199836865991192e+00  3.071661210513552e-10  6.143322421027104e-10 -3.262680176154831e-04 
 4.717499999999947e-07 -4.476743101757619e-12 -4.474025151424599e-12  6.098304842698298e-01  8.210177797634878e-01  1.199836866217105e+00  3.069903239733412e-10  6.139806479466823e-10 -3.262675657911274e-04 
 4.722499999999947e-07 -4.476763889162898e-12 -4.474052292590663e-12  6.098307564563512e-01  8.210216147498444e-01  1.199836866442910e+00  3.068147724233382e-10  6.136295448466763e-10 -3.262671141803786e-04 
 4.727499999999947e-07 -4.476817171658328e-12 -4.474079590189146e-12  6.098310287202551e-01  8.210254479457697e-01  1.199836866668607e+00  3.066394620429382e-10  6.132789240858763e-10 -3.262666627854571e-04 
 4.732499999999947e-07 -4.476815319752143e-12 -4.474106746543366e-12  6.098313010608138e-01  8.210292793625074e-01  1.199836866894196e+00  3.064644012333846e-10  6.129288024667691e-10 -3.262662116085835e-04 
 4.737499999999947e-07 -4.476842896641455e-12 -4.474133858912962e-12  6.098315734775973e-01  8.210331090101242e-01  1.199836867119676e+00  3.062895876811127e-10  6.125791753622254e-10 -3.262657606488695e-04 
 4.742499999999947e-07 -4.476847669139992e-12 -4.474160808771948e-12  6.098318459702412e-01  8.210369368772027e-01  1.199836867345048e+00  3.061150185703733e-10  6.122300371407466e-10 -3.262653099036505e-04 
 4.747499999999946e-07 -4.476892164562939e-12 -4.474187821015261e-12  6.098321185400599e-01  8.210407629592807e-01  1.199836867570315e+00  3.059406905833913e-10  6.118813811667826e-10 -3.262648593711504e-04 
 4.752499999999946e-07 -4.476914718341777e-12 -4.474214824389382e-12  6.098323911856375e-01  8.210445872538864e-01  1.199836867795476e+00  3.057666055372641e-10  6.115332110745282e-10 -3.262644090487044e-04 
 4.757499999999946e-07 -4.476934418970599e-12 -4.474241776464131e-12  6.098326639079192e-01  8.210484097774892e-01  1.199836868020527e+00  3.055927634567674e-10  6.111855269135348e-10 -3.262639589465266e-04 
 4.762499999999946e-07 -4.477011001411957e-12 -4.474269040230259e-12  6.098329367087519e-01  8.210522305388045e-01  1.199836868245471e+00  3.054191474417410e-10  6.108382948834820e-10 -3.262635090583998e-04 
 4.767499999999946e-07 -4.477015791045528e-12 -4.474296258370137e-12  6.098332095861316e-01  8.210560495250401e-01  1.199836868470311e+00  3.052457772326583e-10  6.104915544653167e-10 -3.262630593785509e-04 
 4.772499999999946e-07 -4.477048128273673e-12 -4.474323495303231e-12  6.098334825402907e-01  8.210598667383507e-01  1.199836868695042e+00  3.050726553861296e-10  6.101453107722591e-10 -3.262626099158616e-04 
 4.777499999999946e-07 -4.477061089887014e-12 -4.474350643920705e-12  6.098337555709020e-01  8.210636821994074e-01  1.199836868919668e+00  3.048997767931166e-10  6.097995535862332e-10 -3.262621606645588e-04 
