Index   time            v(clk_p)        vin_diff        vcml_diff       
--------------------------------------------------------------------------------
142	1.264219e-10	1.000000e+00	6.097888e-02	6.605285e-01	
143	1.274219e-10	1.000000e+00	6.128932e-02	6.573523e-01	
144	1.284219e-10	1.000000e+00	6.159599e-02	6.541782e-01	
145	1.294219e-10	1.000000e+00	6.189885e-02	6.510356e-01	
146	1.304219e-10	1.000000e+00	6.219790e-02	6.479158e-01	
147	1.314219e-10	1.000000e+00	6.249311e-02	6.448542e-01	
148	1.324219e-10	1.000000e+00	6.278447e-02	6.418343e-01	
149	1.334219e-10	1.000000e+00	6.307195e-02	6.388932e-01	
150	1.344219e-10	1.000000e+00	6.335554e-02	6.360128e-01	
151	1.354219e-10	1.000000e+00	6.363523e-02	6.332283e-01	
152	1.364219e-10	1.000000e+00	6.391099e-02	6.305216e-01	
153	1.374219e-10	1.000000e+00	6.418280e-02	6.279260e-01	
154	1.384219e-10	1.000000e+00	6.445066e-02	6.254251e-01	
155	1.394219e-10	1.000000e+00	6.471454e-02	6.230478e-01	
156	1.404219e-10	1.000000e+00	6.497443e-02	6.207796e-01	
157	1.414219e-10	1.000000e+00	6.523031e-02	6.186440e-01	
158	1.424219e-10	1.000000e+00	6.548217e-02	6.166275e-01	
159	1.434219e-10	1.000000e+00	6.572999e-02	6.147478e-01	
160	1.444219e-10	1.000000e+00	6.597375e-02	6.129918e-01	
161	1.454219e-10	1.000000e+00	6.621345e-02	6.113714e-01	
162	1.464219e-10	1.000000e+00	6.644906e-02	6.098733e-01	
163	1.474219e-10	1.000000e+00	6.668057e-02	6.085039e-01	
164	1.484219e-10	1.000000e+00	6.690797e-02	6.072511e-01	
165	1.494219e-10	1.000000e+00	6.713124e-02	6.061172e-01	
166	1.504219e-10	1.000000e+00	6.735037e-02	6.050882e-01	
167	1.514219e-10	1.000000e+00	6.756535e-02	6.041627e-01	
168	1.524219e-10	1.000000e+00	6.777616e-02	6.033287e-01	
169	1.534219e-10	1.000000e+00	6.798278e-02	6.025831e-01	
170	1.544219e-10	1.000000e+00	6.818522e-02	6.019151e-01	

Index   time            v(clk_p)        vin_diff        vcml_diff       
--------------------------------------------------------------------------------
171	1.554219e-10	1.000000e+00	6.838345e-02	6.013200e-01	
172	1.564219e-10	1.000000e+00	6.857745e-02	6.007885e-01	
173	1.574219e-10	1.000000e+00	6.876723e-02	6.003169e-01	
174	1.584219e-10	1.000000e+00	6.895277e-02	5.998977e-01	
175	1.594219e-10	1.000000e+00	6.913406e-02	5.995267e-01	
176	1.604219e-10	1.000000e+00	6.931108e-02	5.991986e-01	
177	1.614219e-10	1.000000e+00	6.948382e-02	5.989086e-01	
178	1.624219e-10	1.000000e+00	6.965228e-02	5.986522e-01	
179	1.634219e-10	1.000000e+00	6.981644e-02	5.984254e-01	
180	1.644219e-10	1.000000e+00	6.997630e-02	5.982253e-01	
181	1.654219e-10	1.000000e+00	7.013183e-02	5.980483e-01	
182	1.664219e-10	1.000000e+00	7.028305e-02	5.978920e-01	
183	1.674219e-10	1.000000e+00	7.042992e-02	5.977530e-01	
184	1.684219e-10	1.000000e+00	7.057246e-02	5.976301e-01	
185	1.694219e-10	1.000000e+00	7.071064e-02	5.975205e-01	
186	1.704219e-10	1.000000e+00	7.084445e-02	5.974235e-01	
187	1.714219e-10	1.000000e+00	7.097390e-02	5.973365e-01	
188	1.724219e-10	1.000000e+00	7.109897e-02	5.972594e-01	
189	1.734219e-10	1.000000e+00	7.121965e-02	5.971898e-01	
190	1.744219e-10	1.000000e+00	7.133595e-02	5.971278e-01	
191	1.754219e-10	1.000000e+00	7.144784e-02	5.970714e-01	
192	1.764219e-10	1.000000e+00	7.155532e-02	5.970211e-01	
193	1.774219e-10	1.000000e+00	7.165839e-02	5.969751e-01	
194	1.784219e-10	1.000000e+00	7.175704e-02	5.969339e-01	
195	1.794219e-10	1.000000e+00	7.185126e-02	5.968960e-01	
196	1.804219e-10	1.000000e+00	7.194105e-02	5.968619e-01	
197	1.814219e-10	1.000000e+00	7.202640e-02	5.968302e-01	
198	1.824219e-10	1.000000e+00	7.210731e-02	5.968016e-01	
199	1.834219e-10	1.000000e+00	7.218378e-02	5.967747e-01	
200	1.844219e-10	1.000000e+00	7.225579e-02	5.967504e-01	
201	1.854219e-10	1.000000e+00	7.232334e-02	5.967274e-01	
202	1.864219e-10	1.000000e+00	7.238643e-02	5.967065e-01	
203	1.874219e-10	1.000000e+00	7.244506e-02	5.966864e-01	
204	1.884219e-10	1.000000e+00	7.249921e-02	5.966684e-01	
205	1.894219e-10	1.000000e+00	7.254890e-02	5.966511e-01	
206	1.904219e-10	1.000000e+00	7.259411e-02	5.966353e-01	
207	1.914219e-10	1.000000e+00	7.263484e-02	5.966199e-01	
208	1.924219e-10	1.000000e+00	7.267109e-02	5.966059e-01	
209	1.934219e-10	1.000000e+00	7.270286e-02	5.965923e-01	
210	1.944219e-10	1.000000e+00	7.273015e-02	5.965798e-01	
211	1.954219e-10	1.000000e+00	7.275294e-02	5.965675e-01	
212	1.964219e-10	1.000000e+00	7.277126e-02	5.965563e-01	
213	1.974219e-10	1.000000e+00	7.278508e-02	5.965453e-01	
214	1.984219e-10	1.000000e+00	7.279441e-02	5.965351e-01	
215	1.992109e-10	1.000000e+00	7.279860e-02	5.965236e-01	
216	2.000000e-10	1.000000e+00	7.280000e-02	5.965090e-01	
217	2.001000e-10	1.005000e+00	7.279998e-02	5.964935e-01	
218	2.003000e-10	1.015000e+00	7.279980e-02	5.964666e-01	
219	2.007000e-10	1.035000e+00	7.279890e-02	5.964643e-01	
220	2.015000e-10	1.075000e+00	7.279495e-02	5.964662e-01	
221	2.025000e-10	1.125000e+00	7.278597e-02	5.953918e-01	
222	2.035000e-10	1.175000e+00	7.277250e-02	5.919719e-01	
223	2.045000e-10	1.225000e+00	7.275454e-02	5.862218e-01	
224	2.055000e-10	1.275000e+00	7.273209e-02	5.769369e-01	
225	2.065000e-10	1.325000e+00	7.270516e-02	5.574976e-01	
226	2.075000e-10	1.375000e+00	7.267374e-02	5.304124e-01	
227	2.085000e-10	1.425000e+00	7.263783e-02	5.021901e-01	
228	2.092500e-10	1.462500e+00	7.260797e-02	4.783195e-01	

Index   time            v(clk_p)        vin_diff        vcml_diff       
--------------------------------------------------------------------------------
229	2.100000e-10	1.500000e+00	7.257558e-02	4.519935e-01	
230	2.101000e-10	1.500000e+00	7.257107e-02	4.483997e-01	
231	2.103000e-10	1.500000e+00	7.256192e-02	4.412176e-01	
232	2.107000e-10	1.500000e+00	7.254308e-02	4.270537e-01	
233	2.115000e-10	1.500000e+00	7.250326e-02	4.006231e-01	
234	2.125000e-10	1.500000e+00	7.244945e-02	3.722898e-01	
235	2.135000e-10	1.500000e+00	7.239117e-02	3.491764e-01	
236	2.145000e-10	1.500000e+00	7.232843e-02	3.305089e-01	
237	2.155000e-10	1.500000e+00	7.226122e-02	3.155314e-01	
238	2.165000e-10	1.500000e+00	7.218956e-02	3.035747e-01	
239	2.175000e-10	1.500000e+00	7.211345e-02	2.940765e-01	
240	2.185000e-10	1.500000e+00	7.203289e-02	2.865660e-01	
