[2026-09-23 06:06:31,327] [INFO]    LVSDB input file passed, bypassing LVS
[2026-09-23 06:06:31,345] [INFO]    (46, 0) -> (pwell pwell_sub)
[2026-09-23 06:06:31,347] [INFO]    (8, 0) -> (metal1_con)
[2026-09-23 06:06:31,348] [INFO]    (10, 0) -> (metal2_con)
[2026-09-23 06:06:31,350] [INFO]    (30, 0) -> (metal3_con)
[2026-09-23 06:06:31,351] [INFO]    (50, 0) -> (metal4_con)
[2026-09-23 06:06:31,353] [INFO]    (134, 0) -> (topmetal2_con)
[2026-09-23 06:06:31,837] [SUBPROCESS]    Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
[2026-09-23 06:06:31,906] [SUBPROCESS]    C70;CTX_L30_2;FILL_L10_8;0.225;
[2026-09-23 06:06:31,907] [SUBPROCESS]    C71;CTX_L30_2;FILL_L10_9;0.198;
[2026-09-23 06:06:31,908] [SUBPROCESS]    C72;CTX_L30_2;FILL_L50_0;0.089;
[2026-09-23 06:06:31,909] [SUBPROCESS]    C73;CTX_L30_2;FILL_L50_1;0.089;
[2026-09-23 06:06:31,910] [SUBPROCESS]    C74;CTX_L30_2;FILL_L50_2;0.089;
[2026-09-23 06:06:31,911] [SUBPROCESS]    C75;CTX_L30_2;FILL_L50_3;0.004;
[2026-09-23 06:06:31,912] [SUBPROCESS]    C76;CTX_L30_2;FILL_L50_4;0.009;
[2026-09-23 06:06:31,913] [SUBPROCESS]    C77;CTX_L30_2;FILL_L50_5;0.009;
[2026-09-23 06:06:31,914] [SUBPROCESS]    C78;CTX_L30_2;FILL_L50_6;0.009;
[2026-09-23 06:06:31,915] [SUBPROCESS]    C79;CTX_L30_2;FILL_L50_7;0.0;
[2026-09-23 06:06:31,916] [SUBPROCESS]    C80;CTX_L30_2;FILL_L8_0;0.002;
[2026-09-23 06:06:31,917] [SUBPROCESS]    C81;CTX_L30_2;FILL_L8_1;0.003;
[2026-09-23 06:06:31,918] [SUBPROCESS]    C82;CTX_L30_2;FILL_L8_2;0.003;
[2026-09-23 06:06:31,919] [SUBPROCESS]    C83;CTX_L30_2;FILL_L8_3;0.003;
[2026-09-23 06:06:31,920] [SUBPROCESS]    C84;CTX_L30_2;FILL_L8_4;0.002;
[2026-09-23 06:06:31,921] [SUBPROCESS]    C85;CTX_L30_2;VSUBS;0.225;
[2026-09-23 06:06:31,922] [SUBPROCESS]    C86;CTX_L30_3;CTX_L8_0;0.001;
[2026-09-23 06:06:31,923] [SUBPROCESS]    C87;CTX_L30_3;CTX_L8_1;0.001;
[2026-09-23 06:06:31,924] [SUBPROCESS]    C88;CTX_L30_3;FILL_L10_5;0.017;
[2026-09-23 06:06:31,925] [SUBPROCESS]    C89;CTX_L30_3;FILL_L10_6;0.126;
[2026-09-23 06:06:31,926] [SUBPROCESS]    C90;CTX_L30_3;FILL_L10_7;0.126;
[2026-09-23 06:06:31,927] [SUBPROCESS]    C91;CTX_L30_3;FILL_L10_8;0.126;
[2026-09-23 06:06:31,928] [SUBPROCESS]    C92;CTX_L30_3;FILL_L10_9;0.109;
[2026-09-23 06:06:31,929] [SUBPROCESS]    C93;CTX_L30_3;FILL_L50_0;0.011;
[2026-09-23 06:06:31,930] [SUBPROCESS]    C94;CTX_L30_3;FILL_L50_1;0.011;
[2026-09-23 06:06:31,931] [SUBPROCESS]    C95;CTX_L30_3;FILL_L50_2;0.011;
[2026-09-23 06:06:31,933] [SUBPROCESS]    C96;CTX_L30_3;FILL_L50_3;0.0;
[2026-09-23 06:06:31,934] [SUBPROCESS]    C97;CTX_L30_3;FILL_L50_4;0.015;
[2026-09-23 06:06:31,935] [SUBPROCESS]    C98;CTX_L30_3;FILL_L50_5;0.015;
[2026-09-23 06:06:31,936] [SUBPROCESS]    C99;CTX_L30_3;FILL_L50_6;0.015;
[2026-09-23 06:06:31,937] [SUBPROCESS]    C100;CTX_L30_3;FILL_L50_7;0.001;
[2026-09-23 06:06:31,938] [SUBPROCESS]    C101;CTX_L30_3;FILL_L8_0;0.002;
[2026-09-23 06:06:31,939] [SUBPROCESS]    C102;CTX_L30_3;FILL_L8_1;0.003;
[2026-09-23 06:06:31,940] [SUBPROCESS]    C103;CTX_L30_3;FILL_L8_2;0.003;
[2026-09-23 06:06:31,941] [SUBPROCESS]    C104;CTX_L30_3;FILL_L8_3;0.003;
[2026-09-23 06:06:31,942] [SUBPROCESS]    C105;CTX_L30_3;FILL_L8_4;0.002;
[2026-09-23 06:06:31,943] [SUBPROCESS]    C106;CTX_L30_3;P;4.306;
[2026-09-23 06:06:31,944] [SUBPROCESS]    C107;CTX_L30_3;VSUBS;0.045;
[2026-09-23 06:06:31,945] [SUBPROCESS]    C108;CTX_L30_6;CTX_L8_1;0.059;
[2026-09-23 06:06:31,946] [SUBPROCESS]    C109;CTX_L30_6;FILL_L10_10;0.006;
[2026-09-23 06:06:31,947] [SUBPROCESS]    C110;CTX_L30_6;FILL_L10_11;0.006;
[2026-09-23 06:06:31,948] [SUBPROCESS]    C111;CTX_L30_6;FILL_L10_12;0.047;
[2026-09-23 06:06:31,949] [SUBPROCESS]    C112;CTX_L30_6;FILL_L10_13;0.332;
[2026-09-23 06:06:31,951] [SUBPROCESS]    C113;CTX_L30_6;FILL_L10_14;0.327;
[2026-09-23 06:06:31,952] [SUBPROCESS]    C114;CTX_L30_6;FILL_L10_15;0.284;
[2026-09-23 06:06:31,953] [SUBPROCESS]    C115;CTX_L30_6;FILL_L10_5;0.0;
[2026-09-23 06:06:31,954] [SUBPROCESS]    C116;CTX_L30_6;FILL_L10_6;0.003;
[2026-09-23 06:06:31,955] [SUBPROCESS]    C117;CTX_L30_6;FILL_L10_7;0.002;
[2026-09-23 06:06:31,956] [SUBPROCESS]    C118;CTX_L30_6;FILL_L10_8;0.002;
[2026-09-23 06:06:31,957] [SUBPROCESS]    C119;CTX_L30_6;FILL_L10_9;0.002;
[2026-09-23 06:06:31,958] [SUBPROCESS]    C120;CTX_L30_6;FILL_L50_4;0.084;
[2026-09-23 06:06:31,959] [SUBPROCESS]    C121;CTX_L30_6;FILL_L50_5;0.084;
[2026-09-23 06:06:31,960] [SUBPROCESS]    C122;CTX_L30_6;FILL_L50_6;0.084;
[2026-09-23 06:06:31,961] [SUBPROCESS]    C123;CTX_L30_6;FILL_L50_7;0.003;
[2026-09-23 06:06:31,962] [SUBPROCESS]    C124;CTX_L30_6;FILL_L8_1;0.001;
[2026-09-23 06:06:31,963] [SUBPROCESS]    C125;CTX_L30_6;FILL_L8_10;0.001;
[2026-09-23 06:06:31,964] [SUBPROCESS]    C126;CTX_L30_6;FILL_L8_11;0.001;
[2026-09-23 06:06:31,966] [SUBPROCESS]    C127;CTX_L30_6;FILL_L8_12;0.001;
[2026-09-23 06:06:31,967] [SUBPROCESS]    C128;CTX_L30_6;FILL_L8_13;0.0;
[2026-09-23 06:06:31,968] [SUBPROCESS]    C129;CTX_L30_6;FILL_L8_2;0.0;
[2026-09-23 06:06:31,969] [SUBPROCESS]    C130;CTX_L30_6;FILL_L8_3;0.0;
[2026-09-23 06:06:31,970] [SUBPROCESS]    C131;CTX_L30_6;FILL_L8_4;0.0;
[2026-09-23 06:06:31,971] [SUBPROCESS]    C132;CTX_L30_6;FILL_L8_5;0.0;
[2026-09-23 06:06:31,972] [SUBPROCESS]    C133;CTX_L30_6;FILL_L8_6;0.002;
[2026-09-23 06:06:31,973] [SUBPROCESS]    C134;CTX_L30_6;FILL_L8_7;0.002;
[2026-09-23 06:06:31,974] [SUBPROCESS]    C135;CTX_L30_6;FILL_L8_8;0.001;
[2026-09-23 06:06:31,975] [SUBPROCESS]    C136;CTX_L30_6;FILL_L8_9;0.001;
[2026-09-23 06:06:31,976] [SUBPROCESS]    C137;CTX_L30_6;N;0.153;
[2026-09-23 06:06:31,977] [SUBPROCESS]    C138;CTX_L30_6;VSUBS;1.066;
[2026-09-23 06:06:31,978] [SUBPROCESS]    C139;CTX_L8_0;FILL_L10_0;0.026;
[2026-09-23 06:06:31,979] [SUBPROCESS]    C140;CTX_L8_0;FILL_L10_1;0.183;
[2026-09-23 06:06:31,981] [SUBPROCESS]    C141;CTX_L8_0;FILL_L10_2;0.183;
[2026-09-23 06:06:31,982] [SUBPROCESS]    C142;CTX_L8_0;FILL_L10_3;0.183;
[2026-09-23 06:06:31,983] [SUBPROCESS]    C143;CTX_L8_0;FILL_L10_4;0.158;
[2026-09-23 06:06:31,984] [SUBPROCESS]    C144;CTX_L8_0;FILL_L50_0;0.013;
[2026-09-23 06:06:31,985] [SUBPROCESS]    C145;CTX_L8_0;FILL_L50_1;0.016;
[2026-09-23 06:06:31,986] [SUBPROCESS]    C146;CTX_L8_0;FILL_L50_2;0.016;
[2026-09-23 06:06:31,987] [SUBPROCESS]    C147;CTX_L8_0;FILL_L50_3;0.0;
[2026-09-23 06:06:31,988] [SUBPROCESS]    C148;CTX_L8_0;FILL_L50_4;0.001;
[2026-09-23 06:06:31,990] [SUBPROCESS]    C149;CTX_L8_0;FILL_L50_5;0.002;
[2026-09-23 06:06:31,991] [SUBPROCESS]    C150;CTX_L8_0;FILL_L50_6;0.002;
[2026-09-23 06:06:31,992] [SUBPROCESS]    C151;CTX_L8_0;FILL_L8_0;0.004;
[2026-09-23 06:06:31,993] [SUBPROCESS]    C152;CTX_L8_0;FILL_L8_1;0.038;
[2026-09-23 06:06:31,994] [SUBPROCESS]    C153;CTX_L8_0;FILL_L8_2;0.038;
[2026-09-23 06:06:31,995] [SUBPROCESS]    C154;CTX_L8_0;FILL_L8_3;0.038;
[2026-09-23 06:06:31,996] [SUBPROCESS]    C155;CTX_L8_0;FILL_L8_4;0.034;
[2026-09-23 06:06:31,997] [SUBPROCESS]    C156;CTX_L8_0;N;0.001;
[2026-09-23 06:06:31,998] [SUBPROCESS]    C157;CTX_L8_0;P;0.001;
[2026-09-23 06:06:32,000] [SUBPROCESS]    C158;CTX_L8_0;VSUBS;1.664;
[2026-09-23 06:06:32,001] [SUBPROCESS]    C159;CTX_L8_1;FILL_L10_12;0.007;
[2026-09-23 06:06:32,002] [SUBPROCESS]    C160;CTX_L8_1;FILL_L10_13;0.078;
[2026-09-23 06:06:32,003] [SUBPROCESS]    C161;CTX_L8_1;FILL_L10_14;0.078;
[2026-09-23 06:06:32,004] [SUBPROCESS]    C162;CTX_L8_1;FILL_L10_15;0.071;
[2026-09-23 06:06:32,005] [SUBPROCESS]    C163;CTX_L8_1;FILL_L50_1;0.0;
[2026-09-23 06:06:32,006] [SUBPROCESS]    C164;CTX_L8_1;FILL_L50_2;0.0;
[2026-09-23 06:06:32,007] [SUBPROCESS]    C165;CTX_L8_1;FILL_L50_4;0.016;
[2026-09-23 06:06:32,008] [SUBPROCESS]    C166;CTX_L8_1;FILL_L50_5;0.012;
[2026-09-23 06:06:32,009] [SUBPROCESS]    C167;CTX_L8_1;FILL_L50_6;0.01;
[2026-09-23 06:06:32,010] [SUBPROCESS]    C168;CTX_L8_1;FILL_L8_1;0.008;
[2026-09-23 06:06:32,011] [SUBPROCESS]    C169;CTX_L8_1;FILL_L8_10;0.011;
[2026-09-23 06:06:32,012] [SUBPROCESS]    C170;CTX_L8_1;FILL_L8_11;0.011;
[2026-09-23 06:06:32,014] [SUBPROCESS]    C171;CTX_L8_1;FILL_L8_12;0.011;
[2026-09-23 06:06:32,015] [SUBPROCESS]    C172;CTX_L8_1;FILL_L8_13;0.007;
[2026-09-23 06:06:32,016] [SUBPROCESS]    C173;CTX_L8_1;FILL_L8_2;0.008;
[2026-09-23 06:06:32,017] [SUBPROCESS]    C174;CTX_L8_1;FILL_L8_3;0.008;
[2026-09-23 06:06:32,018] [SUBPROCESS]    C175;CTX_L8_1;FILL_L8_4;0.008;
[2026-09-23 06:06:32,019] [SUBPROCESS]    C176;CTX_L8_1;FILL_L8_5;0.004;
[2026-09-23 06:06:32,020] [SUBPROCESS]    C177;CTX_L8_1;FILL_L8_6;0.011;
[2026-09-23 06:06:32,021] [SUBPROCESS]    C178;CTX_L8_1;FILL_L8_7;0.011;
[2026-09-23 06:06:32,022] [SUBPROCESS]    C179;CTX_L8_1;FILL_L8_8;0.011;
[2026-09-23 06:06:32,023] [SUBPROCESS]    C180;CTX_L8_1;FILL_L8_9;0.011;
[2026-09-23 06:06:32,024] [SUBPROCESS]    C181;CTX_L8_1;N;0.001;
[2026-09-23 06:06:32,025] [SUBPROCESS]    C182;CTX_L8_1;P;0.001;
[2026-09-23 06:06:32,026] [SUBPROCESS]    C183;CTX_L8_1;VSUBS;1.506;
[2026-09-23 06:06:32,027] [SUBPROCESS]    C184;FILL_L10_0;FILL_L10_1;0.049;
[2026-09-23 06:06:32,028] [SUBPROCESS]    C185;FILL_L10_0;FILL_L10_5;0.009;
[2026-09-23 06:06:32,029] [SUBPROCESS]    C186;FILL_L10_0;FILL_L50_0;0.001;
[2026-09-23 06:06:32,031] [SUBPROCESS]    C187;FILL_L10_0;FILL_L8_0;0.001;
[2026-09-23 06:06:32,032] [SUBPROCESS]    C188;FILL_L10_0;VSUBS;0.109;
[2026-09-23 06:06:32,033] [SUBPROCESS]    C189;FILL_L10_1;FILL_L10_2;0.049;
[2026-09-23 06:06:32,034] [SUBPROCESS]    C190;FILL_L10_1;FILL_L10_6;0.098;
[2026-09-23 06:06:32,035] [SUBPROCESS]    C191;FILL_L10_1;FILL_L50_0;0.073;
[2026-09-23 06:06:32,036] [SUBPROCESS]    C192;FILL_L10_1;FILL_L8_1;0.014;
[2026-09-23 06:06:32,037] [SUBPROCESS]    C193;FILL_L10_1;VSUBS;0.309;
[2026-09-23 06:06:32,038] [SUBPROCESS]    C194;FILL_L10_10;FILL_L10_11;0.028;
[2026-09-23 06:06:32,039] [SUBPROCESS]    C195;FILL_L10_10;FILL_L10_12;0.028;
[2026-09-23 06:06:32,040] [SUBPROCESS]    C196;FILL_L10_10;FILL_L10_6;0.028;
[2026-09-23 06:06:32,041] [SUBPROCESS]    C197;FILL_L10_10;FILL_L50_4;0.051;
[2026-09-23 06:06:32,043] [SUBPROCESS]    C198;FILL_L10_10;FILL_L8_6;0.067;
[2026-09-23 06:06:32,044] [SUBPROCESS]    C199;FILL_L10_10;N;0.004;
[2026-09-23 06:06:32,045] [SUBPROCESS]    C200;FILL_L10_10;VSUBS;0.077;
[2026-09-23 06:06:32,046] [SUBPROCESS]    C201;FILL_L10_11;FILL_L10_13;0.028;
[2026-09-23 06:06:32,047] [SUBPROCESS]    C202;FILL_L10_11;FILL_L10_6;0.028;
[2026-09-23 06:06:32,048] [SUBPROCESS]    C203;FILL_L10_11;FILL_L50_4;0.055;
[2026-09-23 06:06:32,049] [SUBPROCESS]    C204;FILL_L10_11;FILL_L8_7;0.067;
[2026-09-23 06:06:32,050] [SUBPROCESS]    C205;FILL_L10_11;N;0.004;
[2026-09-23 06:06:32,051] [SUBPROCESS]    C206;FILL_L10_11;VSUBS;0.077;
[2026-09-23 06:06:32,052] [SUBPROCESS]    C207;FILL_L10_12;FILL_L10_13;0.016;
[2026-09-23 06:06:32,054] [SUBPROCESS]    C208;FILL_L10_12;FILL_L10_5;0.009;
[2026-09-23 06:06:32,055] [SUBPROCESS]    C209;FILL_L10_12;FILL_L50_4;0.016;
[2026-09-23 06:06:32,056] [SUBPROCESS]    C210;FILL_L10_12;FILL_L8_5;0.032;
[2026-09-23 06:06:32,057] [SUBPROCESS]    C211;FILL_L10_12;N;0.002;
[2026-09-23 06:06:32,058] [SUBPROCESS]    C212;FILL_L10_12;VSUBS;0.25;
[2026-09-23 06:06:32,059] [SUBPROCESS]    C213;FILL_L10_13;FILL_L10_14;0.098;
[2026-09-23 06:06:32,060] [SUBPROCESS]    C214;FILL_L10_13;FILL_L10_7;0.098;
[2026-09-23 06:06:32,061] [SUBPROCESS]    C215;FILL_L10_13;FILL_L50_4;0.033;
[2026-09-23 06:06:32,062] [SUBPROCESS]    C216;FILL_L10_13;FILL_L50_5;0.216;
[2026-09-23 06:06:32,064] [SUBPROCESS]    C217;FILL_L10_13;FILL_L8_2;0.01;
[2026-09-23 06:06:32,065] [SUBPROCESS]    C218;FILL_L10_13;FILL_L8_8;0.118;
[2026-09-23 06:06:32,066] [SUBPROCESS]    C219;FILL_L10_13;FILL_L8_9;0.118;
[2026-09-23 06:06:32,067] [SUBPROCESS]    C220;FILL_L10_13;N;0.025;
[2026-09-23 06:06:32,068] [SUBPROCESS]    C221;FILL_L10_13;VSUBS;0.502;
[2026-09-23 06:06:32,069] [SUBPROCESS]    C222;FILL_L10_14;FILL_L10_15;0.098;
[2026-09-23 06:06:32,070] [SUBPROCESS]    C223;FILL_L10_14;FILL_L10_8;0.098;
[2026-09-23 06:06:32,071] [SUBPROCESS]    C224;FILL_L10_14;FILL_L50_5;0.062;
[2026-09-23 06:06:32,072] [SUBPROCESS]    C225;FILL_L10_14;FILL_L50_6;0.165;
[2026-09-23 06:06:32,074] [SUBPROCESS]    C226;FILL_L10_14;FILL_L8_10;0.118;
[2026-09-23 06:06:32,075] [SUBPROCESS]    C227;FILL_L10_14;FILL_L8_11;0.118;
[2026-09-23 06:06:32,076] [SUBPROCESS]    C228;FILL_L10_14;FILL_L8_3;0.01;
[2026-09-23 06:06:32,077] [SUBPROCESS]    C229;FILL_L10_14;N;0.025;
[2026-09-23 06:06:32,078] [SUBPROCESS]    C230;FILL_L10_14;VSUBS;0.455;
[2026-09-23 06:06:32,079] [SUBPROCESS]    C231;FILL_L10_15;FILL_L10_9;0.088;
[2026-09-23 06:06:32,080] [SUBPROCESS]    C232;FILL_L10_15;FILL_L50_6;0.131;
[2026-09-23 06:06:32,081] [SUBPROCESS]    C233;FILL_L10_15;FILL_L50_7;0.052;
[2026-09-23 06:06:32,082] [SUBPROCESS]    C234;FILL_L10_15;FILL_L8_12;0.118;
[2026-09-23 06:06:32,083] [SUBPROCESS]    C235;FILL_L10_15;FILL_L8_13;0.085;
[2026-09-23 06:06:32,084] [SUBPROCESS]    C236;FILL_L10_15;FILL_L8_4;0.01;
[2026-09-23 06:06:32,085] [SUBPROCESS]    C237;FILL_L10_15;N;0.023;
[2026-09-23 06:06:32,086] [SUBPROCESS]    C238;FILL_L10_15;VSUBS;0.496;
[2026-09-23 06:06:32,087] [SUBPROCESS]    C239;FILL_L10_2;FILL_L10_3;0.049;
[2026-09-23 06:06:32,088] [SUBPROCESS]    C240;FILL_L10_2;FILL_L10_7;0.098;
[2026-09-23 06:06:32,090] [SUBPROCESS]    C241;FILL_L10_2;FILL_L50_0;0.006;
[2026-09-23 06:06:32,091] [SUBPROCESS]    C242;FILL_L10_2;FILL_L50_1;0.062;
[2026-09-23 06:06:32,092] [SUBPROCESS]    C243;FILL_L10_2;FILL_L8_2;0.014;
[2026-09-23 06:06:32,093] [SUBPROCESS]    C244;FILL_L10_2;VSUBS;0.309;
[2026-09-23 06:06:32,094] [SUBPROCESS]    C245;FILL_L10_3;FILL_L10_4;0.049;
[2026-09-23 06:06:32,095] [SUBPROCESS]    C246;FILL_L10_3;FILL_L10_8;0.098;
[2026-09-23 06:06:32,096] [SUBPROCESS]    C247;FILL_L10_3;FILL_L50_1;0.016;
[2026-09-23 06:06:32,097] [SUBPROCESS]    C248;FILL_L10_3;FILL_L50_2;0.046;
[2026-09-23 06:06:32,098] [SUBPROCESS]    C249;FILL_L10_3;FILL_L8_3;0.014;
[2026-09-23 06:06:32,100] [SUBPROCESS]    C250;FILL_L10_3;VSUBS;0.309;
[2026-09-23 06:06:32,101] [SUBPROCESS]    C251;FILL_L10_4;FILL_L10_9;0.088;
[2026-09-23 06:06:32,102] [SUBPROCESS]    C252;FILL_L10_4;FILL_L50_2;0.036;
[2026-09-23 06:06:32,103] [SUBPROCESS]    C253;FILL_L10_4;FILL_L50_3;0.014;
[2026-09-23 06:06:32,104] [SUBPROCESS]    C254;FILL_L10_4;FILL_L8_4;0.013;
