 time                   v(vref)                v(isense)              v(gate)                v(vdd)                 v(vdda)                v(osc_clk)             v(cmp_clk)            
 6.036126782943178e-07  1.039303229525319e+00  9.984368331310715e-01  1.245796640156970e-10  1.199999996394867e+00  3.299482051605267e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.058938704519937e-07  1.039303229518735e+00  9.984368328312255e-01  1.245796640099594e-10  1.199999996399559e+00  3.299482051605728e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.104562547673457e-07  1.039303229504945e+00  9.984368322927788e-01  1.245796639971216e-10  1.199999996408833e+00  3.299482051606714e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.154562547673457e-07  1.039303229488282e+00  9.984368317541671e-01  1.245796639843675e-10  1.199999996418812e+00  3.299482051607782e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.204562547673456e-07  1.039303229473122e+00  9.984368312788423e-01  1.245796639707867e-10  1.199999996428600e+00  3.299482051608881e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.254562547673456e-07  1.039303229459267e+00  9.984368308666446e-01  1.245796639585043e-10  1.199999996438217e+00  3.299482051610015e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.304562547673455e-07  1.039303229446646e+00  9.984368305100173e-01  1.245796639453598e-10  1.199999996447664e+00  3.299482051611078e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.354562547673455e-07  1.039303229433650e+00  9.984368302225574e-01  1.245796639335335e-10  1.199999996456951e+00  3.299482051612227e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.404562547673454e-07  1.039303229421892e+00  9.984368299895474e-01  1.245796639208092e-10  1.199999996466073e+00  3.299482051613321e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.454562547673454e-07  1.039303229410073e+00  9.984368298056782e-01  1.245796639094236e-10  1.199999996475044e+00  3.299482051614354e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.504562547673453e-07  1.039303229399762e+00  9.984368296649254e-01  1.245796638971055e-10  1.199999996483863e+00  3.299482051615439e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.531906273836726e-07  1.039303229393824e+00  9.984368296035311e-01  1.245796638913501e-10  1.199999996488605e+00  3.299482051615973e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.559250000000000e-07  1.039303229388319e+00  9.984368295534418e-01  1.245796638844842e-10  1.199999996493313e+00  3.299482051616500e+00  0.000000000000000e+00  0.000000000000000e+00 
