 time            v(gate)         v(gfet)         v(tripped)      v(isense)       v(cmp_soft)     v(cmp_hard)     v(cmp_clk)      v(trip_d)       v(osc_clk)      v(vref)         v(en_core)      v(shp)          v(fault_n)      v(vdda)         v(vdd)          v(iprof)        v(icmp)         v(vth_soft)     v(vth_hard)     v(dig_trip)     v(inrush_active) i(vim)          i(vma)          i(vmi)          i(v12)         
 3.60000000e-06  2.68566490e+00  2.53901079e+00  4.58366104e-08  1.49811049e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  3.49999670e-02  3.29252881e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.48286219e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  9.99999054e-01  5.89591828e-10  1.46901981e-02 -1.77006696e-09 
 3.70000000e-06  2.89159297e+00  2.78788187e+00  4.58366102e-08  1.49889037e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  3.49999989e-02  3.29470136e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49388491e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  9.99999965e-01  5.89591683e-10  1.03911594e-02 -1.77006755e-09 
 3.80000000e-06  3.03139711e+00  2.96065030e+00  4.58366102e-08  1.49894577e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  3.50000000e-02  3.29637949e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49468805e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  9.99999997e-01  5.89591538e-10  7.08934651e-03 -1.77006851e-09 
 3.90000000e-06  3.12451177e+00  3.07724787e+00  4.58366102e-08  1.49894970e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  3.50000000e-02  3.29757881e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474541e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  9.99999999e-01  5.89589943e-10  4.73657599e-03 -1.77006891e-09 
 4.00000000e-06  3.18583048e+00  3.15464820e+00  4.58366102e-08  1.49894998e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  3.50000000e-02  3.29840159e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474949e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89589576e-10  3.12510521e-03 -1.77006982e-09 
 4.10000000e-06  3.22592671e+00  3.20551444e+00  4.58366103e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  3.50000000e-02  3.29895318e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474978e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89588415e-10  2.04579584e-03 -1.77007026e-09 
 4.20000000e-06  3.25202637e+00  3.23873038e+00  4.58366103e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  3.50000000e-02  3.29931788e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474980e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89587254e-10  1.33260189e-03 -1.77006985e-09 
 4.30000000e-06  3.26896560e+00  3.26033252e+00  4.58366104e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  3.50000000e-02  3.29955694e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474981e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89586093e-10  8.65270524e-04 -1.77007146e-09 
 4.40000000e-06  3.27993867e+00  3.27434472e+00  4.58366104e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  3.50000000e-02  3.29971279e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474981e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89585752e-10  5.60671982e-04 -1.77007263e-09 
 4.50000000e-06  3.28703771e+00  3.28341770e+00  4.58366103e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  1.20000000e+00  3.50000000e-02  3.29981403e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474981e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89585117e-10  3.62830060e-04 -1.77007093e-09 
