 time            v(vref)         v(isense)       v(gate)         v(vdd)          v(vdda)         v(osc_clk)      v(cmp_clk)     
 6.78831454e-09  1.03891736e+00  9.98839197e-01  1.24579986e-10  1.20000002e+00  3.29934306e+00  0.00000000e+00  0.00000000e+00 
 6.93194173e-09  1.03918603e+00  9.98830696e-01  1.24579953e-10  1.20000002e+00  3.29935759e+00  0.00000000e+00  0.00000000e+00 
 7.12028097e-09  1.03949930e+00  9.98807755e-01  1.24579922e-10  1.20000002e+00  3.29937518e+00  0.00000000e+00  0.00000000e+00 
 7.32643192e-09  1.03977878e+00  9.98769995e-01  1.24579891e-10  1.20000002e+00  3.29939217e+00  0.00000000e+00  0.00000000e+00 
 7.57678311e-09  1.04003077e+00  9.98711962e-01  1.24579860e-10  1.20000003e+00  3.29940941e+00  0.00000000e+00  0.00000000e+00 
 7.84895319e-09  1.04021408e+00  9.98641100e-01  1.24579828e-10  1.20000003e+00  3.29942419e+00  0.00000000e+00  0.00000000e+00 
 8.21310190e-09  1.04035861e+00  9.98546063e-01  1.24579765e-10  1.20000004e+00  3.29943855e+00  0.00000000e+00  0.00000000e+00 
 8.63077775e-09  1.04044019e+00  9.98449297e-01  1.24579733e-10  1.20000004e+00  3.29944930e+00  0.00000000e+00  0.00000000e+00 
 9.25708154e-09  1.04048720e+00  9.98342899e-01  1.24579701e-10  1.20000005e+00  3.29945830e+00  0.00000000e+00  0.00000000e+00 
 9.88385482e-09  1.04049047e+00  9.98282296e-01  1.24579669e-10  1.20000005e+00  3.29946249e+00  0.00000000e+00  0.00000000e+00 
 1.06835274e-08  1.04045088e+00  9.98254228e-01  1.24579669e-10  1.20000004e+00  3.29946483e+00  0.00000000e+00  0.00000000e+00 
 1.15523350e-08  1.04034916e+00  9.98262705e-01  1.24579669e-10  1.20000004e+00  3.29946589e+00  0.00000000e+00  0.00000000e+00 
 1.27699945e-08  1.04012249e+00  9.98309871e-01  1.24579669e-10  1.20000004e+00  3.29946680e+00  0.00000000e+00  0.00000000e+00 
 1.42700519e-08  1.03978666e+00  9.98393715e-01  1.24579674e-10  1.20000003e+00  3.29946810e+00  0.00000000e+00  0.00000000e+00 
 1.65824634e-08  1.03934930e+00  9.98503619e-01  1.24579669e-10  1.20000002e+00  3.29947058e+00  0.00000000e+00  0.00000000e+00 
 1.99204157e-08  1.03904666e+00  9.98521132e-01  1.24579669e-10  1.20000001e+00  3.29947399e+00  0.00000000e+00  0.00000000e+00 
 2.49204157e-08  1.03910235e+00  9.98305303e-01  1.24579669e-10  1.20000000e+00  3.29947688e+00  0.00000000e+00  0.00000000e+00 
 2.99204157e-08  1.03930348e+00  9.98011586e-01  1.24579669e-10  1.19999999e+00  3.29947787e+00  0.00000000e+00  0.00000000e+00 
 3.49204157e-08  1.03936538e+00  9.97765697e-01  1.24579669e-10  1.19999999e+00  3.29947872e+00  0.00000000e+00  0.00000000e+00 
 3.99204157e-08  1.03931282e+00  9.97552018e-01  1.24579669e-10  1.19999998e+00  3.29947976e+00  0.00000000e+00  0.00000000e+00 
 4.49204157e-08  1.03927566e+00  9.97432862e-01  1.24579669e-10  1.19999998e+00  3.29948049e+00  0.00000000e+00  0.00000000e+00 
 4.99204157e-08  1.03928584e+00  9.97476617e-01  1.24579672e-10  1.19999998e+00  3.29948076e+00  0.00000000e+00  0.00000000e+00 
 5.49204157e-08  1.03930105e+00  9.97627899e-01  1.24579665e-10  1.19999998e+00  3.29948092e+00  0.00000000e+00  0.00000000e+00 
 5.99204157e-08  1.03930575e+00  9.97797404e-01  1.24579672e-10  1.19999998e+00  3.29948116e+00  0.00000000e+00  0.00000000e+00 
 6.49204157e-08  1.03930135e+00  9.97938412e-01  1.24579665e-10  1.19999998e+00  3.29948140e+00  0.00000000e+00  0.00000000e+00 
 6.99204157e-08  1.03930084e+00  9.98069124e-01  1.24579672e-10  1.19999998e+00  3.29948154e+00  0.00000000e+00  0.00000000e+00 
 7.49204157e-08  1.03930125e+00  9.98207608e-01  1.24579665e-10  1.19999999e+00  3.29948159e+00  0.00000000e+00  0.00000000e+00 
 7.99204157e-08  1.03930269e+00  9.98345141e-01  1.24579672e-10  1.19999999e+00  3.29948165e+00  0.00000000e+00  0.00000000e+00 
 8.49204157e-08  1.03930231e+00  9.98462827e-01  1.24579665e-10  1.19999999e+00  3.29948172e+00  0.00000000e+00  0.00000000e+00 
 8.99204157e-08  1.03930282e+00  9.98556079e-01  1.24579672e-10  1.19999999e+00  3.29948178e+00  0.00000000e+00  0.00000000e+00 
 9.49204157e-08  1.03930268e+00  9.98631202e-01  1.24579664e-10  1.19999999e+00  3.29948182e+00  0.00000000e+00  0.00000000e+00 
 9.74602079e-08  1.03930305e+00  9.98664582e-01  1.24579671e-10  1.19999999e+00  3.29948183e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-07  1.03930285e+00  9.98695043e-01  1.24579664e-10  1.19999999e+00  3.29948184e+00  0.00000000e+00  0.00000000e+00 
 1.00100000e-07  1.03930287e+00  9.98696179e-01  1.24579670e-10  1.19999999e+00  3.29948185e+00  4.53016291e-12  0.00000000e+00 
 1.00300000e-07  1.03930291e+00  9.98698438e-01  1.24579668e-10  1.19999999e+00  3.29948185e+00  1.59172840e-11  0.00000000e+00 
 1.00650000e-07  1.03930294e+00  9.98702337e-01  1.24579668e-10  1.19999999e+00  3.29948185e+00  4.53643380e-11  0.00000000e+00 
 1.01000000e-07  1.03930293e+00  9.98706169e-01  1.24579668e-10  1.19999999e+00  3.29948185e+00  1.03015680e-10  0.00000000e+00 
 1.01070000e-07  1.03930293e+00  9.98706926e-01  1.24579668e-10  1.19999999e+00  3.29948185e+00  1.26264799e-10  0.00000000e+00 
 1.01210000e-07  1.03930293e+00  9.98708435e-01  1.24579668e-10  1.19999999e+00  3.29948185e+00  1.43544685e-10  0.00000000e+00 
 1.01490000e-07  1.03930293e+00  9.98711421e-01  1.24579668e-10  1.19999999e+00  3.29948185e+00  1.83646813e-10  0.00000000e+00 
 1.02050000e-07  1.03930292e+00  9.98717263e-01  1.24579668e-10  1.19999999e+00  3.29948186e+00  2.91186967e-10  0.00000000e+00 
 1.03170000e-07  1.03930291e+00  9.98728410e-01  1.24579668e-10  1.19999999e+00  3.29948186e+00  6.72767814e-10  0.00000000e+00 
 1.05410000e-07  1.03930290e+00  9.98748527e-01  1.24579668e-10  1.19999999e+00  3.29948187e+00  2.99312159e-09  0.00000000e+00 
 1.09890000e-07  1.03930294e+00  9.98780394e-01  1.24579668e-10  1.19999999e+00  3.29948190e+00  4.32520716e-08  0.00000000e+00 
 1.14890000e-07  1.03930303e+00  9.98804336e-01  1.24579668e-10  1.19999999e+00  3.29948192e+00  7.31250636e-05  0.00000000e+00 
 1.19385630e-07  1.03930309e+00  9.98817335e-01  1.24579668e-10  1.19999999e+00  3.29948194e+00  5.45061776e-03  0.00000000e+00 
 1.21221849e-07  1.03930309e+00  9.98820675e-01  1.24579667e-10  1.19999999e+00  3.29948194e+00  3.10874598e-02  0.00000000e+00 
 1.22166600e-07  1.03930310e+00  9.98821991e-01  1.24579667e-10  1.19999999e+00  3.29948194e+00  7.41596842e-02  0.00000000e+00 
 1.22840677e-07  1.03930309e+00  9.98822767e-01  1.24579667e-10  1.19999999e+00  3.29948195e+00  1.34104674e-01  0.00000000e+00 
 1.23572588e-07  1.03930309e+00  9.98823460e-01  1.24579667e-10  1.19999999e+00  3.29948195e+00  2.43082718e-01  0.00000000e+00 
 1.24340696e-07  1.03930309e+00  9.98824021e-01  1.24579667e-10  1.19999999e+00  3.29948195e+00  4.16215134e-01  0.00000000e+00 
 1.25236170e-07  1.03930309e+00  9.98824465e-01  1.24579667e-10  1.19999999e+00  3.29948195e+00  6.67727125e-01  0.00000000e+00 
 1.25986281e-07  1.03930309e+00  9.98824665e-01  1.24579667e-10  1.19999999e+00  3.29948196e+00  8.64572708e-01  0.00000000e+00 
 1.26851903e-07  1.03930309e+00  9.98824706e-01  1.24579667e-10  1.19999999e+00  3.29948196e+00  1.02651395e+00  0.00000000e+00 
 1.27856364e-07  1.03930309e+00  9.98824505e-01  1.24579667e-10  1.19999999e+00  3.29948196e+00  1.12735942e+00  0.00000000e+00 
 1.28946129e-07  1.03930309e+00  9.98823995e-01  1.24579667e-10  1.19999999e+00  3.29948196e+00  1.17343988e+00  0.00000000e+00 
 1.30379934e-07  1.03930310e+00  9.98822881e-01  1.24579667e-10  1.19999999e+00  3.29948197e+00  1.19318149e+00  0.00000000e+00 
 1.31843437e-07  1.03930310e+00  9.98821253e-01  1.24579667e-10  1.19999999e+00  3.29948197e+00  1.19831969e+00  0.00000000e+00 
 1.34090379e-07  1.03930311e+00  9.98817865e-01  1.24579667e-10  1.19999999e+00  3.29948198e+00  1.19980541e+00  0.00000000e+00 
