 time            v(gate)         v(gfet)         v(tripped)      v(isense)       v(cmp_soft)     v(cmp_hard)     v(trip_d)       v(osc_clk)      v(vref)         v(en_core)      v(shp)          v(fault_n)      v(vdda)         v(vdd)          v(iprof)        v(xtrip.icmp)   v(xtrip.vth_soft) v(xtrip.vth_hard) v(dig_trip)     i(vim)          i(vma)          i(vmi)          i(v12)         
 4.60000000e-07  1.24579664e-10  1.24579664e-10  4.58400941e-08  9.97130914e-01  1.10070227e-07  1.19999986e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129478e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98575485e-01  7.98869989e-01  9.96623271e-01  0.00000000e+00  2.06115364e-09  1.04267463e-03  3.50178576e-10 -7.77592325e-09 
 4.80000000e-07  1.24579664e-10  1.24579664e-10  4.58400952e-08  9.97130921e-01  1.10070227e-07  1.19999986e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129472e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98574790e-01  7.98869553e-01  9.96623272e-01  0.00000000e+00  2.06115364e-09  1.04267473e-03  3.50182082e-10 -7.65437791e-09 
 5.00000000e-07  1.24579664e-10  1.24579664e-10  4.58400976e-08  9.97130927e-01  1.10070234e-07  1.19999986e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129468e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98574175e-01  7.98869157e-01  9.96623272e-01  0.00000000e+00  2.06115364e-09  1.04267480e-03  3.50189605e-10 -7.54408594e-09 
 5.20000000e-07  1.24579664e-10  1.24579664e-10  4.58401000e-08  9.97130933e-01  1.10070243e-07  1.19999985e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129465e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98573624e-01  7.98868796e-01  9.96623273e-01  0.00000000e+00  2.06115364e-09  1.04267485e-03  3.50183926e-10 -7.44334809e-09 
 5.40000000e-07  1.24579664e-10  1.24579664e-10  4.58401003e-08  9.97130938e-01  1.10070243e-07  1.19999985e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129463e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98573125e-01  7.98868466e-01  9.96623273e-01  0.00000000e+00  2.06115364e-09  1.04267489e-03  3.50181672e-10 -7.35108019e-09 
 5.60000000e-07  1.24579664e-10  1.24579664e-10  4.58401005e-08  9.97130942e-01  1.10070245e-07  1.19999985e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129462e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98572671e-01  7.98868164e-01  9.96623273e-01  0.00000000e+00  2.06115364e-09  1.04267492e-03  3.50188678e-10 -7.26630485e-09 
 5.80000000e-07  1.24579664e-10  1.24579664e-10  4.58401005e-08  9.97130945e-01  1.10070242e-07  1.19999985e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129462e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98572255e-01  7.98867887e-01  9.96623274e-01  0.00000000e+00  2.06115364e-09  1.04267494e-03  3.50181348e-10 -7.18802155e-09 
 6.00000000e-07  1.24579664e-10  1.24579664e-10  4.58401005e-08  9.97130949e-01  1.10070234e-07  1.19999985e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129461e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98571873e-01  7.98867631e-01  9.96623274e-01  0.00000000e+00  2.06115364e-09  1.04267496e-03  3.50186371e-10 -7.11564047e-09 
 6.20000000e-07  1.24579664e-10  1.24579664e-10  4.58401008e-08  9.97130951e-01  1.10070239e-07  1.19999984e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129461e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98571520e-01  7.98867395e-01  9.96623274e-01  0.00000000e+00  2.06115364e-09  1.04267498e-03  3.50181673e-10 -7.04849828e-09 
 6.40000000e-07  1.24579663e-10  1.24579664e-10  4.58401004e-08  9.97130954e-01  1.10070239e-07  1.19999984e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129461e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98571194e-01  7.98867176e-01  9.96623274e-01  0.00000000e+00  2.06115364e-09  1.04267499e-03  3.50181217e-10 -6.98606534e-09 
 6.60000000e-07  1.24579663e-10  1.24579664e-10  4.58401003e-08  9.97130956e-01  1.10070246e-07  1.19999984e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129461e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98570891e-01  7.98866973e-01  9.96623274e-01  0.00000000e+00  2.06115364e-09  1.04267500e-03  3.50180518e-10 -6.92788255e-09 
 6.80000000e-07  1.24579663e-10  1.24579664e-10  4.58401005e-08  9.97130958e-01  1.10070247e-07  1.19999984e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129461e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98570609e-01  7.98866784e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267502e-03  3.50182961e-10 -6.87346884e-09 
 7.00000000e-07  1.24579663e-10  1.24579663e-10  4.58401004e-08  9.97130960e-01  1.10070246e-07  1.19999984e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129462e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98570346e-01  7.98866607e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267503e-03  3.50182097e-10 -6.82257082e-09 
 7.20000000e-07  1.24579663e-10  1.24579663e-10  4.58401002e-08  9.97130962e-01  1.10070236e-07  1.19999984e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129462e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98570100e-01  7.98866442e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267504e-03  3.50182432e-10 -6.77484584e-09 
 7.40000000e-07  1.24579663e-10  1.24579663e-10  4.58401002e-08  9.97130963e-01  1.10070235e-07  1.19999983e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129462e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98569869e-01  7.98866287e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267505e-03  3.50181743e-10 -6.72997676e-09 
 7.60000000e-07  1.24579663e-10  1.24579663e-10  4.58401013e-08  9.97130964e-01  1.10070231e-07  1.19999983e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129462e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98569653e-01  7.98866142e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267506e-03  3.50179594e-10 -6.68775173e-09 
 7.80000000e-07  1.24579663e-10  1.24579663e-10  4.58400995e-08  9.97130966e-01  1.10070235e-07  1.19999983e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129462e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98569449e-01  7.98866005e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267507e-03  3.50181346e-10 -6.64792426e-09 
 8.00000000e-07  1.24579663e-10  1.24579663e-10  4.58400988e-08  9.97130967e-01  1.10070236e-07  1.19999983e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129462e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98569258e-01  7.98865876e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267507e-03  3.50188022e-10 -6.61032433e-09 
 8.20000000e-07  1.24579663e-10  1.24579663e-10  4.58400988e-08  9.97130968e-01  1.10070225e-07  1.19999983e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129462e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98569077e-01  7.98865755e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267508e-03  3.50186289e-10 -6.57477200e-09 
 8.40000000e-07  1.24579663e-10  1.24579663e-10  4.58400986e-08  9.97130969e-01  1.10070226e-07  1.19999983e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129462e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98568906e-01  7.98865640e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267509e-03  3.50181668e-10 -6.54110726e-09 
 8.60000000e-07  1.24579663e-10  1.24579663e-10  4.58400994e-08  9.97130970e-01  1.10070231e-07  1.19999983e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129462e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98568744e-01  7.98865531e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267510e-03  3.50181790e-10 -6.50920112e-09 
 8.80000000e-07  1.24579663e-10  1.24579663e-10  4.58400988e-08  9.97130971e-01  1.10070243e-07  1.19999983e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129462e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98568591e-01  7.98865428e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267510e-03  3.50181992e-10 -6.47888952e-09 
 9.00000000e-07  1.24579663e-10  1.24579663e-10  4.58400988e-08  9.97130972e-01  1.10070241e-07  1.19999983e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129462e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98568446e-01  7.98865330e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267511e-03  3.50181217e-10 -6.45010067e-09 
 9.20000000e-07  1.24579663e-10  1.24579663e-10  4.58400988e-08  9.97130972e-01  1.10070234e-07  1.19999982e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129462e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98568308e-01  7.98865237e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267512e-03  3.50180387e-10 -6.42271584e-09 
 9.40000000e-07  1.24579663e-10  1.24579663e-10  4.58400988e-08  9.97130973e-01  1.10070234e-07  1.19999982e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129463e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98568177e-01  7.98865149e-01  9.96623275e-01  0.00000000e+00  2.06115364e-09  1.04267512e-03  3.50181454e-10 -6.39662703e-09 
 9.60000000e-07  1.24579663e-10  1.24579663e-10  4.58400983e-08  9.97130974e-01  1.10070236e-07  1.19999982e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129463e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98568052e-01  7.98865065e-01  9.96623276e-01  0.00000000e+00  2.06115364e-09  1.04267513e-03  3.50183291e-10 -6.37176524e-09 
 9.80000000e-07  1.24579663e-10  1.24579663e-10  4.58400991e-08  9.97130974e-01  1.10070233e-07  1.19999982e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129463e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98567933e-01  7.98864984e-01  9.96623276e-01  0.00000000e+00  2.06115364e-09  1.04267514e-03  3.50181221e-10 -6.34803389e-09 
 1.00000000e-06  1.24579663e-10  1.24579663e-10  4.58400991e-08  9.97130975e-01  1.10070233e-07  1.19999982e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129463e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98567820e-01  7.98864908e-01  9.96623276e-01  0.00000000e+00  2.06115364e-09  1.04267514e-03  3.50181219e-10 -6.32536887e-09 
 1.02000000e-06  1.24579663e-10  1.24579663e-10  4.58400989e-08  9.97130975e-01  1.10070243e-07  1.19999982e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129463e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98567711e-01  7.98864835e-01  9.96623276e-01  0.00000000e+00  2.06115364e-09  1.04267515e-03  3.50184246e-10 -6.30370271e-09 
 1.04000000e-06  1.24579663e-10  1.24579663e-10  4.58400986e-08  9.97130976e-01  1.10070243e-07  1.19999982e+00  0.00000000e+00  1.20000000e+00  1.03784794e+00  0.00000000e+00  2.15129463e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98567608e-01  7.98864765e-01  9.96623276e-01  0.00000000e+00  2.06115364e-09  1.04267515e-03  3.50182033e-10 -6.28297651e-09 
 1.06000000e-06  1.24579663e-10  1.24579663e-10  4.58400994e-08  9.97130976e-01  1.10070228e-07  1.19999982e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129463e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98567509e-01  7.98864698e-01  9.96623276e-01  0.00000000e+00  2.06115364e-09  1.04267516e-03  3.50168758e-10 -6.26314446e-09 
 1.08000000e-06  1.24579663e-10  1.24579663e-10  4.58400970e-08  9.97130977e-01  1.10070244e-07  1.19999982e+00  0.00000000e+00  0.00000000e+00  1.03784794e+00  0.00000000e+00  2.15129463e-07  3.30000000e+00  3.29947866e+00  1.20000000e+00  1.00000000e+00  4.98567414e-01  7.98864635e-01  9.96623276e-01  0.00000000e+00  2.06115364e-09  1.04267516e-03  3.50180411e-10 -6.24411716e-09 
