 time            v(gate)         v(gfet)         v(tripped)      v(isense)       v(cmp_soft)     v(cmp_hard)     v(cmp_clk)      v(trip_d)       v(osc_clk)      v(vref)         v(en_core)      v(shp)          v(fault_n)      v(vdda)         v(vdd)          v(iprof)        v(icmp)         v(vth_soft)     v(vth_hard)     v(dig_trip)     v(inrush_active) i(vim)          i(vma)          i(vmi)          i(v12)         
 6.38000000e-06  3.29997463e+00  3.29996929e+00  4.58366104e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  1.04000000e+00  1.20000000e+00  3.50000000e-02  3.29999972e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474980e-01  8.00603774e-01  9.98792453e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89585650e-10  5.35351253e-07 -6.78163493e-10 
 6.40000000e-06  3.29997634e+00  3.29997135e+00  4.58366103e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.04000000e+00  1.20000000e+00  3.50000000e-02  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474980e-01  8.00603774e-01  9.98792453e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89585597e-10  4.99406754e-07 -6.78163911e-10 
 6.42000000e-06  3.29997793e+00  3.29997328e+00  4.58366104e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.04000000e+00  1.20000000e+00  3.50000000e-02  3.29999976e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474980e-01  8.00603774e-01  9.98792453e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89585269e-10  4.65867093e-07 -6.78163303e-10 
 6.44000000e-06  3.29997941e+00  3.29997507e+00  4.58366128e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  0.00000000e+00  1.20000000e+00  1.04000000e+00  1.20000000e+00  3.50000000e-02  3.29999977e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474980e-01  8.00603774e-01  9.98792453e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89587046e-10  4.34567120e-07 -6.78163747e-10 
 6.46000000e-06  3.29998079e+00  3.29997675e+00  4.58366104e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  0.00000000e+00  1.20000000e+00  1.04000000e+00  1.20000000e+00  3.50000000e-02  3.29999979e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474980e-01  8.00603774e-01  9.98792453e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89585269e-10  4.05397993e-07 -6.78163747e-10 
 6.48000000e-06  3.29998208e+00  3.29997831e+00  4.58366103e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  0.00000000e+00  1.20000000e+00  1.04000000e+00  1.20000000e+00  3.50000000e-02  3.29999980e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474980e-01  8.00603774e-01  9.98792453e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89585269e-10  3.78176273e-07 -6.78163747e-10 
 6.50000000e-06  3.29998329e+00  3.29997977e+00  4.58366104e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  0.00000000e+00  0.00000000e+00  1.04000000e+00  1.20000000e+00  3.50000000e-02  3.29999982e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474980e-01  8.00603774e-01  9.98792453e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89587046e-10  3.52784201e-07 -6.78163747e-10 
 6.52000000e-06  3.29998441e+00  3.29998113e+00  4.58366104e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  0.00000000e+00  0.00000000e+00  1.04000000e+00  1.20000000e+00  3.50000000e-02  3.29999983e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474980e-01  8.00603774e-01  9.98792453e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89585269e-10  3.29102006e-07 -6.78163572e-10 
 6.54000000e-06  3.29998546e+00  3.29998240e+00  4.58366103e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  0.00000000e+00  0.00000000e+00  1.04000000e+00  1.20000000e+00  3.50000000e-02  3.29999984e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474980e-01  8.00603774e-01  9.98792453e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89585269e-10  3.07007843e-07 -6.78163923e-10 
 6.56000000e-06  3.29998644e+00  3.29998358e+00  4.58366103e-08  1.49895000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00  1.04000000e+00  1.20000000e+00  3.50000000e-02  3.29999985e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  7.49474980e-01  8.00603774e-01  9.98792453e-01  0.00000000e+00  1.20000000e+00  1.00000000e+00  5.89586021e-10  2.86395715e-07 -6.78163679e-10 
