 v-sweep                v(b)                   v(c)                   v(e)                   i(vm_b)                i(vm_c)                i(vm_e)                i(vb)                  i(vc)                  i(ve)                  i(vdd)                 i(vdda)               
 3.710000000000001e-01  3.709999999999538e-01  9.999999999993333e-01  6.009496025555063e-13  1.288032180912779e-15  7.406401880682784e-15 -8.601595401346124e-15  9.464362469312234e-11 -5.250324742718543e-12  2.547071954807690e-10  0.000000000000000e+00 -3.734114673127360e-10 
 3.720000000000001e-01  3.719999999999527e-01  9.999999999993007e-01  6.286460135232578e-13  1.318389841742373e-15  7.768959087161916e-15 -8.998023521442926e-15  9.435740370422001e-11 -5.250686832904897e-12  2.547075919088888e-10  0.000000000000000e+00 -3.731354381132386e-10 
 3.730000000000001e-01  3.729999999999511e-01  9.999999999992659e-01  6.576788530459611e-13  1.361757928641794e-15  8.154935060566735e-15 -9.413580396536188e-15  9.407173404942511e-11 -5.251072408536689e-12  2.547080074657643e-10  0.000000000000000e+00 -3.728602068865401e-10 
 3.740000000000001e-01  3.739999999999498e-01  9.999999999992304e-01  6.881140121855962e-13  1.397319759899318e-15  8.550452013089423e-15 -9.849209147735082e-15  9.378663688871845e-11 -5.251467458469086e-12  2.547084430945154e-10  0.000000000000000e+00 -3.725854613824149e-10 
 3.750000000000001e-01  3.749999999999487e-01  9.999999999991914e-01  7.200206668008115e-13  1.430279505942877e-15  8.982398158607622e-15 -1.030589991255712e-14  9.350210283745730e-11 -5.251899871634730e-12  2.547088997852801e-10  0.000000000000000e+00 -3.723113195620593e-10 
 3.760000000000001e-01  3.759999999999473e-01  9.999999999991529e-01  7.534714422310601e-13  1.470178145890344e-15  9.410874857173865e-15 -1.078469220210806e-14  9.321812156381442e-11 -5.252327881313171e-12  2.547093785775698e-10  0.000000000000000e+00 -3.720375593808685e-10 
 3.770000000000001e-01  3.769999999999460e-01  9.999999999991107e-01  7.885425862608934e-13  1.506607338885857e-15  9.880117557425559e-15 -1.128667737677852e-14  9.293471487910905e-11 -5.252796723671810e-12  2.547098805627445e-10  0.000000000000000e+00 -3.717647012558851e-10 
 3.780000000000001e-01  3.779999999999444e-01  9.999999999990673e-01  8.253141507814389e-13  1.549108064047289e-15  1.036150332200909e-14 -1.181300124642616e-14  9.265184658568957e-11 -5.253278509778006e-12  2.547104068866139e-10  0.000000000000000e+00 -3.714922247700665e-10 
 3.790000000000001e-01  3.789999999999429e-01  9.999999999990214e-01  8.638701825868406e-13  1.592476150946709e-15  1.087151202394623e-14 -1.236486680130997e-14  9.236955301272637e-11 -5.253788985500069e-12  2.547109587521690e-10  0.000000000000000e+00 -3.712204352347444e-10 
 3.800000000000001e-01  3.799999999999416e-01  9.999999999989728e-01  9.042989237657895e-13  1.629772705680210e-15  1.141101102497498e-14 -1.294353708036209e-14  9.208781480947455e-11 -5.254328017480972e-12  2.547115374224480e-10  0.000000000000000e+00 -3.709489648885418e-10 
 3.810000000000001e-01  3.809999999999398e-01  9.999999999989221e-01  9.466930221712342e-13  1.676610239531584e-15  1.197566351640538e-14 -1.355033818371220e-14  9.180662243373442e-11 -5.254892269630790e-12  2.547121442235511e-10  0.000000000000000e+00 -3.706783202707138e-10 
 3.820000000000001e-01  3.819999999999383e-01  9.999999999988687e-01  9.911497524759831e-13  1.719978326431004e-15  1.256893894518940e-14 -1.418666243673121e-14  9.152599740796989e-11 -5.255485078039449e-12  2.547127805478045e-10  0.000000000000000e+00 -3.704080572920505e-10 
 3.830000000000001e-01  3.829999999999367e-01  9.999999999988125e-01  1.037771248346866e-12  1.765081136806401e-15  1.319257203480300e-14 -1.485397171321888e-14  9.124592053416269e-11 -5.256110045510925e-12  2.547134478570809e-10  0.000000000000000e+00 -3.701386131028679e-10 
 3.840000000000001e-01  3.839999999999350e-01  9.999999999987544e-01  1.086664746298020e-12  1.811918670657775e-15  1.383788916786631e-14 -1.555380092575842e-14  9.096640196402882e-11 -5.256754895623864e-12  2.547141476862932e-10  0.000000000000000e+00 -3.698693285082451e-10 
 3.850000000000001e-01  3.849999999999333e-01  9.999999999986927e-01  1.137942841810934e-12  1.857888842771160e-15  1.452397230261507e-14 -1.628776169164966e-14  9.068743341542357e-11 -5.257440578417000e-12  2.547148816470593e-10  0.000000000000000e+00 -3.696010084198749e-10 
 3.860000000000001e-01  3.859999999999316e-01  9.999999999986280e-01  1.191723758339429e-12  1.906461100098511e-15  1.524214782166940e-14 -1.705754618326842e-14  9.040901825224103e-11 -5.258160021639405e-12  2.547156514315510e-10  0.000000000000000e+00 -3.693331740540780e-10 
 3.870000000000001e-01  3.869999999999298e-01  9.999999999985590e-01  1.248131629848318e-12  1.955900719163850e-15  1.600889559805106e-14 -1.786493117213820e-14  9.013115621201834e-11 -5.258925501712436e-12  2.547164588165397e-10  0.000000000000000e+00 -3.690657213274458e-10 
