device_instance	bound_name	extrema_value_V	extrema_time_ns	violating_sample_count	violation_interval_count	total_violation_duration_ps	longest_contiguous_violation_duration_ps	longest_violation_start_ns	longest_violation_end_ns	clk_p_at_extrema_V	clk_n_at_extrema_V	ic_at_extrema_A	vbe_at_extrema_V	vce_at_extrema_V
XQSEF1_S	VCE_LOW_0P40	9.56138448263484264e-01	3.6118056023e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	1.02448656590315964e-03	8.28221895095692773e-01	9.56138448263484264e-01
XQSEF1_S	VCE_HIGH_1P60	1.68019800902126493e+00	2.3029800000e+00	490	20	8.7543876172e+02	8.3078378159e+01	2.1178294392e+00	2.2009078174e+00	0.00000000000000000e+00	1.19999999999999996e+00	1.08947025860905012e-03	8.28020364361090722e-01	1.68019800902126493e+00
XQSEF2_S	VBE_LOW_0P65	8.26688175729587638e-01	2.3058199169e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	0.00000000000000000e+00	1.19999999999999996e+00	1.22692961079428763e-03	8.26688175729587638e-01	1.34052132032690663e+00
XQSEF2_S	VBE_HIGH_0P96	8.30020934206594951e-01	3.6009800000e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	8.68444783015048316e-04	8.30020934206594951e-01	1.59298598567035499e+00
XQSEF2_S	VCE_LOW_0P40	9.56124927113333967e-01	3.8118056788e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	1.02420589763002525e-03	8.28229306398578613e-01	9.56124927113333967e-01
XQSEF2_S	VCE_HIGH_1P60	1.68026466701757160e+00	2.1029800000e+00	493	21	8.7591870994e+02	8.3089904064e+01	2.3178185979e+00	2.4009085019e+00	0.00000000000000000e+00	1.19999999999999996e+00	1.08900498430254157e-03	8.28023818860953886e-01	1.68026466701757160e+00
XQEF1_M	VBE_LOW_0P65	5.73370116369379401e-01	2.2058050756e+00	10	5	2.4188249863e+01	4.8418944179e+00	3.8046013891e+00	3.8094432835e+00	1.19999999999999996e+00	0.00000000000000000e+00	4.70797369142072757e-05	5.73370116369379401e-01	1.03760691881723210e+00
XQEF1_M	VBE_HIGH_0P96	9.86977913271358087e-01	3.9041000000e+00	10	10	1.3254843809e+01	1.5561692020e+00	3.6027216949e+00	3.6042778641e+00	0.00000000000000000e+00	1.19999999999999996e+00	2.58397736834451407e-03	9.86977913271358087e-01	1.39459995681985660e+00
XQEF1_M	VCE_LOW_0P40	8.02869541410223153e-01	3.8009800000e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	5.52131833540970706e-04	8.22538270795512005e-01	8.02869541410223153e-01
XQEF1_M	VCE_HIGH_1P60	1.52642453035705339e+00	3.9138187121e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	0.00000000000000000e+00	1.19999999999999996e+00	9.46896770607940437e-04	8.90756232067928644e-01	1.52642453035705339e+00
XQEF2_M	VBE_LOW_0P65	5.73326223108859834e-01	2.0058049970e+00	10	5	2.4189842401e+01	4.8421913234e+00	3.6046008032e+00	3.6094429946e+00	1.19999999999999996e+00	0.00000000000000000e+00	4.70757194478234859e-05	5.73326223108859834e-01	1.03757943080898074e+00
XQEF2_M	VBE_HIGH_0P96	9.86966499926192897e-01	3.7041000000e+00	10	10	1.3246804184e+01	1.5552877219e+00	3.8027224651e+00	3.8042777528e+00	0.00000000000000000e+00	1.19999999999999996e+00	2.58361825178618325e-03	9.86966499926192897e-01	1.39455267299360464e+00
XQEF2_M	VCE_LOW_0P40	8.02864782851418157e-01	3.6009800000e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	5.52062478498717402e-04	8.22526057910478725e-01	8.02864782851418157e-01
XQEF2_M	VCE_HIGH_1P60	1.52631271570275118e+00	3.7138188564e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	0.00000000000000000e+00	1.19999999999999996e+00	9.46860654945936350e-04	8.90738193142085355e-01	1.52631271570275118e+00
XQEF1_S	VBE_LOW_0P65	5.74845546733494528e-01	3.9098187121e+00	10	5	2.4131281207e+01	4.8308058830e+00	3.9066398556e+00	3.9114706615e+00	0.00000000000000000e+00	1.19999999999999996e+00	1.43385407326876882e-05	5.74845546733494528e-01	1.17361815065021280e+00
XQEF1_S	VBE_HIGH_0P96	9.87015390625926470e-01	3.6021000000e+00	10	10	1.2843887121e+01	1.4638937136e+00	3.7048131176e+00	3.7062770113e+00	1.19999999999999996e+00	0.00000000000000000e+00	2.59936236314158237e-03	9.87015390625926470e-01	1.39541798701685482e+00
XQEF1_S	VCE_LOW_0P40	8.02301526979048107e-01	2.3029800000e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	0.00000000000000000e+00	1.19999999999999996e+00	5.53092569181816082e-04	8.22600162267600910e-01	8.02301526979048107e-01
XQEF1_S	VCE_HIGH_1P60	1.52656808794864229e+00	3.6118056023e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	9.61719831898060189e-04	8.91503851530817903e-01	1.52656808794864229e+00
XQEF2_S	VBE_LOW_0P65	5.74765542658925543e-01	3.7098188564e+00	10	5	2.4149376891e+01	4.8339583707e+00	3.7066389310e+00	3.7114728894e+00	0.00000000000000000e+00	1.19999999999999996e+00	1.43252888279908626e-05	5.74765542658925543e-01	1.17343713771308855e+00
XQEF2_S	VBE_HIGH_0P96	9.86984456502549179e-01	3.8021000000e+00	10	10	1.2817363996e+01	1.4603708761e+00	3.9048152197e+00	3.9062755906e+00	1.19999999999999996e+00	0.00000000000000000e+00	2.59902544034722400e-03	9.86984456502549179e-01	1.39541123139753509e+00
XQEF2_S	VCE_LOW_0P40	8.02242706693249819e-01	2.1029800000e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	0.00000000000000000e+00	1.19999999999999996e+00	5.52793860140494194e-04	8.22542792965685887e-01	8.02242706693249819e-01
