seed	attempt_count	selected_attempt_id	point_status	reason_code	reconciliation_rule	deck_file	selected_log_file	selected_raw_file
2110	1	1	complete	none	single_attempt	tb_comp_mc_seed2110.cir	log_comp_mc_seed2110.log	raw_comp_mc_seed2110.txt
2111	1	1	complete	none	single_attempt	tb_comp_mc_seed2111.cir	log_comp_mc_seed2111.log	raw_comp_mc_seed2111.txt
2112	1	1	complete	none	single_attempt	tb_comp_mc_seed2112.cir	log_comp_mc_seed2112.log	raw_comp_mc_seed2112.txt
2113	1	1	complete	none	single_attempt	tb_comp_mc_seed2113.cir	log_comp_mc_seed2113.log	raw_comp_mc_seed2113.txt
2114	1	1	complete	none	single_attempt	tb_comp_mc_seed2114.cir	log_comp_mc_seed2114.log	raw_comp_mc_seed2114.txt
2115	1	1	complete	none	single_attempt	tb_comp_mc_seed2115.cir	log_comp_mc_seed2115.log	raw_comp_mc_seed2115.txt
2116	1	1	complete	none	single_attempt	tb_comp_mc_seed2116.cir	log_comp_mc_seed2116.log	raw_comp_mc_seed2116.txt
2117	1	1	complete	none	single_attempt	tb_comp_mc_seed2117.cir	log_comp_mc_seed2117.log	raw_comp_mc_seed2117.txt
2118	1	1	complete	none	single_attempt	tb_comp_mc_seed2118.cir	log_comp_mc_seed2118.log	raw_comp_mc_seed2118.txt
2119	1	1	complete	none	single_attempt	tb_comp_mc_seed2119.cir	log_comp_mc_seed2119.log	raw_comp_mc_seed2119.txt
2120	1	1	complete	none	single_attempt	tb_comp_mc_seed2120.cir	log_comp_mc_seed2120.log	raw_comp_mc_seed2120.txt
2121	1	1	complete	none	single_attempt	tb_comp_mc_seed2121.cir	log_comp_mc_seed2121.log	raw_comp_mc_seed2121.txt
2122	1	1	complete	none	single_attempt	tb_comp_mc_seed2122.cir	log_comp_mc_seed2122.log	raw_comp_mc_seed2122.txt
2123	1	1	complete	none	single_attempt	tb_comp_mc_seed2123.cir	log_comp_mc_seed2123.log	raw_comp_mc_seed2123.txt
2124	1	1	complete	none	single_attempt	tb_comp_mc_seed2124.cir	log_comp_mc_seed2124.log	raw_comp_mc_seed2124.txt
2125	1	1	complete	none	single_attempt	tb_comp_mc_seed2125.cir	log_comp_mc_seed2125.log	raw_comp_mc_seed2125.txt
2126	1	1	complete	none	single_attempt	tb_comp_mc_seed2126.cir	log_comp_mc_seed2126.log	raw_comp_mc_seed2126.txt
2127	1	1	complete	none	single_attempt	tb_comp_mc_seed2127.cir	log_comp_mc_seed2127.log	raw_comp_mc_seed2127.txt
2128	1	1	complete	none	single_attempt	tb_comp_mc_seed2128.cir	log_comp_mc_seed2128.log	raw_comp_mc_seed2128.txt
2129	1	1	complete	none	single_attempt	tb_comp_mc_seed2129.cir	log_comp_mc_seed2129.log	raw_comp_mc_seed2129.txt
2130	1	1	complete	none	single_attempt	tb_comp_mc_seed2130.cir	log_comp_mc_seed2130.log	raw_comp_mc_seed2130.txt
2131	1	1	complete	none	single_attempt	tb_comp_mc_seed2131.cir	log_comp_mc_seed2131.log	raw_comp_mc_seed2131.txt
2132	1	1	complete	none	single_attempt	tb_comp_mc_seed2132.cir	log_comp_mc_seed2132.log	raw_comp_mc_seed2132.txt
2133	1	1	complete	none	single_attempt	tb_comp_mc_seed2133.cir	log_comp_mc_seed2133.log	raw_comp_mc_seed2133.txt
2134	1	1	complete	none	single_attempt	tb_comp_mc_seed2134.cir	log_comp_mc_seed2134.log	raw_comp_mc_seed2134.txt
2135	1	1	complete	none	single_attempt	tb_comp_mc_seed2135.cir	log_comp_mc_seed2135.log	raw_comp_mc_seed2135.txt
2136	1	1	complete	none	single_attempt	tb_comp_mc_seed2136.cir	log_comp_mc_seed2136.log	raw_comp_mc_seed2136.txt
2137	1	1	complete	none	single_attempt	tb_comp_mc_seed2137.cir	log_comp_mc_seed2137.log	raw_comp_mc_seed2137.txt
2138	1	1	complete	none	single_attempt	tb_comp_mc_seed2138.cir	log_comp_mc_seed2138.log	raw_comp_mc_seed2138.txt
2139	1	1	complete	none	single_attempt	tb_comp_mc_seed2139.cir	log_comp_mc_seed2139.log	raw_comp_mc_seed2139.txt
2140	1	1	complete	none	single_attempt	tb_comp_mc_seed2140.cir	log_comp_mc_seed2140.log	raw_comp_mc_seed2140.txt
2141	1	1	complete	none	single_attempt	tb_comp_mc_seed2141.cir	log_comp_mc_seed2141.log	raw_comp_mc_seed2141.txt
2142	1	1	complete	none	single_attempt	tb_comp_mc_seed2142.cir	log_comp_mc_seed2142.log	raw_comp_mc_seed2142.txt
2143	1	1	complete	none	single_attempt	tb_comp_mc_seed2143.cir	log_comp_mc_seed2143.log	raw_comp_mc_seed2143.txt
2144	1	1	complete	none	single_attempt	tb_comp_mc_seed2144.cir	log_comp_mc_seed2144.log	raw_comp_mc_seed2144.txt
2145	2	2	unknown	native_nonconvergence	only_retained_failed_attempt	tb_comp_mc_seed2145.cir	log_comp_mc_seed2145.log	raw_comp_mc_seed2145.txt
2146	1	1	complete	none	single_attempt	tb_comp_mc_seed2146.cir	log_comp_mc_seed2146.log	raw_comp_mc_seed2146.txt
2147	1	1	complete	none	single_attempt	tb_comp_mc_seed2147.cir	log_comp_mc_seed2147.log	raw_comp_mc_seed2147.txt
2148	1	1	complete	none	single_attempt	tb_comp_mc_seed2148.cir	log_comp_mc_seed2148.log	raw_comp_mc_seed2148.txt
2149	1	1	complete	none	single_attempt	tb_comp_mc_seed2149.cir	log_comp_mc_seed2149.log	raw_comp_mc_seed2149.txt
2150	1	1	complete	none	single_attempt	tb_comp_mc_seed2150.cir	log_comp_mc_seed2150.log	raw_comp_mc_seed2150.txt
2151	1	1	complete	none	single_attempt	tb_comp_mc_seed2151.cir	log_comp_mc_seed2151.log	raw_comp_mc_seed2151.txt
2152	1	1	complete	none	single_attempt	tb_comp_mc_seed2152.cir	log_comp_mc_seed2152.log	raw_comp_mc_seed2152.txt
2153	1	1	complete	none	single_attempt	tb_comp_mc_seed2153.cir	log_comp_mc_seed2153.log	raw_comp_mc_seed2153.txt
2154	1	1	complete	none	single_attempt	tb_comp_mc_seed2154.cir	log_comp_mc_seed2154.log	raw_comp_mc_seed2154.txt
2155	1	1	complete	none	single_attempt	tb_comp_mc_seed2155.cir	log_comp_mc_seed2155.log	raw_comp_mc_seed2155.txt
2156	1	1	complete	none	single_attempt	tb_comp_mc_seed2156.cir	log_comp_mc_seed2156.log	raw_comp_mc_seed2156.txt
2157	1	1	complete	none	single_attempt	tb_comp_mc_seed2157.cir	log_comp_mc_seed2157.log	raw_comp_mc_seed2157.txt
2158	1	1	complete	none	single_attempt	tb_comp_mc_seed2158.cir	log_comp_mc_seed2158.log	raw_comp_mc_seed2158.txt
2159	1	1	complete	none	single_attempt	tb_comp_mc_seed2159.cir	log_comp_mc_seed2159.log	raw_comp_mc_seed2159.txt
2160	1	1	complete	none	single_attempt	tb_comp_mc_seed2160.cir	log_comp_mc_seed2160.log	raw_comp_mc_seed2160.txt
2161	1	1	complete	none	single_attempt	tb_comp_mc_seed2161.cir	log_comp_mc_seed2161.log	raw_comp_mc_seed2161.txt
2162	1	1	complete	none	single_attempt	tb_comp_mc_seed2162.cir	log_comp_mc_seed2162.log	raw_comp_mc_seed2162.txt
2163	1	1	complete	none	single_attempt	tb_comp_mc_seed2163.cir	log_comp_mc_seed2163.log	raw_comp_mc_seed2163.txt
2164	1	1	complete	none	single_attempt	tb_comp_mc_seed2164.cir	log_comp_mc_seed2164.log	raw_comp_mc_seed2164.txt
2165	1	1	complete	none	single_attempt	tb_comp_mc_seed2165.cir	log_comp_mc_seed2165.log	raw_comp_mc_seed2165.txt
2166	1	1	complete	none	single_attempt	tb_comp_mc_seed2166.cir	log_comp_mc_seed2166.log	raw_comp_mc_seed2166.txt
2167	1	1	complete	none	single_attempt	tb_comp_mc_seed2167.cir	log_comp_mc_seed2167.log	raw_comp_mc_seed2167.txt
2168	1	1	complete	none	single_attempt	tb_comp_mc_seed2168.cir	log_comp_mc_seed2168.log	raw_comp_mc_seed2168.txt
2169	1	1	complete	none	single_attempt	tb_comp_mc_seed2169.cir	log_comp_mc_seed2169.log	raw_comp_mc_seed2169.txt
