# TMR copy separation: 199 stages (128 chain stages, 71 control-register bits), 597 flops, all placed
# min distance between two copies of one stage: min 4.0 um, median 114.7 um, max 116.6 um
# stages with a copy pair closer than  5 um: 1
# stages with a copy pair closer than 10 um: 2
# stages with a copy pair closer than 20 um: 3
# stages with a copy pair closer than 40 um: 5
# stage  min_pair_um  a(x,y)  b(x,y)  c(x,y)
chain.39     114.7   (13.9,68.0)  (128.6,68.0)  (243.4,68.0)
chain.40     114.7   (13.9,75.6)  (128.6,75.6)  (243.4,75.6)
chain.41     114.7   (34.6,75.6)  (149.3,75.6)  (264.0,75.6)
chain.42     114.7   (55.2,75.6)  (169.9,75.6)  (296.2,79.4)
chain.43     114.2   (75.8,75.6)  (190.1,75.6)  (317.8,75.6)
chain.44     114.7   (96.0,75.6)  (210.7,75.6)  (327.4,56.7)
chain.45     114.7   (96.0,83.2)  (210.7,83.2)  (330.7,75.6)
chain.46     114.2   (75.8,83.2)  (190.1,83.2)  (304.8,75.6)
chain.47     114.7   (55.2,83.2)  (169.9,83.2)  (286.1,71.8)
chain.48     114.7   (34.6,83.2)  (149.3,83.2)  (264.0,83.2)
chain.49     114.7   (13.9,83.2)  (128.6,83.2)  (243.4,83.2)
chain.50     114.7   (13.9,90.7)  (128.6,90.7)  (243.4,90.7)
chain.51     114.7   (34.6,90.7)  (149.3,90.7)  (264.0,90.7)
chain.52     114.7   (55.2,90.7)  (169.9,90.7)  (284.6,86.9)
chain.53     114.2   (75.8,90.7)  (190.1,90.7)  (304.8,90.7)
chain.54     114.7   (96.0,90.7)  (210.7,90.7)  (328.8,83.2)
chain.55     114.8   (96.0,98.3)  (210.7,94.5)  (330.2,94.5)
chain.56     114.2   (75.8,98.3)  (190.1,98.3)  (304.8,98.3)
chain.57     114.7   (55.2,98.3)  (169.9,98.3)  (284.6,98.3)
chain.58     114.7   (34.6,98.3)  (149.3,98.3)  (264.0,98.3)
chain.59     114.7   (13.9,98.3)  (128.6,98.3)  (243.4,98.3)
chain.60     114.7   (13.9,105.8)  (128.6,105.8)  (243.4,105.8)
chain.61     114.7   (34.6,105.8)  (149.3,105.8)  (264.0,105.8)
chain.62     114.7   (55.2,105.8)  (169.9,105.8)  (284.6,105.8)
chain.63     114.2   (75.8,105.8)  (190.1,105.8)  (304.8,105.8)
chain.64     114.7   (96.0,105.8)  (210.7,105.8)  (331.2,105.8)
chain.65     114.7   (96.0,113.4)  (210.7,113.4)  (325.4,109.6)
chain.66     114.3   (75.8,109.6)  (190.1,113.4)  (304.8,113.4)
chain.67     114.7   (55.2,113.4)  (169.9,113.4)  (284.6,113.4)
chain.68     114.7   (34.6,113.4)  (149.3,113.4)  (264.0,113.4)
chain.69     114.7   (13.9,113.4)  (128.6,113.4)  (243.4,113.4)
chain.70     114.7   (13.9,121.0)  (128.6,121.0)  (243.4,121.0)
chain.71     114.7   (34.6,121.0)  (149.3,121.0)  (264.0,121.0)
chain.72     114.7   (55.2,121.0)  (169.9,121.0)  (284.6,121.0)
chain.73     114.5   (75.8,124.7)  (190.1,117.2)  (304.8,121.0)
chain.74     114.7   (96.0,121.0)  (210.7,121.0)  (325.4,121.0)
chain.75     114.7   (96.0,128.5)  (210.7,128.5)  (325.4,124.7)
chain.76     114.2   (75.8,128.5)  (190.1,128.5)  (304.8,128.5)
chain.77     114.8   (55.2,128.5)  (169.9,124.7)  (284.6,128.5)
chain.78     114.7   (33.1,128.5)  (149.3,128.5)  (264.0,128.5)
chain.79     114.7   (13.9,124.7)  (128.6,128.5)  (243.4,128.5)
chain.80     114.7   (13.9,128.5)  (128.6,136.1)  (243.4,136.1)
chain.81     114.7   (33.1,136.1)  (149.3,136.1)  (264.0,136.1)
chain.82     114.7   (55.2,136.1)  (169.9,136.1)  (284.6,136.1)
chain.83     114.2   (75.8,136.1)  (190.1,136.1)  (304.8,136.1)
chain.84     114.7   (96.0,136.1)  (210.7,136.1)  (325.4,132.3)
chain.85     114.7   (96.0,143.6)  (210.7,143.6)  (325.4,143.6)
chain.86     114.2   (75.8,143.6)  (190.1,143.6)  (304.8,143.6)
chain.87     114.7   (55.2,143.6)  (169.9,143.6)  (284.6,143.6)
chain.88     114.7   (34.6,143.6)  (149.3,143.6)  (264.0,143.6)
chain.89     114.7   (13.9,147.4)  (128.6,143.6)  (243.4,143.6)
chain.90     114.7   (13.9,151.2)  (128.6,151.2)  (243.4,151.2)
chain.91     114.7   (34.6,151.2)  (149.3,151.2)  (264.0,151.2)
chain.92     114.7   (55.2,151.2)  (169.9,151.2)  (284.6,151.2)
chain.93     114.2   (75.8,151.2)  (190.1,151.2)  (304.8,151.2)
chain.94     115.3   (94.1,151.2)  (210.7,151.2)  (325.9,155.0)
chain.95     116.6   (94.1,158.8)  (210.7,158.8)  (328.8,158.8)
chain.96     114.2   (75.8,158.8)  (190.1,158.8)  (304.8,158.8)
chain.97     114.7   (55.2,158.8)  (169.9,158.8)  (284.6,158.8)
chain.98     114.7   (34.6,158.8)  (149.3,158.8)  (264.0,158.8)
chain.99     114.7   (13.9,158.8)  (128.6,158.8)  (243.4,155.0)
chain.100    114.7   (13.9,166.3)  (128.6,166.3)  (243.4,158.8)
chain.101    114.7   (34.6,166.3)  (149.3,166.3)  (264.0,166.3)
chain.102    114.7   (55.2,166.3)  (169.9,166.3)  (284.6,166.3)
chain.103    114.2   (75.8,166.3)  (190.1,166.3)  (304.8,166.3)
chain.104    113.8   (96.0,166.3)  (211.7,162.5)  (325.4,166.3)
chain.105    114.8   (96.0,173.9)  (210.7,170.1)  (325.4,173.9)
chain.106    114.2   (75.8,173.9)  (190.1,173.9)  (305.8,173.9)
chain.107    114.3   (55.2,173.9)  (169.4,177.7)  (284.6,170.1)
chain.108    114.7   (34.6,173.9)  (149.3,173.9)  (264.0,173.9)
chain.109    114.7   (13.9,173.9)  (128.6,170.1)  (243.4,170.1)
chain.110    114.7   (13.9,181.4)  (128.6,181.4)  (243.4,177.7)
chain.111    109.4   (34.6,181.4)  (144.0,181.4)  (264.0,181.4)
chain.112    114.7   (55.2,181.4)  (169.9,181.4)  (284.6,177.7)
chain.113    114.2   (75.8,181.4)  (190.1,181.4)  (304.8,177.7)
chain.114    114.8   (96.0,181.4)  (210.7,177.7)  (325.4,181.4)
chain.115    114.8   (96.0,189.0)  (210.7,185.2)  (328.3,189.0)
chain.116    114.2   (75.8,189.0)  (190.1,189.0)  (304.8,185.2)
chain.117    114.7   (55.2,189.0)  (169.9,189.0)  (284.6,185.2)
chain.118    114.7   (34.6,189.0)  (149.3,189.0)  (264.0,189.0)
chain.119    114.7   (13.9,189.0)  (128.6,189.0)  (243.4,189.0)
chain.120    114.7   (13.9,196.6)  (128.6,196.6)  (243.4,196.6)
chain.121    114.7   (34.6,196.6)  (149.3,196.6)  (264.0,196.6)
chain.122    114.7   (55.2,196.6)  (169.9,196.6)  (284.6,192.8)
chain.123    114.2   (75.8,196.6)  (190.1,196.6)  (304.8,196.6)
chain.124    114.8   (96.0,196.6)  (210.7,192.8)  (325.4,196.6)
chain.125    114.8   (96.0,207.9)  (210.7,204.1)  (325.4,207.9)
chain.126    114.3   (75.8,200.3)  (190.1,204.1)  (304.8,207.9)
chain.127    114.7   (55.2,204.1)  (169.9,204.1)  (284.6,204.1)
u_cnt_corr.0      114.7   (34.6,204.1)  (149.3,204.1)  (264.0,204.1)
u_cnt_corr.1      114.7   (13.9,204.1)  (128.6,204.1)  (243.4,204.1)
u_cnt_corr.2      114.7   (13.9,211.7)  (128.6,211.7)  (243.4,215.5)
u_cnt_corr.3      114.7   (34.6,211.7)  (149.3,211.7)  (265.9,211.7)
u_cnt_corr.4      114.7   (55.2,211.7)  (169.9,211.7)  (284.6,211.7)
u_cnt_corr.5      114.5   (75.8,211.7)  (190.1,219.2)  (304.8,215.5)
u_cnt_corr.6      114.7   (96.0,211.7)  (210.7,215.5)  (325.4,215.5)
u_cnt_corr.7      114.7   (96.0,219.2)  (210.7,219.2)  (325.4,219.2)
u_cnt_corr.8      114.5   (75.8,219.2)  (190.1,226.8)  (312.0,219.2)
u_cnt_corr.9      114.7   (55.2,219.2)  (169.9,219.2)  (284.6,223.0)
u_cnt_corr.10     114.7   (34.6,219.2)  (149.3,219.2)  (264.0,219.2)
u_cnt_corr.11     114.7   (13.9,219.2)  (128.6,219.2)  (243.4,223.0)
u_cnt_corr.12     114.7   (13.9,230.6)  (128.6,226.8)  (243.4,226.8)
u_cnt_corr.13     114.7   (34.6,226.8)  (149.3,226.8)  (264.0,226.8)
u_cnt_corr.14     114.8   (55.2,223.0)  (169.9,226.8)  (284.6,230.6)
u_cnt_corr.15     114.5   (75.8,226.8)  (190.1,234.4)  (308.2,226.8)
u_cnt_plain.0      114.8   (96.0,226.8)  (210.7,230.6)  (325.4,226.8)
u_cnt_plain.1      109.4   (96.0,234.4)  (216.0,234.4)  (325.4,234.4)
u_cnt_plain.2      114.5   (75.8,234.4)  (190.1,241.9)  (304.8,234.4)
u_cnt_plain.3      114.7   (55.2,234.4)  (169.9,234.4)  (284.6,234.4)
u_cnt_plain.4      114.7   (34.6,234.4)  (149.3,234.4)  (264.0,234.4)
u_cnt_plain.5      114.7   (13.9,234.4)  (128.6,234.4)  (243.4,234.4)
u_cnt_plain.6      114.7   (13.9,241.9)  (128.6,241.9)  (243.4,241.9)
u_cnt_plain.7      114.7   (34.6,241.9)  (149.3,241.9)  (264.0,241.9)
u_cnt_plain.8      114.7   (55.2,241.9)  (169.9,241.9)  (284.6,241.9)
u_cnt_plain.9      114.5   (75.8,241.9)  (190.1,249.5)  (304.8,241.9)
u_cnt_plain.10     114.8   (96.0,241.9)  (210.7,245.7)  (325.4,241.9)
u_cnt_plain.11     114.8   (96.0,249.5)  (210.7,253.3)  (325.4,245.7)
u_cnt_plain.12     114.5   (75.8,249.5)  (190.1,257.0)  (304.8,249.5)
u_cnt_plain.13     114.8   (55.2,249.5)  (169.9,253.3)  (284.6,249.5)
u_cnt_plain.14     112.3   (34.6,249.5)  (146.9,249.5)  (264.0,249.5)
u_cnt_plain.15     114.8   (13.9,249.5)  (128.6,245.7)  (243.4,249.5)
u_cnt_unc.0      114.7   (13.9,257.0)  (128.6,257.0)  (243.4,257.0)
u_cnt_unc.1      114.7   (34.6,257.0)  (149.3,257.0)  (264.0,257.0)
u_cnt_unc.2      114.7   (55.2,257.0)  (169.9,257.0)  (284.6,257.0)
u_cnt_unc.3      114.3   (75.8,257.0)  (190.1,260.8)  (304.8,257.0)
u_cnt_unc.4      114.7   (96.0,257.0)  (210.7,257.0)  (325.4,257.0)
u_cnt_unc.5      114.7   (96.0,264.6)  (210.7,264.6)  (325.4,264.6)
u_cnt_unc.6      114.3   (75.8,264.6)  (190.1,268.4)  (304.8,264.6)
u_cnt_unc.7      110.9   (55.2,264.6)  (166.1,264.6)  (284.6,264.6)
u_en_d.0      114.7   (34.6,264.6)  (149.3,264.6)  (264.0,264.6)
u_fill.0      114.7   (13.9,264.6)  (128.6,264.6)  (243.4,264.6)
u_fill.1      114.8   (13.9,272.2)  (128.6,275.9)  (243.4,272.2)
u_fill.2      114.7   (34.6,272.2)  (149.3,272.2)  (264.0,272.2)
u_fill.3      114.7   (55.2,272.2)  (169.9,272.2)  (284.6,272.2)
u_fill.4      114.2   (75.8,272.2)  (190.1,272.2)  (304.8,275.9)
u_fill.5      114.7   (96.0,272.2)  (210.7,272.2)  (327.8,272.2)
u_fill.6      114.7   (96.0,279.7)  (210.7,279.7)  (325.4,279.7)
u_fill.7      114.2   (75.8,279.7)  (190.1,279.7)  (304.8,279.7)
u_fill.8      109.0   (55.2,279.7)  (164.2,279.7)  (284.6,283.5)
u_fill.9      114.7   (34.6,279.7)  (149.3,279.7)  (264.0,283.5)
u_fill.10     114.7   (13.9,279.7)  (128.6,279.7)  (243.8,279.7)
u_pat_d.0      110.5   (13.9,294.8)  (124.3,291.1)  (243.4,287.3)
u_pat_d.1      114.8   (34.6,287.3)  (149.3,283.5)  (264.0,291.1)
u_phase.0      114.7   (55.2,287.3)  (169.9,287.3)  (284.6,291.1)
u_run_cur.0      114.2   (75.8,287.3)  (190.1,287.3)  (304.8,287.3)
u_run_cur.1      114.7   (96.0,287.3)  (210.7,287.3)  (325.4,287.3)
u_run_cur.2      114.7   (96.0,294.8)  (210.7,294.8)  (325.4,294.8)
u_run_cur.3      114.2   (75.8,294.8)  (190.1,294.8)  (305.3,298.6)
u_run_cur.4      112.4   (55.2,294.8)  (167.5,298.6)  (291.4,294.8)
u_run_cur.5      112.8   (34.6,294.8)  (147.4,294.8)  (264.0,298.6)
u_run_cur.6      107.8   (13.9,302.4)  (121.4,294.8)  (243.4,294.8)
u_run_cur.7      114.7   (13.9,313.7)  (128.6,302.4)  (243.4,302.4)
u_run_max.0      113.8   (34.6,302.4)  (148.3,306.2)  (264.0,302.4)
u_run_max.1      114.7   (55.2,302.4)  (169.9,302.4)  (284.6,302.4)
u_run_max.2      114.2   (75.8,302.4)  (190.1,302.4)  (306.7,306.2)
u_run_max.3      114.8   (96.0,298.6)  (210.7,306.2)  (325.4,302.4)
u_run_max.4      114.7   (96.0,313.7)  (210.7,310.0)  (325.4,310.0)
u_run_max.5      114.2   (75.8,310.0)  (190.1,310.0)  (310.6,310.0)
u_run_max.6      112.9   (55.2,310.0)  (168.0,313.7)  (284.6,310.0)
u_run_max.7      114.8   (34.6,310.0)  (149.3,313.7)  (264.0,310.0)
