 frequency              rejection             
 3.981071705535053e+04  4.336325955550418e+01 
 4.168693834703439e+04  4.296383943391206e+01 
 4.365158322401749e+04  4.256447513189300e+01 
 4.570881896148844e+04  4.216517203170739e+01 
 4.786300923226482e+04  4.176593603257794e+01 
 5.011872336272826e+04  4.136677359943477e+01 
 5.248074602497835e+04  4.096769181818505e+01 
 5.495408738576360e+04  4.056869845406111e+01 
 5.754399373371689e+04  4.016980201643666e+01 
 6.025595860743703e+04  3.977101183146907e+01 
 6.309573444802064e+04  3.937233811803650e+01 
 6.606934480076098e+04  3.897379207337607e+01 
 6.918309709189511e+04  3.857538596582800e+01 
 7.244359600750054e+04  3.817713323769608e+01 
 7.585775750291999e+04  3.777904861470174e+01 
 7.943282347242985e+04  3.738114822807891e+01 
 8.317637711026889e+04  3.698344974728620e+01 
 8.709635899560995e+04  3.658597252515047e+01 
 9.120108393559295e+04  3.618873775489358e+01 
 9.549925860214567e+04  3.579176864377450e+01 
 1.000000000000022e+05  3.539509059996896e+01 
 1.047128548050922e+05  3.499873143844184e+01 
 1.096478196143209e+05  3.460272160364947e+01 
 1.148153621496908e+05  3.420709441279874e+01 
 1.202264434617439e+05  3.381188631995315e+01 
 1.258925411794195e+05  3.341713720349493e+01 
 1.318256738556436e+05  3.302289067767109e+01 
 1.380384264602916e+05  3.262919443107629e+01 
 1.445439770745960e+05  3.223610059429178e+01 
 1.513561248436242e+05  3.184366613549161e+01 
 1.584893192461149e+05  3.145195329026097e+01 
 1.659586907437598e+05  3.106103002421382e+01 
 1.737800828749415e+05  3.067097053328933e+01 
 1.819700858610025e+05  3.028185577915863e+01 
 1.905460717963291e+05  2.989377406693600e+01 
 1.995262314968925e+05  2.950682166160766e+01 
 2.089296130854088e+05  2.912110344881643e+01 
 2.187761623949603e+05  2.873673363712771e+01 
 2.290867652767826e+05  2.835383650552253e+01 
 2.398832919019546e+05  2.797254719344598e+01 
 2.511886431509639e+05  2.759301253385014e+01 
 2.630267991895443e+05  2.721539192943745e+01 
 2.754228703338231e+05  2.683985826423454e+01 
 2.884031503126674e+05  2.646659885319284e+01 
 3.019951720402087e+05  2.609581641755939e+01 
 3.162277660168454e+05  2.572773008556675e+01 
