 time                   v(clk)                 v(xt.icmp)             v(xt.vth_soft)         v(xt.vth_hard)         v(cmp_soft)            v(cmp_hard)            v(isense)              v(xt.icmp_h)          
 3.452748262200685e-07  1.200000000000000e+00  9.798665676320772e-01  7.933121509724363e-01  1.003173163671891e+00  1.199999465108979e+00  1.200390161766256e+00  1.990078852401834e+00  1.010288412908087e+00 
 3.462748262200685e-07  1.200000000000000e+00  9.803902172335388e-01  7.936005677522486e-01  1.002791417964795e+00  1.199995729322381e+00  1.199614462965582e+00  1.990083366651609e+00  1.009749000524474e+00 
 3.472748262200685e-07  1.200000000000000e+00  9.808934872407251e-01  7.938702305327225e-01  1.002441282784112e+00  1.199999668436226e+00  1.200379807616794e+00  1.990087735517710e+00  1.009226596336843e+00 
 3.482748262200685e-07  1.200000000000000e+00  9.813818552984501e-01  7.941293286598090e-01  1.002123716647940e+00  1.199995812647387e+00  1.199624705879833e+00  1.990091805865710e+00  1.008724754731678e+00 
 3.492748262200686e-07  1.200000000000000e+00  9.818510995422928e-01  7.943718336600113e-01  1.001832323015166e+00  1.199999851843533e+00  1.200369697544508e+00  1.990095427344440e+00  1.008239029911131e+00 
 3.502748262200686e-07  1.200000000000000e+00  9.823065577210039e-01  7.946056362642266e-01  1.001567866486862e+00  1.199995880771094e+00  1.199634706270650e+00  1.990098465518959e+00  1.007772177894290e+00 
 3.512748262200686e-07  1.200000000000000e+00  9.827440561980683e-01  7.948247111509590e-01  1.001325298706890e+00  1.200000018631327e+00  1.200359826884419e+00  1.990100814062645e+00  1.007320541603673e+00 
 3.522748262200686e-07  1.200000000000000e+00  9.831687966702957e-01  7.950366750449078e-01  1.001105126951091e+00  1.199995936479956e+00  1.199644468815681e+00  1.990102401708408e+00  1.006886246216192e+00 
 3.532748262200687e-07  1.200000000000000e+00  9.835766583219535e-01  7.952355151571098e-01  1.000903311217145e+00  1.200000171376863e+00  1.200350191047827e+00  1.990103196404960e+00  1.006466267649394e+00 
 3.542748262200687e-07  1.200000000000000e+00  9.839727122287740e-01  7.954285844647908e-01  1.000720117226757e+00  1.199995981953704e+00  1.199653998116507e+00  1.990103204344407e+00  1.006062243008200e+00 
 3.552748262200687e-07  1.200000000000000e+00  9.843528950504702e-01  7.956098873826631e-01  1.000552286106968e+00  1.200000312124458e+00  1.200340785519957e+00  1.990102466609784e+00  1.005671650448092e+00 
 3.562748262200687e-07  1.200000000000000e+00  9.847221530786392e-01  7.957865257782855e-01  1.000399902391349e+00  1.199996018919890e+00  1.199663298698141e+00  1.990101052455708e+00  1.005295759622182e+00 
