seed,run_id,vref25_V,loaded_reference_four_point_box_TC_ppm_C,loaded_reference_25_to_100_slope_ppm_C,linear_cold_residual_C,linear_hot_residual_C,linear_endpoint_status
51056,t2f_mc100_20260921_01_s51056,1.04701,17.48123733587114,-24.32323155143449,-1.2063522014338446,-0.34877198431543377,passed
51057,t2f_mc100_20260921_01_s51057,1.06556,50.96196394668605,39.79128345658426,-1.8599460559364758,-0.5768381692935378,passed
51058,t2f_mc100_20260921_01_s51058,1.03287,49.87573607051475,-61.70508711970927,-0.7490503191742448,-0.28929562292282185,passed
51059,t2f_mc100_20260921_01_s51059,1.01993,101.3735642582725,-113.60256749646395,-0.39599537189340595,-0.174948244182346,passed
51060,t2f_mc100_20260921_01_s51060,1.06183,49.88528951875233,38.92650738190895,-1.9564286045601023,-0.5197972439979281,passed
51061,t2f_mc100_20260921_01_s51061,1.02557,87.75607710833992,-100.10693240506926,-0.5674609244689179,-0.21003977624552306,passed
51062,t2f_mc100_20260921_01_s51062,1.02084,92.79345708169049,-105.01155910818571,-0.6533353687210735,-0.18306725078971908,passed
51063,t2f_mc100_20260921_01_s51063,1.07434,90.09054748764733,79.42861043369238,-2.3065348400123895,-0.6132632196513157,failed
51064,t2f_mc100_20260921_01_s51064,1.03004,70.07671370220449,-82.06801030380777,-0.6255851635686867,-0.22240638899056364,passed
51065,t2f_mc100_20260921_01_s51065,1.01419,115.99045902283059,-128.31257785359097,-0.20602539877504,-0.06787428556941677,passed
51066,t2f_mc100_20260921_01_s51066,1.02344,61.764364508052104,-73.34740352796872,-0.527181903768053,-0.2050700524300879,passed
51067,t2f_mc100_20260921_01_s51067,1.01916,119.8253582570072,-132.52744089904104,-0.16352690298535322,-0.09114881866560154,passed
51068,t2f_mc100_20260921_01_s51068,1.04342,42.28518920589201,-54.4363726974743,-1.1087062165692174,-0.3175040804659801,passed
51069,t2f_mc100_20260921_01_s51069,1.02023,116.55125894071998,-129.12121123014617,-0.3273270987878618,-0.1112649381947648,passed
51070,t2f_mc100_20260921_01_s51070,1.05117,10.205078842881438,-12.557435999887012,-1.3569951820574175,-0.40065989507826316,passed
51071,t2f_mc100_20260921_01_s51071,1.02441,90.5177348203082,-102.82341380241681,-0.45440278107747645,-0.17724817437432705,passed
51072,t2f_mc100_20260921_01_s51072,1.04632,27.45553246356041,-39.503529831534934,-1.0917543019389768,-0.34830808550211145,passed
51073,t2f_mc100_20260921_01_s51073,1.02177,81.55781960062855,-93.43263813448003,-0.5161515891707182,-0.15553942753538763,passed
51074,t2f_mc100_20260921_01_s51074,1.03439,48.7478053966509,-60.58321007227955,-0.632243005364657,-0.19564413276711434,passed
51075,t2f_mc100_20260921_01_s51075,1.05309,24.286392972829397,12.534541207302277,-1.3702674051804706,-0.4208504780680329,passed
51076,t2f_mc100_20260921_01_s51076,1.04488,17.980896167865602,-25.266059260394456,-1.1033766313237265,-0.3629361098693664,passed
51077,t2f_mc100_20260921_01_s51077,1.03068,73.14970640154019,-85.38052547832464,-0.5473028231929646,-0.16900092735794203,passed
51078,t2f_mc100_20260921_01_s51078,1.01011,131.2488318853961,-143.6411215940181,-0.018077417591186418,-0.051465755854138706,passed
51079,t2f_mc100_20260921_01_s51079,1.05007,15.29479564277268,-20.950984220101294,-1.332133809544331,-0.43666592475747734,passed
51080,t2f_mc100_20260921_01_s51080,1.0217,93.9017264748889,-105.96717888486633,-0.44613672687972894,-0.15876825309277365,passed
51081,t2f_mc100_20260921_01_s51081,1.04585,11.763666207419956,-15.043584962789087,-1.1810597042904334,-0.370270467493782,passed
51082,t2f_mc100_20260921_01_s51082,1.04297,16.386769601148032,-22.755528283010896,-1.1179500321881477,-0.40017015485425134,passed
51083,t2f_mc100_20260921_01_s51083,1.06375,30.765943809422478,19.17743830787207,-1.7146504208303668,-0.4713399434904062,passed
51084,t2f_mc100_20260921_01_s51084,1.03921,18.137320511238848,-25.532215176271578,-0.8647102903222361,-0.31852833499240774,passed
51085,t2f_mc100_20260921_01_s51085,1.0237,87.9163817524667,-100.15955195206891,-0.5878648802141981,-0.19317086917858717,passed
51086,t2f_mc100_20260921_01_s51086,1.05704,12.843182448873929,-3.658013572490996,-1.495990664390277,-0.4543774256263191,passed
51087,t2f_mc100_20260921_01_s51087,1.01648,99.15382377211388,-111.10236633611325,-0.5496772875753777,-0.14331063420389967,passed
51088,t2f_mc100_20260921_01_s51088,1.04612,36.6723094517226,-48.815304808880924,-0.9698718798975818,-0.2842184388574225,passed
51089,t2f_mc100_20260921_01_s51089,1.06361,48.14934159336625,36.98097360247843,-1.9057827111277845,-0.5016907662008663,passed
51090,t2f_mc100_20260921_01_s51090,1.0376,43.80738767785836,-55.64122333590493,-1.0540860918587782,-0.2978865365393375,passed
51091,t2f_mc100_20260921_01_s51091,1.03472,60.91532301521457,-72.93438482552409,-0.5618611456799556,-0.23280531764693535,passed
51092,t2f_mc100_20260921_01_s51092,1.03799,53.074604852560576,-65.25432165370788,-0.8254818529565142,-0.24450440959253683,passed
51093,t2f_mc100_20260921_01_s51093,1.04804,10.582524608706803,-8.651069297610134,-1.2105299413747446,-0.3382099322730028,passed
51094,t2f_mc100_20260921_01_s51094,1.04891,13.98276941459916,0.3813482567623557,-1.3052229869314687,-0.4634993755988006,passed
51095,t2f_mc100_20260921_01_s51095,1.03114,58.71700694906046,-70.60147021742995,-0.8455658256224723,-0.32276775418695536,passed
51096,t2f_mc100_20260921_01_s51096,1.06999,87.4547963773091,76.88545375813464,-2.0505516896387377,-0.6036342577037743,failed
51097,t2f_mc100_20260921_01_s51097,1.05614,21.519185645154607,8.963458127393409,-1.40175678223018,-0.4930953026164673,passed
51098,t2f_mc100_20260921_01_s51098,1.00617,150.12825412658475,-162.82205458984845,-0.03603052958744968,-0.030166847430109556,passed
51099,t2f_mc100_20260921_01_s51099,1.01606,118.81903896154988,-131.35707208891716,-0.43736818659326104,-0.13217554299697554,passed
51100,t2f_mc100_20260921_01_s51100,1.06524,59.73899181063738,48.69012303956607,-1.8346197147307493,-0.5045333825554792,passed
