attempted_temperatures,calibration_status,cold_residual_C,completed_temperatures,failed_temperatures,fingerprints_status,frequency25_Hz,hbt_vce_max_V,hot_residual_C,image_id,maximum_abs_residual_C,not_completed_temperatures,run_id,seed,slope_Hz_C
4,passed,-0.20210002385329062,4,0,passed,1479584.872872218,1.0648321488970236,-0.030581997039860198,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,0.20210002385329062,0,t2f_mc20_20260921_01_s51014,51014,5026.439494843294
4,passed,-0.23958869460949472,4,0,passed,1463534.617212978,1.0694167787454567,-0.0693227040205926,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,0.23958869460949472,0,t2f_mc20_20260921_01_s51015,51015,4894.994663180802
4,passed,-1.3026448633299736,4,0,passed,1519499.788267201,1.0770846082348304,-0.41671774154984575,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,1.3026448633299736,0,t2f_mc20_20260921_01_s51016,51016,4969.848690033412
4,passed,-0.46905619519068864,4,0,passed,1486163.032641992,1.067154516582258,-0.15499905744879072,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,0.46905619519068864,0,t2f_mc20_20260921_01_s51017,51017,5010.971330413961
4,passed,-1.5146006782562011,4,0,passed,1591129.611528688,1.090092460194905,-0.4914350092826538,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,1.5146006782562011,0,t2f_mc20_20260921_01_s51018,51018,5063.785244410451
4,passed,-1.0487199896883652,4,0,passed,1514575.230750269,1.0831978566192142,-0.3835974308558434,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,1.0487199896883652,0,t2f_mc20_20260921_01_s51019,51019,4992.2499539549335
4,passed,-1.5174563357189186,4,0,passed,1559713.079081254,1.089681103445039,-0.5071461196503009,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,1.5174563357189186,0,t2f_mc20_20260921_01_s51020,51020,5052.623392742918
4,passed,-1.2017257473526826,4,0,passed,1543657.132139751,1.086998522244026,-0.41792756098740824,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.2017257473526826,0,t2f_mc100_20260921_01_s51021,51021,5017.485071688586
4,passed,-0.9876103971143237,4,0,passed,1507360.914395278,1.0760564459865196,-0.31925530956317516,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.9876103971143237,0,t2f_mc100_20260921_01_s51022,51022,4967.924130282266
4,passed,-1.2681756365489747,4,0,passed,1553803.253935929,1.0948495553729778,-0.35427429251028286,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.2681756365489747,0,t2f_mc100_20260921_01_s51023,51023,5044.357509279068
4,passed,-0.8460124523919745,4,0,passed,1474897.837974914,1.0681988187176854,-0.24034984785591007,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.8460124523919745,0,t2f_mc100_20260921_01_s51024,51024,4885.991782931189
