model,temperature_C,vref_V,iptat_A,total_current_A
PEX + estimated wire R,-15.0,1.03788699,3.52835554e-06,1.88839323e-05
PEX + estimated wire R,-10.0,1.03786878,3.59700121e-06,1.92410846e-05
PEX + estimated wire R,-5.0,1.03783763,3.66558723e-06,1.95981288e-05
PEX + estimated wire R,0.0,1.03779372,3.73411017e-06,1.99550502e-05
PEX + estimated wire R,5.0,1.03773723,3.8025666e-06,2.03118341e-05
PEX + estimated wire R,10.0,1.03766835,3.87095315e-06,2.06684661e-05
PEX + estimated wire R,15.0,1.03758724,3.93926645e-06,2.10249317e-05
PEX + estimated wire R,20.0,1.03749407,4.00750319e-06,2.13812169e-05
PEX + estimated wire R,25.0,1.03738899,4.07566007e-06,2.17373074e-05
PEX + estimated wire R,30.0,1.03727218,4.14373383e-06,2.20931893e-05
PEX + estimated wire R,35.0,1.03714378,4.21172124e-06,2.24488489e-05
PEX + estimated wire R,40.0,1.03700394,4.27961911e-06,2.28042724e-05
PEX + estimated wire R,45.0,1.03685282,4.34742429e-06,2.31594464e-05
PEX + estimated wire R,50.0,1.03669056,4.41513369e-06,2.35143577e-05
PEX + estimated wire R,55.0,1.03651731,4.48274431e-06,2.38689933e-05
PEX + estimated wire R,60.0,1.03633322,4.55025324e-06,2.42233409e-05
PEX + estimated wire R,65.0,1.03613846,4.61765772e-06,2.45773888e-05
PEX + estimated wire R,70.0,1.03593321,4.68495522e-06,2.49311262e-05
PEX + estimated wire R,75.0,1.03571765,4.75214356e-06,2.52845442e-05
PEX + estimated wire R,80.0,1.03549204,4.81922106e-06,2.5637636e-05
PEX + estimated wire R,85.0,1.03525667,4.88618682e-06,2.59903987e-05
PEX + estimated wire R,90.0,1.03501196,4.9530411e-06,2.6342835e-05
PEX + estimated wire R,95.0,1.03475845,5.01978585e-06,2.66949556e-05
PEX + estimated wire R,100.0,1.0344969,5.08642549e-06,2.70467833e-05
PEX + estimated wire R,105.0,1.03422838,5.15296783e-06,2.73983575e-05
PEX + estimated wire R,110.0,1.03395439,5.21942545e-06,2.77497411e-05
PEX + estimated wire R,115.0,1.03367698,5.28581736e-06,2.81010293e-05
PEX + estimated wire R,120.0,1.03339902,5.35217149e-06,2.84523622e-05
PEX + estimated wire R,125.0,1.03312449,5.41852834e-06,2.88039435e-05
PEX + estimated wire R,130.0,1.03285903,5.4849465e-06,2.91560683e-05
PEX + estimated wire R,135.0,1.0326106,5.55151069e-06,2.95091635e-05
PEX + estimated wire R,140.0,1.03239057,5.61834305e-06,2.98638443e-05
PEX + estimated wire R,145.0,1.03221509,5.68561865e-06,3.02209915e-05
PEX + estimated wire R,150.0,1.03210702,5.75358634e-06,3.05818563e-05
PEX + estimated wire R,155.0,1.03209847,5.82259669e-06,3.09481995e-05
PEX + estimated wire R,160.0,1.03223417,5.8931391e-06,3.13224777e-05
PEX + estimated wire R,165.0,1.032576,5.96589065e-06,3.17080876e-05
PEX + estimated wire R,170.0,1.03320883,6.04178011e-06,3.21096861e-05
PEX + estimated wire R,175.0,1.03424815,6.12207089e-06,3.25336061e-05
