deck,dvbe,iptat,vref
mc_typ_mismatch_T27_3.3_s085,0.05507344,4.106323e-06,1.034918
mc_typ_mismatch_T27_3.3_s086,0.05430019,4.107398e-06,1.032418
mc_typ_mismatch_T27_3.3_s087,0.0550098,4.145687e-06,1.036665
mc_typ_mismatch_T27_3.3_s088,0.06099304,4.584645e-06,1.082079
mc_typ_mismatch_T27_3.3_s089,0.05939697,4.409445e-06,1.060079
mc_typ_mismatch_T27_3.3_s090,0.05476174,4.147568e-06,1.036537
mc_typ_mismatch_T27_3.3_s091,0.05908007,4.386544e-06,1.058623
mc_typ_mismatch_T27_3.3_s092,0.05953395,4.486427e-06,1.068052
mc_typ_mismatch_T27_3.3_s093,0.05591416,4.214054e-06,1.048415
mc_typ_mismatch_T27_3.3_s094,0.05810389,4.387773e-06,1.061196
mc_typ_mismatch_T27_3.3_s095,0.05456449,4.079354e-06,1.036955
mc_typ_mismatch_T27_3.3_s096,0.05812986,4.364368e-06,1.06253
mc_typ_mismatch_T27_3.3_s097,0.06004877,4.499771e-06,1.068249
mc_typ_mismatch_T27_3.3_s098,0.05662487,4.269256e-06,1.045108
mc_typ_mismatch_T27_3.3_s099,0.05135214,3.874103e-06,1.014035
mc_typ_mismatch_T27_3.3_s100,0.05809013,4.387535e-06,1.060172
mc_typ_mismatch_T27_3.3_s101,0.05923583,4.422484e-06,1.05785
mc_typ_mismatch_T27_3.3_s102,0.05487838,4.111143e-06,1.035208
mc_typ_mismatch_T27_3.3_s103,0.05468659,4.134189e-06,1.037984
mc_typ_mismatch_T27_3.3_s104,0.05443425,4.103482e-06,1.03051
mc_typ_mismatch_T27_3.3_s105,0.05445652,4.121247e-06,1.03277
mc_typ_mismatch_T27_3.3_s106,0.05769286,4.354605e-06,1.059836
mc_typ_mismatch_T27_3.3_s107,0.05369599,4.034322e-06,1.027624
mc_typ_mismatch_T27_3.3_s108,0.05222627,3.898694e-06,1.015184
mc_typ_mismatch_T27_3.3_s109,0.05608689,4.195996e-06,1.051198
mc_typ_mismatch_T27_3.3_s110,0.05819267,4.366712e-06,1.056181
mc_typ_mismatch_T27_3.3_s111,0.05887654,4.475029e-06,1.069509
mc_typ_mismatch_T27_3.3_s112,0.05464995,4.106083e-06,1.035061
mc_typ_mismatch_T27_3.3_s113,0.05447825,4.098279e-06,1.039346
mc_typ_mismatch_T27_3.3_s114,0.05404298,4.108837e-06,1.032513
mc_typ_mismatch_T27_3.3_s115,0.05676062,4.233439e-06,1.044938
mc_typ_mismatch_T27_3.3_s116,0.05178035,3.870145e-06,1.013027
mc_typ_mismatch_T27_3.3_s117,0.05589703,4.174452e-06,1.046408
mc_typ_mismatch_T27_3.3_s118,0.05614616,4.176876e-06,1.040875
mc_typ_mismatch_T27_3.3_s119,0.05808061,4.352757e-06,1.052314
mc_typ_mismatch_T27_3.3_s120,0.05380588,4.07581e-06,1.031704
mc_typ_mismatch_T27_3.3_s121,0.05698539,4.275401e-06,1.049136
mc_typ_mismatch_T27_3.3_s122,0.05329153,3.999979e-06,1.026113
mc_typ_mismatch_T27_3.3_s123,0.05622274,4.197641e-06,1.044511
mc_typ_mismatch_T27_3.3_s124,0.05583198,4.187897e-06,1.046834
mc_typ_mismatch_T27_3.3_s125,0.05948246,4.491275e-06,1.068198
mc_typ_mismatch_T27_3.3_s126,0.05637555,4.222068e-06,1.045563
mc_typ_mismatch_T27_3.3_s127,0.05292887,3.974915e-06,1.026817
mc_typ_mismatch_T27_3.3_s128,0.05417856,4.026802e-06,1.028291
mc_typ_mismatch_T27_3.3_s129,0.05060705,3.751574e-06,0.9970509
mc_typ_mismatch_T27_3.3_s130,0.05528899,4.134022e-06,1.040019
mc_typ_mismatch_T27_3.3_s131,0.05384231,4.00644e-06,1.026392
mc_typ_mismatch_T27_3.3_s132,0.05596411,4.211804e-06,1.043289
mc_typ_mismatch_T27_3.3_s133,0.05589527,4.242056e-06,1.044921
mc_typ_mismatch_T27_3.3_s134,0.05179244,3.90929e-06,1.01557
mc_typ_mismatch_T27_3.3_s135,0.0517024,3.886905e-06,1.021423
mc_typ_mismatch_T27_3.3_s136,0.05125296,3.847017e-06,1.012881
mc_typ_mismatch_T27_3.3_s137,0.05958852,4.502642e-06,1.066635
mc_typ_mismatch_T27_3.3_s138,0.05366599,4.013126e-06,1.027047
mc_typ_mismatch_T27_3.3_s139,0.05369949,4.013927e-06,1.026532
mc_typ_mismatch_T27_3.3_s140,0.05298201,3.955784e-06,1.015908
mc_typ_mismatch_T27_3.3_s141,0.05294707,3.939801e-06,1.028373
mc_typ_mismatch_T27_3.3_s142,0.05143653,3.856741e-06,1.016542
mc_typ_mismatch_T27_3.3_s143,0.05589615,4.209337e-06,1.041406
mc_typ_mismatch_T27_3.3_s144,0.05487562,4.095607e-06,1.033546
mc_typ_mismatch_T27_3.3_s145,0.0576187,4.335321e-06,1.057437
mc_typ_mismatch_T27_3.3_s146,0.05558064,4.18576e-06,1.046468
mc_typ_mismatch_T27_3.3_s147,0.05329994,3.99782e-06,1.024143
mc_typ_mismatch_T27_3.3_s148,0.0568129,4.28025e-06,1.048847
mc_typ_mismatch_T27_3.3_s149,0.05701969,4.284146e-06,1.051887
mc_typ_mismatch_T27_3.3_s150,0.06007881,4.532347e-06,1.068126
mc_typ_mismatch_T27_3.3_s151,0.05611508,4.185431e-06,1.043859
mc_typ_mismatch_T27_3.3_s152,0.05743573,4.304108e-06,1.053919
mc_typ_mismatch_T27_3.3_s153,0.05864608,4.37532e-06,1.06042
mc_typ_mismatch_T27_3.3_s154,0.0591404,4.483731e-06,1.065309
mc_typ_mismatch_T27_3.3_s155,0.05626784,4.24486e-06,1.045591
mc_typ_mismatch_T27_3.3_s156,0.05290701,4.013144e-06,1.027659
mc_typ_mismatch_T27_3.3_s157,0.05776962,4.333189e-06,1.061834
mc_typ_mismatch_T27_3.3_s158,0.05506209,4.055774e-06,1.033612
mc_typ_mismatch_T27_3.3_s159,0.04964612,3.743758e-06,1.002771
mc_typ_mismatch_T27_3.3_s160,0.05248055,3.956034e-06,1.019165
mc_typ_mismatch_T27_3.3_s161,0.05589798,4.204417e-06,1.045545
mc_typ_mismatch_T27_3.3_s162,0.05559223,4.138005e-06,1.042958
mc_typ_mismatch_T27_3.3_s163,0.05099516,3.851818e-06,1.011015
mc_typ_mismatch_T27_3.3_s164,0.05922793,4.457269e-06,1.069143
mc_typ_mismatch_T27_3.3_s165,0.05732807,4.259202e-06,1.051351
mc_typ_mismatch_T27_3.3_s166,0.05452051,4.076574e-06,1.035521
mc_typ_mismatch_T27_3.3_s167,0.05323241,3.984027e-06,1.0284
mc_typ_mismatch_T27_3.3_s168,0.05798672,4.422742e-06,1.06892
mc_typ_mismatch_T27_3.3_s169,0.05837583,4.336048e-06,1.053319
mc_typ_mismatch_T27_3.3_s170,0.05372283,3.994709e-06,1.027158
mc_typ_mismatch_T27_3.3_s171,0.05728644,4.288955e-06,1.056517
mc_typ_mismatch_T27_3.3_s172,0.05102794,3.831092e-06,1.005896
mc_typ_mismatch_T27_3.3_s173,0.05198738,3.899474e-06,1.012408
mc_typ_mismatch_T27_3.3_s174,0.05437105,4.108768e-06,1.035147
mc_typ_mismatch_T27_3.3_s175,0.0525634,3.866789e-06,1.016755
mc_typ_mismatch_T27_3.3_s176,0.05719646,4.293393e-06,1.054255
mc_typ_mismatch_T27_3.3_s177,0.05234997,3.955861e-06,1.020184
mc_typ_mismatch_T27_3.3_s178,0.05418391,4.088425e-06,1.03417
mc_typ_mismatch_T27_3.3_s179,0.06333546,4.775711e-06,1.093516
mc_typ_mismatch_T27_3.3_s180,0.05041437,3.832036e-06,1.01399
mc_typ_mismatch_T27_3.3_s181,0.05649348,4.251217e-06,1.045346
mc_typ_mismatch_T27_3.3_s182,0.05712391,4.267571e-06,1.049033
mc_typ_mismatch_T27_3.3_s183,0.05564088,4.182523e-06,1.042056
mc_typ_mismatch_T27_3.3_s184,0.05736902,4.326603e-06,1.056258
mc_typ_mismatch_T27_3.3_s185,0.0569651,4.294119e-06,1.053464
mc_typ_mismatch_T27_3.3_s186,0.05492766,4.152715e-06,1.044329
mc_typ_mismatch_T27_3.3_s187,0.05360518,4.005165e-06,1.032205
mc_typ_mismatch_T27_3.3_s188,0.0508972,3.802913e-06,1.006347
mc_typ_mismatch_T27_3.3_s189,0.05343513,3.994065e-06,1.025904
mc_typ_mismatch_T27_3.3_s190,0.05372368,4.060803e-06,1.03583
mc_typ_mismatch_T27_3.3_s191,0.05687311,4.244187e-06,1.047173
mc_typ_mismatch_T27_3.3_s192,0.05336589,3.990787e-06,1.024768
mc_typ_mismatch_T27_3.3_s193,0.05234518,3.964286e-06,1.023082
mc_typ_mismatch_T27_3.3_s194,0.05365028,4.069269e-06,1.025343
mc_typ_mismatch_T27_3.3_s195,0.05908064,4.414115e-06,1.057138
mc_typ_mismatch_T27_3.3_s196,0.05378718,4.047345e-06,1.03082
mc_typ_mismatch_T27_3.3_s197,0.05373061,4.049824e-06,1.0327
mc_typ_mismatch_T27_3.3_s198,0.05690204,4.284106e-06,1.050856
mc_typ_mismatch_T27_3.3_s199,0.05646765,4.285108e-06,1.04909
mc_typ_mismatch_T27_3.3_s200,0.05460287,4.093907e-06,1.032643
mc_typ_mismatch_T27_3.3_s201,0.05423198,4.102544e-06,1.028847
mc_typ_mismatch_T27_3.3_s202,0.05883462,4.505385e-06,1.073784
mc_typ_mismatch_T27_3.3_s203,0.05877308,4.398061e-06,1.062449
mc_typ_mismatch_T27_3.3_s204,0.0502615,3.751926e-06,1.007865
mc_typ_mismatch_T27_3.3_s205,0.05729048,4.265838e-06,1.051125
mc_typ_mismatch_T27_3.3_s206,0.05822003,4.367453e-06,1.057072
mc_typ_mismatch_T27_3.3_s207,0.05526571,4.134865e-06,1.038923
mc_typ_mismatch_T27_3.3_s208,0.05837281,4.39925e-06,1.059829
mc_typ_mismatch_T27_3.3_s209,0.05549864,4.157464e-06,1.035368
mc_typ_mismatch_T27_3.3_s210,0.05750443,4.291196e-06,1.052352
mc_typ_mismatch_T27_3.3_s211,0.0531199,3.975056e-06,1.025637
mc_typ_mismatch_T27_3.3_s212,0.05576635,4.171942e-06,1.037299
mc_typ_mismatch_T27_3.3_s213,0.05659563,4.268905e-06,1.04953
mc_typ_mismatch_T27_3.3_s214,0.05437367,4.128164e-06,1.038468
mc_typ_mismatch_T27_3.3_s215,0.04884752,3.659515e-06,0.9939431
mc_typ_mismatch_T27_3.3_s216,0.05471605,4.089899e-06,1.037465
mc_typ_mismatch_T27_3.3_s217,0.05118438,3.866697e-06,1.010328
mc_typ_mismatch_T27_3.3_s218,0.05448738,4.141793e-06,1.03616
mc_typ_mismatch_T27_3.3_s219,0.06083429,4.60957e-06,1.082499
mc_typ_mismatch_T27_3.3_s220,0.05428013,4.069028e-06,1.031291
mc_typ_mismatch_T27_3.3_s221,0.05436787,4.117416e-06,1.032254
mc_typ_mismatch_T27_3.3_s222,0.05277267,3.964815e-06,1.031006
mc_typ_mismatch_T27_3.3_s223,0.05802199,4.373792e-06,1.056707
mc_typ_mismatch_T27_3.3_s224,0.0553114,4.130552e-06,1.035539
mc_typ_mismatch_T27_3.3_s225,0.05963033,4.466251e-06,1.070503
mc_typ_mismatch_T27_3.3_s226,0.05309483,4.007283e-06,1.024765
mc_typ_mismatch_T27_3.3_s227,0.05944011,4.409063e-06,1.065642
mc_typ_mismatch_T27_3.3_s228,0.05968837,4.453059e-06,1.061463
mc_typ_mismatch_T27_3.3_s229,0.05527416,4.106705e-06,1.041475
mc_typ_mismatch_T27_3.3_s230,0.05169504,3.862705e-06,1.012629
mc_typ_mismatch_T27_3.3_s231,0.05408181,4.091353e-06,1.033454
mc_typ_mismatch_T27_3.3_s232,0.05513211,4.1572e-06,1.038846
mc_typ_mismatch_T27_3.3_s233,0.04976855,3.70378e-06,1.002397
mc_typ_mismatch_T27_3.3_s234,0.05017066,3.786399e-06,1.003428
mc_typ_mismatch_T27_3.3_s235,0.05639828,4.269688e-06,1.048081
mc_typ_mismatch_T27_3.3_s236,0.05388994,4.023635e-06,1.027378
mc_typ_mismatch_T27_3.3_s237,0.05832694,4.421984e-06,1.066468
mc_typ_mismatch_T27_3.3_s238,0.05837868,4.386696e-06,1.058517
mc_typ_mismatch_T27_3.3_s239,0.05180077,3.859991e-06,1.015016
mc_typ_mismatch_T27_3.3_s240,0.05438742,4.086852e-06,1.031502
mc_typ_mismatch_T27_3.3_s241,0.05318723,3.973608e-06,1.026026
mc_typ_mismatch_T27_3.3_s242,0.05260772,3.946388e-06,1.017817
mc_typ_mismatch_T27_3.3_s243,0.05331307,3.985183e-06,1.023068
mc_typ_mismatch_T27_3.3_s244,0.05128027,3.893454e-06,1.011042
mc_typ_mismatch_T27_3.3_s245,0.05940073,4.414415e-06,1.064167
mc_typ_mismatch_T27_3.3_s246,0.05076263,3.784345e-06,1.011279
mc_typ_mismatch_T27_3.3_s247,0.05345915,4.036449e-06,1.027336
mc_typ_mismatch_T27_3.3_s248,0.05165749,3.862856e-06,1.014501
mc_typ_mismatch_T27_3.3_s249,0.05411371,4.103565e-06,1.036876
mc_typ_mismatch_T27_3.3_s250,0.06080085,4.614068e-06,1.082904
mc_typ_mismatch_T27_3.3_s251,0.05744567,4.295006e-06,1.060994
mc_typ_mismatch_T27_3.3_s252,0.05232634,3.896738e-06,1.012149
mc_typ_mismatch_T27_3.3_s253,0.05199604,3.880045e-06,1.01682
mc_typ_mismatch_T27_3.3_s254,0.05280122,4.007266e-06,1.027811
mc_typ_mismatch_T27_3.3_s255,0.05454405,4.136187e-06,1.037019
mc_typ_mismatch_T27_3.3_s256,0.05206223,3.947602e-06,1.021761
mc_typ_mismatch_T27_3.3_s257,0.05804712,4.443713e-06,1.062731
mc_typ_mismatch_T27_3.3_s258,0.05692646,4.273416e-06,1.044525
mc_typ_mismatch_T27_3.3_s259,0.05731603,4.298906e-06,1.060031
mc_typ_mismatch_T27_3.3_s260,0.05751457,4.313925e-06,1.050832
mc_typ_mismatch_T27_3.3_s261,0.06028098,4.542377e-06,1.074045
mc_typ_mismatch_T27_3.3_s262,0.05670839,4.240787e-06,1.046737
mc_typ_mismatch_T27_3.3_s263,0.05559476,4.182806e-06,1.041598
mc_typ_mismatch_T27_3.3_s264,0.05681273,4.275077e-06,1.052269
mc_typ_mismatch_T27_3.3_s265,0.05145052,3.844437e-06,1.013943
mc_typ_mismatch_T27_3.3_s266,0.04900362,3.642377e-06,0.9996399
mc_typ_mismatch_T27_3.3_s267,0.05505064,4.098975e-06,1.032644
mc_typ_mismatch_T27_3.3_s268,0.05195962,3.938396e-06,1.017297
mc_typ_mismatch_T27_3.3_s269,0.0601687,4.524224e-06,1.073083
mc_typ_mismatch_T27_3.3_s270,0.05737699,4.283117e-06,1.048881
mc_typ_mismatch_T27_3.3_s271,0.05249161,3.95652e-06,1.025292
mc_typ_mismatch_T27_3.3_s272,0.05281822,4.011757e-06,1.026049
mc_typ_mismatch_T27_3.3_s273,0.05600523,4.170367e-06,1.046154
mc_typ_mismatch_T27_3.3_s274,0.05534892,4.148035e-06,1.035685
mc_typ_mismatch_T27_3.3_s275,0.0563981,4.258543e-06,1.044253
mc_typ_mismatch_T27_3.3_s276,0.0566748,4.248506e-06,1.046653
mc_typ_mismatch_T27_3.3_s277,0.06175179,4.693023e-06,1.086343
mc_typ_mismatch_T27_3.3_s278,0.05117478,3.857142e-06,1.013449
mc_typ_mismatch_T27_3.3_s279,0.05610195,4.146222e-06,1.040529
mc_typ_mismatch_T27_3.3_s280,0.05869524,4.415816e-06,1.062313
mc_typ_mismatch_T27_3.3_s281,0.05192221,3.93427e-06,1.018708
mc_typ_mismatch_T27_3.3_s282,0.05206024,3.855625e-06,1.016715
mc_typ_mismatch_T27_3.3_s283,0.05660024,4.240144e-06,1.044628
mc_typ_mismatch_T27_3.3_s284,0.05470974,4.094527e-06,1.03801
mc_typ_mismatch_T27_3.3_s285,0.05455817,4.097733e-06,1.032299
mc_typ_mismatch_T27_3.3_s286,0.05618717,4.227649e-06,1.042287
mc_typ_mismatch_T27_3.3_s287,0.05545312,4.167464e-06,1.04163
mc_typ_mismatch_T27_3.3_s288,0.05227551,3.930256e-06,1.020749
mc_typ_mismatch_T27_3.3_s289,0.05059668,3.771627e-06,1.00324
mc_typ_mismatch_T27_3.3_s290,0.05145254,3.873675e-06,1.015174
mc_typ_mismatch_T27_3.3_s291,0.05199151,3.874655e-06,1.015617
mc_typ_mismatch_T27_3.3_s292,0.05717913,4.286466e-06,1.049936
mc_typ_mismatch_T27_3.3_s293,0.05388084,4.034368e-06,1.026447
mc_typ_mismatch_T27_3.3_s294,0.06068279,4.598761e-06,1.075523
mc_typ_mismatch_T27_3.3_s295,0.05937877,4.432344e-06,1.062326
mc_typ_mismatch_T27_3.3_s296,0.06434336,4.793725e-06,1.102825
mc_typ_mismatch_T27_3.3_s297,0.04965221,3.716388e-06,0.9979412
mc_typ_mismatch_T27_3.3_s298,0.05637163,4.282113e-06,1.051832
mc_typ_mismatch_T27_3.3_s299,0.05675452,4.242637e-06,1.04285
