 time            v(vref)         iptat           v(pbias)        v(vdd)         
 1.54836377e-02  3.38833188e-01 -5.69173510e-06  4.12352887e-02  4.64509132e-01 
 1.55836377e-02  3.40455510e-01 -5.65680647e-06  4.18743272e-02  4.67509132e-01 
 1.56836377e-02  3.42061200e-01 -5.62192496e-06  4.25328731e-02  4.70509132e-01 
 1.57836377e-02  3.43648091e-01 -5.58701923e-06  4.32155811e-02  4.73509132e-01 
 1.58836377e-02  3.45213462e-01 -5.55200536e-06  4.39280515e-02  4.76509132e-01 
 1.59836377e-02  3.46753800e-01 -5.51678001e-06  4.46774277e-02  4.79509132e-01 
 1.60836377e-02  3.48264811e-01 -5.48122225e-06  4.54722206e-02  4.82509132e-01 
 1.61836377e-02  3.49741207e-01 -5.44518760e-06  4.63228521e-02  4.85509132e-01 
 1.62836377e-02  3.51176695e-01 -5.40850967e-06  4.72415028e-02  4.88509132e-01 
 1.63836377e-02  3.52564073e-01 -5.37100270e-06  4.82420455e-02  4.91509132e-01 
 1.64836377e-02  3.53895388e-01 -5.33246718e-06  4.93396021e-02  4.94509132e-01 
 1.65836377e-02  3.55162447e-01 -5.29270320e-06  5.05496578e-02  4.97509132e-01 
 1.66836377e-02  3.56357654e-01 -5.25153282e-06  5.18863454e-02  5.00509132e-01 
 1.67836377e-02  3.57474963e-01 -5.20882314e-06  5.33607658e-02  5.03509132e-01 
 1.68836377e-02  3.58510980e-01 -5.16451345e-06  5.49788250e-02  5.06509132e-01 
 1.69836377e-02  3.59465656e-01 -5.11862931e-06  5.67401187e-02  5.09509132e-01 
 1.70836377e-02  3.60342468e-01 -5.07128450e-06  5.86375796e-02  5.12509132e-01 
 1.71836377e-02  3.61147831e-01 -5.02266228e-06  6.06588029e-02  5.15509132e-01 
 1.72836377e-02  3.61890061e-01 -4.97298815e-06  6.27879430e-02  5.18509132e-01 
 1.73836377e-02  3.62578187e-01 -4.92249835e-06  6.50080891e-02  5.21509132e-01 
 1.74836377e-02  3.63220983e-01 -4.87141699e-06  6.73029527e-02  5.24509132e-01 
 1.75836377e-02  3.63826351e-01 -4.81994095e-06  6.96580860e-02  5.27509132e-01 
 1.76836377e-02  3.64401055e-01 -4.76823515e-06  7.20612469e-02  5.30509132e-01 
 1.77836377e-02  3.64950694e-01 -4.71643252e-06  7.45024899e-02  5.33509132e-01 
 1.78836377e-02  3.65479809e-01 -4.66463821e-06  7.69738514e-02  5.36509132e-01 
 1.79836377e-02  3.65992054e-01 -4.61293391e-06  7.94690872e-02  5.39509132e-01 
 1.80836377e-02  3.66490362e-01 -4.56138301e-06  8.19832740e-02  5.42509132e-01 
 1.81836377e-02  3.66977105e-01 -4.51003434e-06  8.45125680e-02  5.45509132e-01 
 1.82836377e-02  3.67454219e-01 -4.45892600e-06  8.70539037e-02  5.48509132e-01 
 1.83836377e-02  3.67923315e-01 -4.40808771e-06  8.96048413e-02  5.51509132e-01 
 1.84836377e-02  3.68385766e-01 -4.35754335e-06  9.21633573e-02  5.54509132e-01 
 1.85836377e-02  3.68842776e-01 -4.30731236e-06  9.47277600e-02  5.57509132e-01 
 1.86836377e-02  3.69295444e-01 -4.25741162e-06  9.72965262e-02  5.60509132e-01 
 1.87836377e-02  3.69744829e-01 -4.20785641e-06  9.98682385e-02  5.63509132e-01 
 1.88836377e-02  3.70192021e-01 -4.15866240e-06  1.02441411e-01  5.66509132e-01 
 1.89836377e-02  3.70638237e-01 -4.10984719e-06  1.05014366e-01  5.69509132e-01 
 1.90836377e-02  3.71085008e-01 -4.06143433e-06  1.07584880e-01  5.72509132e-01 
 1.91836377e-02  3.71534477e-01 -4.01345869e-06  1.10149714e-01  5.75509132e-01 
 1.92836377e-02  3.71990252e-01 -3.96598315e-06  1.12703139e-01  5.78509132e-01 
 1.93836377e-02  3.72459716e-01 -3.91914269e-06  1.15233054e-01  5.81509132e-01 
 1.94836377e-02  3.72963848e-01 -3.87333333e-06  1.17704345e-01  5.84509132e-01 
 1.95836377e-02  3.73611622e-01 -3.83064510e-06  1.19932693e-01  5.87509132e-01 
 1.96836377e-02  3.74777516e-01 -3.79820301e-06  1.21285538e-01  5.90509132e-01 
 1.97836377e-02  3.76146709e-01 -3.76965742e-06  1.22309397e-01  5.93509132e-01 
 1.98805764e-02  3.77482045e-01 -3.74228561e-06  1.23285322e-01  5.96417291e-01 
 1.99805764e-02  3.78876982e-01 -3.71438222e-06  1.24273202e-01  5.99417291e-01 
 2.00805764e-02  3.80268398e-01 -3.68654004e-06  1.25265305e-01  6.02417291e-01 
 2.01805764e-02  3.81673532e-01 -3.65895494e-06  1.26244511e-01  6.05417291e-01 
 2.02805764e-02  3.83075224e-01 -3.63141198e-06  1.27229082e-01  6.08417291e-01 
 2.03805764e-02  3.84489374e-01 -3.60409459e-06  1.28202771e-01  6.11417291e-01 
 2.04805764e-02  3.85900786e-01 -3.57681371e-06  1.29181815e-01  6.14417291e-01 
 2.05805764e-02  3.87323806e-01 -3.54973447e-06  1.30151396e-01  6.17417291e-01 
 2.06805764e-02  3.88744835e-01 -3.52268823e-06  1.31126163e-01  6.20417291e-01 
 2.07805764e-02  3.90176794e-01 -3.49582283e-06  1.32092670e-01  6.23417291e-01 
 2.08805764e-02  3.91607466e-01 -3.46898721e-06  1.33064195e-01  6.26417291e-01 
 2.09805764e-02  3.93048500e-01 -3.44231366e-06  1.34028536e-01  6.29417291e-01 
 2.10805764e-02  3.94488892e-01 -3.41566657e-06  1.34997764e-01  6.32417291e-01 
 2.11805764e-02  3.95939164e-01 -3.38916438e-06  1.35960793e-01  6.35417291e-01 
 2.12805764e-02  3.97389375e-01 -3.36268509e-06  1.36928620e-01  6.38417291e-01 
