deck,iptat_end,pbias_end,t_90,vref_end,vref_max
startup_hbt_typ_mos_ff_res_wcs_T-40_3.0,2.83212e-06,2.08373,0.000515098,1.03567,1.03942
startup_hbt_typ_mos_ff_res_wcs_T175_3.0,5.4499e-06,2.09062,0.00055317,1.03116,1.03121
startup_hbt_typ_mos_ff_res_wcs_T27_3.0,3.64861e-06,2.08038,0.000483939,1.03467,1.03475
startup_hbt_typ_mos_ss_res_bcs_T-40_3.0,3.6687e-06,1.93358,0.000597436,1.04071,1.04217
startup_hbt_typ_mos_ss_res_bcs_T175_3.0,7.04287e-06,1.89748,0.000606743,1.03986,1.0399
startup_hbt_typ_mos_ss_res_bcs_T27_3.0,4.72692e-06,1.9179,0.000568276,1.04128,1.04198
startup_hbt_typ_mos_ss_res_typ_T-40_3.0,3.20845e-06,1.95345,0.000590484,1.03808,1.04023
startup_hbt_typ_mos_ss_res_typ_T175_3.0,6.1648e-06,1.93817,0.000598616,1.03511,1.03515
startup_hbt_typ_mos_ss_res_typ_T27_3.0,4.13367e-06,1.94372,0.000559794,1.03782,1.03889
startup_hbt_typ_mos_ss_res_wcs_T-40_3.0,2.83153e-06,1.97091,0.000584609,1.03561,1.03853
startup_hbt_typ_mos_ss_res_wcs_T175_3.0,5.44594e-06,1.97387,0.000591627,1.03075,1.03079
startup_hbt_typ_mos_ss_res_wcs_T27_3.0,3.64786e-06,1.9664,0.000552551,1.03459,1.03606
startup_hbt_typ_mos_tt_res_bcs_T-40_3.0,3.66908e-06,1.99112,0.000552069,1.04074,1.04291
startup_hbt_typ_mos_tt_res_bcs_T175_3.0,7.04506e-06,1.95792,0.0005869,1.04003,1.04007
startup_hbt_typ_mos_tt_res_bcs_T27_3.0,4.72741e-06,1.97629,0.000525664,1.04131,1.04136
startup_hbt_typ_mos_tt_res_typ_T-40_3.0,3.20878e-06,2.01053,0.000548119,1.03811,1.04091
startup_hbt_typ_mos_tt_res_typ_T175_3.0,6.16681e-06,1.99768,0.00057904,1.03529,1.03533
startup_hbt_typ_mos_tt_res_typ_T27_3.0,4.13409e-06,2.00151,0.000519843,1.03786,1.03792
startup_hbt_typ_mos_tt_res_wcs_T-40_3.0,2.83181e-06,2.02758,0.000544646,1.03564,1.03909
startup_hbt_typ_mos_tt_res_wcs_T175_3.0,5.44779e-06,2.03257,0.000572285,1.03094,1.03098
startup_hbt_typ_mos_tt_res_wcs_T27_3.0,3.64823e-06,2.02367,0.000514755,1.03463,1.03471
startup_hbt_wcs_mos_ff_res_bcs_T-40_3.0,3.66743e-06,2.04815,0.000519976,1.04676,1.04922
startup_hbt_wcs_mos_ff_res_bcs_T175_3.0,7.02375e-06,2.0186,0.000557795,1.05051,1.05055
startup_hbt_wcs_mos_ff_res_bcs_T27_3.0,4.72041e-06,2.03433,0.000491446,1.04876,1.04881
startup_hbt_wcs_mos_ff_res_typ_T-40_3.0,3.20704e-06,2.06714,0.00051738,1.04409,1.0472
startup_hbt_wcs_mos_ff_res_typ_T175_3.0,6.14781e-06,2.05746,0.00055029,1.04573,1.04577
startup_hbt_wcs_mos_ff_res_typ_T27_3.0,4.12761e-06,2.059,0.000487294,1.04527,1.04534
startup_hbt_wcs_mos_ff_res_wcs_T-40_3.0,2.83005e-06,2.08383,0.000515044,1.0416,1.04537
startup_hbt_wcs_mos_ff_res_wcs_T175_3.0,5.43076e-06,2.09156,0.000543841,1.04135,1.0414
startup_hbt_wcs_mos_ff_res_wcs_T27_3.0,3.64224e-06,2.08067,0.000483603,1.04201,1.04209
startup_hbt_wcs_mos_ss_res_bcs_T-40_3.0,3.66665e-06,1.93367,0.000593809,1.0467,1.04829
startup_hbt_wcs_mos_ss_res_bcs_T175_3.0,7.01899e-06,1.89855,0.000597026,1.05014,1.05017
startup_hbt_wcs_mos_ss_res_bcs_T27_3.0,4.71941e-06,1.91821,0.000564997,1.04868,1.04945
startup_hbt_wcs_mos_ss_res_typ_T-40_3.0,3.20636e-06,1.95354,0.000587481,1.04403,1.04628
startup_hbt_wcs_mos_ss_res_typ_T175_3.0,6.14349e-06,1.93919,0.000589025,1.04534,1.04538
startup_hbt_wcs_mos_ss_res_typ_T27_3.0,4.12674e-06,1.94403,0.00055709,1.04519,1.04633
startup_hbt_wcs_mos_ss_res_wcs_T-40_3.0,2.82946e-06,1.97101,0.000582083,1.04154,1.04453
startup_hbt_wcs_mos_ss_res_wcs_T175_3.0,5.42682e-06,1.97485,0.000582139,1.04095,1.04099
startup_hbt_wcs_mos_ss_res_wcs_T27_3.0,3.64148e-06,1.96671,0.000550301,1.04193,1.0435
startup_hbt_wcs_mos_tt_res_bcs_T-40_3.0,3.66703e-06,1.99121,0.000550839,1.04673,1.04893
startup_hbt_wcs_mos_tt_res_bcs_T175_3.0,7.02116e-06,1.95896,0.000577277,1.05031,1.05034
startup_hbt_wcs_mos_tt_res_bcs_T27_3.0,4.7199e-06,1.9766,0.000524109,1.04872,1.04877
startup_hbt_wcs_mos_tt_res_typ_T-40_3.0,3.20669e-06,2.01062,0.000547122,1.04406,1.04688
startup_hbt_wcs_mos_tt_res_typ_T175_3.0,6.14549e-06,1.99868,0.000569536,1.04552,1.04556
startup_hbt_wcs_mos_tt_res_typ_T27_3.0,4.12716e-06,2.00182,0.000518601,1.04523,1.04529
startup_hbt_wcs_mos_tt_res_wcs_T-40_3.0,2.82975e-06,2.02768,0.000543843,1.04157,1.04503
startup_hbt_wcs_mos_tt_res_wcs_T175_3.0,5.42866e-06,2.03353,0.000562878,1.04113,1.04118
startup_hbt_wcs_mos_tt_res_wcs_T27_3.0,3.64185e-06,2.02397,0.000513773,1.04197,1.04205
