deck,dvbe27,ip125,ip175,ip27,ipm40,itot175,itot27,tc_full,tc_ind,v125,v150,v175,v27,v85,vm40,vmax_full,vmax_ind,vmin_full,vmin_ind
temp_hbt_bcs_mos_tt_res_typ_3.3,0.0550783,5.46767e-06,6.17844e-06,4.13739e-06,3.20932e-06,3.2819e-05,2.20547e-05,37.50622,40.62074,1.02652,1.02518,1.02699,1.03202,1.02916,1.03343,1.03343,1.03343,1.02511,1.02652
temp_hbt_bcs_mos_tt_res_typ_3.6,0.0550786,5.4677e-06,6.17848e-06,4.13741e-06,3.20934e-06,3.29942e-05,2.21789e-05,37.49709,40.61475,1.02652,1.02519,1.02699,1.03202,1.02916,1.03343,1.03343,1.03343,1.02511,1.02652
temp_hbt_bcs_mos_tt_res_wcs_3.0,0.0550687,4.82516e-06,5.4583e-06,3.65136e-06,2.83247e-06,2.85649e-05,1.91598e-05,47.18027,51.88696,1.02218,1.02064,1.02267,1.02881,1.02527,1.03099,1.03099,1.03099,1.02055,1.02218
temp_hbt_bcs_mos_tt_res_wcs_3.3,0.055069,4.8252e-06,5.45834e-06,3.65138e-06,2.83249e-06,2.86925e-05,1.92502e-05,47.17566,51.88096,1.02218,1.02064,1.02267,1.02881,1.02528,1.03099,1.03099,1.03099,1.02055,1.02218
temp_hbt_bcs_mos_tt_res_wcs_3.6,0.0550693,4.82523e-06,5.45838e-06,3.65141e-06,2.83251e-06,2.88201e-05,1.93405e-05,47.16648,51.87492,1.02218,1.02064,1.02268,1.02881,1.02528,1.03099,1.03099,1.03099,1.02056,1.02218
temp_hbt_typ_mos_ff_res_bcs_3.0,0.0550936,6.2441e-06,7.04766e-06,4.72791e-06,3.66948e-06,3.77807e-05,2.54463e-05,14.61876,15.38212,1.03877,1.03814,1.04024,1.04135,1.0402,1.04077,1.04141,1.04141,1.03814,1.03877
temp_hbt_typ_mos_ff_res_bcs_3.3,0.0550939,6.24415e-06,7.04772e-06,4.72794e-06,3.66951e-06,3.80349e-05,2.56266e-05,14.60978,15.37043,1.03877,1.03814,1.04025,1.04135,1.04021,1.04078,1.04142,1.04142,1.03814,1.03877
temp_hbt_typ_mos_ff_res_bcs_3.6,0.0550942,6.24419e-06,7.04777e-06,4.72797e-06,3.66953e-06,3.82891e-05,2.58067e-05,14.60975,15.3704,1.03878,1.03815,1.04025,1.04136,1.04021,1.04078,1.04142,1.04142,1.03815,1.03878
temp_hbt_typ_mos_ff_res_typ_3.0,0.055078,5.46022e-06,6.16914e-06,4.13452e-06,3.20913e-06,3.25993e-05,2.19164e-05,22.76966,24.59519,1.0341,1.03323,1.0355,1.0379,1.03602,1.03814,1.03831,1.03831,1.03323,1.0341
temp_hbt_typ_mos_ff_res_typ_3.3,0.0550783,5.46026e-06,6.16919e-06,4.13455e-06,3.20915e-06,3.27749e-05,2.20407e-05,22.76063,24.58928,1.03411,1.03324,1.03551,1.0379,1.03602,1.03814,1.03832,1.03832,1.03324,1.03411
temp_hbt_typ_mos_ff_res_typ_3.6,0.0550786,5.4603e-06,6.16924e-06,4.13458e-06,3.20917e-06,3.29506e-05,2.2165e-05,22.7561,24.58339,1.03411,1.03324,1.03551,1.0379,1.03603,1.03814,1.03832,1.03832,1.03324,1.03411
temp_hbt_typ_mos_ff_res_wcs_3.0,0.0550651,4.81843e-06,5.4499e-06,3.64861e-06,2.83212e-06,2.85242e-05,1.91462e-05,31.52573,34.74698,1.02974,1.02866,1.03116,1.03467,1.03211,1.03567,1.03567,1.03567,1.02866,1.02974
temp_hbt_typ_mos_ff_res_wcs_3.3,0.0550654,4.81846e-06,5.44994e-06,3.64863e-06,2.83214e-06,2.86521e-05,1.92365e-05,31.51219,34.73519,1.02974,1.02866,1.03116,1.03467,1.03211,1.03567,1.03567,1.03567,1.02866,1.02974
temp_hbt_typ_mos_ff_res_wcs_3.6,0.0550657,4.81849e-06,5.44998e-06,3.64865e-06,2.83215e-06,2.87799e-05,1.93268e-05,31.50763,34.72927,1.02975,1.02867,1.03116,1.03467,1.03212,1.03567,1.03568,1.03568,1.02867,1.02975
temp_hbt_typ_mos_ss_res_bcs_3.0,0.0550821,6.24181e-06,7.04287e-06,4.72691e-06,3.6687e-06,3.77523e-05,2.54404e-05,15.53105,16.00602,1.03859,1.03786,1.03986,1.04127,1.0401,1.04071,1.04134,1.04134,1.03786,1.03859
temp_hbt_typ_mos_ss_res_bcs_3.3,0.0550824,6.24186e-06,7.04293e-06,4.72694e-06,3.66873e-06,3.80055e-05,2.56206e-05,15.52209,15.99435,1.0386,1.03787,1.03987,1.04128,1.04011,1.04072,1.04134,1.04134,1.03787,1.0386
temp_hbt_typ_mos_ss_res_bcs_3.6,0.0550827,6.2419e-06,7.04299e-06,4.72697e-06,3.66875e-06,3.82585e-05,2.58006e-05,15.51311,15.98266,1.0386,1.03787,1.03987,1.04128,1.04011,1.04072,1.04135,1.04135,1.03787,1.0386
temp_hbt_typ_mos_ss_res_typ_3.0,0.0550666,5.45805e-06,6.1648e-06,4.13366e-06,3.20845e-06,3.25752e-05,2.19116e-05,23.7976,25.35029,1.03391,1.03294,1.03511,1.03782,1.03592,1.03808,1.03825,1.03825,1.03294,1.03391
temp_hbt_typ_mos_ss_res_typ_3.3,0.0550669,5.45809e-06,6.16485e-06,4.13368e-06,3.20848e-06,3.27503e-05,2.20359e-05,23.78859,25.3444,1.03391,1.03294,1.03512,1.03782,1.03592,1.03808,1.03825,1.03825,1.03294,1.03391
temp_hbt_typ_mos_ss_res_typ_3.6,0.0550672,5.45813e-06,6.16489e-06,4.13371e-06,3.2085e-06,3.29253e-05,2.21601e-05,23.77958,25.33268,1.03391,1.03295,1.03512,1.03783,1.03593,1.03808,1.03825,1.03825,1.03295,1.03391
temp_hbt_typ_mos_ss_res_wcs_3.0,0.0550539,4.81636e-06,5.44594e-06,3.64785e-06,2.83153e-06,2.85029e-05,1.91421e-05,32.71038,35.62233,1.02953,1.02835,1.03075,1.03459,1.03201,1.03561,1.03561,1.03561,1.02834,1.02953
temp_hbt_typ_mos_ss_res_wcs_3.3,0.0550542,4.81639e-06,5.44598e-06,3.64787e-06,2.83154e-06,2.86304e-05,1.92325e-05,32.70132,35.61641,1.02954,1.02835,1.03075,1.03459,1.03201,1.03561,1.03562,1.03562,1.02834,1.02954
temp_hbt_typ_mos_ss_res_wcs_3.6,0.0550544,4.81642e-06,5.44602e-06,3.6479e-06,2.83156e-06,2.87578e-05,1.93227e-05,32.69676,35.61048,1.02954,1.02836,1.03076,1.0346,1.03202,1.03561,1.03562,1.03562,1.02834,1.02954
temp_hbt_typ_mos_tt_res_bcs_3.0,0.0550877,6.24274e-06,7.04506e-06,4.7274e-06,3.66908e-06,3.77646e-05,2.54433e-05,15.15977,15.78428,1.03866,1.03798,1.04003,1.04131,1.04015,1.04074,1.04138,1.04138,1.03798,1.03866
temp_hbt_typ_mos_tt_res_bcs_3.3,0.055088,6.24279e-06,7.04512e-06,4.72743e-06,3.66911e-06,3.80182e-05,2.56236e-05,15.15079,15.77842,1.03867,1.03799,1.04004,1.04131,1.04015,1.04075,1.04138,1.04138,1.03799,1.03867
temp_hbt_typ_mos_tt_res_bcs_3.6,0.0550883,6.24283e-06,7.04518e-06,4.72746e-06,3.66913e-06,3.82715e-05,2.58036e-05,15.14629,15.77257,1.03867,1.03799,1.04004,1.04132,1.04016,1.04075,1.04138,1.04138,1.03799,1.03867
temp_hbt_typ_mos_tt_res_typ_3.0,0.0550722,5.45893e-06,6.16681e-06,4.13408e-06,3.20878e-06,3.25858e-05,2.1914e-05,23.36655,25.08079,1.03399,1.03307,1.03529,1.03786,1.03597,1.03811,1.03828,1.03828,1.03307,1.03399
temp_hbt_typ_mos_tt_res_typ_3.3,0.0550725,5.45897e-06,6.16686e-06,4.13411e-06,3.20881e-06,3.27611e-05,2.20383e-05,23.35752,25.06904,1.03399,1.03307,1.0353,1.03786,1.03597,1.03811,1.03828,1.03828,1.03307,1.03399
temp_hbt_typ_mos_tt_res_typ_3.6,0.0550728,5.459e-06,6.1669e-06,4.13413e-06,3.20883e-06,3.29363e-05,2.21625e-05,23.34851,25.06315,1.03399,1.03307,1.0353,1.03786,1.03597,1.03811,1.03828,1.03828,1.03307,1.03399
temp_hbt_typ_mos_tt_res_wcs_3.0,0.0550594,4.8172e-06,5.44779e-06,3.64822e-06,2.83181e-06,2.85124e-05,1.91441e-05,32.17877,35.29306,1.02962,1.02849,1.03094,1.03463,1.03206,1.03564,1.03564,1.03564,1.02848,1.02962
temp_hbt_typ_mos_tt_res_wcs_3.3,0.0550597,4.81723e-06,5.44783e-06,3.64824e-06,2.83183e-06,2.864e-05,1.92344e-05,32.16968,35.2871,1.02962,1.02849,1.03094,1.03463,1.03206,1.03564,1.03564,1.03564,1.02849,1.02962
temp_hbt_typ_mos_tt_res_wcs_3.6,0.05506,4.81726e-06,5.44787e-06,3.64826e-06,2.83185e-06,2.87675e-05,1.93247e-05,32.16513,35.28117,1.02962,1.02849,1.03095,1.03463,1.03206,1.03564,1.03565,1.03565,1.02849,1.02962
temp_hbt_wcs_mos_ff_res_bcs_3.0,0.055069,6.22592e-06,7.02375e-06,4.7204e-06,3.66743e-06,3.7661e-05,2.54087e-05,16.65317,12.55745,1.04808,1.04793,1.05051,1.04876,1.04875,1.04676,1.05051,1.04893,1.04676,1.04676
temp_hbt_wcs_mos_ff_res_bcs_3.3,0.0550693,6.22596e-06,7.0238e-06,4.72043e-06,3.66745e-06,3.79152e-05,2.5589e-05,16.662,12.56319,1.04809,1.04793,1.05052,1.04876,1.04875,1.04676,1.05052,1.04894,1.04676,1.04676
temp_hbt_wcs_mos_ff_res_bcs_3.6,0.0550696,6.22601e-06,7.02386e-06,4.72046e-06,3.66748e-06,3.81694e-05,2.57691e-05,16.67083,12.56317,1.04809,1.04794,1.05052,1.04876,1.04875,1.04676,1.05052,1.04894,1.04676,1.04676
temp_hbt_wcs_mos_ff_res_typ_3.0,0.0550489,5.4439e-06,6.14781e-06,4.12759e-06,3.20704e-06,3.24926e-05,2.18817e-05,12.34358,10.99909,1.04337,1.04298,1.04573,1.04527,1.04453,1.04409,1.04573,1.04527,1.04296,1.04337
temp_hbt_wcs_mos_ff_res_typ_3.3,0.0550492,5.44394e-06,6.14785e-06,4.12762e-06,3.20706e-06,3.26682e-05,2.20061e-05,12.34356,10.99327,1.04337,1.04298,1.04574,1.04527,1.04453,1.04409,1.04574,1.04527,1.04296,1.04337
temp_hbt_wcs_mos_ff_res_typ_3.6,0.0550495,5.44397e-06,6.1479e-06,4.12765e-06,3.20708e-06,3.28438e-05,2.21303e-05,12.34797,10.99323,1.04338,1.04298,1.04574,1.04527,1.04453,1.0441,1.04574,1.04527,1.04297,1.04338
temp_hbt_wcs_mos_ff_res_wcs_3.0,0.0550324,4.80371e-06,5.43076e-06,3.64223e-06,2.83005e-06,2.84285e-05,1.91143e-05,16.82358,18.40858,1.03897,1.03837,1.04135,1.042,1.04058,1.0416,1.04214,1.04214,1.03837,1.03897
temp_hbt_wcs_mos_ff_res_wcs_3.3,0.0550327,4.80374e-06,5.4308e-06,3.64225e-06,2.83007e-06,2.85564e-05,1.92046e-05,16.81908,18.40273,1.03897,1.03837,1.04135,1.04201,1.04059,1.0416,1.04214,1.04214,1.03837,1.03897
temp_hbt_wcs_mos_ff_res_wcs_3.6,0.055033,4.80377e-06,5.43083e-06,3.64227e-06,2.83009e-06,2.86842e-05,1.92949e-05,16.81012,18.39688,1.03898,1.03837,1.04136,1.04201,1.04059,1.0416,1.04214,1.04214,1.03837,1.03898
temp_hbt_wcs_mos_ss_res_bcs_3.0,0.0550574,6.22365e-06,7.01899e-06,4.7194e-06,3.66665e-06,3.76328e-05,2.54028e-05,15.24842,12.40811,1.0479,1.04766,1.05014,1.04868,1.04865,1.0467,1.05014,1.04885,1.0467,1.0467
temp_hbt_wcs_mos_ss_res_bcs_3.3,0.0550578,6.22369e-06,7.01905e-06,4.71943e-06,3.66667e-06,3.7886e-05,2.5583e-05,15.26168,12.41385,1.04791,1.04766,1.05014,1.04868,1.04865,1.0467,1.05014,1.04885,1.0467,1.0467
temp_hbt_wcs_mos_ss_res_bcs_3.6,0.0550581,6.22374e-06,7.0191e-06,4.71946e-06,3.6667e-06,3.81389e-05,2.5763e-05,15.27051,12.41959,1.04791,1.04766,1.05015,1.04868,1.04866,1.0467,1.05015,1.04885,1.0467,1.0467
temp_hbt_wcs_mos_ss_res_typ_3.0,0.0550375,5.44175e-06,6.14349e-06,4.12673e-06,3.20636e-06,3.24686e-05,2.1877e-05,11.83272,11.67832,1.04318,1.04269,1.04534,1.04519,1.04443,1.04403,1.04534,1.04519,1.04269,1.04318
temp_hbt_wcs_mos_ss_res_typ_3.3,0.0550379,5.44179e-06,6.14354e-06,4.12676e-06,3.20638e-06,3.26437e-05,2.20012e-05,11.83269,11.67249,1.04318,1.04269,1.04535,1.04519,1.04443,1.04404,1.04535,1.04519,1.04269,1.04318
temp_hbt_wcs_mos_ss_res_typ_3.6,0.0550381,5.44183e-06,6.14358e-06,4.12678e-06,3.2064e-06,3.28187e-05,2.21255e-05,11.83266,11.66087,1.04318,1.04269,1.04535,1.04519,1.04443,1.04404,1.04535,1.0452,1.04269,1.04318
temp_hbt_wcs_mos_ss_res_wcs_3.0,0.0550212,4.80166e-06,5.42682e-06,3.64147e-06,2.82946e-06,2.84073e-05,1.91102e-05,17.88722,19.2068,1.03876,1.03806,1.04095,1.04193,1.04048,1.04154,1.04207,1.04207,1.03806,1.03876
temp_hbt_wcs_mos_ss_res_wcs_3.3,0.0550215,4.8017e-06,5.42686e-06,3.64149e-06,2.82948e-06,2.85348e-05,1.92005e-05,17.87825,19.19513,1.03877,1.03806,1.04095,1.04193,1.04048,1.04154,1.04207,1.04207,1.03806,1.03877
temp_hbt_wcs_mos_ss_res_wcs_3.6,0.0550217,4.80173e-06,5.4269e-06,3.64152e-06,2.8295e-06,2.86622e-05,1.92908e-05,17.87822,19.19509,1.03877,1.03807,1.04095,1.04193,1.04049,1.04154,1.04207,1.04207,1.03807,1.03877
temp_hbt_wcs_mos_tt_res_bcs_3.0,0.0550631,6.22456e-06,7.02116e-06,4.71988e-06,3.66703e-06,3.7645e-05,2.54057e-05,15.87765,12.47701,1.04798,1.04777,1.05031,1.04872,1.0487,1.04673,1.05031,1.04889,1.04673,1.04673
temp_hbt_wcs_mos_tt_res_bcs_3.3,0.0550634,6.22461e-06,7.02122e-06,4.71992e-06,3.66705e-06,3.78985e-05,2.55859e-05,15.89091,12.48275,1.04798,1.04778,1.05032,1.04872,1.0487,1.04673,1.05032,1.04889,1.04673,1.04673
temp_hbt_wcs_mos_tt_res_bcs_3.6,0.0550637,6.22466e-06,7.02127e-06,4.71995e-06,3.66708e-06,3.81518e-05,2.5766e-05,15.90419,12.49428,1.04798,1.04778,1.05032,1.04872,1.0487,1.04673,1.05032,1.04889,1.04673,1.04673
temp_hbt_wcs_mos_tt_res_typ_3.0,0.0550431,5.44262e-06,6.14549e-06,4.12715e-06,3.20669e-06,3.24791e-05,2.18793e-05,12.0993,11.44017,1.04325,1.04281,1.04552,1.04523,1.04447,1.04406,1.04552,1.04523,1.0428,1.04325
temp_hbt_wcs_mos_tt_res_typ_3.3,0.0550434,5.44266e-06,6.14553e-06,4.12718e-06,3.20671e-06,3.26544e-05,2.20036e-05,12.10372,11.43435,1.04326,1.04282,1.04553,1.04523,1.04448,1.04406,1.04553,1.04523,1.04281,1.04326
temp_hbt_wcs_mos_tt_res_typ_3.6,0.0550437,5.44269e-06,6.14558e-06,4.12721e-06,3.20673e-06,3.28296e-05,2.21278e-05,12.10814,11.42852,1.04326,1.04282,1.04553,1.04523,1.04448,1.04407,1.04553,1.04523,1.04281,1.04326
temp_hbt_wcs_mos_tt_res_wcs_3.0,0.0550267,4.80249e-06,5.42866e-06,3.64184e-06,2.82975e-06,2.84167e-05,1.91122e-05,17.43129,18.91531,1.03885,1.03819,1.04113,1.04197,1.04053,1.04157,1.0421,1.0421,1.03819,1.03885
temp_hbt_wcs_mos_tt_res_wcs_3.3,0.055027,4.80253e-06,5.4287e-06,3.64186e-06,2.82977e-06,2.85443e-05,1.92025e-05,17.42231,18.90944,1.03885,1.0382,1.04114,1.04197,1.04053,1.04157,1.0421,1.0421,1.0382,1.03885
temp_hbt_wcs_mos_tt_res_wcs_3.6,0.0550273,4.80256e-06,5.42874e-06,3.64189e-06,2.82979e-06,2.86719e-05,1.92928e-05,17.41781,18.89777,1.03885,1.0382,1.04114,1.04197,1.04053,1.04157,1.0421,1.0421,1.0382,1.03885
temp_typ_r4_3.3,0.0366462,3.63096e-06,4.12275e-06,2.75082e-06,2.13585e-06,2.2532e-05,1.51155e-05,487.8775,499.616,0.868292,0.856246,0.847744,0.914992,0.887935,0.943721,0.943721,0.943721,0.847744,0.868292
