bit_index,time_ps,v_latch_diff_mV,v_amp_diff_mV,bit_decision
545,109180.0,-289.5572,-8.9639,0
546,109380.0,296.6555,101.9500,1
547,109580.0,-300.7356,-173.4085,0
548,109780.0,-295.6243,-68.2700,0
549,109980.0,-296.7026,-58.8672,0
550,110180.0,-296.4519,-57.1901,0
551,110380.0,-297.8483,-88.1307,0
552,110580.0,299.8283,84.3624,1
553,110780.0,277.5478,-54.7276,1
554,110980.0,-294.9777,-71.1987,0
555,111180.0,299.9649,156.1307,1
556,111380.0,299.7223,143.3454,1
557,111580.0,296.7672,125.8825,1
558,111780.0,-299.8840,-116.4306,0
559,111980.0,-286.4495,6.8700,0
560,112180.0,-296.5758,-58.4642,0
561,112380.0,298.1664,71.6499,1
562,112580.0,281.0848,-37.5116,1
563,112780.0,-297.1841,-61.4407,0
564,112980.0,-297.1745,-103.8416,0
565,113180.0,301.3913,186.5283,1
566,113380.0,292.8066,38.8653,1
567,113580.0,-291.0964,-17.9684,0
568,113780.0,-282.3867,29.2175,0
569,113980.0,298.8756,144.6631,1
570,114180.0,-300.1026,-87.1201,0
571,114380.0,-277.1158,62.0180,0
572,114580.0,293.8558,38.0293,1
573,114780.0,299.1323,96.0151,1
574,114980.0,-303.0513,-124.0005,0
575,115180.0,-297.5770,-144.9572,0
576,115380.0,-299.0220,-102.2611,0
577,115580.0,-295.3049,-57.0094,0
578,115780.0,286.3170,-8.6763,1
579,115980.0,-296.5192,-61.0519,0
580,116180.0,299.9635,90.0215,1
581,116380.0,285.1809,-14.6305,1
582,116580.0,-288.1688,-0.3192,0
583,116780.0,296.7005,104.6411,1
584,116980.0,-300.9320,-179.8931,0
585,117180.0,-295.9212,-80.7437,0
586,117380.0,300.0913,81.9176,1
587,117580.0,298.0277,165.0666,1
588,117780.0,-302.3067,-150.1621,0
589,117980.0,-286.7458,7.2362,0
590,118180.0,291.8726,24.7856,1
591,118380.0,-296.3650,-67.3631,0
592,118580.0,301.0468,142.4875,1
593,118780.0,288.0168,0.4296,1
594,118980.0,-281.7591,32.1044,0
595,119180.0,298.6205,154.8290,1
596,119380.0,291.8140,22.9176,1
597,119580.0,-299.8856,-92.5756,0
598,119780.0,-297.9863,-110.9165,0
599,119980.0,-298.6375,-98.7820,0
600,120180.0,-277.1037,60.8820,0
601,120380.0,288.4107,2.5842,1
602,120580.0,-279.7620,42.4268,0
603,120780.0,294.6589,69.8176,1
604,120980.0,-298.0337,-119.1270,0
605,121180.0,294.5664,39.0746,1
606,121380.0,296.0076,48.6929,1
607,121580.0,294.5437,49.6243,1
608,121780.0,-291.1593,-18.2502,0
609,121980.0,299.7762,144.1090,1
610,122180.0,299.0897,132.8648,1
611,122380.0,283.0219,-26.9251,1
612,122580.0,-296.1506,-90.2480,0
613,122780.0,275.4586,-71.2843,1
614,122980.0,-297.7713,-179.4648,0
615,123180.0,300.6602,130.7510,1
616,123380.0,279.8789,-44.4243,1
617,123580.0,-287.8294,-0.2595,0
618,123780.0,-296.6604,-56.5485,0
619,123980.0,-296.8215,-60.0223,0
620,124180.0,-297.3612,-81.4621,0
621,124380.0,-288.5301,-3.6535,0
622,124580.0,-299.9002,-103.2245,0
623,124780.0,-297.1543,-88.3788,0
624,124980.0,296.5676,52.4856,1
625,125180.0,286.7851,-5.2288,1
626,125380.0,-276.3981,65.3716,0
627,125580.0,298.6466,172.7118,1
628,125780.0,298.0312,86.2741,1
629,125980.0,298.2188,124.2509,1
630,126180.0,-301.4435,-104.6934,0
631,126380.0,-294.1684,-51.3510,0
632,126580.0,299.6635,121.2917,1
633,126780.0,293.5051,36.0268,1
634,126980.0,297.5753,61.7221,1
635,127180.0,298.7796,120.4092,1
636,127380.0,280.1776,-41.1533,1
637,127580.0,-299.2014,-172.5727,0
638,127780.0,-293.0473,-34.5328,0
639,127980.0,-298.8273,-75.4719,0
640,128180.0,-299.7352,-153.8894,0
641,128380.0,-294.4017,-57.9653,0
642,128580.0,298.8158,120.1314,1
643,128780.0,-296.1831,-48.7308,0
644,128980.0,299.2486,82.8667,1
645,129180.0,286.6222,-6.2141,1
646,129380.0,300.7666,116.7936,1
647,129580.0,288.2698,1.7628,1
648,129780.0,-294.3842,-40.5934,0
649,129980.0,-299.3614,-96.8491,0
650,130180.0,-292.0085,-24.8216,0
651,130380.0,292.4358,25.6458,1
652,130580.0,288.3541,1.9790,1
653,130780.0,-299.9587,-156.3374,0
654,130980.0,-284.8613,16.3057,0
655,131180.0,296.6423,60.5695,1
656,131380.0,300.5715,171.2799,1
657,131580.0,296.0709,91.7434,1
658,131780.0,-296.9383,-55.6152,0
659,131980.0,-298.6196,-123.4941,0
660,132180.0,-279.6917,44.7840,0
661,132380.0,298.9149,103.0276,1
662,132580.0,296.9102,82.3427,1
663,132780.0,291.4922,19.8045,1
664,132980.0,291.4386,19.7979,1
665,133180.0,-298.5699,-123.5318,0
666,133380.0,-288.3600,-3.6847,0
667,133580.0,-296.8799,-84.5796,0
668,133780.0,300.1707,168.3758,1
669,133980.0,277.9396,-59.0530,1
670,134180.0,299.4777,87.9499,1
671,134380.0,-302.9322,-172.9986,0
672,134580.0,-293.9494,-60.5615,0
673,134780.0,290.4714,14.2304,1
674,134980.0,297.2830,62.6028,1
675,135180.0,295.9910,50.7864,1
676,135380.0,299.2881,164.8279,1
677,135580.0,-302.9310,-124.2606,0
678,135780.0,-294.4569,-52.8695,0
679,135980.0,-301.4594,-150.2286,0
680,136180.0,-287.7948,0.9264,0
681,136380.0,273.0635,-88.3232,1
682,136580.0,-297.2970,-155.3467,0
683,136780.0,-286.1560,8.9248,0
684,136980.0,-299.3219,-103.5722,0
685,137180.0,-281.4262,34.4691,0
686,137380.0,300.2026,189.0676,1
687,137580.0,295.4519,93.6045,1
688,137780.0,-297.6309,-77.3201,0
689,137980.0,300.6619,109.9779,1
690,138180.0,291.5217,22.0438,1
691,138380.0,300.1637,97.1406,1
692,138580.0,278.6387,-49.0532,1
