bit_index,time_ps,v_amp_diff_mV,bit_decision
477,95580.0,26.3751,1
478,95780.0,78.3749,1
479,95980.0,21.2286,1
480,96180.0,-1.8263,0
481,96380.0,-85.0983,0
482,96580.0,-115.7307,0
483,96780.0,-23.6819,0
484,96980.0,-97.7545,0
485,97180.0,54.6265,1
486,97380.0,103.8115,1
487,97580.0,-125.3996,0
488,97780.0,84.5472,1
489,97980.0,-48.3094,0
490,98180.0,-38.8127,0
491,98380.0,-53.3001,0
492,98580.0,-74.3502,0
493,98780.0,80.5552,1
494,98980.0,25.6404,1
495,99180.0,105.0438,1
496,99380.0,-138.3865,0
497,99580.0,47.9866,1
498,99780.0,-12.9616,0
499,99980.0,47.0510,1
500,100180.0,110.2084,1
501,100380.0,-75.1802,0
502,100580.0,44.5951,1
503,100780.0,120.1164,1
504,100980.0,57.9602,1
505,101180.0,-50.2731,0
506,101380.0,70.9371,1
507,101580.0,108.5745,1
508,101780.0,-59.1472,0
509,101980.0,21.9944,1
510,102180.0,-28.0556,0
511,102380.0,77.5323,1
512,102580.0,12.7889,1
513,102780.0,-33.0410,0
514,102980.0,-5.1886,0
515,103180.0,46.1448,1
516,103380.0,20.8651,1
517,103580.0,132.5246,1
518,103780.0,-88.8994,0
519,103980.0,116.7790,1
520,104180.0,-17.3343,0
521,104380.0,37.2101,1
522,104580.0,-42.4317,0
523,104780.0,-69.6920,0
524,104980.0,-53.8619,0
525,105180.0,-111.4766,0
526,105380.0,-147.5538,0
527,105580.0,14.8527,1
528,105780.0,-143.4879,0
529,105980.0,27.2247,1
530,106180.0,167.0016,1
531,106380.0,-16.7436,0
532,106580.0,167.6083,1
533,106780.0,-146.3412,0
534,106980.0,68.9267,1
535,107180.0,26.5045,1
536,107380.0,-27.8055,0
537,107580.0,16.0386,1
538,107780.0,47.6837,1
539,107980.0,10.5100,1
540,108180.0,-2.4015,0
541,108380.0,121.2923,1
542,108580.0,81.8478,1
543,108780.0,106.3462,1
544,108980.0,-78.0919,0
545,109180.0,-78.1612,0
546,109380.0,93.1013,1
547,109580.0,-15.4672,0
548,109780.0,-66.4039,0
549,109980.0,67.3058,1
550,110180.0,48.8923,1
551,110380.0,-89.6587,0
552,110580.0,9.9607,1
553,110780.0,75.9986,1
554,110980.0,-76.7151,0
555,111180.0,-122.5494,0
556,111380.0,-49.0601,0
557,111580.0,-59.6486,0
558,111780.0,-177.9610,0
559,111980.0,-73.2362,0
560,112180.0,-36.1997,0
561,112380.0,8.0774,1
562,112580.0,-15.4449,0
563,112780.0,-17.7113,0
564,112980.0,-31.7112,0
565,113180.0,-41.3908,0
566,113380.0,75.6877,1
567,113580.0,-50.7031,0
568,113780.0,112.4254,1
569,113980.0,-33.1848,0
570,114180.0,15.6164,1
571,114380.0,18.5815,1
572,114580.0,-69.9191,0
573,114780.0,-39.9304,0
574,114980.0,-28.2433,0
575,115180.0,-61.6504,0
576,115380.0,40.5581,1
577,115580.0,-74.3141,0
578,115780.0,168.2675,1
579,115980.0,22.9918,1
580,116180.0,60.5974,1
581,116380.0,-133.0802,0
582,116580.0,42.5591,1
583,116780.0,15.3916,1
584,116980.0,-39.1854,0
585,117180.0,-79.9698,0
586,117380.0,-19.8979,0
587,117580.0,36.8665,1
588,117780.0,-92.8403,0
589,117980.0,-99.8554,0
590,118180.0,38.8980,1
591,118380.0,-63.7468,0
592,118580.0,-82.3194,0
593,118780.0,56.8468,1
594,118980.0,16.8171,1
595,119180.0,-1.4681,0
596,119380.0,-144.3033,0
597,119580.0,-22.7188,0
598,119780.0,-23.4251,0
599,119980.0,-89.1535,0
600,120180.0,-19.5607,0
601,120380.0,-42.8953,0
602,120580.0,18.0241,1
603,120780.0,197.0690,1
604,120980.0,143.2296,1
605,121180.0,-4.0101,0
606,121380.0,-33.8613,0
