 frequency              onoise_spectrum        inoise_spectrum       
 1.496235656094435e+04  1.823201082355567e-06  9.122032578197458e-08 
 1.584893192461115e+04  1.776724887436221e-06  8.889502841178387e-08 
 1.678804018122562e+04  1.731748264561552e-06  8.664476254978586e-08 
 1.778279410038924e+04  1.688230578469295e-06  8.446749546156054e-08 
 1.883649089489802e+04  1.646132342182442e-06  8.236125190502645e-08 
 1.995262314968881e+04  1.605415175259809e-06  8.032411204057323e-08 
 2.113489039836648e+04  1.566041762731149e-06  7.835420938400444e-08 
 2.238721138568341e+04  1.527975814908181e-06  7.644972880207185e-08 
 2.371373705661657e+04  1.491182028142783e-06  7.460890455140341e-08 
 2.511886431509582e+04  1.455626046317859e-06  7.283001836009779e-08 
 2.660725059798812e+04  1.421274423219371e-06  7.111139755306302e-08 
 2.818382931264456e+04  1.388094585816874e-06  6.945141322219155e-08 
 2.985382618917962e+04  1.356054798481671e-06  6.784847844248629e-08 
 3.162277660168382e+04  1.325124127992893e-06  6.630104653506007e-08 
 3.349654391578279e+04  1.295272409637548e-06  6.480760937970517e-08 
 3.548133892335757e+04  1.266470214239857e-06  6.336669577852003e-08 
 3.758374042884444e+04  1.238688816237622e-06  6.197686987289071e-08 
 3.981071705534976e+04  1.211900162901752e-06  6.063672961636385e-08 
 4.216965034285826e+04  1.186076844528863e-06  5.934490530601316e-08 
 4.466835921509634e+04  1.161192066052724e-06  5.810005817531274e-08 
 4.731512589614809e+04  1.137219619640351e-06  5.690087905056570e-08 
 5.011872336272727e+04  1.114133858782299e-06  5.574608707456487e-08 
 5.308844442309887e+04  1.091909673585079e-06  5.463442849963487e-08 
 5.623413251903495e+04  1.070522467450082e-06  5.356467555268126e-08 
 5.956621435290109e+04  1.049948135263113e-06  5.253562537500985e-08 
 6.309573444801938e+04  1.030163042896825e-06  5.154609903828825e-08 
 6.683439175686151e+04  1.011144008290563e-06  5.059494063915050e-08 
 7.079457843841385e+04  9.928682839470973e-07  4.968101647310299e-08 
 7.498942093324565e+04  9.753135409861568e-07  4.880321428892705e-08 
 7.943282347242822e+04  9.584578545943834e-07  4.796044262352508e-08 
 8.413951416451958e+04  9.422796910215198e-07  4.715163021706985e-08 
 8.912509381337464e+04  9.267578959042563e-07  4.637572550709978e-08 
 9.440608762859243e+04  9.118716840320046e-07  4.563169620041530e-08 
 1.000000000000001e+05  8.976006303727939e-07  4.491852891980007e-08 
 1.059253725177290e+05  8.839246622907471e-07  4.423522892274432e-08 
 1.122018454301965e+05  8.708240528757975e-07  4.358081988874614e-08 
 1.188502227437020e+05  8.582794153091192e-07  4.295434377025690e-08 
 1.258925411794169e+05  8.462716980062740e-07  4.235486070299006e-08 
 1.333521432163326e+05  8.347821804990518e-07  4.178144896956355e-08 
 1.412537544622756e+05  8.237924698919975e-07  4.123320501125345e-08 
 1.496235656094435e+05  8.132844976024696e-07  4.070924348108355e-08 
 1.584893192461116e+05  8.032405163841761e-07  4.020869733234056e-08 
 1.678804018122563e+05  7.936430972519685e-07  3.973071793559991e-08 
 1.778279410038925e+05  7.844751262549034e-07  3.927447521791902e-08 
 1.883649089489803e+05  7.757198007624794e-07  3.883915781739522e-08 
 1.995262314968882e+05  7.673606251765206e-07  3.842397324726483e-08 
 2.113489039836650e+05  7.593814057074326e-07  3.802814806288521e-08 
 2.238721138568343e+05  7.517662441032813e-07  3.765092802637782e-08 
 2.371373705661659e+05  7.444995299980283e-07  3.729157826351902e-08 
 2.511886431509584e+05  7.375659317684881e-07  3.694938340812172e-08 
 2.660725059798813e+05  7.309503854602333e-07  3.662364772986654e-08 
 2.818382931264458e+05  7.246380817563614e-07  3.631369524199465e-08 
 2.985382618917964e+05  7.186144505190508e-07  3.601886978598098e-08 
 3.162277660168384e+05  7.128651427472476e-07  3.573853509084460e-08 
 3.349654391578281e+05  7.073760096137988e-07  3.547207480583788e-08 
 3.548133892335760e+05  7.021330783047613e-07  3.521889250522766e-08 
 3.758374042884447e+05  6.971225242099334e-07  3.497841166512696e-08 
 3.981071705534979e+05  6.923306392962952e-07  3.475007561278263e-08 
 4.216965034285829e+05  6.877437960443261e-07  3.453334744889394e-08 
 4.466835921509638e+05  6.833484066626376e-07  3.432770994496635e-08 
