 frequency              onoise_spectrum        inoise_spectrum       
 1.496235656094458e+01  5.904188367344643e-05  2.954032711174961e-06 
 1.513561248436233e+01  5.869085770054122e-05  2.936469887262523e-06 
 1.531087461682055e+01  5.834193530144798e-05  2.919012311107509e-06 
 1.548816618912507e+01  5.799510376288790e-05  2.901659346628575e-06 
 1.566751070108175e+01  5.765035044916833e-05  2.884410361626214e-06 
 1.584893192461140e+01  5.730766280170431e-05  2.867264727758839e-06 
 1.603245390690068e+01  5.696702833855534e-05  2.850221820519006e-06 
 1.621810097358957e+01  5.662843465390518e-05  2.833281019209788e-06 
 1.640589773199567e+01  5.629186941766477e-05  2.816441706921288e-06 
 1.659586907437589e+01  5.595732037495728e-05  2.799703270507305e-06 
 1.678804018122589e+01  5.562477534566729e-05  2.783065100562157e-06 
 1.698243652461773e+01  5.529422222397977e-05  2.766526591397615e-06 
 1.717908387157618e+01  5.496564897792230e-05  2.750087141020017e-06 
 1.737800828749405e+01  5.463904364891038e-05  2.733746151107502e-06 
 1.757923613958723e+01  5.431439435129543e-05  2.717503026987393e-06 
 1.778279410038954e+01  5.399168927191541e-05  2.701357177613724e-06 
 1.798870915128819e+01  5.367091666964823e-05  2.685308015544902e-06 
 1.819700858610015e+01  5.335206487496841e-05  2.669354956921501e-06 
 1.840772001468988e+01  5.303512228950601e-05  2.653497421444214e-06 
 1.862087136662900e+01  5.272007738560846e-05  2.637734832351931e-06 
 1.883649089489834e+01  5.240691870590530e-05  2.622066616399935e-06 
 1.905460717963281e+01  5.209563486287508e-05  2.606492203838274e-06 
 1.927524913190970e+01  5.178621453841571e-05  2.591011028390234e-06 
 1.949844599758080e+01  5.147864648341666e-05  2.575622527230961e-06 
 1.972422736114889e+01  5.117291951733532e-05  2.560326140966208e-06 
 1.995262314968916e+01  5.086902252777360e-05  2.545121313611218e-06 
 2.018366363681598e+01  5.056694447005902e-05  2.530007492569751e-06 
 2.041737944669567e+01  5.026667436682824e-05  2.514984128613211e-06 
 2.065380155810567e+01  4.996820130761248e-05  2.500050675859931e-06 
 2.089296130854078e+01  4.967151444842579e-05  2.485206591754582e-06 
 2.113489039836686e+01  4.937660301135636e-05  2.470451337047695e-06 
 2.137962089502272e+01  4.908345628415953e-05  2.455784375775325e-06 
 2.162718523727061e+01  4.879206361985414e-05  2.441205175238836e-06 
 2.187761623949594e+01  4.850241443632063e-05  2.426713205984812e-06 
 2.213094709605679e+01  4.821449821590252e-05  2.412307941785096e-06 
 2.238721138568382e+01  4.792830450500938e-05  2.397988859616948e-06 
 2.264644307593103e+01  4.764382291373939e-05  2.383755439643327e-06 
 2.290867652767817e+01  4.736104311542240e-05  2.369607165193306e-06 
 2.317394649968523e+01  4.707995484632873e-05  2.355543522742589e-06 
 2.344228815319967e+01  4.680054790521631e-05  2.341564001894164e-06 
 2.371373705661701e+01  4.652281215296524e-05  2.327668095359079e-06 
 2.398832919019537e+01  4.624673751219210e-05  2.313855298937322e-06 
 2.426610095082463e+01  4.597231396687293e-05  2.300125111498835e-06 
 2.454708915685078e+01  4.569953156196508e-05  2.286477034964638e-06 
 2.483133105295619e+01  4.542838040303268e-05  2.272910574288065e-06 
 2.511886431509629e+01  4.515885065587389e-05  2.259425237436136e-06 
 2.540972705549355e+01  4.489093254615028e-05  2.246020535371031e-06 
 2.570395782768914e+01  4.462461635902026e-05  2.232695982031666e-06 
 2.600159563165323e+01  4.435989243877145e-05  2.219451094315413e-06 
 2.630267991895434e+01  4.409675118845861e-05  2.206285392059914e-06 
 2.660725059798863e+01  4.383518306954224e-05  2.193198398025011e-06 
 2.691534803926970e+01  4.357517860152949e-05  2.180189637874790e-06 
 2.722701308077967e+01  4.331672836161776e-05  2.167258640159738e-06 
 2.754228703338222e+01  4.305982298433979e-05  2.154404936299101e-06 
 2.786121168629827e+01  4.280445316121230e-05  2.141628060562884e-06 
 2.818382931264512e+01  4.255060964038490e-05  2.128927550054904e-06 
 2.851018267503968e+01  4.229828322629235e-05  2.116302944695002e-06 
 2.884031503126666e+01  4.204746477931059e-05  2.103753787201845e-06 
 2.917427014001227e+01  4.179814521541037e-05  2.091279623075738e-06 
 2.951209226666447e+01  4.155031550581750e-05  2.078880000581530e-06 
 2.985382618918022e+01  4.130396667667331e-05  2.066554470731647e-06 
 3.019951720402079e+01  4.105908980869724e-05  2.054302587269215e-06 
 3.054921113215577e+01  4.081567603685171e-05  2.042123906651288e-06 
 3.090295432513656e+01  4.057371655000925e-05  2.030017988032200e-06 
 3.126079367124021e+01  4.033320259062109e-05  2.017984393246987e-06 
 3.162277660168446e+01  4.009412545438950e-05  2.006022686794943e-06 
 3.198895109691466e+01  3.985647648993904e-05  1.994132435823257e-06 
 3.235936569296351e+01  3.962024709849283e-05  1.982313210110766e-06 
 3.273406948788452e+01  3.938542873354904e-05  1.970564582051793e-06 
 3.311311214825982e+01  3.915201290056210e-05  1.958886126640106e-06 
 3.349654391578348e+01  3.891999115662056e-05  1.947277421452956e-06 
 3.388441561392099e+01  3.868935511013264e-05  1.935738046635226e-06 
 3.427677865464577e+01  3.846009642051047e-05  1.924267584883679e-06 
 3.467368504525391e+01  3.823220679785727e-05  1.912865621431296e-06 
