 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 2.502900059492212e-07  5.345475357439891e-07  1.199999816748568e+00  7.459373485762519e-01  7.540623384197723e-01  1.200000000000000e+00 
 2.504900059492212e-07 -4.769836543438804e-07  1.199999843652367e+00  7.459373437626499e-01  7.540623367131171e-01  1.200000000000000e+00 
 2.506900059492212e-07  5.317405259716554e-07  1.199999816726120e+00  7.459373485772975e-01  7.540623384272600e-01  1.200000000000000e+00 
 2.508900059492212e-07 -4.741826867463524e-07  1.199999843673669e+00  7.459373437616538e-01  7.540623367056605e-01  1.200000000000000e+00 
 2.510900059492213e-07  5.289456838410961e-07  1.199999816706239e+00  7.459373485782906e-01  7.540623384346852e-01  1.200000000000000e+00 
 2.512900059492213e-07 -4.713938747137397e-07  1.199999843692543e+00  7.459373437606999e-01  7.540623366982898e-01  1.200000000000000e+00 
 2.514900059492213e-07  5.261629639588442e-07  1.199999816687868e+00  7.459373485792310e-01  7.540623384420259e-01  1.200000000000000e+00 
 2.516900059492213e-07 -4.686171492764012e-07  1.199999843709092e+00  7.459373437597892e-01  7.540623366909901e-01  1.200000000000000e+00 
 2.518900059492213e-07  5.233923315659019e-07  1.199999816672638e+00  7.459373485801203e-01  7.540623384492899e-01  1.200000000000000e+00 
 2.520900059492213e-07 -4.658524983048655e-07  1.199999843723711e+00  7.459373437589295e-01  7.540623366837648e-01  1.200000000000000e+00 
 2.522900059492213e-07  5.206337286534599e-07  1.199999816659088e+00  7.459373485809647e-01  7.540623384564812e-01  1.200000000000000e+00 
 2.524900059492214e-07 -4.630998614672399e-07  1.199999843735756e+00  7.459373437581095e-01  7.540623366766174e-01  1.200000000000000e+00 
 2.526900059492214e-07  5.178871318927338e-07  1.199999816647810e+00  7.459373485817515e-01  7.540623384635904e-01  1.200000000000000e+00 
 2.528900059492214e-07 -4.603592012314874e-07  1.199999843745862e+00  7.459373437573340e-01  7.540623366695448e-01  1.200000000000000e+00 
 2.530900059492214e-07  5.151524828385909e-07  1.199999816638682e+00  7.459373485824937e-01  7.540623384706325e-01  1.200000000000000e+00 
 2.532900059492214e-07 -4.576304727389870e-07  1.199999843753702e+00  7.459373437566077e-01  7.540623366625466e-01  1.200000000000000e+00 
 2.534900059492214e-07  5.124297506938008e-07  1.199999816631821e+00  7.459373485831908e-01  7.540623384776010e-01  1.200000000000000e+00 
 2.536900059492214e-07 -4.549136351707540e-07  1.199999843759671e+00  7.459373437559280e-01  7.540623366556302e-01  1.200000000000000e+00 
 2.538900059492215e-07  5.097188715370122e-07  1.199999816627015e+00  7.459373485838425e-01  7.540623384844922e-01  1.200000000000000e+00 
 2.540900059492215e-07 -4.522086351684147e-07  1.199999843763230e+00  7.459373437552967e-01  7.540623366487728e-01  1.200000000000000e+00 
 2.542900059492215e-07  5.070198291484591e-07  1.199999816624360e+00  7.459373485844515e-01  7.540623384912994e-01  1.200000000000000e+00 
 2.544900059492215e-07 -4.495154478709587e-07  1.199999843764818e+00  7.459373437547109e-01  7.540623366419870e-01  1.200000000000000e+00 
 2.546900059492215e-07  5.043325550383327e-07  1.199999816623539e+00  7.459373485850124e-01  7.540623384980398e-01  1.200000000000000e+00 
 2.548900059492215e-07 -4.468339946108612e-07  1.199999843764555e+00  7.459373437541714e-01  7.540623366352842e-01  1.200000000000000e+00 
 2.550900059492216e-07  5.016569999540393e-07  1.199999816625041e+00  7.459373485855320e-01  7.540623385047142e-01  1.200000000000000e+00 
 2.552900059492216e-07 -4.441642604563030e-07  1.199999843761918e+00  7.459373437536813e-01  7.540623366286512e-01  1.200000000000000e+00 
 2.554900059492216e-07  4.989931433254936e-07  1.199999816628123e+00  7.459373485860077e-01  7.540623385113161e-01  1.200000000000000e+00 
 2.556900059492216e-07 -4.415061766290933e-07  1.199999843757697e+00  7.459373437532283e-01  7.540623366220931e-01  1.200000000000000e+00 
 2.558900059492216e-07  4.963409097335104e-07  1.199999816633664e+00  7.459373485864310e-01  7.540623385178419e-01  1.200000000000000e+00 
 2.560900059492216e-07 -4.388597212975361e-07  1.199999843751230e+00  7.459373437528201e-01  7.540623366155986e-01  1.200000000000000e+00 
 2.562900059492216e-07  4.937002817617944e-07  1.199999816640780e+00  7.459373485868179e-01  7.540623385242944e-01  1.200000000000000e+00 
 2.564900059492217e-07 -4.362248293090899e-07  1.199999843742773e+00  7.459373437524631e-01  7.540623366091799e-01  1.200000000000000e+00 
 2.566900059492217e-07  4.910711973311586e-07  1.199999816650045e+00  7.459373485871638e-01  7.540623385306847e-01  1.200000000000000e+00 
 2.568900059492217e-07 -4.336014648966862e-07  1.199999843732575e+00  7.459373437521469e-01  7.540623366028315e-01  1.200000000000000e+00 
 2.570900059492217e-07  4.884536091438024e-07  1.199999816661025e+00  7.459373485874580e-01  7.540623385369973e-01  1.200000000000000e+00 
 2.572900059492217e-07 -4.309895749027547e-07  1.199999843720397e+00  7.459373437518665e-01  7.540623365965483e-01  1.200000000000000e+00 
 2.574900059492217e-07  4.858474794180166e-07  1.199999816674066e+00  7.459373485877110e-01  7.540623385432439e-01  1.200000000000000e+00 
 2.576900059492217e-07 -4.283891126803879e-07  1.199999843706517e+00  7.459373437516341e-01  7.540623365903386e-01  1.200000000000000e+00 
 2.578900059492218e-07  4.832527553551434e-07  1.199999816689078e+00  7.459373485879196e-01  7.540623385494195e-01  1.200000000000000e+00 
 2.580900059492218e-07 -4.258000468731340e-07  1.199999843690800e+00  7.459373437514433e-01  7.540623365841972e-01  1.200000000000000e+00 
 2.582900059492218e-07  4.806693971061015e-07  1.199999816705784e+00  7.459373485880899e-01  7.540623385555272e-01  1.200000000000000e+00 
 2.584900059492218e-07 -4.232223258613006e-07  1.199999843672951e+00  7.459373437512903e-01  7.540623365781213e-01  1.200000000000000e+00 
 2.586900059492218e-07  4.780973645796280e-07  1.199999816724104e+00  7.459373485882164e-01  7.540623385615678e-01  1.200000000000000e+00 
 2.588900059492218e-07 -4.206559024507294e-07  1.199999843653262e+00  7.459373437511870e-01  7.540623365721151e-01  1.200000000000000e+00 
 2.590900059492219e-07  4.755366096425549e-07  1.199999816744364e+00  7.459373485883031e-01  7.540623385675406e-01  1.200000000000000e+00 
 2.592900059492219e-07 -4.181007215841090e-07  1.199999843632330e+00  7.459373437511218e-01  7.540623365661754e-01  1.200000000000000e+00 
 2.594900059492219e-07  4.729870558311194e-07  1.199999816766372e+00  7.459373485883527e-01  7.540623385734434e-01  1.200000000000000e+00 
 2.596900059492219e-07 -4.155567374450580e-07  1.199999843608916e+00  7.459373437511009e-01  7.540623365603010e-01  1.200000000000000e+00 
 2.598900059492219e-07  4.704487030232779e-07  1.199999816790033e+00  7.459373485883513e-01  7.540623385792797e-01  1.200000000000000e+00 
 2.600900059492219e-07 -4.130239214922451e-07  1.199999843584448e+00  7.459373437511093e-01  7.540623365544982e-01  1.200000000000000e+00 
