 v-sweep                v(b)                   v(c)                   v(e)                   i(vm_b)                i(vm_c)                i(vm_e)                i(vb)                  i(vc)                  i(ve)                  i(vdd)                 i(vdda)               
 3.520000000000000e-01  3.519999999999722e-01  9.999999999997250e-01  2.604334805578932e-13  7.762887554996212e-16  3.054848041195125e-15 -3.727672701999043e-15  2.327952566270336e-10  2.514211107460867e-11  4.959415125777016e-10  0.000000000000000e+00 -7.829958470014530e-10 
 3.530000000000000e-01  3.529999999999716e-01  9.999999999997119e-01  2.718617680965552e-13  7.919012667834124e-16  3.200564813177173e-15 -3.891249656072724e-15  2.322513310399906e-10  2.514196483943223e-11  4.959416761546549e-10  0.000000000000000e+00 -7.824622150927934e-10 
 3.540000000000000e-01  3.539999999999708e-01  9.999999999996995e-01  2.838285670182356e-13  8.144526719711109e-16  3.339342691255314e-15 -4.062534506143082e-15  2.317083080588542e-10  2.514182657995861e-11  4.959418474395058e-10  0.000000000000000e+00 -7.819291169638176e-10 
 3.550000000000000e-01  3.549999999999700e-01  9.999999999996847e-01  2.963600979772429e-13  8.344019919448442e-16  3.502406697997131e-15 -4.241902557324819e-15  2.311661908407240e-10  2.514166299754741e-11  4.959420268075561e-10  0.000000000000000e+00 -7.813972614119973e-10 
 3.560000000000000e-01  3.559999999999691e-01  9.999999999996703e-01  3.094838802730265e-13  8.621575675604731e-16  3.663735981262969e-15 -4.429747702680841e-15  2.306249711583563e-10  2.514150218666860e-11  4.959422146527022e-10  0.000000000000000e+00 -7.808661478066780e-10 
 3.570000000000000e-01  3.569999999999683e-01  9.999999999996535e-01  3.232287967413697e-13  8.829742492721948e-16  3.849351393192483e-15 -4.626483352031850e-15  2.300846608913518e-10  2.514131605285221e-11  4.959424113883508e-10  0.000000000000000e+00 -7.803359992227581e-10 
 3.580000000000000e-01  3.579999999999673e-01  9.999999999996373e-01  3.376251619026876e-13  9.115971866258121e-16  4.029762634694066e-15 -4.832543407386079e-15  2.295452446796126e-10  2.514113616001517e-11  4.959426174484070e-10  0.000000000000000e+00 -7.798068146299441e-10 
 3.590000000000000e-01  3.589999999999664e-01  9.999999999996211e-01  3.527047935315035e-13  9.358833152894874e-16  4.210173876195648e-15 -5.048383287337469e-15  2.290067273767493e-10  2.514095523036921e-11  4.959428332882861e-10  0.000000000000000e+00 -7.792785673029539e-10 
 3.600000000000000e-01  3.599999999999657e-01  9.999999999996020e-01  3.685010878189616e-13  9.566999970012091e-16  4.421810140264813e-15 -5.274481002892182e-15  2.284691167922187e-10  2.514074411250960e-11  4.959430593860026e-10  0.000000000000000e+00 -7.787510480446768e-10 
 3.610000000000000e-01  3.609999999999647e-01  9.999999999995830e-01  3.850490983093983e-13  9.835882108788496e-16  4.632579042595988e-15 -5.511338287314494e-15  2.279323947188682e-10  2.514053195784107e-11  4.959432962432858e-10  0.000000000000000e+00 -7.782246880968285e-10 
