t_ns,asdrawn_out,asdrawn_core,taper_out,taper_core
0.828500,0.000328,0.142563,0.000001,0.144597
0.828800,0.000332,0.145482,0.000001,0.147545
0.829100,0.000336,0.148461,0.000001,0.150552
0.829400,0.000339,0.151558,0.000001,0.153677
0.829700,0.000342,0.154655,0.000001,0.156802
0.830000,0.000346,0.157753,0.000001,0.159927
0.830300,0.000349,0.160850,0.000001,0.163052
0.830600,0.000353,0.163947,0.000001,0.166177
0.830900,0.000356,0.167044,0.000001,0.169303
0.831200,0.000360,0.170252,0.000000,0.172538
0.831500,0.000363,0.173515,0.000000,0.175829
0.831800,0.000366,0.176779,0.000000,0.179120
0.832100,0.000370,0.180042,0.000000,0.182411
0.832400,0.000373,0.183305,0.000000,0.185702
0.832700,0.000376,0.186569,0.000000,0.188992
0.833000,0.000379,0.189832,0.000000,0.192283
0.833300,0.000382,0.193250,0.000000,0.195729
0.833600,0.000386,0.196669,0.000000,0.199174
0.833900,0.000389,0.200087,0.000000,0.202619
0.834200,0.000392,0.203505,0.000000,0.206065
0.834500,0.000395,0.206924,0.000000,0.209510
0.834800,0.000398,0.210342,0.000000,0.212955
0.835100,0.000401,0.213808,0.000000,0.216449
0.835400,0.000404,0.217371,0.000000,0.220038
0.835700,0.000407,0.220933,-0.000000,0.223628
0.836000,0.000410,0.224495,-0.000000,0.227217
0.836300,0.000413,0.228058,-0.000000,0.230806
0.836600,0.000416,0.231620,-0.000000,0.234396
0.836900,0.000419,0.235182,-0.000000,0.237985
0.837200,0.000421,0.238834,-0.000000,0.241663
0.837500,0.000424,0.242529,-0.000000,0.245386
0.837800,0.000427,0.246225,-0.000000,0.249108
0.838100,0.000430,0.249920,-0.000000,0.252831
0.838400,0.000432,0.253616,-0.000000,0.256554
0.838700,0.000435,0.257311,-0.000000,0.260276
0.839000,0.000438,0.261007,-0.000000,0.263999
0.839300,0.000440,0.264825,-0.000000,0.267844
0.839600,0.000443,0.268643,-0.000000,0.271690
0.839900,0.000446,0.272461,-0.000000,0.275535
0.840200,0.000448,0.276279,-0.000000,0.279380
0.840500,0.000451,0.280097,-0.000000,0.283226
0.840800,0.000453,0.283915,-0.000000,0.287071
0.841100,0.000456,0.287770,-0.000000,0.290954
0.841400,0.000458,0.291700,-0.000000,0.294911
0.841700,0.000461,0.295630,-0.000000,0.298869
0.842000,0.000463,0.299560,-0.000000,0.302826
0.842300,0.000466,0.303489,-0.000000,0.306784
0.842600,0.000468,0.307419,-0.000000,0.310741
0.842900,0.000470,0.311349,-0.000000,0.314699
0.843200,0.000473,0.315346,-0.000000,0.318724
0.843500,0.000475,0.319377,-0.000000,0.322783
0.843800,0.000477,0.323408,-0.000000,0.326841
0.844100,0.000479,0.327439,-0.000000,0.330900
0.844400,0.000481,0.331470,-0.000000,0.334959
0.844700,0.000484,0.335500,-0.000000,0.339017
0.845000,0.000486,0.339531,-0.000000,0.343076
0.845300,0.000488,0.343648,-0.000000,0.347224
0.845600,0.000489,0.347764,-0.000000,0.351371
0.845900,0.000491,0.351880,-0.000000,0.355519
0.846200,0.000493,0.355997,-0.000000,0.359666
0.846500,0.000495,0.360113,-0.000000,0.363814
0.846800,0.000496,0.364230,-0.000000,0.367962
0.847100,0.000498,0.368369,-0.000001,0.372134
0.847400,0.000499,0.372554,-0.000001,0.376355
0.847700,0.000500,0.376739,-0.000001,0.380577
0.848000,0.000501,0.380925,-0.000001,0.384798
0.848300,0.000503,0.385110,-0.000001,0.389020
0.848600,0.000504,0.389295,-0.000001,0.393242
0.848900,0.000505,0.393480,-0.000001,0.397463
0.849200,0.000505,0.397701,-0.000001,0.401721
0.849500,0.000505,0.401940,-0.000001,0.405998
0.849800,0.000506,0.406178,-0.000001,0.410275
0.850100,0.000506,0.410417,-0.000001,0.414552
0.850400,0.000506,0.414656,-0.000001,0.418829
0.850700,0.000506,0.418894,-0.000001,0.423106
0.851000,0.000506,0.423133,-0.000001,0.427383
0.851300,0.000505,0.427407,-0.000001,0.431693
0.851600,0.000504,0.431681,-0.000002,0.436004
0.851900,0.000502,0.435955,-0.000002,0.440315
0.852200,0.000501,0.440229,-0.000002,0.444626
0.852500,0.000500,0.444503,-0.000002,0.448936
0.852800,0.000499,0.448777,-0.000002,0.453247
0.853100,0.000497,0.453058,-0.000002,0.457562
0.853400,0.000494,0.457352,-0.000002,0.461886
0.853700,0.000491,0.461647,-0.000003,0.466210
0.854000,0.000488,0.465942,-0.000003,0.470533
0.854300,0.000485,0.470237,-0.000003,0.474857
0.854600,0.000482,0.474532,-0.000003,0.479181
0.854900,0.000479,0.478827,-0.000003,0.483505
0.855200,0.000474,0.483130,-0.000004,0.487826
0.855500,0.000469,0.487436,-0.000004,0.492146
0.855800,0.000464,0.491743,-0.000004,0.496467
0.856100,0.000459,0.496050,-0.000004,0.500787
0.856400,0.000454,0.500357,-0.000005,0.505107
0.856700,0.000448,0.504664,-0.000005,0.509427
0.857000,0.000443,0.508971,-0.000005,0.513748
0.857300,0.000436,0.513284,-0.000005,0.518052
0.857600,0.000428,0.517597,-0.000006,0.522357
0.857900,0.000420,0.521910,-0.000006,0.526661
0.858200,0.000412,0.526223,-0.000006,0.530966
0.858500,0.000405,0.530537,-0.000007,0.535270
0.858800,0.000397,0.534850,-0.000007,0.539574
0.859100,0.000388,0.539164,-0.000007,0.543867
0.859400,0.000378,0.543479,-0.000008,0.548135
0.859700,0.000367,0.547793,-0.000008,0.552403
0.860000,0.000356,0.552108,-0.000008,0.556671
0.860300,0.000345,0.556423,-0.000009,0.560939
0.860600,0.000335,0.560738,-0.000009,0.565207
0.860900,0.000324,0.565053,-0.000009,0.569475
0.861200,0.000311,0.569365,-0.000010,0.573712
0.861500,0.000296,0.573676,-0.000010,0.577934
0.861800,0.000282,0.577988,-0.000011,0.582155
0.862100,0.000268,0.582299,-0.000011,0.586377
0.862400,0.000253,0.586610,-0.000012,0.590599
0.862700,0.000239,0.590921,-0.000012,0.594821
0.863000,0.000224,0.595232,-0.000012,0.599042
0.863300,0.000206,0.599533,-0.000013,0.603220
0.863600,0.000187,0.603833,-0.000013,0.607397
0.863900,0.000169,0.608134,-0.000014,0.611575
0.864200,0.000150,0.612435,-0.000014,0.615752
0.864500,0.000131,0.616736,-0.000015,0.619930
0.864800,0.000113,0.621037,-0.000015,0.624108
0.865100,0.000093,0.625332,-0.000016,0.628266
0.865400,0.000069,0.629616,-0.000016,0.632387
0.865700,0.000046,0.633899,-0.000017,0.636508
0.866000,0.000022,0.638183,-0.000017,0.640628
0.866300,-0.000001,0.642467,-0.000018,0.644749
0.866600,-0.000025,0.646750,-0.000019,0.648870
0.866900,-0.000048,0.651034,-0.000019,0.652990
0.867200,-0.000075,0.655302,-0.000020,0.657064
0.867500,-0.000104,0.659562,-0.000020,0.661115
0.867800,-0.000133,0.663821,-0.000021,0.665166
0.868100,-0.000162,0.668081,-0.000021,0.669217
0.868400,-0.000190,0.672341,-0.000022,0.673268
0.868700,-0.000219,0.676601,-0.000023,0.677319
0.869000,-0.000248,0.680861,-0.000023,0.681370
0.869300,-0.000283,0.685091,-0.000024,0.685342
0.869600,-0.000317,0.689321,-0.000025,0.689315
0.869900,-0.000352,0.693551,-0.000025,0.693287
0.870200,-0.000386,0.697782,-0.000026,0.697259
0.870500,-0.000421,0.702012,-0.000027,0.701232
0.870800,-0.000456,0.706242,-0.000027,0.705204
0.871100,-0.000493,0.710461,-0.000028,0.709149
0.871400,-0.000533,0.714658,-0.000029,0.713038
0.871700,-0.000574,0.718855,-0.000029,0.716928
0.872000,-0.000615,0.723052,-0.000030,0.720818
0.872300,-0.000656,0.727249,-0.000031,0.724707
0.872600,-0.000697,0.731446,-0.000032,0.728597
0.872900,-0.000738,0.735643,-0.000032,0.732487
0.873200,-0.000783,0.739817,-0.000033,0.736324
0.873500,-0.000831,0.743979,-0.000034,0.740135
0.873800,-0.000878,0.748141,-0.000035,0.743945
0.874100,-0.000926,0.752303,-0.000035,0.747756
0.874400,-0.000973,0.756466,-0.000036,0.751567
0.874700,-0.001021,0.760628,-0.000037,0.755378
0.875000,-0.001068,0.764790,-0.000038,0.759189
0.875300,-0.001123,0.768916,-0.000039,0.762928
0.875600,-0.001177,0.773041,-0.000040,0.766667
0.875900,-0.001231,0.777167,-0.000040,0.770407
0.876200,-0.001286,0.781293,-0.000041,0.774146
0.876500,-0.001340,0.785419,-0.000042,0.777885
0.876800,-0.001394,0.789544,-0.000043,0.781625
0.877100,-0.001451,0.793658,-0.000044,0.785341
0.877400,-0.001511,0.797745,-0.000045,0.789012
0.877700,-0.001571,0.801833,-0.000046,0.792684
0.878000,-0.001632,0.805921,-0.000046,0.796355
0.878300,-0.001692,0.810009,-0.000047,0.800026
0.878600,-0.001754,0.814081,-0.000048,0.803670
0.878900,-0.001820,0.818121,-0.000049,0.807257
0.879200,-0.001885,0.822161,-0.000050,0.810844
0.879500,-0.001950,0.826201,-0.000051,0.814431
0.879800,-0.002016,0.830242,-0.000052,0.818018
0.880100,-0.002082,0.834267,-0.000052,0.821581
0.880400,-0.002151,0.838255,-0.000053,0.825086
0.880700,-0.002220,0.842227,-0.000054,0.828566
0.881000,-0.002291,0.846173,-0.000055,0.832011
0.881300,-0.002361,0.850119,-0.000055,0.835455
0.881600,-0.002434,0.854012,-0.000056,0.838831
0.881900,-0.002508,0.857880,-0.000057,0.842173
0.882200,-0.002581,0.861747,-0.000057,0.845514
0.882500,-0.002655,0.865614,-0.000058,0.848856
0.882800,-0.002728,0.869482,-0.000059,0.852197
0.883100,-0.002803,0.873306,-0.000059,0.855482
0.883400,-0.002881,0.877044,-0.000060,0.858652
0.883700,-0.002959,0.880782,-0.000061,0.861822
0.884000,-0.003037,0.884520,-0.000061,0.864992
0.884300,-0.003116,0.888258,-0.000062,0.868162
0.884600,-0.003194,0.891996,-0.000062,0.871332
0.884900,-0.003272,0.895734,-0.000063,0.874501
0.885200,-0.003353,0.899363,-0.000064,0.877534
0.885500,-0.003435,0.902938,-0.000064,0.880497
0.885800,-0.003518,0.906513,-0.000065,0.883461
0.886100,-0.003601,0.910088,-0.000065,0.886424
0.886400,-0.003684,0.913663,-0.000066,0.889387
0.886700,-0.003766,0.917238,-0.000066,0.892351
0.887000,-0.003849,0.920813,-0.000067,0.895314
0.887300,-0.003936,0.924200,-0.000067,0.898069
0.887600,-0.004022,0.927588,-0.000068,0.900824
0.887900,-0.004109,0.930976,-0.000068,0.903579
0.888200,-0.004195,0.934363,-0.000069,0.906334
0.888500,-0.004282,0.937751,-0.000069,0.909089
0.888800,-0.004369,0.941138,-0.000070,0.911843
0.889100,-0.004456,0.944458,-0.000070,0.914529
0.889400,-0.004546,0.947642,-0.000071,0.917078
0.889700,-0.004636,0.950826,-0.000072,0.919626
0.890000,-0.004726,0.954010,-0.000072,0.922174
0.890300,-0.004815,0.957194,-0.000073,0.924722
0.890600,-0.004905,0.960378,-0.000073,0.927271
0.890900,-0.004995,0.963562,-0.000074,0.929819
0.891200,-0.005086,0.966604,-0.000075,0.932235
0.891500,-0.005178,0.969576,-0.000075,0.934584
0.891800,-0.005271,0.972547,-0.000076,0.936933
0.892100,-0.005363,0.975518,-0.000077,0.939282
0.892400,-0.005455,0.978489,-0.000077,0.941631
0.892700,-0.005547,0.981460,-0.000078,0.943981
0.893000,-0.005640,0.984432,-0.000079,0.946330
0.893300,-0.005734,0.987186,-0.000079,0.948493
0.893600,-0.005828,0.989941,-0.000080,0.950656
0.893900,-0.005922,0.992696,-0.000081,0.952819
0.894200,-0.006016,0.995450,-0.000082,0.954982
0.894500,-0.006110,0.998205,-0.000083,0.957145
0.894800,-0.006204,1.000959,-0.000084,0.959307
0.895100,-0.006299,1.003642,-0.000084,0.961415
0.895400,-0.006395,1.006180,-0.000085,0.963413
0.895700,-0.006490,1.008718,-0.000086,0.965410
0.896000,-0.006586,1.011256,-0.000087,0.967407
0.896300,-0.006681,1.013794,-0.000088,0.969405
0.896600,-0.006777,1.016333,-0.000089,0.971402
0.896900,-0.006873,1.018871,-0.000090,0.973400
0.897200,-0.006969,1.021283,-0.000091,0.975303
0.897500,-0.007066,1.023632,-0.000092,0.977159
0.897800,-0.007163,1.025981,-0.000092,0.979015
0.898100,-0.007260,1.028330,-0.000093,0.980871
0.898400,-0.007356,1.030679,-0.000094,0.982727
0.898700,-0.007454,1.032923,-0.000095,0.984509
0.899000,-0.007551,1.035113,-0.000095,0.986254
0.899300,-0.007649,1.037304,-0.000095,0.987999
0.899600,-0.007747,1.039495,-0.000096,0.989744
0.899900,-0.007844,1.041686,-0.000096,0.991489
0.900200,-0.007943,1.043809,-0.000097,0.993213
0.900500,-0.008042,1.045877,-0.000096,0.994908
0.900800,-0.008140,1.047906,-0.000096,0.996572
0.901100,-0.008239,1.049915,-0.000096,0.998221
0.901400,-0.008338,1.051924,-0.000095,0.999869
0.901700,-0.008437,1.053818,-0.000094,1.001439
0.902000,-0.008536,1.055713,-0.000092,1.003008
0.902300,-0.008635,1.057608,-0.000091,1.004578
0.902600,-0.008734,1.059502,-0.000089,1.006147
0.902900,-0.008833,1.061397,-0.000088,1.007716
0.903200,-0.008932,1.063181,-0.000085,1.009208
0.903500,-0.009032,1.064911,-0.000082,1.010660
0.903800,-0.009132,1.066640,-0.000079,1.012112
0.904100,-0.009231,1.068370,-0.000075,1.013564
0.904400,-0.009331,1.070099,-0.000072,1.015016
0.904700,-0.009431,1.071829,-0.000069,1.016468
0.905000,-0.009530,1.073558,-0.000066,1.017920
0.905300,-0.009631,1.075115,-0.000060,1.019249
0.905600,-0.009731,1.076672,-0.000054,1.020578
0.905900,-0.009832,1.078228,-0.000049,1.021907
0.906200,-0.009932,1.079785,-0.000043,1.023235
0.906500,-0.010033,1.081342,-0.000037,1.024564
0.906800,-0.010133,1.082898,-0.000031,1.025893
0.907100,-0.010234,1.084402,-0.000025,1.027184
0.907400,-0.010336,1.085798,-0.000016,1.028400
0.907700,-0.010438,1.087195,-0.000007,1.029615
0.908000,-0.010539,1.088592,0.000002,1.030830
0.908300,-0.010641,1.089988,0.000011,1.032046
0.908600,-0.010742,1.091385,0.000020,1.033261
0.908900,-0.010844,1.092782,0.000029,1.034476
0.909200,-0.010947,1.094080,0.000040,1.035623
0.909500,-0.011050,1.095330,0.000053,1.036734
0.909800,-0.011153,1.096580,0.000065,1.037846
0.910100,-0.011256,1.097829,0.000078,1.038958
0.910400,-0.011358,1.099079,0.000091,1.040070
0.910700,-0.011461,1.100329,0.000103,1.041182
0.911000,-0.011564,1.101579,0.000116,1.042294
0.911300,-0.011669,1.102695,0.000133,1.043310
0.911600,-0.011773,1.103811,0.000150,1.044326
0.911900,-0.011878,1.104927,0.000167,1.045342
0.912200,-0.011982,1.106043,0.000184,1.046358
0.912500,-0.012087,1.107160,0.000202,1.047373
0.912800,-0.012192,1.108276,0.000219,1.048389
0.913100,-0.012297,1.109352,0.000237,1.049375
0.913400,-0.012403,1.110348,0.000259,1.050302
0.913700,-0.012509,1.111344,0.000281,1.051228
0.914000,-0.012615,1.112340,0.000304,1.052154
0.914300,-0.012721,1.113336,0.000326,1.053081
0.914600,-0.012827,1.114332,0.000348,1.054007
0.914900,-0.012934,1.115328,0.000370,1.054934
0.915200,-0.013041,1.116253,0.000395,1.055815
0.915500,-0.013148,1.117142,0.000421,1.056674
0.915800,-0.013256,1.118031,0.000448,1.057533
0.916100,-0.013364,1.118920,0.000475,1.058392
0.916400,-0.013471,1.119809,0.000501,1.059251
0.916700,-0.013579,1.120698,0.000528,1.060110
0.917000,-0.013687,1.121587,0.000554,1.060969
0.917300,-0.013795,1.122393,0.000584,1.061808
0.917600,-0.013903,1.123198,0.000613,1.062646
0.917900,-0.014012,1.124004,0.000642,1.063485
0.918200,-0.014120,1.124809,0.000672,1.064323
0.918500,-0.014229,1.125615,0.000701,1.065162
0.918800,-0.014337,1.126356,0.000731,1.066013
0.919100,-0.014445,1.127098,0.000762,1.066865
0.919400,-0.014553,1.127840,0.000792,1.067716
0.919700,-0.014661,1.128582,0.000822,1.068567
0.920000,-0.014770,1.129323,0.000853,1.069419
0.920300,-0.014877,1.130024,0.000883,1.070286
0.920600,-0.014985,1.130719,0.000914,1.071157
0.920900,-0.015091,1.131391,0.000944,1.072043
0.921200,-0.015198,1.132063,0.000974,1.072929
0.921500,-0.015304,1.132721,0.001005,1.073825
0.921800,-0.015407,1.133353,0.001034,1.074741
0.922100,-0.015511,1.133986,0.001064,1.075657
0.922400,-0.015615,1.134618,0.001094,1.076572
0.922700,-0.015719,1.135250,0.001124,1.077488
0.923000,-0.015823,1.135882,0.001153,1.078404
0.923300,-0.015919,1.136459,0.001181,1.079364
0.923600,-0.016016,1.137035,0.001209,1.080324
0.923900,-0.016112,1.137612,0.001237,1.081284
0.924200,-0.016209,1.138189,0.001266,1.082244
0.924500,-0.016305,1.138765,0.001294,1.083204
0.924800,-0.016402,1.139342,0.001322,1.084164
0.925100,-0.016494,1.139899,0.001349,1.085142
0.925400,-0.016578,1.140417,0.001374,1.086155
0.925700,-0.016662,1.140934,0.001399,1.087169
0.926000,-0.016746,1.141452,0.001424,1.088182
0.926300,-0.016830,1.141969,0.001450,1.089196
0.926600,-0.016914,1.142487,0.001475,1.090209
0.926900,-0.016998,1.143004,0.001500,1.091223
0.927200,-0.017069,1.143485,0.001523,1.092267
0.927500,-0.017134,1.143948,0.001545,1.093326
0.927800,-0.017199,1.144411,0.001567,1.094386
0.928100,-0.017264,1.144874,0.001589,1.095445
0.928400,-0.017329,1.145337,0.001611,1.096505
0.928700,-0.017394,1.145799,0.001633,1.097564
0.929000,-0.017459,1.146262,0.001655,1.098623
0.929300,-0.017498,1.146673,0.001673,1.099711
0.929600,-0.017538,1.147084,0.001691,1.100798
0.929900,-0.017577,1.147495,0.001710,1.101885
0.930200,-0.017616,1.147905,0.001728,1.102972
0.930500,-0.017655,1.148316,0.001746,1.104059
0.930800,-0.017694,1.148727,0.001765,1.105146
0.931100,-0.017722,1.149121,0.001782,1.106235
0.931400,-0.017728,1.149482,0.001797,1.107328
0.931700,-0.017734,1.149842,0.001812,1.108420
0.932000,-0.017740,1.150203,0.001827,1.109513
0.932300,-0.017746,1.150564,0.001842,1.110605
0.932600,-0.017752,1.150925,0.001857,1.111698
0.932900,-0.017758,1.151285,0.001872,1.112790
0.933200,-0.017737,1.151613,0.001885,1.113869
0.933500,-0.017702,1.151925,0.001898,1.114941
0.933800,-0.017667,1.152236,0.001910,1.116013
0.934100,-0.017632,1.152548,0.001922,1.117086
0.934400,-0.017598,1.152859,0.001934,1.118158
0.934700,-0.017563,1.153171,0.001946,1.119230
0.935000,-0.017528,1.153482,0.001958,1.120302
0.935300,-0.017444,1.153745,0.001967,1.121329
0.935600,-0.017360,1.154008,0.001976,1.122355
0.935900,-0.017276,1.154270,0.001985,1.123382
0.936200,-0.017192,1.154533,0.001995,1.124408
0.936500,-0.017108,1.154795,0.002004,1.125435
0.936800,-0.017024,1.155058,0.002013,1.126461
0.937100,-0.016921,1.155304,0.002021,1.127466
0.937400,-0.016780,1.155517,0.002025,1.128428
0.937700,-0.016639,1.155730,0.002030,1.129390
0.938000,-0.016497,1.155943,0.002035,1.130352
0.938300,-0.016356,1.156156,0.002040,1.131313
0.938600,-0.016215,1.156369,0.002045,1.132275
0.938900,-0.016073,1.156582,0.002050,1.133237
0.939200,-0.015888,1.156761,0.002050,1.134143
0.939500,-0.015680,1.156923,0.002047,1.135022
0.939800,-0.015472,1.157085,0.002044,1.135901
0.940100,-0.015265,1.157247,0.002042,1.136779
0.940400,-0.015057,1.157409,0.002039,1.137658
0.940700,-0.014849,1.157572,0.002036,1.138537
0.941000,-0.014642,1.157734,0.002033,1.139416
0.941300,-0.014358,1.157843,0.002020,1.140195
0.941600,-0.014075,1.157952,0.002006,1.140975
0.941900,-0.013792,1.158062,0.001992,1.141755
0.942200,-0.013508,1.158171,0.001978,1.142534
0.942500,-0.013225,1.158280,0.001964,1.143314
0.942800,-0.012942,1.158389,0.001950,1.144094
0.943100,-0.012630,1.158480,0.001932,1.144839
0.943400,-0.012261,1.158534,0.001904,1.145513
0.943700,-0.011892,1.158587,0.001875,1.146188
0.944000,-0.011524,1.158641,0.001847,1.146862
0.944300,-0.011155,1.158694,0.001819,1.147537
0.944600,-0.010786,1.158748,0.001791,1.148211
0.944900,-0.010417,1.158801,0.001763,1.148886
0.945200,-0.009985,1.158815,0.001723,1.149488
0.945500,-0.009521,1.158809,0.001677,1.150053
0.945800,-0.009057,1.158803,0.001630,1.150618
0.946100,-0.008592,1.158797,0.001584,1.151183
0.946400,-0.008128,1.158791,0.001538,1.151748
0.946700,-0.007664,1.158785,0.001492,1.152313
0.947000,-0.007200,1.158780,0.001445,1.152878
0.947300,-0.006637,1.158711,0.001376,1.153330
0.947600,-0.006073,1.158643,0.001307,1.153781
0.947900,-0.005510,1.158575,0.001238,1.154233
0.948200,-0.004946,1.158506,0.001169,1.154685
0.948500,-0.004383,1.158438,0.001100,1.155136
0.948800,-0.003819,1.158370,0.001031,1.155588
0.949100,-0.003218,1.158279,0.000953,1.156000
0.949400,-0.002543,1.158143,0.000857,1.156333
0.949700,-0.001867,1.158007,0.000761,1.156666
0.950000,-0.001191,1.157871,0.000666,1.156999
0.950300,-0.000515,1.157736,0.000570,1.157332
0.950600,0.000161,1.157600,0.000474,1.157665
0.950900,0.000837,1.157464,0.000378,1.157998
0.951200,0.001599,1.157277,0.000261,1.158249
0.951500,0.002403,1.157064,0.000135,1.158458
0.951800,0.003207,1.156851,0.000009,1.158667
0.952100,0.004012,1.156639,-0.000117,1.158876
0.952400,0.004816,1.156426,-0.000243,1.159085
0.952700,0.005620,1.156213,-0.000370,1.159295
0.953000,0.006425,1.156001,-0.000496,1.159504
0.953300,0.007365,1.155702,-0.000655,1.159583
0.953600,0.008305,1.155403,-0.000814,1.159663
0.953900,0.009245,1.155104,-0.000973,1.159743
0.954200,0.010185,1.154805,-0.001132,1.159822
0.954500,0.011125,1.154506,-0.001290,1.159902
0.954800,0.012066,1.154207,-0.001449,1.159982
0.955100,0.013054,1.153876,-0.001620,1.160016
0.955400,0.014140,1.153480,-0.001813,1.159961
0.955700,0.015226,1.153084,-0.002007,1.159906
0.956000,0.016313,1.152688,-0.002200,1.159850
0.956300,0.017399,1.152292,-0.002393,1.159795
0.956600,0.018485,1.151896,-0.002587,1.159739
0.956900,0.019571,1.151500,-0.002780,1.159684
0.957200,0.020759,1.151031,-0.002997,1.159534
0.957500,0.021999,1.150525,-0.003227,1.159338
0.957800,0.023239,1.150020,-0.003456,1.159141
0.958100,0.024478,1.149514,-0.003685,1.158944
0.958400,0.025718,1.149008,-0.003915,1.158747
0.958700,0.026957,1.148502,-0.004144,1.158550
0.959000,0.028197,1.147997,-0.004373,1.158353
0.959300,0.029597,1.147367,-0.004638,1.158003
0.959600,0.030996,1.146737,-0.004902,1.157652
0.959900,0.032396,1.146106,-0.005166,1.157302
