 time                   v(vdd)                 v(vdda)                i(vcored)              i(vcorea)              i(vpadd)               i(vpada)              
 7.280000000000000e-09  1.079999996069148e+00  2.999999994705251e+00  2.908594594992417e-09  1.088322983011877e-09  4.953110025645094e-09  9.501176072401521e-09 
 8.280000000000000e-09  1.079999996069148e+00  2.999999994705251e+00  2.908595231852773e-09  1.088322983187637e-09  4.953109832873948e-09  9.501176072225762e-09 
 9.280000000000001e-09  1.079999996069148e+00  2.999999994705251e+00  2.908594587728262e-09  1.088322978716150e-09  4.953110032909248e-09  9.501176076697249e-09 
 1.028000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594568321043e-09  1.088322956060983e-09  4.953110052316467e-09  9.501176099352415e-09 
 1.128000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594836227400e-09  1.088322924689000e-09  4.953110228499320e-09  9.501176130724398e-09 
 1.228000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908595192062553e-09  1.088322941584766e-09  4.953109872664167e-09  9.501176113828632e-09 
 1.328000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594560514788e-09  1.088322964039610e-09  4.953110060122723e-09  9.501176091373788e-09 
 1.428000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594924698298e-09  1.088322901290562e-09  4.953110140028423e-09  9.501176154122836e-09 
 1.528000000000001e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594897701663e-09  1.088322971845866e-09  4.953110167025057e-09  9.501176083567533e-09 
 1.628000000000000e-08  1.079999996069148e+00  2.999999994705252e+00  2.908595004929258e-09  1.088322909609696e-09  4.953110059797462e-09  9.501174369446863e-09 
 1.728000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908595063909857e-09  1.088323022741958e-09  4.953110000816864e-09  9.501176032671441e-09 
 1.828000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594814434937e-09  1.088322941781702e-09  4.953110250291784e-09  9.501176113631697e-09 
 1.928000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594758490105e-09  1.088322897317978e-09  4.953110306236616e-09  9.501176158095421e-09 
 2.028000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594721735651e-09  1.088323013089594e-09  4.953109898901860e-09  9.501176042323804e-09 
 2.128000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594659177186e-09  1.088322898114189e-09  4.953109961460325e-09  9.501176157299210e-09 
 2.228000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594874391317e-09  1.088322884368538e-09  4.953110190335404e-09  9.501176171044860e-09 
 2.328000000000000e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594886100700e-09  1.088322905399942e-09  4.953110178626020e-09  9.501174373656616e-09 
 2.428000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594575585198e-09  1.088322813718367e-09  4.953110045052313e-09  9.501176241695031e-09 
 2.528000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594837745283e-09  1.088322864356538e-09  4.953110226981437e-09  9.501176191056861e-09 
 2.627999999999999e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594819855947e-09  1.088322868900446e-09  4.953110244870773e-09  9.501176186512953e-09 
 2.727999999999999e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594876234460e-09  1.088322949332153e-09  4.953110188492260e-09  9.501176106081245e-09 
 2.827999999999999e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594973053714e-09  1.088322873022532e-09  4.953110091673006e-09  9.501176182390867e-09 
 2.927999999999999e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594547287521e-09  1.088322934547617e-09  4.953110073349989e-09  9.501176120865782e-09 
 3.027999999999999e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594899978488e-09  1.088322999065269e-09  4.953110164748233e-09  9.501176056348129e-09 
