 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 4.206713125526267e-07  1.928975819960144e-03  1.204044520083988e+00  7.270534729088625e-01  7.288670047158488e-01  1.200000000000000e+00 
 4.206886621017487e-07  1.133500718211105e-03  1.202899225789102e+00  7.273614761232291e-01  7.291537407239738e-01  1.200000000000000e+00 
 4.207052531296603e-07  6.578330231037817e-04  1.202074867563087e+00  7.276635932768776e-01  7.294410786767450e-01  1.200000000000000e+00 
 4.207233370400896e-07  3.519170382230751e-04  1.201420797997599e+00  7.279981903102256e-01  7.297646203831905e-01  1.200000000000000e+00 
 4.207424740250657e-07  1.746789174391207e-04  1.200938489281151e+00  7.283550666283898e-01  7.301141222565796e-01  1.200000000000000e+00 
 4.207648882410666e-07  7.075495085008569e-05  1.200565622069788e+00  7.287729126418059e-01  7.305271537865026e-01  1.200000000000000e+00 
 4.207907283978246e-07  1.952964573486838e-05  1.200304399966764e+00  7.292504482019424e-01  7.310022609803836e-01  1.200000000000000e+00 
 4.208229408084195e-07 -1.180988724229812e-06  1.200128138239543e+00  7.298351412483364e-01  7.315863776364958e-01  1.200000000000000e+00 
 4.208632463362637e-07 -4.465693751070727e-06  1.200029411222510e+00  7.305461970010229e-01  7.322983761153344e-01  1.200000000000000e+00 
 4.209181185391364e-07 -1.011403329525281e-06  1.199986682638893e+00  7.314746309297160e-01  7.332289989165298e-01  1.200000000000000e+00 
 4.209968855763904e-07  2.755899390713975e-06  1.199980797319391e+00  7.327283422338954e-01  7.344860337319601e-01  1.200000000000000e+00 
 4.211291740722058e-07  4.306201804189828e-06  1.199989668322827e+00  7.346397767216863e-01  7.364025021714828e-01  1.200000000000000e+00 
 4.213291740722058e-07  4.070832608001296e-06  1.199995955800446e+00  7.371241762346070e-01  7.388933152328123e-01  1.200000000000000e+00 
 4.215291740722059e-07  3.744801542782345e-06  1.199996540191443e+00  7.391884454499513e-01  7.409628792968996e-01  1.200000000000000e+00 
 4.217291740722059e-07  3.622976127578813e-06  1.199996027736715e+00  7.408993055243921e-01  7.426781314712133e-01  1.200000000000000e+00 
 4.219291740722059e-07  3.564023728303409e-06  1.199995688549645e+00  7.423157037554683e-01  7.440981717366246e-01  1.200000000000000e+00 
 4.221291740722059e-07  3.508508354070155e-06  1.199995532318159e+00  7.434877613145495e-01  7.452732463729395e-01  1.200000000000000e+00 
 4.223291740722059e-07  3.450980353520240e-06  1.199995445988894e+00  7.444574307522664e-01  7.462454139857876e-01  1.200000000000000e+00 
 4.225291740722059e-07  3.394349990002781e-06  1.199995387084000e+00  7.452595909859511e-01  7.470496424618694e-01  1.200000000000000e+00 
 4.227291740722060e-07  3.339716556341996e-06  1.199995347706377e+00  7.459231555912514e-01  7.477149193192686e-01  1.200000000000000e+00 
 4.229291740722060e-07  3.287058874866534e-06  1.199995325811554e+00  7.464720632395583e-01  7.482652444882245e-01  1.200000000000000e+00 
 4.231291740722060e-07  3.236197162516224e-06  1.199995318839045e+00  7.469261232447650e-01  7.487204780054868e-01  1.200000000000000e+00 
 4.233291740722060e-07  3.187002494281424e-06  1.199995324012582e+00  7.473017242309057e-01  7.490970504924518e-01  1.200000000000000e+00 
 4.235291740722060e-07  3.139379477486595e-06  1.199995338907623e+00  7.476124235706750e-01  7.494085540935076e-01  1.200000000000000e+00 
 4.237291740722060e-07  3.093244236865518e-06  1.199995361540868e+00  7.478694360913452e-01  7.496662324238031e-01  1.200000000000000e+00 
 4.239291740722060e-07  3.048519091435560e-06  1.199995390298671e+00  7.480820387139564e-01  7.498793862374459e-01  1.200000000000000e+00 
 4.241291740722061e-07  3.005132152358158e-06  1.199995423860367e+00  7.482579052934725e-01  7.500557091201724e-01  1.200000000000000e+00 
 4.243291740722061e-07  2.963017153667652e-06  1.199995461143925e+00  7.484033836329190e-01  7.502015652094763e-01  1.200000000000000e+00 
 4.245291740722061e-07  2.922112946688457e-06  1.199995501263600e+00  7.485237246354639e-01  7.503222189312210e-01  1.200000000000000e+00 
 4.247291740722061e-07  2.882362959868653e-06  1.199995543495465e+00  7.486232718571189e-01  7.504220250363300e-01  1.200000000000000e+00 
 4.249291740722061e-07  2.843714719094721e-06  1.199995587249391e+00  7.487056183015626e-01  7.505045857962561e-01  1.200000000000000e+00 
 4.251291740722061e-07  2.806119415506709e-06  1.199995632045328e+00  7.487737361180704e-01  7.505728810326653e-01  1.200000000000000e+00 
 4.253291740722061e-07  2.769531543981873e-06  1.199995677493777e+00  7.488300838857865e-01  7.506293756763450e-01  1.200000000000000e+00 
 4.255291740722062e-07  2.733908615790006e-06  1.199995723280869e+00  7.488766953581096e-01  7.506761087389008e-01  1.200000000000000e+00 
 4.257291740722062e-07  2.699210790038658e-06  1.199995769152959e+00  7.489152528713678e-01  7.507147669096661e-01  1.200000000000000e+00 
 4.259291740722062e-07  2.665400719100272e-06  1.199995814907961e+00  7.489471480681532e-01  7.507467454348951e-01  1.200000000000000e+00 
 4.261291740722062e-07  2.632443274944087e-06  1.199995860385037e+00  7.489735321275834e-01  7.507731984769883e-01  1.200000000000000e+00 
 4.263291740722062e-07  2.600305330674450e-06  1.199995905456447e+00  7.489953573158030e-01  7.507950807718005e-01  1.200000000000000e+00 
 4.265291740722062e-07  2.568955709796148e-06  1.199995950023916e+00  7.490134113566572e-01  7.508131820877063e-01  1.200000000000000e+00 
 4.267291740722063e-07  2.538364854207935e-06  1.199995994010752e+00  7.490283458632347e-01  7.508281557303597e-01  1.200000000000000e+00 
 4.269291740722063e-07  2.508504841417552e-06  1.199996037358891e+00  7.490406998566130e-01  7.508405421220451e-01  1.200000000000000e+00 
 4.271291740722063e-07  2.479349206554517e-06  1.199996080026120e+00  7.490509192207385e-01  7.508507883066579e-01  1.200000000000000e+00 
 4.273291740722063e-07  2.450872806204505e-06  1.199996121981802e+00  7.490593727955964e-01  7.508592640844501e-01  1.200000000000000e+00 
 4.275291740722063e-07  2.423051787730379e-06  1.199996163205735e+00  7.490663656896361e-01  7.508662753588400e-01  1.200000000000000e+00 
 4.277291740722063e-07  2.395863436512198e-06  1.199996203685690e+00  7.490721502919176e-01  7.508720751769872e-01  1.200000000000000e+00 
 4.279291740722063e-07  2.369286138467608e-06  1.199996243416100e+00  7.490769353815060e-01  7.508768728627423e-01  1.200000000000000e+00 
 4.281291740722064e-07  2.343299285412708e-06  1.199996282395746e+00  7.490808936627656e-01  7.508808415714829e-01  1.200000000000000e+00 
 4.283291740722064e-07  2.317883250890273e-06  1.199996320628779e+00  7.490841679986858e-01  7.508841245395834e-01  1.200000000000000e+00 
 4.285291740722064e-07  2.293019250386311e-06  1.199996358121482e+00  7.490868765671711e-01  7.508868402540226e-01  1.200000000000000e+00 
 4.287291740722064e-07  2.268689379988211e-06  1.199996394883189e+00  7.490891171263190e-01  7.508890867287692e-01  1.200000000000000e+00 
 4.289291740722064e-07  2.244876511084957e-06  1.199996430925216e+00  7.490909705427470e-01  7.508909450422709e-01  1.200000000000000e+00 
 4.291291740722064e-07  2.221564252660635e-06  1.199996466260438e+00  7.490925037102466e-01  7.508924822636732e-01  1.200000000000000e+00 
 4.293291740722065e-07  2.198736904556982e-06  1.199996500902407e+00  7.490937719641347e-01  7.508937538734548e-01  1.200000000000000e+00 
 4.295291740722065e-07  2.176379442525959e-06  1.199996534865332e+00  7.490948210784242e-01  7.508948057657925e-01  1.200000000000000e+00 
 4.297291740722065e-07  2.154477479927155e-06  1.199996568164673e+00  7.490956889179038e-01  7.508956759049711e-01  1.200000000000000e+00 
