# TMR copy separation: 199 stages (128 chain stages, 71 control-register bits), 597 flops, all placed
# min distance between two copies of one stage: min 27.4 um, median 42.0 um, max 44.9 um
# stages with a copy pair closer than  5 um: 0
# stages with a copy pair closer than 10 um: 0
# stages with a copy pair closer than 20 um: 0
# stages with a copy pair closer than 40 um: 24
# stage  min_pair_um  a(x,y)  b(x,y)  c(x,y)
chain.21      42.6   (79.7,11.3)  (119.5,26.5)  (159.4,41.6)
chain.22      27.4   (23.0,18.9)  (50.4,18.9)  (90.2,30.2)
chain.23      42.6   (22.1,41.6)  (61.9,56.7)  (102.2,71.8)
chain.24      42.6   (37.4,45.4)  (77.3,60.5)  (120.0,75.6)
chain.25      41.4   (59.5,49.1)  (99.4,64.3)  (139.2,75.6)
chain.26      42.6   (71.5,41.6)  (111.4,56.7)  (151.2,71.8)
chain.27      41.0   (10.1,37.8)  (50.4,45.4)  (90.2,60.5)
chain.28      35.2   (9.1,41.6)  (50.4,52.9)  (77.3,75.6)
chain.29      42.6   (36.5,30.2)  (76.3,45.4)  (116.6,60.5)
chain.30      39.9   (56.6,34.0)  (93.6,49.1)  (133.4,64.3)
chain.31      42.6   (77.3,26.5)  (118.6,41.6)  (158.4,56.7)
chain.32      42.6   (93.1,34.0)  (133.4,52.9)  (173.3,68.0)
chain.33      42.6   (109.4,34.0)  (149.8,49.1)  (189.6,64.3)
chain.34      43.3   (120.5,49.1)  (162.2,60.5)  (202.1,79.4)
chain.35      42.6   (132.0,60.5)  (171.8,75.6)  (212.2,90.7)
chain.36      41.9   (139.2,45.4)  (179.5,56.7)  (219.4,75.6)
chain.37      41.9   (131.5,30.2)  (171.4,49.1)  (211.7,60.5)
chain.38      40.0   (14.4,52.9)  (54.7,68.0)  (93.1,79.4)
chain.39      41.4   (49.0,71.8)  (88.8,83.2)  (128.6,102.1)
chain.40      40.6   (10.1,136.1)  (50.4,151.2)  (90.2,158.8)
chain.41      42.6   (25.9,79.4)  (65.8,94.5)  (105.6,113.4)
chain.42      41.4   (59.5,11.3)  (99.4,22.7)  (139.2,41.6)
chain.43      41.3   (80.2,15.1)  (118.6,30.2)  (158.9,45.4)
chain.44      42.6   (97.9,18.9)  (137.8,34.0)  (178.1,52.9)
chain.45      42.6   (37.4,15.1)  (77.3,30.2)  (118.1,45.4)
chain.46      42.6   (22.6,15.1)  (62.4,30.2)  (102.7,45.4)
chain.47      42.6   (16.8,26.5)  (57.1,41.6)  (97.0,56.7)
chain.48      40.0   (9.6,15.1)  (48.0,26.5)  (87.8,41.6)
chain.49      41.4   (10.1,49.1)  (50.4,64.3)  (90.2,75.6)
chain.50      41.4   (10.1,102.1)  (50.4,113.4)  (90.2,124.7)
chain.51      39.9   (27.4,155.0)  (64.3,170.1)  (107.0,185.2)
chain.52      42.6   (28.8,139.9)  (69.1,155.0)  (109.0,170.1)
chain.53      40.8   (24.5,113.4)  (62.4,128.5)  (105.1,143.6)
chain.54      42.6   (45.1,121.0)  (85.0,136.1)  (125.3,158.8)
chain.55      41.9   (10.1,128.5)  (50.4,139.9)  (90.2,155.0)
chain.56      33.4   (10.1,200.3)  (50.4,215.5)  (80.2,230.6)
chain.57      41.4   (26.4,189.0)  (66.7,204.1)  (106.6,215.5)
chain.58      42.6   (10.1,155.0)  (50.4,170.1)  (90.2,185.2)
chain.59      42.2   (72.0,139.9)  (112.3,155.0)  (151.7,170.1)
chain.60      41.4   (37.4,113.4)  (77.3,124.7)  (121.4,147.4)
chain.61      41.9   (10.1,143.6)  (50.4,155.0)  (90.2,170.1)
chain.62      41.9   (10.1,181.4)  (50.4,192.8)  (90.2,207.9)
chain.63      28.4   (23.0,22.7)  (50.4,15.1)  (90.2,26.5)
chain.64      41.0   (10.1,30.2)  (50.4,37.8)  (90.2,52.9)
chain.65      42.6   (21.6,64.3)  (61.4,79.4)  (101.3,94.5)
chain.66      41.4   (37.0,60.5)  (76.8,79.4)  (116.6,90.7)
chain.67      33.4   (55.2,60.5)  (103.2,75.6)  (133.0,90.7)
chain.68      39.6   (50.4,181.4)  (90.2,200.3)  (128.2,211.7)
chain.69      42.6   (111.4,109.6)  (151.2,124.7)  (191.5,139.9)
chain.70      43.1   (131.5,105.8)  (171.8,121.0)  (211.7,139.9)
chain.71      42.6   (109.0,136.1)  (149.3,151.2)  (189.1,166.3)
chain.72      42.6   (75.4,128.5)  (124.3,143.6)  (164.2,158.8)
chain.73      42.6   (30.2,94.5)  (70.1,109.6)  (109.9,124.7)
chain.74      42.6   (10.1,177.7)  (50.4,196.6)  (90.2,211.7)
chain.75      42.6   (10.1,173.9)  (50.4,189.0)  (90.2,204.1)
chain.76      40.8   (64.8,173.9)  (104.6,189.0)  (142.6,204.1)
chain.77      42.6   (77.3,151.2)  (122.4,166.3)  (162.2,181.4)
chain.78      41.4   (10.1,166.3)  (50.4,177.7)  (90.2,189.0)
chain.79      40.0   (10.1,162.5)  (50.4,185.2)  (88.8,196.6)
chain.80      41.4   (10.1,98.3)  (50.4,109.6)  (90.2,121.0)
chain.81      40.6   (10.1,79.4)  (50.4,90.7)  (90.2,98.3)
chain.82      41.4   (106.1,79.4)  (145.9,90.7)  (186.2,109.6)
chain.83      41.4   (116.6,94.5)  (157.0,109.6)  (196.8,121.0)
chain.84      42.6   (66.2,158.8)  (106.1,173.9)  (145.9,189.0)
chain.85      42.6   (77.3,170.1)  (121.4,185.2)  (161.3,200.3)
chain.86      42.6   (33.1,177.7)  (73.0,192.8)  (112.8,207.9)
chain.87      43.1   (10.1,192.8)  (50.4,207.9)  (90.2,226.8)
chain.88      42.6   (10.1,189.0)  (50.4,204.1)  (90.2,219.2)
chain.89      42.6   (28.3,204.1)  (68.2,219.2)  (108.0,234.4)
chain.90      41.4   (43.7,200.3)  (84.0,215.5)  (123.8,226.8)
chain.91      42.6   (12.5,204.1)  (52.8,219.2)  (92.6,234.4)
chain.92      42.6   (21.1,11.3)  (61.0,26.5)  (100.8,41.6)
chain.93      32.3   (63.4,22.7)  (103.2,37.8)  (133.4,49.1)
chain.94      42.6   (75.4,52.9)  (115.2,71.8)  (155.0,86.9)
chain.95      40.4   (10.1,121.0)  (50.4,132.3)  (87.8,147.4)
chain.96      41.0   (10.1,117.2)  (49.4,128.5)  (90.2,143.6)
chain.97      42.6   (11.5,109.6)  (51.4,124.7)  (91.2,139.9)
chain.98      41.4   (10.1,94.5)  (50.4,105.8)  (90.2,117.2)
chain.99      40.5   (10.1,45.4)  (49.0,56.7)  (89.3,71.8)
chain.100     41.4   (51.8,98.3)  (91.7,109.6)  (131.5,132.3)
chain.101     39.0   (10.1,132.3)  (50.4,143.6)  (84.5,162.5)
chain.102     42.6   (10.1,151.2)  (50.4,166.3)  (90.2,181.4)
chain.103     41.4   (40.3,147.4)  (80.6,166.3)  (120.5,177.7)
chain.104     40.6   (53.3,147.4)  (93.6,166.3)  (133.4,173.9)
chain.105     41.4   (61.0,136.1)  (100.8,147.4)  (141.1,162.5)
chain.106     38.2   (88.3,128.5)  (128.2,151.2)  (163.2,166.3)
chain.107     42.6   (74.9,71.8)  (114.7,86.9)  (155.0,102.1)
chain.108     44.1   (91.7,68.0)  (132.0,86.9)  (171.8,105.8)
chain.109     40.4   (99.4,90.7)  (139.7,109.6)  (177.1,124.7)
chain.110     42.6   (84.0,56.7)  (130.1,71.8)  (169.9,86.9)
chain.111     39.0   (10.1,60.5)  (50.4,75.6)  (86.4,90.7)
chain.112     41.9   (10.1,105.8)  (50.4,117.2)  (90.2,132.3)
chain.113     40.7   (10.1,75.6)  (50.4,83.2)  (86.4,102.1)
chain.114     39.5   (10.1,34.0)  (46.6,49.1)  (86.4,64.3)
chain.115     40.1   (10.1,22.7)  (49.4,30.2)  (89.8,45.4)
chain.116     42.6   (8.2,11.3)  (50.4,22.7)  (90.2,37.8)
chain.117     36.8   (10.1,18.9)  (43.7,34.0)  (80.6,49.1)
chain.118     39.6   (10.1,124.7)  (48.0,136.1)  (90.2,151.2)
chain.119     41.3   (23.5,166.3)  (63.4,181.4)  (101.8,196.6)
chain.120     42.6   (47.5,158.8)  (87.4,173.9)  (127.7,196.6)
chain.121     42.6   (59.5,86.9)  (99.4,102.1)  (139.2,117.2)
chain.122     42.6   (73.4,90.7)  (115.7,105.8)  (155.5,121.0)
chain.123     42.4   (8.6,64.3)  (48.5,79.4)  (90.2,86.9)
chain.124     39.5   (10.1,71.8)  (46.6,86.9)  (88.3,94.5)
chain.125     42.6   (108.0,68.0)  (147.8,83.2)  (188.2,98.3)
chain.126     42.6   (130.1,68.0)  (169.9,83.2)  (209.8,98.3)
chain.127     41.4   (143.0,79.4)  (182.9,94.5)  (222.7,105.8)
u_cnt_corr.0       41.0   (192.0,113.4)  (231.8,128.5)  (272.2,136.1)
u_cnt_corr.1       42.6   (231.8,109.6)  (272.2,124.7)  (312.0,139.9)
u_cnt_corr.2       42.6   (213.6,109.6)  (253.4,124.7)  (293.8,139.9)
u_cnt_corr.3       43.1   (229.4,124.7)  (269.8,139.9)  (310.1,155.0)
u_cnt_corr.4       42.6   (233.8,94.5)  (274.1,113.4)  (313.9,128.5)
u_cnt_corr.5       38.7   (216.0,136.1)  (253.0,147.4)  (292.8,162.5)
u_cnt_corr.6       40.6   (197.8,128.5)  (237.6,136.1)  (280.8,155.0)
u_cnt_corr.7       41.4   (180.0,102.1)  (219.8,117.2)  (259.7,128.5)
u_cnt_corr.8       43.1   (179.5,117.2)  (219.8,132.3)  (265.9,147.4)
u_cnt_corr.9       43.1   (150.2,105.8)  (190.1,124.7)  (230.4,139.9)
u_cnt_corr.10      41.4   (181.9,132.3)  (221.8,147.4)  (261.6,158.8)
u_cnt_corr.11      42.6   (162.7,117.2)  (203.0,136.1)  (242.9,151.2)
u_cnt_corr.12      42.6   (135.4,128.5)  (175.2,143.6)  (215.0,158.8)
u_cnt_corr.13      42.6   (126.2,139.9)  (166.1,155.0)  (206.4,170.1)
u_cnt_corr.14      43.1   (142.6,121.0)  (182.9,136.1)  (223.2,151.2)
u_cnt_corr.15      42.6   (144.0,143.6)  (183.8,158.8)  (224.2,173.9)
u_cnt_plain.0       41.9   (187.7,71.8)  (228.0,83.2)  (269.8,102.1)
u_cnt_plain.1       42.6   (197.3,52.9)  (237.1,68.0)  (277.4,86.9)
u_cnt_plain.2       41.0   (223.2,71.8)  (263.0,90.7)  (303.4,98.3)
u_cnt_plain.3       41.9   (210.7,64.3)  (251.0,75.6)  (290.9,90.7)
u_cnt_plain.4       42.3   (223.2,86.9)  (264.0,98.3)  (302.9,117.2)
u_cnt_plain.5       42.6   (215.0,94.5)  (255.4,109.6)  (295.2,124.7)
u_cnt_plain.6       41.4   (198.7,94.5)  (238.6,105.8)  (278.9,121.0)
u_cnt_plain.7       42.6   (183.8,86.9)  (223.7,102.1)  (264.0,117.2)
u_cnt_plain.8       43.1   (170.9,64.3)  (210.7,83.2)  (251.0,98.3)
u_cnt_plain.9       42.6   (183.4,60.5)  (223.7,79.4)  (263.5,94.5)
u_cnt_plain.10      42.6   (171.8,45.4)  (211.7,68.0)  (251.5,83.2)
u_cnt_plain.11      44.9   (151.2,37.8)  (193.9,56.7)  (236.2,71.8)
u_cnt_plain.12      42.6   (151.2,52.9)  (191.0,68.0)  (231.4,90.7)
u_cnt_plain.13      42.6   (150.7,68.0)  (191.0,83.2)  (230.9,98.3)
u_cnt_plain.14      41.4   (153.6,94.5)  (193.4,105.8)  (233.3,121.0)
u_cnt_plain.15      41.0   (165.6,90.7)  (206.4,105.8)  (245.8,117.2)
u_cnt_unc.0       40.6   (256.8,102.1)  (297.1,113.4)  (337.0,121.0)
u_cnt_unc.1       41.4   (256.8,113.4)  (297.1,128.5)  (337.0,139.9)
u_cnt_unc.2       40.0   (256.8,139.9)  (297.1,155.0)  (337.0,158.8)
u_cnt_unc.3       40.6   (256.8,132.3)  (297.1,147.4)  (337.0,155.0)
u_cnt_unc.4       39.6   (259.2,121.0)  (299.0,136.1)  (337.0,147.4)
u_cnt_unc.5       42.6   (256.8,105.8)  (297.1,121.0)  (337.0,136.1)
u_cnt_unc.6       42.6   (246.2,121.0)  (286.1,136.1)  (326.4,151.2)
u_cnt_unc.7       42.6   (250.6,94.5)  (290.4,109.6)  (330.2,124.7)
u_en_d.0       41.4   (228.0,143.6)  (267.8,155.0)  (308.2,173.9)
u_fill.0       44.5   (186.7,37.8)  (227.0,56.7)  (269.8,71.8)
u_fill.1       41.4   (190.6,34.0)  (230.4,45.4)  (271.7,64.3)
u_fill.2       42.6   (205.4,22.7)  (245.3,37.8)  (285.6,52.9)
u_fill.3       41.9   (216.0,15.1)  (256.3,26.5)  (296.2,41.6)
u_fill.4       40.6   (196.3,18.9)  (236.2,26.5)  (276.0,41.6)
u_fill.5       40.6   (176.2,18.9)  (216.0,26.5)  (256.3,41.6)
u_fill.6       41.4   (175.2,22.7)  (215.0,34.0)  (254.9,52.9)
u_fill.7       41.4   (147.4,22.7)  (187.2,41.6)  (227.0,52.9)
u_fill.8       41.4   (165.6,34.0)  (205.4,45.4)  (245.8,64.3)
u_fill.9       44.1   (141.6,18.9)  (184.8,30.2)  (224.6,49.1)
u_fill.10      42.6   (148.3,11.3)  (197.8,26.5)  (237.6,41.6)
u_pat_d.0       39.9   (255.8,151.2)  (292.8,166.3)  (332.6,181.4)
u_pat_d.1       43.1   (241.9,132.3)  (281.8,151.2)  (322.1,166.3)
u_phase.0       41.4   (256.8,143.6)  (297.1,158.8)  (337.0,170.1)
u_run_cur.0       31.3   (258.2,37.8)  (298.6,52.9)  (325.9,68.0)
u_run_cur.1       32.5   (256.8,49.1)  (297.1,64.3)  (325.9,79.4)
u_run_cur.2       40.0   (256.8,22.7)  (297.1,37.8)  (337.0,41.6)
u_run_cur.3       40.6   (237.1,18.9)  (277.0,26.5)  (317.3,41.6)
u_run_cur.4       40.0   (256.3,18.9)  (296.2,34.0)  (336.0,37.8)
u_run_cur.5       42.6   (240.0,22.7)  (279.8,37.8)  (320.2,52.9)
u_run_cur.6       41.4   (225.6,22.7)  (265.4,34.0)  (305.8,49.1)
u_run_cur.7       42.6   (214.1,30.2)  (253.9,45.4)  (294.2,60.5)
u_run_max.0       42.0   (256.8,86.9)  (297.1,102.1)  (338.4,109.6)
u_run_max.1       42.6   (256.8,71.8)  (297.1,86.9)  (337.0,102.1)
u_run_max.2       42.6   (233.3,60.5)  (273.1,75.6)  (313.0,90.7)
u_run_max.3       42.6   (245.3,79.4)  (285.1,94.5)  (325.4,109.6)
u_run_max.4       40.0   (258.7,64.3)  (297.1,79.4)  (337.0,83.2)
u_run_max.5       42.6   (256.8,60.5)  (297.1,75.6)  (337.0,90.7)
u_run_max.6       42.6   (213.6,52.9)  (253.9,68.0)  (293.8,83.2)
u_run_max.7       43.1   (206.4,37.8)  (246.2,56.7)  (286.6,71.8)
