2026-09-24T16:18:18+02:00 launched c_mid_tt_m40C_c1414m on cpu 0
2026-09-24T16:18:18+02:00 launched c_mid_tt_27C_c1414m on cpu 1
2026-09-24T16:18:19+02:00 launched c_mid_tt_85C_c1414m on cpu 2
2026-09-24T16:18:19+02:00 launched c_mid_tt_125C_c1414m on cpu 3
2026-09-24T16:18:19+02:00 launched c_mid_ss_m40C_c1414m on cpu 4
2026-09-24T16:18:20+02:00 launched c_mid_ss_27C_c1414m on cpu 5
2026-09-24T16:18:20+02:00 launched c_mid_ss_85C_c1414m on cpu 6
2026-09-24T16:18:20+02:00 launched c_mid_ss_125C_c1414m on cpu 7
2026-09-24T16:18:21+02:00 launched c_mid_ff_m40C_c1414m on cpu 8
2026-09-24T16:18:21+02:00 launched c_mid_ff_27C_c1414m on cpu 9
2026-09-24T16:18:21+02:00 launched c_mid_ff_85C_c1414m on cpu 10
2026-09-24T16:18:21+02:00 launched c_mid_ff_125C_c1414m on cpu 11
2026-09-24T16:18:22+02:00 launched c_tt_m40C_c1414m on cpu 12
2026-09-24T16:18:22+02:00 launched c_tt_27C_c1414m on cpu 13
2026-09-24T16:18:22+02:00 launched c_tt_85C_c1414m on cpu 14
2026-09-24T16:18:23+02:00 launched c_tt_125C_c1414m on cpu 15
2026-09-24T16:18:23+02:00 launched c_ss_m40C_c1414m on cpu 16
2026-09-24T16:18:23+02:00 launched c_ss_27C_c1414m on cpu 17
2026-09-24T18:22:24+02:00 N=18 (day target 18, cap 59, foreign 58.0) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:23:25+02:00 N=18 (day target 18, cap 51, foreign 66.4) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:24:25+02:00 N=18 (day target 18, cap 55, foreign 62.3) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:25:26+02:00 N=18 (day target 18, cap 45, foreign 72.0) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:26:27+02:00 N=18 (day target 18, cap 40, foreign 77.4) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:27:27+02:00 N=18 (day target 18, cap 53, foreign 64.9) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:28:28+02:00 N=18 (day target 18, cap 59, foreign 58.5) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:29:28+02:00 N=18 (day target 18, cap 54, foreign 63.5) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:30:29+02:00 N=18 (day target 18, cap 59, foreign 58.3) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:31:29+02:00 N=18 (day target 18, cap 41, foreign 76.5) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:32:30+02:00 N=18 (day target 18, cap 54, foreign 63.5) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:33:31+02:00 N=18 (day target 18, cap 50, foreign 67.7) running=18 queued=74 done=8 failed=0 skipped=0 blocked=0
2026-09-24T18:34:31+02:00 launched q_tt_85C_c1414m on cpu 15
2026-09-24T18:34:32+02:00 N=18 (day target 18, cap 46, foreign 71.7) running=18 queued=73 done=9 failed=0 skipped=0 blocked=0
2026-09-24T18:35:32+02:00 N=18 (day target 18, cap 45, foreign 72.3) running=18 queued=73 done=9 failed=0 skipped=0 blocked=0
2026-09-24T18:36:33+02:00 N=18 (day target 18, cap 41, foreign 76.3) running=18 queued=73 done=9 failed=0 skipped=0 blocked=0
2026-09-24T18:37:34+02:00 N=18 (day target 18, cap 40, foreign 77.7) running=18 queued=73 done=9 failed=0 skipped=0 blocked=0
2026-09-24T18:38:34+02:00 N=18 (day target 18, cap 48, foreign 69.2) running=18 queued=73 done=9 failed=0 skipped=0 blocked=0
