id,status,invalid,ngspice_exit,wall_s,t_trip_d_us,t_gate_1V_us,cause,kinds,log
b_s_ff_27C_c1414m,completed,,0,7584,27.6461,27.9333,1,QUIET+TRIP,b_s_pex_c1414_tl_ff_27C_ovr-bgrsch_nodcn_clockfix_functional_b_s_ff_27C_c1414m.log
b_s_ff_85C_c1414m,timeout,,-15,12300,,,,,b_s_pex_c1414_tl_ff_85C_ovr-bgrsch_nodcn_clockfix_functional_b_s_ff_85C_c1414m.log
b_s_ff_125C_c1414m,completed,,0,7983,27.6461,27.9337,1,QUIET+TRIP,b_s_pex_c1414_tl_ff_125C_ovr-bgrsch_nodcn_clockfix_functional_b_s_ff_125C_c1414m.log
e20_tt_m40C_c1414m,failed (invalid),cosim mismatch+failed footer,0,1344,,,0,QUIET+TRIP,e20_pex_c1414_tl_tt_-40C_ovr-bgrsch_nodcn_clockfix_functional_e20_tt_m40C_c1414m.log
e20_tt_27C_c1414m,failed (invalid),cosim mismatch+failed footer,0,2522,,,0,QUIET+TRIP,e20_pex_c1414_tl_tt_27C_ovr-bgrsch_nodcn_clockfix_functional_e20_tt_27C_c1414m.log
e20_tt_85C_c1414m,failed (invalid),cosim mismatch+failed footer,0,3297,,,0,QUIET+TRIP,e20_pex_c1414_tl_tt_85C_ovr-bgrsch_nodcn_clockfix_functional_e20_tt_85C_c1414m.log
e20_tt_125C_c1414m,failed (invalid),cosim mismatch+failed footer,0,2005,,,0,QUIET+TRIP,e20_pex_c1414_tl_tt_125C_ovr-bgrsch_nodcn_clockfix_functional_e20_tt_125C_c1414m.log
e20_ss_m40C_c1414m,failed (invalid),cosim mismatch+failed footer,0,1352,,,0,QUIET+TRIP,e20_pex_c1414_tl_ss_-40C_ovr-bgrsch_nodcn_clockfix_functional_e20_ss_m40C_c1414m.log
e20_ss_27C_c1414m,failed (invalid),cosim mismatch+failed footer,0,2121,,,0,QUIET+TRIP,e20_pex_c1414_tl_ss_27C_ovr-bgrsch_nodcn_clockfix_functional_e20_ss_27C_c1414m.log
e20_ss_85C_c1414m,failed (invalid),cosim mismatch+failed footer,0,1250,,,0,QUIET+TRIP,e20_pex_c1414_tl_ss_85C_ovr-bgrsch_nodcn_clockfix_functional_e20_ss_85C_c1414m.log
e20_ss_125C_c1414m,failed (invalid),cosim mismatch+failed footer,-15,2443,,,,,e20_pex_c1414_tl_ss_125C_ovr-bgrsch_nodcn_clockfix_functional_e20_ss_125C_c1414m.log
e20_ff_m40C_c1414m,failed (invalid),cosim mismatch+failed footer,0,1189,,,0,QUIET+TRIP,e20_pex_c1414_tl_ff_-40C_ovr-bgrsch_nodcn_clockfix_functional_e20_ff_m40C_c1414m.log
e20_ff_27C_c1414m,failed (invalid),cosim mismatch+failed footer,0,1128,,,0,QUIET+TRIP,e20_pex_c1414_tl_ff_27C_ovr-bgrsch_nodcn_clockfix_functional_e20_ff_27C_c1414m.log
e20_ff_85C_c1414m,failed (invalid),cosim mismatch+failed footer,-15,2077,,,,,e20_pex_c1414_tl_ff_85C_ovr-bgrsch_nodcn_clockfix_functional_e20_ff_85C_c1414m.log
e20_ff_125C_c1414m,failed (invalid),cosim mismatch+failed footer,0,1284,,,0,QUIET+TRIP,e20_pex_c1414_tl_ff_125C_ovr-bgrsch_nodcn_clockfix_functional_e20_ff_125C_c1414m.log
c_mid_tt_27C_vdd1p08_vdda3p0_c1414m,failed (invalid),cosim mismatch+failed footer,-15,1712,,,,,c_mid_pex_c1414_tl_tt_27C_vdd1p08_vdda3p0_ovr-bgrsch_nodcn_clockfix_functional_c_mid_tt_27C_vdd1p08_vdda3p0_c1414m.log
c_mid_tt_27C_vdd1p32_vdda3p6_c1414m,failed (invalid),cosim mismatch+failed footer,0,1376,,,0,QUIET+TRIP,c_mid_pex_c1414_tl_tt_27C_vdd1p32_vdda3p6_ovr-bgrsch_nodcn_clockfix_functional_c_mid_tt_27C_vdd1p32_vdda3p6_c1414m.log
c_mid_tt_27C_vdd1p08_vdda3p6_c1414m,failed (invalid),cosim mismatch+failed footer,0,1392,,,0,QUIET+TRIP,c_mid_pex_c1414_tl_tt_27C_vdd1p08_vdda3p6_ovr-bgrsch_nodcn_clockfix_functional_c_mid_tt_27C_vdd1p08_vdda3p6_c1414m.log
c_mid_tt_27C_vdd1p32_vdda3p0_c1414m,failed (invalid),cosim mismatch+failed footer,0,1346,,,0,QUIET+TRIP,c_mid_pex_c1414_tl_tt_27C_vdd1p32_vdda3p0_ovr-bgrsch_nodcn_clockfix_functional_c_mid_tt_27C_vdd1p32_vdda3p0_c1414m.log
c_mid_ss_125C_vdd1p08_vdda3p0_c1414m,failed (invalid),cosim mismatch+failed footer,-15,1643,,,,,c_mid_pex_c1414_tl_ss_125C_vdd1p08_vdda3p0_ovr-bgrsch_nodcn_clockfix_functional_c_mid_ss_125C_vdd1p08_vdda3p0_c1414m.log
