id,status,invalid,ngspice_exit,wall_s,t_trip_d_us,t_gate_1V_us,cause,kinds,log
gA_ss_125C_r3_c1414m,completed,,0,12,,,,POWERUP,gA_pex_c1414_beh_ss_125C_ovr-bgrsch_padsnodcn_clockfix_functional_gA_ss_125C_r3_c1414m.log
gA_ff_m40C_r3_c1414m,completed,,0,12,,,,POWERUP,gA_pex_c1414_beh_ff_-40C_ovr-bgrsch_padsnodcn_clockfix_functional_gA_ff_m40C_r3_c1414m.log
gB_ss_125C_r3_c1414m,completed,,0,12,,,,POWERUP,gB_pex_c1414_beh_ss_125C_ovr-bgrsch_padsnodcn_clockfix_functional_gB_ss_125C_r3_c1414m.log
gB_ff_m40C_r3_c1414m,completed,,0,11,,,,POWERUP,gB_pex_c1414_beh_ff_-40C_ovr-bgrsch_padsnodcn_clockfix_functional_gB_ff_m40C_r3_c1414m.log
gA_pd_ss_125C_r3_c1414m,completed,,0,11,,,,POWERUP,gA_pd_pex_c1414_beh_ss_125C_ovr-bgrsch_padsnodcn_clockfix_functional_gA_pd_ss_125C_r3_c1414m.log
gA_pd_ff_m40C_r3_c1414m,completed,,0,11,,,,POWERUP,gA_pd_pex_c1414_beh_ff_-40C_ovr-bgrsch_padsnodcn_clockfix_functional_gA_pd_ff_m40C_r3_c1414m.log
gB_pd_ss_125C_r3_c1414m,completed,,0,12,,,,POWERUP,gB_pd_pex_c1414_beh_ss_125C_ovr-bgrsch_padsnodcn_clockfix_functional_gB_pd_ss_125C_r3_c1414m.log
gB_pd_ff_m40C_r3_c1414m,completed,,0,11,,,,POWERUP,gB_pd_pex_c1414_beh_ff_-40C_ovr-bgrsch_padsnodcn_clockfix_functional_gB_pd_ff_m40C_r3_c1414m.log
q_t2f_tt_m40C_r3_c1414m,failed,failed footer,1,2119,,,,QUIET+T2F+NO_TRIP_EXPECTED,q_pex_c1414_tl_tt_-40C_ovr-bgrsch_t2ftl_nodcn_gear_clockfix_functional_q_t2f_tt_m40C_r3_c1414m.log
q_t2f_tt_27C_r3_c1414m,completed,,0,8327,,,0,QUIET+T2F+NO_TRIP_EXPECTED,q_pex_c1414_tl_tt_27C_ovr-bgrsch_t2ftl_nodcn_gear_clockfix_functional_q_t2f_tt_27C_r3_c1414m.log
q_t2f_tt_125C_r3_c1414m,completed,,0,14908,,,0,QUIET+T2F+NO_TRIP_EXPECTED,q_pex_c1414_tl_tt_125C_ovr-bgrsch_t2ftl_nodcn_gear_clockfix_functional_q_t2f_tt_125C_r3_c1414m.log
osc_ss_125C_r3_c1414m,completed,,0,707,,,0,QUIET+NO_TRIP_EXPECTED,osc_pex_c1414_tl_ss_125C_gear_clockfix_maxstep2ns_optreltol0002abstol1em8vntol1em4chgtol1em12xtrtol7_functional_osc_ss_125C_r3_c1414m.log
osc_ss_125C_vddlo_r3_c1414m,failed,failed footer,1,533,,,,QUIET+NO_TRIP_EXPECTED,osc_pex_c1414_tl_ss_125C_vdd1p08_vdda3p3_gear_clockfix_maxstep2ns_optreltol0002abstol1em8vntol1em4chgtol1em12xtrtol7_functional_osc_ss_125C_vddlo_r3_c1414m.log
osc_ff_m40C_r3_c1414m,completed,,0,866,,,0,QUIET+NO_TRIP_EXPECTED,osc_pex_c1414_tl_ff_-40C_gear_clockfix_maxstep2ns_optreltol0002abstol1em8vntol1em4chgtol1em12xtrtol7_functional_osc_ff_m40C_r3_c1414m.log
osc_ff_m40C_vddlo_r3_c1414m,failed,failed footer,1,376,,,,QUIET+NO_TRIP_EXPECTED,osc_pex_c1414_tl_ff_-40C_vdd1p32_vdda3p3_gear_clockfix_maxstep2ns_optreltol0002abstol1em8vntol1em4chgtol1em12xtrtol7_functional_osc_ff_m40C_vddlo_r3_c1414m.log
osc_tt_27C_r3_c1414m,completed,,0,536,,,0,QUIET+NO_TRIP_EXPECTED,osc_pex_c1414_tl_tt_27C_gear_clockfix_maxstep2ns_optreltol0002abstol1em8vntol1em4chgtol1em12xtrtol7_functional_osc_tt_27C_r3_c1414m.log
f_mid_ss_85C_r2_r3_c1414m,completed,,0,6121,1.04647,1.33492,0,QUIET+TRIP+REARM,f_mid_pex_c1414_tl_ss_85C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_ss_85C_r2_r3_c1414m.log
c_mid_tt_27C_r2_r3_c1414m,completed,,0,9647,1.04635,1.33392,2,QUIET+TRIP,c_mid_pex_c1414_tl_tt_27C_ovr-bgrsch_nodcn_clockfix_functional_c_mid_tt_27C_r2_r3_c1414m.log
c_mid_tt_85C_r2_r3_c1414m,completed,,0,15084,1.04648,1.33434,2,QUIET+TRIP,c_mid_pex_c1414_tl_tt_85C_ovr-bgrsch_nodcn_clockfix_functional_c_mid_tt_85C_r2_r3_c1414m.log
c_mid_ss_125C_r2_r3_c1414m,completed,,0,13611,1.04647,1.3351,2,QUIET+TRIP,c_mid_pex_c1414_tl_ss_125C_ovr-bgrsch_nodcn_clockfix_functional_c_mid_ss_125C_r2_r3_c1414m.log
c_tt_85C_r2_r3_c1414m,completed,,0,14155,1.04635,1.3342,2,QUIET+TRIP,c_pex_c1414_tl_tt_85C_ovr-bgrsch_nodcn_clockfix_functional_c_tt_85C_r2_r3_c1414m.log
q_tt_85C_r4_c1414m,completed,,0,11387,,,0,QUIET+NO_TRIP_EXPECTED,q_pex_c1414_tl_tt_85C_ovr-bgrsch_nodcn_clockfix_functional_q_tt_85C_r4_c1414m.log
q_ss_27C_r4_c1414m,completed,,0,8049,,,0,QUIET+NO_TRIP_EXPECTED,q_pex_c1414_tl_ss_27C_ovr-bgrsch_nodcn_clockfix_functional_q_ss_27C_r4_c1414m.log
f_mid_tt_27C_r4_c1414m,completed,,0,10761,1.04635,1.33392,0,QUIET+TRIP+REARM,f_mid_pex_c1414_tl_tt_27C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_tt_27C_r4_c1414m.log
f_mid_tt_85C_r4_c1414m,completed,,0,12661,1.04648,1.33434,0,QUIET+TRIP+REARM,f_mid_pex_c1414_tl_tt_85C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_tt_85C_r4_c1414m.log
f_mid_ss_125C_r4_c1414m,completed,,0,11413,1.04647,1.3351,0,QUIET+TRIP+REARM,f_mid_pex_c1414_tl_ss_125C_ovr-bgrsch_nodcn_clockfix_functional_f_mid_ss_125C_r4_c1414m.log
b_s_tt_27C_r4_c1414m,completed,,0,13928,27.6463,27.9339,1,QUIET+TRIP,b_s_pex_c1414_tl_tt_27C_ovr-bgrsch_nodcn_clockfix_functional_b_s_tt_27C_r4_c1414m.log
b_s_tt_85C_r4_c1414m,completed,,0,16273,27.6461,27.934,1,QUIET+TRIP,b_s_pex_c1414_tl_tt_85C_ovr-bgrsch_nodcn_clockfix_functional_b_s_tt_85C_r4_c1414m.log
b_s_tt_125C_r4_c1414m,completed,,0,10502,27.6461,27.9342,1,QUIET+TRIP,b_s_pex_c1414_tl_tt_125C_ovr-bgrsch_nodcn_clockfix_functional_b_s_tt_125C_r4_c1414m.log
b_s_ss_27C_r4_c1414m,completed,,0,10152,27.6461,27.9343,1,QUIET+TRIP,b_s_pex_c1414_tl_ss_27C_ovr-bgrsch_nodcn_clockfix_functional_b_s_ss_27C_r4_c1414m.log
b_s_ss_125C_r4_c1414m,completed,,0,13234,27.6463,27.9349,1,QUIET+TRIP,b_s_pex_c1414_tl_ss_125C_ovr-bgrsch_nodcn_clockfix_functional_b_s_ss_125C_r4_c1414m.log
b_s_ff_85C_r4_c1414m,completed,,0,10092,27.6461,27.9335,1,QUIET+TRIP,b_s_pex_c1414_tl_ff_85C_ovr-bgrsch_nodcn_clockfix_functional_b_s_ff_85C_r4_c1414m.log
