 time                   v(clk)                 v(xt.icmp)             v(xt.vth_soft)         v(xt.vth_hard)         v(cmp_soft)            v(cmp_hard)            v(isense)             
 3.039437593172571e-07  0.000000000000000e+00  7.266739796365151e-01  7.336329878586277e-01  7.621163880526073e-01  1.199999793989449e+00  1.082383741690028e-06  1.453707442873778e+00 
 3.041437593172571e-07  0.000000000000000e+00  7.266749083952044e-01  7.336000310008305e-01  7.621518849921299e-01  1.199999793989486e+00  1.076517378068517e-06  1.453707391960151e+00 
 3.043437593172571e-07  0.000000000000000e+00  7.266758252916772e-01  7.335673335275963e-01  7.621870634182826e-01  1.199999793989460e+00  1.070715772086795e-06  1.453707343007172e+00 
 3.045437593172571e-07  0.000000000000000e+00  7.266767304752351e-01  7.335348921547500e-01  7.622219277218801e-01  1.199999793989514e+00  1.064977866860668e-06  1.453707296082487e+00 
 3.047437593172571e-07  0.000000000000000e+00  7.266776240933356e-01  7.335027036729582e-01  7.622564822056236e-01  1.199999793989394e+00  1.059302623501729e-06  1.453707251250619e+00 
 3.049437593172571e-07  0.000000000000000e+00  7.266785062916409e-01  7.334707649463834e-01  7.622907310852464e-01  1.199999793989503e+00  1.053689012239959e-06  1.453707208572859e+00 
 3.051437593172572e-07  0.000000000000000e+00  7.266793772140210e-01  7.334390729091248e-01  7.623246784921265e-01  1.199999793989452e+00  1.048136031213333e-06  1.453707168107166e+00 
 3.053437593172572e-07  0.000000000000000e+00  7.266802370026105e-01  7.334076245637644e-01  7.623583284744030e-01  1.199999793989517e+00  1.042642724987790e-06  1.453707129908049e+00 
 3.055437593172572e-07  0.000000000000000e+00  7.266810857977977e-01  7.333764169796276e-01  7.623916850003327e-01  1.199999793989516e+00  1.037208118075260e-06  1.453707094026506e+00 
 3.057437593172572e-07  0.000000000000000e+00  7.266819237382720e-01  7.333454472901546e-01  7.624247519589412e-01  1.199999793989512e+00  1.031831284211393e-06  1.453707060509920e+00 
 3.059437593172572e-07  0.000000000000000e+00  7.266827509610346e-01  7.333147126908041e-01  7.624575331620642e-01  1.199999793989475e+00  1.026511309868622e-06  1.453707029402050e+00 
 3.061437593172572e-07  0.000000000000000e+00  7.266835676014287e-01  7.332842104382252e-01  7.624900323467846e-01  1.199999793989508e+00  1.021247293806338e-06  1.453707000742927e+00 
 3.063437593172573e-07  0.000000000000000e+00  7.266843737931294e-01  7.332539378468679e-01  7.625222531767790e-01  1.199999793989556e+00  1.016038358988131e-06  1.453706974568835e+00 
 3.065437593172573e-07  0.000000000000000e+00  7.266851696682047e-01  7.332238922890674e-01  7.625541992436180e-01  1.199999793989490e+00  1.010883659809349e-06  1.453706950912268e+00 
 3.067437593172573e-07  0.000000000000000e+00  7.266859553570971e-01  7.331940711918320e-01  7.625858740689294e-01  1.199999793989489e+00  1.005782336084247e-06  1.453706929801935e+00 
 3.069437593172573e-07  0.000000000000000e+00  7.266867309886569e-01  7.331644720358065e-01  7.626172811061245e-01  1.199999793989484e+00  1.000733567840970e-06  1.453706911262738e+00 
 3.071437593172573e-07  0.000000000000000e+00  7.266874966901770e-01  7.331350923536201e-01  7.626484237414874e-01  1.199999793989554e+00  9.957365498938984e-07  1.453706895315751e+00 
 3.073437593172573e-07  0.000000000000000e+00  7.266882525873596e-01  7.331059297288761e-01  7.626793052966331e-01  1.199999793989395e+00  9.907905089920822e-07  1.453706881978298e+00 
 3.075437593172573e-07  0.000000000000000e+00  7.266889988043843e-01  7.330769817933370e-01  7.627099290287153e-01  1.199999793989519e+00  9.858946420766601e-07  1.453706871263899e+00 
 3.077437593172574e-07  0.000000000000000e+00  7.266897354638848e-01  7.330482462268583e-01  7.627402981327759e-01  1.199999793989518e+00  9.810481993956413e-07  1.453706863182359e+00 
