arm	kind	ordinal	interval_id	i	j	t_i	t_j	v_i	v_j	t_cross	in_from	in_to	nearest_in	delta_t	cm_in_cross	cm_out_cross	n_samples	n_out_cross	cm_in_min	cm_in_max	cm_in_p2p	cm_out_min	cm_out_max	cm_out_p2p
LOADED	INTERVAL	9	9	1864	1963	3.7131186111768475e-09	3.911118611176829e-09	NA	NA	NA	9	10	NA	NA	NA	NA	100	4	1.2933146157599595	1.5478627623399848	0.2545481465800252	1.3289572777431533	1.4789673864172723	0.150010108674119
LOADED	INTERVAL	10	10	1964	2008	3.913118611176829e-09	4e-09	NA	NA	NA	10	NA	NA	NA	NA	NA	45	2	1.294369678347251	1.5475051109558926	0.2531354326086417	1.336252882438586	1.474755779259066	0.13850289682048
LOADED	CROSS	1	1	1066	1067	2.117118611176688e-09	2.1191186111766882e-09	0.06540726815177855	-0.10138534896800899	2.1179029057010053e-09	NA	NA	1	6.38996312889405e-12	1.534254316935199	1.3826842500583936	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	2	1	1075	1076	2.13511861117669e-09	2.13711861117669e-09	-0.06472962005169713	0.1270499998954211	2.1357936528737124e-09	NA	NA	1	2.4280710301601117e-11	1.5231664277592232	1.3621793428760007	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	3	1	1084	1085	2.1531186111766916e-09	2.155118611176692e-09	0.051108358622259376	-0.14723983141031982	2.153633950980033e-09	NA	NA	1	4.212100840792176e-11	1.495743403587446	1.3563390785946512	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	4	2	1170	1171	2.325118611176709e-09	2.327118611176709e-09	-0.07820787481161884	0.12565383647549422	2.32588587516481e-09	NA	NA	2	1.4377860261249369e-11	1.5337231299085357	1.3646245715579934	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	5	2	1179	1180	2.3431186111767106e-09	2.345118611176711e-09	0.10468367624072283	-0.11134243241746211	2.3440877873276026e-09	NA	NA	2	3.257977242404194e-11	1.5207300362307548	1.3558682513974132	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	6	3	1266	1267	2.517118611176728e-09	2.5191186111767282e-09	-0.06486394285061836	0.10206011087779765	2.51789577829437e-09	NA	NA	3	6.3808779207242874e-12	1.534284325998871	1.3825666211125187	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	7	3	1275	1276	2.53511861117673e-09	2.53711861117673e-09	0.06422430515267519	-0.12758942407841167	2.5357882640259824e-09	NA	NA	3	2.4273363652336622e-11	1.523233329919312	1.3620173522690873	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	8	3	1284	1285	2.5531186111767316e-09	2.555118611176732e-09	-0.051073211930200424	0.14740518840999628	2.5536332587337722e-09	NA	NA	3	4.211835836012642e-11	1.4963838282544	1.3560895470149568	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	9	4	1370	1371	2.725118611176749e-09	2.727118611176749e-09	0.077778583163304	-0.12629633573268384	2.7258808663679707e-09	NA	NA	4	1.436549692351971e-11	1.5337007383222363	1.364364401836082	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	10	4	1379	1380	2.7431186111767506e-09	2.745118611176751e-09	-0.10413109288792843	0.11218330391820341	2.7440813866038645e-09	NA	NA	4	3.2566017159413464e-11	1.5209455468436066	1.3556233333251597	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	11	5	1466	1467	2.917118611176768e-09	2.919118611176768e-09	0.06411009491904096	-0.1029257779416668	2.9178862318539443e-09	NA	NA	5	6.3673839430580646e-12	1.5342877087773845	1.3822922164258042	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	12	5	1475	1476	2.9351186111767698e-09	2.93711861117677e-09	-0.06343792349171973	0.1285309777749568	2.9357795299305174e-09	NA	NA	5	2.4260682019631162e-11	1.5233400195361286	1.3617263930839292	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	13	5	1484	1485	2.9531186111767716e-09	2.9551186111767718e-09	0.05136767372287143	-0.14742649353321857	2.953635403740979e-09	NA	NA	5	4.211655583009261e-11	1.4969616010690776	1.355481183081037	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	14	5	1493	1494	2.9711186111767734e-09	2.9731186111767736e-09	-0.034129123153679775	0.04132733462650551	2.972023215611111e-09	NA	NA	5	6.050436770022467e-11	1.2973108205047752	1.455271525246619	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	15	6	1570	1571	3.1251186111767888e-09	3.127118611176789e-09	0.07735083546520016	-0.12691989935144	3.125875947615948e-09	NA	NA	6	1.4353751738834164e-11	1.5338667575232443	1.364172027222414	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	16	6	1579	1580	3.1431186111767906e-09	3.1451186111767908e-09	-0.10375226317233954	0.11281140399418566	3.1440767798717505e-09	NA	NA	6	3.255458399463673e-11	1.5213095342073828	1.355420783594483	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	17	6	1589	1590	3.1631186111767926e-09	3.1651186111767928e-09	0.03572293442571195	-0.007265897983125935	3.164780574641442e-09	NA	NA	6	5.325837876432834e-11	1.3461256199078762	1.4564423730752047	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	18	7	1666	1667	3.317118611176808e-09	3.319118611176808e-09	-0.06463693120191483	0.10221326861114077	3.317893401153378e-09	NA	NA	7	6.343089089129506e-12	1.5344304355294498	1.3826710271267717	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	19	7	1675	1676	3.3351186111768098e-09	3.33711861117681e-09	0.06414502343514306	-0.12745075273316453	3.335788198207568e-09	NA	NA	7	2.4237886143319426e-11	1.5236673762873871	1.3623457533299308	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	20	7	1684	1685	3.3531186111768116e-09	3.3551186111768118e-09	-0.05138686954636884	0.14678435539411572	3.353637221984832e-09	NA	NA	7	4.208690992058352e-11	1.4988327221284738	1.3565533517952313	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	21	7	1692	1693	3.369118611176813e-09	3.3711186111768134e-09	0.02422022074277619	-0.13446848497676345	3.3694238656765956e-09	NA	NA	7	5.787355361234718e-11	1.2952400418726004	1.4559967009963062	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	22	8	1770	1771	3.5251186111768288e-09	3.527118611176829e-09	-0.07705862099968508	0.12666148974494962	3.525875125796009e-09	NA	NA	8	1.4352697168339585e-11	1.53380826043095	1.3646553398249726	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	23	8	1779	1780	3.5431186111768306e-09	3.5451186111768308e-09	0.1033937648449863	-0.11237237985891757	3.5440769984621657e-09	NA	NA	8	3.25545698344962e-11	1.521388902697028	1.3561683547491241	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	24	8	1789	1790	3.5631186111768326e-09	3.5651186111768328e-09	-0.03807303208224022	0.0033653089617564635	3.564956186288337e-09	NA	NA	8	5.343375766066756e-11	1.3440071128797983	1.461276642042111	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	25	9	1866	1867	3.717118611176848e-09	3.719118611176848e-09	0.06411089519684898	-0.10258293109449235	3.7178878165712314e-09	NA	NA	9	6.318798195371144e-12	1.5345051847292788	1.3827544897078043	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	26	9	1875	1876	3.735118611176848e-09	3.7371186111768475e-09	-0.06300942650312824	0.12842007965604418	3.735776915403477e-09	NA	NA	9	2.420789702761706e-11	1.523920963441523	1.36246928441516	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	27	9	1884	1885	3.753118611176846e-09	3.7551186111768455e-09	0.050810363056727814	-0.14714463499917474	3.753631963843419e-09	NA	NA	9	4.206294546755841e-11	1.4999193255356857	1.3567696695017033	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	28	9	1891	1892	3.767118611176844e-09	3.769118611176844e-09	-0.17047599121306	0.029569218931273955	3.768822985813858e-09	NA	NA	9	5.725396743799757e-11	1.3064142166705062	1.4621014867623403	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	29	10	1970	1971	3.925118611176827e-09	3.927118611176827e-09	0.07792487185070951	-0.12591068987010057	3.925883196818242e-09	NA	NA	10	1.4396180674342672e-11	1.5334766864183635	1.364574619788083	NA	NA	NA	NA	NA	NA	NA	NA
LOADED	CROSS	30	10	1979	1980	3.9431186111768255e-09	3.945118611176825e-09	-0.10370163522033016	0.11210101009506523	3.944079689620222e-09	NA	NA	10	3.2592673476322365e-11	1.520758895368516	1.3561094581665203	NA	NA	NA	NA	NA	NA	NA	NA
