 time                   v(gfet,source)         v(dfet,source)         i(vfet)                i(Lload)               i(vdrive)             
 1.600000000000000e-10  6.192250443188610e-06  4.999999258283367e+00  5.790567669805569e-07  5.771600984598576e-07  9.029088621055289e-08 
 1.646370000000000e-10  6.192250172541706e-06  4.999999258283100e+00  5.790604049593640e-07  5.771600984492053e-07  9.029073680299408e-08 
 1.739110000000000e-10  6.192249631247900e-06  4.999999258283292e+00  5.790564259200437e-07  5.771600984150259e-07  9.029087012652208e-08 
 1.924590000000000e-10  6.192248548660288e-06  4.999999258283593e+00  5.790563584184838e-07  5.771600983025399e-07  9.029085030367429e-08 
 2.295549999999999e-10  6.192246383485064e-06  4.999999258283770e+00  5.790582342513062e-07  5.771600980061190e-07  9.029078526322622e-08 
 2.747774999999999e-10  6.192243743991948e-06  4.999999258284599e+00  5.790565111851720e-07  5.771600973558146e-07  9.029096220198500e-08 
 3.200000000000000e-10  6.192241104498834e-06  4.999999258286723e+00  5.790535908545280e-07  5.771600959413644e-07  9.029132534547381e-08 
 3.290445000000000e-10  6.192241353915221e-06  4.999999258285968e+00  5.790619646006689e-07  5.771600956573576e-07  9.029106317457358e-08 
 3.471335000000000e-10  6.192241852747997e-06  4.999999258285373e+00  5.790605399624837e-07  5.771600951509810e-07  9.029122252743760e-08 
 3.833115000000001e-10  6.192242850413548e-06  4.999999258284885e+00  5.790584474141269e-07  5.771600942849203e-07  9.029147633374517e-08 
 4.556675000000001e-10  6.192244845744649e-06  4.999999258281835e+00  5.790627781721014e-07  5.771600940104003e-07  9.029144962792121e-08 
 5.478337500000001e-10  6.192247387374716e-06  4.999999258280742e+00  5.790583044174014e-07  5.771600950885310e-07  9.029150314728463e-08 
 6.400000000000001e-10  6.192249929004783e-06  4.999999258281686e+00  5.790566683927523e-07  5.771600961328345e-07  9.029126112769124e-08 
 6.584332500000001e-10  6.192249755939505e-06  4.999999258281994e+00  5.790569481689545e-07  5.771600962832133e-07  9.029117820064493e-08 
 6.952997500000001e-10  6.192249409808949e-06  4.999999258282963e+00  5.790559178819876e-07  5.771600963691906e-07  9.029109657962857e-08 
