 frequency                ac_re                    ac_im                   
 5.01187233627269819e+01  1.85851864010792129e-03  3.36991351373963967e-07 
 5.12861383991362345e+01  1.85851864057880590e-03  3.44840888315229824e-07 
 5.24807460249770017e+01  1.85851864105405899e-03  3.52873264462767918e-07 
 5.37031796370250092e+01  1.85851864157607328e-03  3.61092738681263933e-07 
 5.49540873857621861e+01  1.85851864209624572e-03  3.69503669052626039e-07 
 5.62341325190346311e+01  1.85851864147411555e-03  3.78110515198226307e-07 
 5.75439937337154106e+01  1.85851864207192967e-03  3.86917840502024595e-07 
 5.88843655355586080e+01  1.85851864268778404e-03  3.95930314770509979e-07 
 6.02559586074354741e+01  1.85851864569575834e-03  4.05152716435715605e-07 
 6.16595001861479091e+01  1.85851864399803695e-03  4.14589935632629835e-07 
 6.30957344480190088e+01  1.85851864468573684e-03  4.24246975796663857e-07 
 6.45654229034652190e+01  1.85851864543624306e-03  4.34128957320112450e-07 
 6.60693448007592536e+01  1.85851864619416066e-03  4.44241119762771111e-07 
 6.76082975391978209e+01  1.85851864700484616e-03  4.54588824726079149e-07 
 6.91830970918932877e+01  1.85851864784757743e-03  4.65177558706183779e-07 
 7.07945784384134242e+01  1.85851864992583426e-03  4.76012935920144799e-07 
 7.24435960074986269e+01  1.85851865084782852e-03  4.87100701553238368e-07 
 7.41310241300913617e+01  1.85851865656979655e-03  4.98446734185849489e-07 
 7.58577575029179769e+01  1.85851865638179980e-03  5.10057050168801539e-07 
 7.76247116628687621e+01  1.85851865273102372e-03  5.21937805336812334e-07 
 7.94328234724277280e+01  1.85851865384314171e-03  5.34095298593744673e-07 
 8.12830516164094945e+01  1.85851865857110778e-03  5.46535976042433105e-07 
 8.31763771102666567e+01  1.85851865860494811e-03  5.59266434368502093e-07 
 8.51138038202371945e+01  1.85851865515307261e-03  5.72293423374823171e-07 
 8.70963589956076021e+01  1.85851865648321260e-03  5.85623849647808957e-07 
 8.91250938133740789e+01  1.85851866265093150e-03  5.99264781138960691e-07 
 9.12010839355904892e+01  1.85851866411459359e-03  6.13223451040797189e-07 
 9.33254300796986058e+01  1.85851866564747288e-03  6.27507260134886819e-07 
 9.54992586021430867e+01  1.85851866489389686e-03  6.42123782027369266e-07 
 9.77237220955805412e+01  1.85851866657200590e-03  6.57080766296804822e-07 
 9.99999999999994600e+01  1.85851866952631522e-03  6.72386143398886277e-07 
 1.02329299228074859e+02  1.85851867493759342e-03  6.88048028379180404e-07 
 1.04712854805089378e+02  1.85851867687492002e-03  7.04074725754184866e-07 
 1.07151930523760043e+02  1.85851867298116556e-03  7.20474733305194715e-07 
 1.09647819614317882e+02  1.85851867155000677e-03  7.37256745935449340e-07 
 1.12201845430195704e+02  1.85851867852411621e-03  7.54429661221981343e-07 
 1.14815362149687616e+02  1.85851868086388109e-03  7.72002585452230505e-07 
 1.17489755493952273e+02  1.85851868210111927e-03  7.89984835764716803e-07 
 1.20226443461740587e+02  1.85851868465165219e-03  8.08385946393867898e-07 
 1.23026877081237430e+02  1.85851869328462326e-03  8.27215673443780882e-07 
 1.25892541179415971e+02  1.85851869606101718e-03  8.46484001681229055e-07 
 1.28824955169312631e+02  1.85851869187525411e-03  8.66201147575566503e-07 
 1.31825673855639934e+02  1.85851869614678212e-03  8.86377564035241472e-07 
 1.34896288259164550e+02  1.85851870291889689e-03  9.07023949402619863e-07 
 1.38038426460287639e+02  1.85851870390861345e-03  9.28151251408841146e-07 
 1.41253754462274571e+02  1.85851870744078258e-03  9.49770671250963911e-07 
 1.44543977074591879e+02  1.85851871231719175e-03  9.71893671981713706e-07 
 1.47910838816819847e+02  1.85851871500384257e-03  9.94531983810100450e-07 
 1.51356124843619909e+02  1.85851872379680090e-03  1.01769760902103916e-06 
 1.54881661891247205e+02  1.85851872449748065e-03  1.04140283183437943e-06 
 1.58489319246110398e+02  1.85851873011355639e-03  1.06566021971554615e-06 
 1.62181009735892019e+02  1.85851873239955005e-03  1.09048263514066230e-06 
 1.65958690743755056e+02  1.85851874199293625e-03  1.11588323809412776e-06 
 1.69824365246173386e+02  1.85851873999729020e-03  1.14187549841640974e-06 
 1.73780082874936454e+02  1.85851874770929376e-03  1.16847319516646673e-06 
 1.77827941003891169e+02  1.85851875566620450e-03  1.19569043182223284e-06 
 1.81970085860997187e+02  1.85851876269896841e-03  1.22354163946979219e-06 
 1.86208713666285547e+02  1.85851877000585311e-03  1.25204158510337784e-06 
 1.90546071796323474e+02  1.85851877525970537e-03  1.28120538006598614e-06 
 1.94984459975803247e+02  1.85851877840015724e-03  1.31104848736814195e-06 
 1.99526231496886652e+02  1.85851878425748792e-03  1.34158672960159841e-06 
 2.04173794466951591e+02  1.85851879283592124e-03  1.37283629851204324e-06 
 2.08929613085402565e+02  1.85851879937366966e-03  1.40481376373340235e-06 
 2.13796208950221796e+02  1.85851880389962870e-03  1.43753608015950648e-06 
 2.18776162394953815e+02  1.85851882063769926e-03  1.47102059538104459e-06 
 2.23872113856832470e+02  1.85851882358041218e-03  1.50528506740124157e-06 
 2.29086765276775765e+02  1.85851883642078569e-03  1.54034765994693718e-06 
 2.34422881531990640e+02  1.85851884494007166e-03  1.57622696592075417e-06 
 2.39883291901947445e+02  1.85851885276223233e-03  1.61294200844660868e-06 
 2.45470891568501401e+02  1.85851886340618723e-03  1.65051225379701438e-06 
 2.51188643150956324e+02  1.85851888165723613e-03  1.68895762129018391e-06 
 2.57039578276884640e+02  1.85851888861854743e-03  1.72829849850415008e-06 
 2.63026799189536405e+02  1.85851890085677088e-03  1.76855574156956291e-06 
 2.69153480392689744e+02  1.85851891602965358e-03  1.80975069583018821e-06 
 2.75422870333814785e+02  1.85851891996151081e-03  1.85190520604274916e-06 
 2.81838293126443489e+02  1.85851894112139650e-03  1.89504161768577603e-06 
 2.88403150312658624e+02  1.85851895345413615e-03  1.93918280718145521e-06 
 2.95120922666636545e+02  1.85851897003465631e-03  1.98435217642920277e-06 
 3.01995172040199520e+02  1.85851898970273706e-03  2.03057367478586244e-06 
 3.09029543251356870e+02  1.85851900898263331e-03  2.07787181036503061e-06 
 3.16227766016835687e+02  1.85851902429192881e-03  2.12627166203665089e-06 
 3.23593656929625979e+02  1.85851904042239491e-03  2.17579889106935198e-06 
 3.31131121482588753e+02  1.85851906454608602e-03  2.22647975570352706e-06 
 3.38844156139200152e+02  1.85851908012354483e-03  2.27834113144890722e-06 
 3.46736850452529154e+02  1.85851910137206189e-03  2.33141051268705240e-06 
 3.54813389233572877e+02  1.85851912600625046e-03  2.38571603787276827e-06 
 3.63078054770098674e+02  1.85851915284841068e-03  2.44128650087952384e-06 
 3.71535229097169804e+02  1.85851917135536663e-03  2.49815136849888234e-06 
 3.80189396320558387e+02  1.85851919926763982e-03  2.55634078692999466e-06 
 3.89045144994277734e+02  1.85851922602999755e-03  2.61588561146099114e-06 
 3.98107170553494313e+02  1.85851925642196492e-03  2.67681741238571593e-06 
 4.07380277804109710e+02  1.85851928339995703e-03  2.73916849847555504e-06 
 4.16869383470332309e+02  1.85851931413163920e-03  2.80297192698696884e-06 
 4.26579518801589472e+02  1.85851934631087027e-03  2.86826152835867051e-06 
 4.36515832240162695e+02  1.85851937999902887e-03  2.93507191949977608e-06 
 4.46683592150959782e+02  1.85851941171805190e-03  3.00343852571524627e-06 
 4.57088189614871624e+02  1.85851944983440615e-03  3.07339759309860875e-06 
 4.67735141287194722e+02  1.85851949088597043e-03  3.14498621583715277e-06 
 4.78630092322634766e+02  1.85851953140166539e-03  3.21824235232126928e-06 
 4.89778819368442498e+02  1.85851957144541041e-03  3.29320484409379479e-06 
 5.01187233627268483e+02  1.85851961586346514e-03  3.36991343546828836e-06 
 5.12861383991360981e+02  1.85851966472195987e-03  3.44840879838532443e-06 
 5.24807460249768610e+02  1.85851971580612216e-03  3.52873255289615505e-06 
 5.37031796370248685e+02  1.85851976562363490e-03  3.61092728912851757e-06 
 5.49540873857620340e+02  1.85851982257607008e-03  3.69503658445073834e-06 
 5.62341325190344719e+02  1.85851987253437406e-03  3.78110504048205340e-06 
 5.75439937337152401e+02  1.85851992752951185e-03  3.86917828693498753e-06 
 5.88843655355584360e+02  1.85851999356744847e-03  3.95930301924912042e-06 
 6.02559586074352978e+02  1.85852005066695740e-03  4.05152703055771030e-06 
 6.16595001861477272e+02  1.85852012383209476e-03  4.14589920932529831e-06 
 6.30957344480188226e+02  1.85852019421610870e-03  4.24246960042452813e-06 
 6.45654229034650371e+02  1.85852027383365411e-03  4.34128940180688637e-06 
 6.60693448007590746e+02  1.85852034984758667e-03  4.44241101464075539e-06 
 6.76082975391976333e+02  1.85852042709777144e-03  4.54588805294025933e-06 
 6.91830970918930916e+02  1.85852050463082368e-03  4.65177538235285099e-06 
 7.07945784384132139e+02  1.85852060391712031e-03  4.76012913493001886e-06 
 7.24435960074984109e+02  1.85852069552701446e-03  4.87100677606534483e-06 
 7.41310241300911343e+02  1.85852079269621705e-03  4.98446708775519851e-06 
 7.58577575029177410e+02  1.85852088850250031e-03  5.10057023192690226e-06 
 7.76247116628685148e+02  1.85852100334548374e-03  5.21937775698955359e-06 
 7.94328234724274694e+02  1.85852110780141181e-03  5.34095267255415228e-06 
 8.12830516164092273e+02  1.85852122697227617e-03  5.46535942549902173e-06 
 8.31763771102663895e+02  1.85852135169340196e-03  5.59266398242182478e-06 
 8.51138038202369216e+02  1.85852147979326363e-03  5.72293384392036136e-06 
 8.70963589956073179e+02  1.85852161744327676e-03  5.85623807692083873e-06 
 8.91250938133737918e+02  1.85852175553077306e-03  5.99264736653573404e-06 
 9.12010839355901908e+02  1.85852189667761337e-03  6.13223403762872380e-06 
 9.33254300796982989e+02  1.85852205067646155e-03  6.27507209464080251e-06 
 9.54992586021427655e+02  1.85852221193849544e-03  6.42123727583276747e-06 
 9.77237220955802172e+02  1.85852238434534248e-03  6.57080707695195628e-06 
 9.99999999999991246e+02  1.85852256232549285e-03  6.72386080643508655e-06 
 1.02329299228074512e+03  1.85852274630041322e-03  6.88047961467528725e-06 
 1.04712854805089023e+03  1.85852294252276322e-03  7.04074653899754332e-06 
 1.07151930523759688e+03  1.85852314791271110e-03  7.20474655697476777e-06 
 1.09647819614317518e+03  1.85852335337576046e-03  7.37256663081474639e-06 
 1.12201845430195340e+03  1.85852358307003664e-03  7.54429572271749055e-06 
 1.14815362149687235e+03  1.85852381616645836e-03  7.72002490168742928e-06 
 1.17489755493951884e+03  1.85852405669554720e-03  7.89984733901918279e-06 
 1.20226443461740200e+03  1.85852430991118880e-03  8.08385837455601169e-06 
 1.23026877081237035e+03  1.85852458106037328e-03  8.27215556948902796e-06 
 1.25892541179415571e+03  1.85852486366777214e-03  8.46483876647781473e-06 
 1.28824955169312216e+03  1.85852515473507391e-03  8.66201013174701005e-06 
 1.31825673855639502e+03  1.85852545842747239e-03  8.86377420505144208e-06 
 1.34896288259164112e+03  1.85852578372514184e-03  9.07023795638533566e-06 
 1.38038426460287201e+03  1.85852612302207115e-03  9.28151086183976742e-06 
 1.41253754462274105e+03  1.85852648173186457e-03  9.49770493666994614e-06 
 1.44543977074591385e+03  1.85852683809052807e-03  9.71893483176618880e-06 
 1.47910838816819341e+03  1.85852722612884136e-03  9.94531781267991601e-06 
 1.51356124843619386e+03  1.85852763237692644e-03  1.01769739241064898e-05 
 1.54881661891246677e+03  1.85852806124600861e-03  1.04140259885267524e-05 
 1.58489319246109858e+03  1.85852851012139990e-03  1.06565996968070525e-05 
 1.62181009735891462e+03  1.85852896927193455e-03  1.09048236769199465e-05 
 1.65958690743754482e+03  1.85852945506678790e-03  1.11588295221840738e-05 
 1.69824365246172806e+03  1.85852996853672352e-03  1.14187519086275679e-05 
 1.73780082874935874e+03  1.85853050371919738e-03  1.16847286583779475e-05 
 1.77827941003890555e+03  1.85853106401575978e-03  1.19569007911693293e-05 
 1.81970085860996574e+03  1.85853164477280835e-03  1.22354126238248622e-05 
 1.86208713666284916e+03  1.85853226021022661e-03  1.25204118088805738e-05 
 1.90546071796322849e+03  1.85853290218532556e-03  1.28120494679938715e-05 
 1.94984459975802611e+03  1.85853357558058091e-03  1.31104802253180717e-05 
 1.99526231496885998e+03  1.85853428423173885e-03  1.34158623074795895e-05 
 2.04173794466950926e+03  1.85853501302365000e-03  1.37283576547463729e-05 
 2.08929613085401888e+03  1.85853579076367321e-03  1.40481319157983244e-05 
 2.13796208950221080e+03  1.85853659776656871e-03  1.43753546683590064e-05 
 2.18776162394953053e+03  1.85853744523491312e-03  1.47101993943916735e-05 
 2.23872113856831720e+03  1.85853833257584367e-03  1.50528436341954416e-05 
 2.29086765276774986e+03  1.85853926408423731e-03  1.54034690574252468e-05 
 2.34422881531989833e+03  1.85854024164736607e-03  1.57622615672684204e-05 
 2.39883291901946586e+03  1.85854125437244521e-03  1.61294114200826887e-05 
 2.45470891568500519e+03  1.85854231977821533e-03  1.65051132556100078e-05 
 2.51188643150955431e+03  1.85854343657828247e-03  1.68895662786828813e-05 
 2.57039578276883731e+03  1.85854460239466622e-03  1.72829743368898306e-05 
 2.63026799189535450e+03  1.85854582801085071e-03  1.76855460034571492e-05 
 2.69153480392688743e+03  1.85854711011296291e-03  1.80974947336730179e-05 
 2.75422870333813762e+03  1.85854845254821918e-03  1.85190389430948020e-05 
 2.81838293126442431e+03  1.85854985821120146e-03  1.89504021352590452e-05 
 2.88403150312657544e+03  1.85855133362265528e-03  1.93918130145604609e-05 
 2.95120922666635443e+03  1.85855287835110959e-03  1.98435056255414017e-05 
 3.01995172040198395e+03  1.85855448852539754e-03  2.03057194708771890e-05 
 3.09029543251355744e+03  1.85855617471308463e-03  2.07786996041241713e-05 
 3.16227766016834539e+03  1.85855794404436378e-03  2.12626967922610945e-05 
 3.23593656929624785e+03  1.85855979903646207e-03  2.17579676536574062e-05 
 3.31131121482587514e+03  1.85856174015599910e-03  2.22647747887978867e-05 
 3.38844156139198867e+03  1.85856377126688514e-03  2.27833869074004411e-05 
 3.46736850452527869e+03  1.85856589940648544e-03  2.33140789724352679e-05 
 3.54813389233571570e+03  1.85856812061524425e-03  2.38571323771403761e-05 
 3.63078054770097333e+03  1.85857046097010338e-03  2.44128349926618997e-05 
 3.71535229097168440e+03  1.85857290638428920e-03  2.49814814999837885e-05 
 3.80189396320556989e+03  1.85857545975115219e-03  2.55633734003255715e-05 
 3.89045144994276279e+03  1.85857813358562048e-03  2.61588191928781939e-05 
 3.98107170553492824e+03  1.85858094180053109e-03  2.67681345564727198e-05 
 4.07380277804108209e+03  1.85858387498708932e-03  2.73916425900129682e-05 
 4.16869383470330740e+03  1.85858695475588065e-03  2.80296738305458844e-05 
 4.26579518801587892e+03  1.85859017463118129e-03  2.86825665930856891e-05 
 4.36515832240161035e+03  1.85859355202019579e-03  2.93506670058795841e-05 
 4.46683592150958066e+03  1.85859707547400077e-03  3.00343293482303429e-05 
 4.57088189614869862e+03  1.85860077791289466e-03  3.07339160085744512e-05 
