time="2026-09-23T10:18:17+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
time="2026-09-23T10:18:18+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
Resource enforcement: CPU affinity; memory reservation only (rootless cgroups v1).
time="2026-09-23T10:18:19+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
EXACT_DEF_PINS_PASSED 46
# TMR copy separation: 199 stages (128 chain stages, 71 control-register bits), 597 flops, all placed
# min distance between two copies of one stage: min 27.4 um, median 42.6 um, max 44.5 um
# stages with a copy pair closer than  5 um: 0
# stages with a copy pair closer than 10 um: 0
# stages with a copy pair closer than 20 um: 0
# stages with a copy pair closer than 40 um: 18
# stage  min_pair_um  a(x,y)  b(x,y)  c(x,y)
chain.74      42.6   (109.0,52.9)  (148.8,68.0)  (188.6,83.2)
chain.75      41.9   (110.9,90.7)  (150.7,105.8)  (191.0,117.2)
chain.76      42.6   (116.6,124.7)  (156.5,139.9)  (196.8,155.0)
chain.77      38.7   (74.4,128.5)  (117.1,147.4)  (154.1,158.8)
chain.78      42.6   (103.2,121.0)  (143.5,136.1)  (183.4,151.2)
chain.79      42.6   (131.5,71.8)  (171.4,90.7)  (211.2,105.8)
chain.80      41.4   (145.4,34.0)  (185.3,52.9)  (225.1,64.3)
chain.81      44.1   (156.0,52.9)  (195.8,71.8)  (239.0,86.9)
chain.82      42.6   (150.7,64.3)  (190.6,79.4)  (230.9,94.5)
chain.83      43.1   (137.3,41.6)  (180.5,60.5)  (220.8,75.6)
chain.84      43.1   (164.6,34.0)  (204.5,52.9)  (244.8,68.0)
chain.85      42.2   (88.3,26.5)  (128.2,45.4)  (167.5,60.5)
chain.86      38.6   (10.1,79.4)  (50.4,83.2)  (84.0,102.1)
chain.87      41.4   (10.1,83.2)  (50.4,98.3)  (90.2,109.6)
chain.88      41.4   (10.1,90.7)  (50.4,105.8)  (90.2,117.2)
chain.89      42.6   (21.1,136.1)  (61.0,151.2)  (100.8,166.3)
chain.90      39.9   (34.1,11.3)  (73.9,26.5)  (110.9,41.6)
chain.91      27.4   (23.0,15.1)  (50.4,15.1)  (77.3,41.6)
chain.92      40.5   (11.5,26.5)  (51.4,18.9)  (90.2,30.2)
chain.93      41.4   (66.7,11.3)  (106.6,22.7)  (146.4,37.8)
chain.94      42.6   (83.0,11.3)  (122.9,26.5)  (163.2,41.6)
chain.95      42.6   (96.0,11.3)  (135.8,26.5)  (176.2,41.6)
chain.96      42.6   (109.0,11.3)  (148.8,26.5)  (189.1,41.6)
chain.97      41.4   (144.5,22.7)  (184.3,37.8)  (224.2,49.1)
chain.98      41.4   (128.2,30.2)  (168.0,45.4)  (207.8,56.7)
chain.99      43.1   (111.4,102.1)  (151.7,117.2)  (191.5,136.1)
chain.100     42.6   (95.5,132.3)  (135.8,151.2)  (175.7,166.3)
chain.101     44.5   (105.6,143.6)  (148.8,155.0)  (189.1,173.9)
chain.102     40.4   (88.3,147.4)  (132.0,166.3)  (169.4,181.4)
chain.103     42.6   (84.0,162.5)  (124.3,177.7)  (164.2,192.8)
chain.104     37.3   (10.1,177.7)  (50.4,192.8)  (84.5,207.9)
chain.105     42.6   (30.2,177.7)  (70.1,192.8)  (110.4,207.9)
chain.106     43.1   (47.0,166.3)  (87.4,181.4)  (127.2,200.3)
chain.107     42.6   (75.8,143.6)  (115.7,158.8)  (155.5,173.9)
chain.108     41.0   (127.7,113.4)  (167.0,124.7)  (207.8,143.6)
chain.109     42.6   (165.6,30.2)  (205.9,49.1)  (245.8,64.3)
chain.110     43.1   (161.8,15.1)  (202.1,30.2)  (245.3,37.8)
chain.111     36.8   (37.4,86.9)  (71.0,102.1)  (118.1,121.0)
chain.112     42.6   (54.7,90.7)  (94.6,105.8)  (134.9,128.5)
chain.113     42.2   (74.9,90.7)  (115.2,105.8)  (154.6,121.0)
chain.114     42.6   (23.0,79.4)  (62.9,94.5)  (103.2,109.6)
chain.115     41.4   (30.7,41.6)  (70.6,52.9)  (110.9,64.3)
chain.116     42.6   (34.1,105.8)  (73.9,124.7)  (113.8,139.9)
chain.117     43.1   (41.8,147.4)  (81.6,166.3)  (121.9,181.4)
chain.118     41.0   (39.4,109.6)  (79.2,132.3)  (118.6,143.6)
chain.119     41.9   (148.8,94.5)  (188.6,109.6)  (229.0,121.0)
