run	role	private_artifact	private_bytes	private_sha256	public_artifact	public_bytes	public_sha256	publication_transform
unloaded-4ns-v2	native_raw	raw_tb_p1_cml_div2_front_tran_nobleed.raw	6612032	f5a938a1dc96a2c38ea3564efd8de78a3827054730c0a116a794348acdaa4df8	unloaded-4ns-v2/raw_tb_p1_cml_div2_front_tran_nobleed.raw	6612032	f5a938a1dc96a2c38ea3564efd8de78a3827054730c0a116a794348acdaa4df8	verbatim
unloaded-4ns-v2	openada_result	openada-result.json	10891	afe578c51cde3db5b2c41062dc6da6a81c21ce9733f4a1dbbcd791eddbab9c42	unloaded-4ns-v2/openada-result.public.json	9725	afb86cf07cd0289199143329e9dcddf546079e4931750dd2d3e846bb566eafc7	paths_only
unloaded-4ns-v2	preflight	preflight.json	2243	a185c2f9c581062048f378f909dbac9ad0c318a18c3cfb2a17d31cf3eb1882e7	unloaded-4ns-v2/preflight.public.json	2137	150fd0d916d7ff25aef305d9d09cf5cadcf0f81a024accb5eb271db5c499de43	paths_only
unloaded-4ns-v2	control	evidence/tb_p1_cml_div2_front_tran_nobleed.openada-control.sp	185	97c83a407052dd12dc33a380687c7545c510983157e57c4a3fc62543a9742a92	unloaded-4ns-v2/evidence/tb_p1_cml_div2_front_tran_nobleed.openada-control.public.sp	96	40d64046c0dc2419f471358c28b70add5570f9ff4656ef4e2ba6dca2f04258e6	paths_only
loaded-4ns-v1	candidate	p1_cml_div2_front_nobleed.spice	4890	d5900dae655f376e6c2aeeebe18d7753f3c36c73283ca859586e57f25dcedd52	loaded-4ns-v1/p1_cml_div2_front_nobleed.spice	4890	d5900dae655f376e6c2aeeebe18d7753f3c36c73283ca859586e57f25dcedd52	verbatim
loaded-4ns-v1	deck	tb_p1_cml_div2_front_tran_nobleed_iload.cir	1809	86509721be6940647192e89def0ba263e41876b2728af7d2c114932dd1b347b4	loaded-4ns-v1/tb_p1_cml_div2_front_tran_nobleed_iload.public.cir	1713	d8af2df4528df741780f913c80db6196c494c87682b3504e658edd44f62012df	paths_only
loaded-4ns-v1	native_log	evidence/tb_p1_cml_div2_front_tran_nobleed_iload.log	5389	08affa21f9cb451b12191d7cfa9c38239246ea22741a59794165e01045ab949a	loaded-4ns-v1/evidence/tb_p1_cml_div2_front_tran_nobleed_iload.log	5389	08affa21f9cb451b12191d7cfa9c38239246ea22741a59794165e01045ab949a	verbatim
loaded-4ns-v1	native_raw	raw_tb_p1_cml_div2_front_tran_nobleed_iload.raw	6648644	3503fe653b1910112696e1d8c2bf19e358b1df94e771038be329a03fd07b9105	loaded-4ns-v1/raw_tb_p1_cml_div2_front_tran_nobleed_iload.raw	6648644	3503fe653b1910112696e1d8c2bf19e358b1df94e771038be329a03fd07b9105	verbatim
loaded-4ns-v1	openada_result	openada-result.json	11023	a0740638a024efbf9a38b68b355e638f2d4e51f29630da4bd54295c7615054ae	loaded-4ns-v1/openada-result.public.json	9791	f1c2df6998362da37d6dff3a364269b73198878a9835069d2e275fb890a047c6	paths_only
loaded-4ns-v1	preflight	preflight.json	2249	8fad3661c21be3ea3dfe3cc5aee87db001554b73a7ebf4459b8a0be5278d3448	loaded-4ns-v1/preflight.public.json	2137	51a24251bbcfb44cb2513767023432c50083e6c46fbaf74c9c395a0abe37a1ac	paths_only
loaded-4ns-v1	control	evidence/tb_p1_cml_div2_front_tran_nobleed_iload.openada-control.sp	197	7ac8a39c996e312dede1ea480b66892e77a0ddd37c534fd9c7303643562cc0b9	loaded-4ns-v1/evidence/tb_p1_cml_div2_front_tran_nobleed_iload.openada-control.public.sp	102	4f0d817492ae3864bf2b1e308ff832ce8f214f330206b3ca12034f756f393244	paths_only
ideal-four-sink-4ns-v1	candidate	p1_cml_div2_front_dual_iload.spice	4938	e4c68bc79af416199ff5c9edbec074d274604778523e75d2dff6349356d7db73	ideal-four-sink-4ns-v1/p1_cml_div2_front_dual_iload.spice	4938	e4c68bc79af416199ff5c9edbec074d274604778523e75d2dff6349356d7db73	verbatim
ideal-four-sink-4ns-v1	deck	tb_p1_cml_div2_front_tran_dual_iload.cir	1737	bc27f174f8d935a54ba3ba0c0b83ae4d070d1b52979332c0f5890165336b1f41	ideal-four-sink-4ns-v1/tb_p1_cml_div2_front_tran_dual_iload.public.cir	1641	f1a6b07492e2d053ddfb1c1d469203472236752b55adc920dc4702fd95457f42	paths_only
ideal-four-sink-4ns-v1	native_log	evidence/tb_p1_cml_div2_front_tran_dual_iload.log	5368	64ad4f8358046a2fad9a659d32bb8ca99c7034887f8a12f9205aac1a7f7cf510	ideal-four-sink-4ns-v1/evidence/tb_p1_cml_div2_front_tran_dual_iload.log	5368	64ad4f8358046a2fad9a659d32bb8ca99c7034887f8a12f9205aac1a7f7cf510	verbatim
ideal-four-sink-4ns-v1	native_raw	raw_tb_p1_cml_div2_front_tran_dual_iload.raw	6685252	2e42bc4e80c11ceeea606bc3c2de89f1e699e014f749baf428ff534d409b781b	ideal-four-sink-4ns-v1/raw_tb_p1_cml_div2_front_tran_dual_iload.raw	6685252	2e42bc4e80c11ceeea606bc3c2de89f1e699e014f749baf428ff534d409b781b	verbatim
ideal-four-sink-4ns-v1	openada_result	openada-result.json	10957	6ff43e2475277244aa545f605430e5bc8e2ab00ab57611f72c780ee0b2bd6b3a	ideal-four-sink-4ns-v1/openada-result.public.json	9758	87c714d59cce483bab43303bfee4699aacfc2fd6e12307351f92e62f0c508869	paths_only
ideal-four-sink-4ns-v1	preflight	preflight.json	2246	b868eaa1c082002a898b452cec301544665bff7485b376a37c6ac946c5406d4c	ideal-four-sink-4ns-v1/preflight.public.json	2137	090e3923b454bcb2913414beb57b83c4c9c7768dac4daa24dfe41b16e72a67a5	paths_only
ideal-four-sink-4ns-v1	control	evidence/tb_p1_cml_div2_front_tran_dual_iload.openada-control.sp	191	2758fa8d2fcc5bf28406801bccaa88c8a5a78c9a1f7aa90961be4a9222ed1829	ideal-four-sink-4ns-v1/evidence/tb_p1_cml_div2_front_tran_dual_iload.openada-control.public.sp	99	799be42e4a8c50985b0d7cdd761cf75328ccc7d9a72d7ba1980c8dd66d244528	paths_only
ideal-four-sink-4ns-v1	phase_audit	p1_cml_div2_nobleed_tran_dual_iload_phase_state_audit.tsv	1657	364ec9ed180aeae5431673fb2337fe77e3dcd01d570658b9db68010ef1de7ad1	ideal-four-sink-4ns-v1/p1_cml_div2_nobleed_tran_dual_iload_phase_state_audit.tsv	1657	364ec9ed180aeae5431673fb2337fe77e3dcd01d570658b9db68010ef1de7ad1	verbatim
ideal-four-sink-4ns-v1	follower_range_audit	p1_cml_div2_nobleed_tran_dual_iload_follower_range_audit.tsv	2120	e6f72c48cea93c240236786bf205656924b0b89f39a78ac5ae27fd2b78a391c1	ideal-four-sink-4ns-v1/p1_cml_div2_nobleed_tran_dual_iload_follower_range_audit.tsv	2120	e6f72c48cea93c240236786bf205656924b0b89f39a78ac5ae27fd2b78a391c1	verbatim
