 v-sweep         id_hv           id_lv          
 1.72000000e+00  1.34739133e-04  7.23345248e-04 
 1.73000000e+00  1.35744915e-04  7.25975012e-04 
 1.74000000e+00  1.36746043e-04  7.28570532e-04 
 1.75000000e+00  1.37742532e-04  7.31132292e-04 
 1.76000000e+00  1.38734394e-04  7.33660768e-04 
 1.77000000e+00  1.39721642e-04  7.36156430e-04 
 1.78000000e+00  1.40704291e-04  7.38619738e-04 
 1.79000000e+00  1.41682355e-04  7.41051149e-04 
 1.80000000e+00  1.42655847e-04  7.43451111e-04 
 1.81000000e+00  1.43624781e-04  7.45820064e-04 
 1.82000000e+00  1.44589173e-04  7.48158444e-04 
 1.83000000e+00  1.45549035e-04  7.50466680e-04 
 1.84000000e+00  1.46504384e-04  7.52745192e-04 
 1.85000000e+00  1.47455233e-04  7.54994396e-04 
 1.86000000e+00  1.48401599e-04  7.57214701e-04 
 1.87000000e+00  1.49343494e-04  7.59406510e-04 
 1.88000000e+00  1.50280935e-04  7.61570219e-04 
 1.89000000e+00  1.51213937e-04  7.63706218e-04 
 1.90000000e+00  1.52142514e-04  7.65814892e-04 
 1.91000000e+00  1.53066683e-04  7.67896619e-04 
 1.92000000e+00  1.53986457e-04  7.69951771e-04 
 1.93000000e+00  1.54901854e-04  7.71980715e-04 
 1.94000000e+00  1.55812887e-04  7.73983812e-04 
 1.95000000e+00  1.56719573e-04  7.75961417e-04 
 1.96000000e+00  1.57621927e-04  7.77913881e-04 
 1.97000000e+00  1.58519965e-04  7.79841548e-04 
 1.98000000e+00  1.59413702e-04  7.81744756e-04 
 1.99000000e+00  1.60303153e-04  7.83623839e-04 
 2.00000000e+00  1.61188335e-04  7.85479127e-04 
 2.01000000e+00  1.62069262e-04  7.87310941e-04 
 2.02000000e+00  1.62945951e-04  7.89119602e-04 
 2.03000000e+00  1.63818417e-04  7.90905422e-04 
 2.04000000e+00  1.64686675e-04  7.92668709e-04 
 2.05000000e+00  1.65550742e-04  7.94409767e-04 
 2.06000000e+00  1.66410633e-04  7.96128896e-04 
 2.07000000e+00  1.67266363e-04  7.97826390e-04 
 2.08000000e+00  1.68117949e-04  7.99502538e-04 
 2.09000000e+00  1.68965405e-04  8.01157625e-04 
 2.10000000e+00  1.69808747e-04  8.02791933e-04 
 2.11000000e+00  1.70647991e-04  8.04405738e-04 
 2.12000000e+00  1.71483152e-04  8.05999312e-04 
 2.13000000e+00  1.72314246e-04  8.07572922e-04 
 2.14000000e+00  1.73141288e-04  8.09126834e-04 
 2.15000000e+00  1.73964294e-04  8.10661305e-04 
 2.16000000e+00  1.74783279e-04  8.12176592e-04 
 2.17000000e+00  1.75598259e-04  8.13672948e-04 
 2.18000000e+00  1.76409248e-04  8.15150618e-04 
 2.19000000e+00  1.77216263e-04  8.16609849e-04 
 2.20000000e+00  1.78019318e-04  8.18050879e-04 
 2.21000000e+00  1.78818429e-04  8.19473945e-04 
 2.22000000e+00  1.79613610e-04  8.20879281e-04 
 2.23000000e+00  1.80404878e-04  8.22267115e-04 
 2.24000000e+00  1.81192247e-04  8.23637674e-04 
 2.25000000e+00  1.81975732e-04  8.24991180e-04 
 2.26000000e+00  1.82755349e-04  8.26327852e-04 
 2.27000000e+00  1.83531111e-04  8.27647905e-04 
 2.28000000e+00  1.84303035e-04  8.28951553e-04 
 2.29000000e+00  1.85071135e-04  8.30239004e-04 
 2.30000000e+00  1.85835427e-04  8.31510464e-04 
 2.31000000e+00  1.86595924e-04  8.32766137e-04 
 2.32000000e+00  1.87352641e-04  8.34006221e-04 
 2.33000000e+00  1.88105594e-04  8.35230915e-04 
 2.34000000e+00  1.88854797e-04  8.36440411e-04 
 2.35000000e+00  1.89600264e-04  8.37634901e-04 
 2.36000000e+00  1.90342011e-04  8.38814572e-04 
