group,seed,sigma_n_mV,M_target,crossing_cycle,crossing_time_us,settled_mean,settled_error_lsb,settled_std,dither_span,obs_window_len
Group 3 (90.0 mV),303,90.0,114727,32593,6.5186,114730.00686,3.006859999994049,4.1396440596263835,19,50000
Group 3 (90.0 mV),304,90.0,114727,39861,7.9722,114727.17166,0.17166000000725035,4.349311766751149,22,50000
Group 3 (90.0 mV),305,90.0,114727,45637,9.1274,114731.13074,4.130739999993239,3.0033393168937805,16,50000
Group 3 (90.0 mV),306,90.0,114727,36589,7.3178,114725.45084,1.5491599999950267,2.6816157991778016,15,50000
Group 3 (90.0 mV),307,90.0,114727,74541,14.9082,114728.43134,1.4313399999955436,3.4577804737143163,17,50000
Group 3 (90.0 mV),308,90.0,114727,44581,8.916200000000002,114730.17584,3.175839999996242,2.417519450676664,13,50000
Group 3 (90.0 mV),309,90.0,114727,47339,9.4678,114723.48744,3.51256000000285,4.608475045652304,19,50000
Group 3 (90.0 mV),310,90.0,114727,40795,8.159,114725.96322,1.0367799999949057,3.0873786990908645,15,50000
Group 3 (90.0 mV),311,90.0,114727,50105,10.021,114728.22098,1.2209799999982351,3.0507421784870643,18,50000
Group 3 (90.0 mV),312,90.0,114727,46311,9.2622,114725.45718,1.5428200000023935,5.129612699570992,24,50000
Group 3 (90.0 mV),313,90.0,114727,32095,6.419,114726.02728,0.9727200000052107,3.482593258133944,19,50000
Group 3 (90.0 mV),314,90.0,114727,34405,6.881,114723.41772,3.5822800000023562,3.478687971290325,17,50000
Group 3 (90.0 mV),315,90.0,114727,32887,6.5774,114727.20772,0.20772000000579283,4.566733230833612,22,50000
Group 3 (90.0 mV),316,90.0,114727,47963,9.592600000000001,114727.33496,0.3349599999928614,3.4449966325672947,15,50000
Group 3 (90.0 mV),317,90.0,114727,37579,7.5158000000000005,114729.19244,2.1924399999988964,2.861511287134824,16,50000
Group 3 (90.0 mV),318,90.0,114727,37331,7.466200000000001,114729.75292,2.752919999998994,3.512411062731696,17,50000
Group 3 (90.0 mV),319,90.0,114727,41639,8.3278,114727.58656,0.5865599999960978,5.797501821164009,21,50000
Group 3 (90.0 mV),320,90.0,114727,34187,6.8374,114721.92026,5.079740000001038,3.7056526459451113,19,50000
Group 4 (180.0 mV),601,180.0,114727,86837,17.3674,114733.4961,6.496100000003935,4.682096196149755,20,50000
Group 4 (180.0 mV),602,180.0,114727,73635,14.727,114730.41754,3.417539999994915,3.883972238366284,20,50000
Group 4 (180.0 mV),603,180.0,114727,62351,12.4702,114725.38754,1.6124600000039209,3.862060686783676,17,50000
Group 4 (180.0 mV),604,180.0,114727,107905,21.581000000000003,114729.68688,2.6868799999938346,3.2920564797099092,18,50000
Group 4 (180.0 mV),605,180.0,114727,87919,17.5838,114721.31486,5.685140000001411,5.392973500806397,25,50000
Group 4 (180.0 mV),606,180.0,114727,102469,20.4938,114731.74868,4.748680000004242,4.948159077636854,26,50000
Group 4 (180.0 mV),607,180.0,114727,57229,11.4458,114725.01228,1.9877200000046287,3.4206387125213906,17,50000
Group 4 (180.0 mV),608,180.0,114727,68077,13.6154,114721.88878,5.111220000006142,3.124127095942161,19,50000
Group 4 (180.0 mV),609,180.0,114727,56617,11.323400000000001,114729.44052,2.440520000003744,4.384274413126989,21,50000
Group 4 (180.0 mV),610,180.0,114727,63979,12.7958,114733.0805,6.080499999996391,3.3875684125933163,17,50000
Group 5 (360.0 mV),701,360.0,114727,169699,33.939800000000005,114722.88196,4.118040000001201,3.2166732128707136,17,50000
Group 5 (360.0 mV),702,360.0,114727,106695,21.339,114718.98848,8.011520000000019,4.482930658575928,22,50000
Group 5 (360.0 mV),703,360.0,114727,138125,27.625,114734.1057,7.10570000000007,5.26491476759121,23,50000
Group 5 (360.0 mV),704,360.0,114727,121559,24.3118,114725.71866,1.2813400000013644,5.146815307002963,21,50000
Group 5 (360.0 mV),705,360.0,114727,172459,34.4918,114728.20688,1.2068799999979092,4.01769593991382,17,50000
Group 5 (360.0 mV),706,360.0,114727,112573,22.514599999999998,114731.46794,4.467940000002272,4.080957259810496,21,50000
Group 5 (360.0 mV),707,360.0,114727,113001,22.6002,114716.98696,10.013040000005276,3.781479863545487,21,50000
Group 5 (360.0 mV),708,360.0,114727,241451,48.2902,114737.32728,10.3272799999977,7.121719441370882,29,50000
Group 5 (360.0 mV),709,360.0,114727,120415,24.083,114720.72866,6.271340000006603,4.282946953255434,23,50000
Group 5 (360.0 mV),710,360.0,114727,168753,33.7506,114720.66178,6.338220000005094,5.642484136583815,24,50000
