equation	nterms	b_hex	x_hex	fsum_ax_hex	naive_ax_hex	residual_hex	residual_dec	scale_hex	scale_dec	norm_residual	|fsum-decimal|
23	15	-0x1.2b344f92dd18ap-7	0x1.03d0ca9a23e31p+8	-0x1.2b344f92dd0adp-7	-0x1.2b344f92dd0adp-7	0x1.ba00000000000p-52	3.83373888190874368e-16	0x1.98734cce0485bp+6	1.02112597674394621e+02	3.754423e-18	1.991463e-15
24	4	0x1.70e4ccf04e678p-39	-0x1.c0dd6f7481a6dp-8	0x1.70e4cff034648p-39	0x1.70e4cff034648p-39	0x1.7ff2fe8000000p-62	3.25217618966752966e-19	0x1.194325dcb9f3cp-7	8.58344410649147099e-03	3.788894e-17	2.593057e-19
25	13	0x1.4e4596e76afb9p-5	0x1.8c02aa1a8af49p+8	0x1.4e4596e76af11p-5	0x1.4e4596e76af11p-5	-0x1.5000000000000p-50	-1.16573417585641437e-15	0x1.f0e4e1c46fafap+3	1.55279396855016678e+01	7.507333e-17	3.885781e-16
26	10	0x1.caed617f3d977p-12	0x0.0p+0	0x1.caed617f3d977p-12	0x1.caed617f3d977p-12	0x0.0p+0	0.00000000000000000e+00	0x1.01a317da9a32bp-9	1.96561495004167952e-03	0.000000e+00	5.421011e-20
27	4	0x1.629f706cffad8p-27	0x1.c78c5582a4ed1p-10	0x1.629f706cfbad3p-27	0x1.629f706cfbad3p-27	-0x1.0014000000000p-65	-2.71133261182631411e-20	0x1.afdcde65368cap-10	1.64742572206093502e-03	1.645800e-17	2.728042e-20
28	13	0x1.ee77d7d18aa85p-1	-0x1.f7aceb46fa9abp+7	0x1.ee77d7d18a9ebp-1	0x1.ee77d7d18a9ebp-1	-0x1.3400000000000p-46	-1.70974345792274107e-14	0x1.11c0e117d3dbcp+6	6.84383586619432549e+01	2.498224e-16	5.773160e-15
29	4	0x1.3e146af5b30fcp-30	-0x1.e6b3dc856ad27p-8	0x1.3e146af7ddabcp-30	0x1.3e146af7ddabcp-30	0x1.154e000000000p-61	4.69772413481115477e-19	0x1.c5884bb3674f9p-8	6.92035530246681244e-03	6.788270e-17	3.279647e-19
30	13	0x1.bf5c93d02beccp-7	-0x1.836b352e8913cp+6	0x1.bf5c93d02bec6p-7	0x1.bf5c93d02bec6p-7	-0x1.8000000000000p-57	-1.04083408558608426e-17	0x1.28f54cd2dac26p-4	7.24995613979194375e-02	1.435642e-16	1.734723e-18
31	4	0x1.3e146af5b30fcp-30	-0x1.e6b3dc856b750p-8	0x1.3e146af5d94b0p-30	0x1.3e146af5d94b0p-30	0x1.31da000000000p-65	3.23832938008384804e-20	0x1.c5884bb367e73p-8	6.92035530246891666e-03	4.679426e-18	9.364160e-20
32	13	0x1.bf5c93d042602p-7	-0x1.836b352e94255p+6	0x1.bf5c93d0425fdp-7	0x1.bf5c93d0425fdp-7	-0x1.4000000000000p-57	-8.67361737988403547e-18	0x1.28f54cd2e7dbep-4	7.24995613986640641e-02	1.196368e-16	1.734723e-18
