baseline_frequency_MHz,candidate,candidate_frequency_MHz,code,duty_change_percentage_points,frequency_change_percent,name,status
12.29653537737821,r098,12.52595691421548,1,-0.015199280012637928,1.8657412823723796,tt_typ_typ_1.2_27_c1,passed
11.21376565988357,r098,11.42551330832365,3,0.007093978176953897,1.8882831589533744,tt_typ_typ_1.2_27_c3,passed
10.1790867811936,r098,10.37112769316147,5,-0.00632445826771999,1.8866222097907226,tt_typ_typ_1.2_27_c5,passed
9.439216167489453,r098,9.618482876695857,7,-0.03409223367950176,1.8991694440035678,tt_typ_typ_1.2_27_c7,passed
8.685773051173102,r098,8.852134825095094,9,-0.0035787849066437616,1.9153364121057948,tt_typ_typ_1.2_27_c9,passed
8.138351983723295,r098,8.292382783023172,11,-0.0049324543749875716,1.892653446397241,tt_typ_typ_1.2_27_c11,passed
7.591106563194823,r098,7.735268181747863,13,0.019749470580585182,1.8990856913009502,tt_typ_typ_1.2_27_c13,passed
7.174229021478207,r098,7.312657039309918,15,-0.026124023674718444,1.9295176863922903,tt_typ_typ_1.2_27_c15,passed
9.491934703082789,r098,9.66587954187597,1,-0.013832367172831539,1.8325541023442415,ss_wcs_wcs_1.08_125_c1,passed
8.659508139937653,r098,8.820131067147656,3,-0.008235457501655219,1.854873563421111,ss_wcs_wcs_1.08_125_c3,passed
7.871028475806821,r098,8.018063092534863,5,-0.001458164597188727,1.8680483392987668,ss_wcs_wcs_1.08_125_c5,passed
7.299328680741235,r098,7.437277718362193,7,-0.0061395329094153794,1.8898866410129722,ss_wcs_wcs_1.08_125_c7,passed
6.725931087455264,r098,6.85283066449843,9,-0.003422923427493174,1.8867213385497017,ss_wcs_wcs_1.08_125_c9,passed
6.301090025563523,r098,6.420809587039211,11,-0.012936190790497903,1.89998176490076,ss_wcs_wcs_1.08_125_c11,passed
5.882778577508843,r098,5.995185865749803,13,-0.0023175387140952353,1.9107856391317846,ss_wcs_wcs_1.08_125_c13,passed
5.56040546476649,r098,5.666492894217912,15,-0.009041554026687493,1.9079081574832069,ss_wcs_wcs_1.08_125_c15,passed
12.92677589016687,r095,13.5470167504798,0,-0.018397198463787845,4.79810948671846,tt_typ_typ_1.2_27_c0,passed
11.69879076619124,r095,12.26095731102493,2,0.0028414551819864187,4.805338911251544,tt_typ_typ_1.2_27_c2,passed
10.6037297134745,r095,11.11955085020642,4,0.003265547612301134,4.864525508194051,tt_typ_typ_1.2_27_c4,passed
9.778048086484882,r095,10.25384206335193,6,-0.015493322457700742,4.86594024347955,tt_typ_typ_1.2_27_c6,passed
8.994415367498318,r095,9.435377570786564,8,-0.019925241229493906,4.902622185780747,tt_typ_typ_1.2_27_c8,passed
8.385413740506662,r095,8.798084832893577,10,-0.014145366273368154,4.9212967321274,tt_typ_typ_1.2_27_c10,passed
7.823930273133404,r095,8.21059182766953,12,-0.008179322804565459,4.942037326992588,tt_typ_typ_1.2_27_c12,passed
7.366922077855105,r095,7.732098259504682,14,-0.034030552425932115,4.956970873185873,tt_typ_typ_1.2_27_c14,passed
9.97481359567093,r095,10.446105096592,0,-0.02883977950248351,4.724815119608938,ss_wcs_wcs_1.08_125_c0,passed
9.03161244989713,r095,9.461767363525832,2,-0.025354782660883757,4.7627698377779915,ss_wcs_wcs_1.08_125_c2,passed
8.198065256599442,r095,8.590998866847249,4,-0.02649880289293094,4.793004177802751,ss_wcs_wcs_1.08_125_c4,passed
7.561345193555314,r095,7.926147329641336,6,-0.017093478355050706,4.824566618079418,ss_wcs_wcs_1.08_125_c6,passed
6.963739806825859,r095,7.301876363169044,8,-0.018800830845414396,4.855674762743778,ss_wcs_wcs_1.08_125_c8,passed
6.494771708774437,r095,6.811033329110492,10,-0.018205162635439365,4.869480168314233,ss_wcs_wcs_1.08_125_c10,passed
6.063126851527363,r095,6.360028492927649,12,-0.02915648465454268,4.896840337844721,ss_wcs_wcs_1.08_125_c12,passed
5.709835305510446,r095,5.990459594050514,14,-0.006352382253993483,4.914752764746866,ss_wcs_wcs_1.08_125_c14,passed
12.29653537737821,r095,12.88747149613492,1,-0.04124444122372495,4.80571234596574,tt_typ_typ_1.2_27_c1,passed
11.21376565988357,r095,11.7558198655722,3,0.005587718570723155,4.833828547245189,tt_typ_typ_1.2_27_c3,passed
10.1790867811936,r095,10.67331656982233,5,-0.0011369699003367373,4.8553450741951165,tt_typ_typ_1.2_27_c5,passed
9.439216167489453,r095,9.900499975248747,7,-0.029439289612149366,4.886886787782729,tt_typ_typ_1.2_27_c7,passed
8.685773051173102,r095,9.113601959788964,9,-0.024936018269009708,4.925628451207098,tt_typ_typ_1.2_27_c9,passed
8.138351983723295,r095,8.538090985312776,11,-0.008246103907822544,4.911792982030749,tt_typ_typ_1.2_27_c11,passed
7.591106563194823,r095,7.966229559650729,13,0.006601794645945347,4.941611520442546,tt_typ_typ_1.2_27_c13,passed
7.174229021478207,r095,7.530335958408451,15,-0.029553618096620937,4.96369625034454,tt_typ_typ_1.2_27_c15,passed
9.491934703082789,r095,9.9415733732852,1,-0.025215725112630594,4.737060296636653,ss_wcs_wcs_1.08_125_c1,passed
8.659508139937653,r095,9.073405666523307,3,-0.027901413851310508,4.779688637011126,ss_wcs_wcs_1.08_125_c3,passed
7.871028475806821,r095,8.24964072814629,5,-0.018919392167191518,4.8102005157675265,ss_wcs_wcs_1.08_125_c5,passed
7.299328680741235,r095,7.653141270100019,7,-0.021140836821224696,4.84719355483052,ss_wcs_wcs_1.08_125_c7,passed
6.725931087455264,r095,7.053340179775534,9,-0.011865052648829533,4.867862725072092,ss_wcs_wcs_1.08_125_c9,passed
6.301090025563523,r095,6.608944148473895,11,-0.020436748906050184,4.885728051200777,ss_wcs_wcs_1.08_125_c11,passed
5.882778577508843,r095,6.171708026368006,13,-0.016123620394211002,4.9114452473836945,ss_wcs_wcs_1.08_125_c13,passed
5.56040546476649,r095,5.834166160552752,15,-0.011526497686013215,4.923394481228893,ss_wcs_wcs_1.08_125_c15,passed
