 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 2.486904122036504e-05  1.199923065467464e+00 -2.324685544773080e-04  5.023888292464000e-01  4.975964792852638e-01  1.200000000000000e+00 
 2.486962061018252e-05  1.200073662486484e+00  2.250513767140744e-04  5.024108134634289e-01  4.976033734261218e-01  1.200000000000000e+00 
 2.487020000000000e-05  1.199928909586113e+00 -2.172212006793123e-04  5.023894678696188e-01  4.975967105314141e-01  1.199999999990114e+00 
 2.487022000000001e-05  1.199960985206650e+00 -5.578823640854725e-05  5.021832960395831e-01  4.974090669271249e-01  1.079999999981719e+00 
 2.487026000000001e-05  1.200018425505138e+00  3.588820112245805e-05  5.018960345285012e-01  4.971492251556822e-01  8.399999999852585e-01 
 2.487033000000000e-05  1.200178209281021e+00  1.126091469973421e-04  5.056908176152969e-01  5.003684410828746e-01  4.199999999965348e-01 
 2.487036500000000e-05  1.200273097539413e+00  1.625931123764371e-04  5.108507746203186e-01  5.060043494798689e-01  2.100000000021729e-01 
 2.487040000000000e-05  1.188397072564615e+00 -2.120374557050106e-02  5.178351656628203e-01  5.130218039414569e-01  7.811085112052751e-12 
 2.487040700000000e-05  1.193168996599124e+00 -1.520640756889421e-02  5.192016134095163e-01  5.143830604976968e-01  0.000000000000000e+00 
 2.487042100000000e-05  1.201848833292634e+00 -2.842137464369541e-03  5.213737505366910e-01  5.165517670559822e-01  0.000000000000000e+00 
 2.487044168615221e-05  1.201635362924274e+00  5.834362394031124e-04  5.228973541334914e-01  5.180701681630755e-01  0.000000000000000e+00 
 2.487046413316282e-05  1.200063066428408e+00 -7.187125962232485e-04  5.232429260503101e-01  5.184116909750951e-01  0.000000000000000e+00 
 2.487049657485463e-05  1.200555543164130e+00  4.903353677495684e-04  5.229846358607274e-01  5.181505055061246e-01  0.000000000000000e+00 
 2.487054689984176e-05  1.199590472616014e+00 -4.685574272639221e-04  5.221972531332360e-01  5.173617780325487e-01  0.000000000000000e+00 
 2.487062849592339e-05  1.200398304258368e+00  4.386002590063175e-04  5.208281973553490e-01  5.159935826263066e-01  0.000000000000000e+00 
 2.487079168808667e-05  1.199608637822900e+00 -4.246703583022845e-04  5.182367092373230e-01  5.134058918098335e-01  0.000000000000000e+00 
 2.487106893539097e-05  1.200386712641685e+00  4.164398622996150e-04  5.145554857998609e-01  5.097314735609161e-01  0.000000000000000e+00 
 2.487160669302217e-05  1.199615450905827e+00 -4.124521919058209e-04  5.095763814817681e-01  5.047620133239924e-01  0.000000000000000e+00 
 2.487260533491477e-05  1.200383087125618e+00  4.101174204373084e-04  5.049324173567503e-01  5.001273833401678e-01  0.000000000000000e+00 
 2.487360533491477e-05  1.199618015151340e+00 -4.080555505700246e-04  5.033050355658459e-01  4.985032199354891e-01  0.000000000000000e+00 
 2.487460533491476e-05  1.200380510150316e+00  4.057458364844154e-04  5.027382680493824e-01  4.979376580360371e-01  0.000000000000000e+00 
 2.487560533491476e-05  1.199620609199306e+00 -4.037014028072819e-04  5.025365560970261e-01  4.977362884043222e-01  0.000000000000000e+00 
 2.487660533491476e-05  1.200377903302998e+00  4.014135016278537e-04  5.024655547005957e-01  4.976654895387412e-01  0.000000000000000e+00 
 2.487760533491476e-05  1.199623231424701e+00 -3.993862135505154e-04  5.024369331218375e-01  4.976368597342397e-01  0.000000000000000e+00 
 2.487860533491476e-05  1.200375269747109e+00  3.971199182821814e-04  5.024269925460214e-01  4.976269991197974e-01  0.000000000000000e+00 
 2.487960533491476e-05  1.199625878843901e+00 -3.951095273520231e-04  5.024203577694891e-01  4.976203120973771e-01  0.000000000000000e+00 
 2.488060533491476e-05  1.200372612305850e+00  3.928646590633499e-04  5.024186671516692e-01  4.976186858993775e-01  0.000000000000000e+00 
 2.488160533491476e-05  1.199628548783956e+00 -3.908709512462968e-04  5.024153612186713e-01  4.976153213259340e-01  0.000000000000000e+00 
 2.488260533491476e-05  1.200369933517673e+00  3.886473532031761e-04  5.024151814712225e-01  4.976152038710892e-01  0.000000000000000e+00 
 2.488360533491475e-05  1.199631238831610e+00 -3.866701426629807e-04  5.024126764262512e-01  4.976126386966224e-01  0.000000000000000e+00 
 2.488460533491475e-05  1.200367235683577e+00  3.844676756003012e-04  5.024129867395599e-01  4.976130110484767e-01  0.000000000000000e+00 
 2.488560533491475e-05  1.199633946791279e+00 -3.825067996321103e-04  5.024108281930463e-01  4.976107916580740e-01  0.000000000000000e+00 
 2.488660533491475e-05  1.200364520904504e+00  3.803253379264755e-04  5.024113917004908e-01  4.976114173000827e-01  0.000000000000000e+00 
 2.488760533491475e-05  1.199636670654401e+00 -3.783806527868401e-04  5.024094421500709e-01  4.976094063796626e-01  0.000000000000000e+00 
 2.488860533491475e-05  1.200361791109017e+00  3.762200813162566e-04  5.024101645129503e-01  4.976101910782429e-01  0.000000000000000e+00 
 2.488960533491475e-05  1.199639408568038e+00 -3.742914588127317e-04  5.024083587925742e-01  4.976083235381000e-01  0.000000000000000e+00 
 2.489060533491475e-05  1.200359048080846e+00  3.721516704513456e-04  5.024091881150138e-01  4.976092154434031e-01  0.000000000000000e+00 
 2.489160533491474e-05  1.199642158816301e+00 -3.702389951292714e-04  5.024074881573788e-01  4.976074532584829e-01  0.000000000000000e+00 
 2.489260533491474e-05  1.200356293477380e+00  3.681198886842940e-04  5.024083918197265e-01  4.976084197745244e-01  0.000000000000000e+00 
 2.489360533491474e-05  1.199644919800186e+00 -3.662230555121568e-04  5.024067733387838e-01  4.976067386860775e-01  0.000000000000000e+00 
