point	time_s	cml_p_V	cml_diff_V	EF_P_obs	EF_P_ref	EF_P_res	EF_N_obs	EF_N_ref	EF_N_res	GP_obs	GP_ref	GP_res	GN_obs	GN_ref	GN_res	E_CM_obs	E_CM_ref	E_CM_res	CM_N_obs	CM_N_ref	CM_N_res	CM_P_obs	CM_P_ref	CM_P_res
10	6.5599999999999995e-12	1.6786564729493489	0.51731294589869758	0.89457696317951851	0.89134633432037425	0.0032306288591442689	0.39223064965809062	0.39692796070945885	-0.0046973110513682248	0.36567903932533224	0.35544327290124006	0.010235766424092185	0.14819781713920765	0.15828353310928223	-0.010085715970074571	0.00098662276126363496	0.00077824288139170025	0.00020837987987193472	0.79568839578101891	0.80717474050772631	-0.011486344726707398	1.1999530883759246	1.1996861404340473	0.00026694794187731574
11	8.5599999999999991e-12	1.6695328626876493	0.49906572537529836	0.88594455583087683	0.88251746705816192	0.0034270887727149146	0.40043178192059486	0.40546782627471512	-0.0050360443541202504	0.36478187904000836	0.35192257764729079	0.01285930139271757	0.14902870256093226	0.16168898597060602	-0.012660283409673762	0.00097385140848796348	0.00071586621285821522	0.00025798519562974826	0.79560006461255417	0.81063144509220442	-0.015031380479650247	1.2000671542437675	1.1996286645827134	0.00043848966105408671
12	1.0559999999999999e-11	1.6604092524259499	0.48081850485189959	0.87729986422766915	0.87369104394841435	0.0036088202792547985	0.40874271803436202	0.41401865854287928	-0.0052759405085172628	0.36368011558654861	0.34840285699069984	0.015277258595848775	0.15007664754878303	0.16509881198258375	-0.015022164433800722	0.00095868180441007617	0.00065816256437184939	0.00030051924003822678	0.79549867208047176	0.81408681077494072	-0.018588138694468959	1.200212710310312	1.1995599058262538	0.00065280448405813374
13	1.2559999999999998e-11	1.6512856421642503	0.46257128432850037	0.8686465790359299	0.86486712595179938	0.0037794530841305241	0.41711926594558341	0.42258006235403939	-0.0054607964084559812	0.36238912641623799	0.34488413524060596	0.017504991175632034	0.15132421898839532	0.16851285356626555	-0.017188634577870232	0.00094067716969292725	0.00060488803740495276	0.00033578913228797449	0.79538789293701673	0.81754045975211387	-0.022152566815097141	1.2003873708870003	1.1994774343730719	0.00090993651392845543
14	1.4559999999999999e-11	1.6421620319025509	0.44432406380510159	0.85998812346919828	0.85604569527595686	0.0039424281932414207	0.42554039752656136	0.43115136051891628	-0.0056109629923549176	0.36092391916109934	0.34136640530308543	0.019557513858013909	0.15275529627846729	0.17193084067903214	-0.019175544400564848	0.00091975701464964282	0.00055567849910080212	0.0003640785155488407	0.79527107533025965	0.82099216502131744	-0.025721089691057797	1.2005889529440779	1.1993788708532254	0.0012100820908524934
15	1.6559999999999999e-11	1.6330384216408516	0.42607684328170281	0.85132503335182363	0.84722680298678466	0.0040982303650389795	0.43399674117858633	0.43973219832754051	-0.0057354571489541817	0.35929862154797509	0.33784968754242778	0.021448934005547315	0.1543550328325709	0.17535263187276856	-0.020997599040197656	0.00089605329082376173	0.00051030386256391508	0.00038574942825984665	0.7951511475669707	0.82444172761209344	-0.029290580045122749	1.2008154123341652	1.1992609692787033	0.0015544430554619293
16	1.8559999999999998e-11	1.6239148113791519	0.40782962275830359	0.84265848054760939	0.83841050163773012	0.0042479789098792686	0.44248250990410359	0.44832223900455054	-0.0058397291004469443	0.35752631607781149	0.33433400291414883	0.023192313163662659	0.15610978142610799	0.17877809285012961	-0.02266831142402162	0.00086982324122728688	0.00046854001201400322	0.00040128322921328366	0.79503061768803196	0.82788900694408507	-0.032858389256053111	1.2010648278634486	1.1991198048088199	0.0019450230546287361
17	2.0559999999999998e-11	1.6147912011174526	0.38958240223490481	0.83398884135325724	0.8295968451813529	0.0043919961719043332	0.45099437451039709	0.45692116243368308	-0.0059267879232859921	0.35561904214309553	0.33081937293597125	0.024799669207124286	0.1580069968391099	0.18220709595924775	-0.024200099120137847	0.00084139642323801528	0.00043016991734606694	0.00041122650589194834	0.79491158433192488	0.83133391400451417	-0.036422329672589293	1.2013353753688121	1.1989506227755382	0.0023847525932738645
18	2.2559999999999998e-11	1.6056675908557529	0.37133518171150559	0.82531690666165547	0.82078600126260304	0.0045309053990524317	0.45952943361521226	0.4655289981142956	-0.005999564499083343	0.35358783893995338	0.32730586445391341	0.026281974486039972	0.16003513813119497	0.18563965295900225	-0.02560451482780729	0.00081113973860113403	0.000395104206489831	0.00041603553211130303	0.79479577438429749	0.83477630610226605	-0.039980531717968559	1.2016253243956363	1.1987459497179644	0.0028793746776718532
19	2.4559999999999997e-11	1.5965439805940536	0.35308796118810681	0.81664301652451043	0.81197795627302427	0.0046650602514861639	0.46808569020155305	0.47414519844939396	-0.0060595082478409057	0.35144282309665043	0.32379347204558528	0.027649351051065141	0.16218359042887887	0.1890755454860866	-0.026891955057207734	0.00077943266167369851	0.00036304083550881775	0.00041639182616488076	0.79468457324474906	0.83821624650837046	-0.043531673263621395	1.2019330249236704	1.198498970587536	0.0034340543361344178
20	2.6559999999999997e-11	1.5874203703323539	0.33484074066470759	0.80796783434752706	0.80317273527362421	0.0047950990739028532	0.47666107919589584	0.4827693817529185	-0.0061083025570226601	0.3491932568830437	0.32028220570439236	0.028911051178651337	0.16444258297513126	0.19251462133480002	-0.028072038359668761	0.00074665213029710686	0.00033375094269149838	0.00041290118760560848	0.79457906574001147	0.84165379365316551	-0.047074727913154035	1.2022569081092491	1.198201099046343	0.0040558090629061461
21	2.8559999999999996e-11	1.5782967600706546	0.31659352014130882	0.79929166583972022	0.79437039924640296	0.0049212665933172639	0.48525413718249616	0.49140128749914341	-0.0061471503166472541	0.34684762660948482	0.3167720897489481	0.030075536860536711	0.16680312689677779	0.19595677661498548	-0.029153649718207691	0.00071315939534795716	0.00030705595679609795	0.00040610343855185921	0.79448006815104177	0.84508899773023993	-0.050608929579198159	1.2025954780223371	1.1978411981725661	0.0047542798497710592
22	3.0559999999999996e-11	1.5691731498089549	0.29834629961790959	0.79061510207774821	0.78557101101594817	0.0050440910618000379	0.49386323707038793	0.50004066715481077	-0.0061774300844228414	0.34441370454399545	0.31326314923224219	0.031150555311753259	0.16925694674909486	0.1994019122184498	-0.03014496546935494	0.00067929410485815384	0.00028278766991696213	0.00039650643494119171	0.79438816515268895	0.84852192573778285	-0.054133760585093893	1.2029473131135382	1.1974054322625201	0.0055418808510181439
23	3.2559999999999995e-11	1.5600495395472556	0.28009907909451082	0.78193841633907568	0.77677464465881696	0.0051637716802587219	0.50248725492503243	0.50868730455366307	-0.0062000496286306328	0.34189861734173921	0.30975541369135978	0.032143203650379426	0.17179642998293765	0.20284994194201586	-0.031053511959078212	0.00064536743090160345	0.00026079476261953622	0.00038457266828206723	0.79430373918765296	0.85195265025931932	-0.057648911071666364	1.2033110604526271	1.1968761485862514	0.006434911866375792
24	3.4559999999999995e-11	1.5509259292855559	0.2618518585711116	0.77326214650962732	0.76798151648533908	0.0052806300242882465	0.51112487123700534	0.51734128915448541	-0.006216417917480066	0.33930889774929562	0.30624896938523072	0.033059928364064906	0.17441456895171481	0.20630090145796459	-0.031886332506249782	0.00061166098991953174	0.00024102127053708241	0.00037063971938244931	0.79422700191869167	0.85538116440631662	-0.061154162487624952	1.2036854368562671	1.1962242285718718	0.0074612082843952265
25	3.6559999999999994e-11	1.5418023190238566	0.24360463804771282	0.76458653776537244	0.75919154496322439	0.0053949928021480575	0.51977521188397313	0.52600204301613107	-0.0062268311321579395	0.33665054275692141	0.30274378380182515	0.033906758955096261	0.17710491940755424	0.2097545603005633	-0.032649640893009063	0.00057842376127527351	0.00022321873500739568	0.00035520502626787783	0.79415801951750686	0.85880766936126163	-0.064649649843754764	1.2040692244434832	1.1954249096307354	0.0086443148127477443
26	3.8559999999999994e-11	1.5326787087621572	0.22535741752431404	0.75591208577164271	0.75040480147874322	0.0055072842928994836	0.52843719163043879	0.53466936074044025	-0.006232169110001462	0.33392905574176579	0.29923988540923363	0.03468917033253216	0.17986155082018773	0.2132108365627893	-0.03334928574260157	0.00054587359641694241	0.00020726317964135624	0.0003386104167755862	0.79409673845508055	0.86223225639164824	-0.068135517936567691	1.2044612710602076	1.1944399001696984	0.010021370890509251
27	4.0559999999999994e-11	1.5235550985004576	0.20711019700091482	0.74723901277346139	0.74162135973094301	0.0056176530425183779	0.53711012682561399	0.54334304574835057	-0.0062329189227365855	0.33114949555508078	0.29573730359631362	0.035412191958767159	0.18267901206948756	0.21666965185316783	-0.033990639783680276	0.00051419645565764852	0.00019304072288832571	0.00032115573276932281	0.79404300628447455	0.86565501481722129	-0.07161200853274674	1.2048604864772676	1.193218386362082	0.011642100115185627
28	4.2559999999999993e-11	1.5144314882387582	0.18886297647751604	0.73856778041220195	0.73284129577832124	0.0057264846338807018	0.54579311536026054	0.55202290975315871	-0.0062297943928981692	0.32831651045145305	0.29223606869339269	0.036080441758060355	0.18555228854706163	0.22013093108701293	-0.034578642539951299	0.00048354921642834725	0.00018044716595326835	0.0003031020504750789	0.79399659207950191	0.8690760304159032	-0.075079438336401294	1.2052658420366493	1.1916914831357495	0.013574358900899863
29	4.4559999999999993e-11	1.5053078779770586	0.17061575595411682	0.7298985931799592	0.72406475437211415	0.0058338388078450487	0.55448562080340502	0.56070888077610903	-0.0062232599727040094	0.32543437945489995	0.28873623842067736	0.036698141034222587	0.18847677369264215	0.22359464555676456	-0.035117871864122407	0.00045406027113802094	0.00016941424289469644	0.00028464602824332451	0.79395720280632553	0.87249535435684289	-0.078538151550517354	1.2056763671083961	1.1897530199246467	0.015923347183749437
30	4.6559999999999992e-11	1.4961842677153592	0.15236853543071804	0.7212318854117179	0.71529187937279803	0.005940006038919865	0.56318688624686319	0.56940086433163828	-0.0062139780847750847	0.32250703943691145	0.28523787014711161	0.037269169289799842	0.19144823174378056	0.22706075758169655	-0.035612525837915993	0.0004258328659938436	0.0001598714117096732	0.00026596145428417039	0.79392449896313078	0.87591304098723011	-0.081988542024099331	1.2060911480166789	1.1872385125762803	0.018852635440398613
31	4.8559999999999992e-11	1.4870606574536596	0.13412131490731882	0.71256784872022239	0.70652263613902189	0.0060452125812004986	0.57189649004463206	0.57809848902985983	-0.0062019989852277746	0.31953812000406157	0.28174095005855548	0.037797169945506082	0.19446277408021007	0.23052911905787699	-0.03606634497766692	0.00039894642178840353	0.00015168638016639717	0.00024726004162200637	0.79389810693167318	0.87932921139388465	-0.085431104462211471	1.2065093245555161	1.1839306206401841	0.02257870391533201
32	5.0559999999999991e-11	1.4779370471919602	0.11587409438392005	0.70390689584797528	0.69775711183802991	0.0061497840099453693	0.58061379166893712	0.58680159678240351	-0.0061878051134663936	0.31653096495462046	0.27824551291667887	0.038285452037941592	0.19751682674634052	0.23399966693798505	-0.036482840191644522	0.00037345994306113572	0.0001447823196313044	0.00022867762342983132	0.79387763049012783	0.88274391674357588	-0.088866286253448057	1.2069300883101011	1.1794458560870473	0.027484232223053739
33	5.2559999999999991e-11	1.4688134369302606	0.097626873860520824	0.69524921001390905	0.68899539671114496	0.0062538133027640885	0.5893384595473582	0.59551003583011297	-0.006171576282754776	0.31348866177986023	0.27475159470562099	0.03873706707423924	0.2006071107921219	0.23747234068996204	-0.036865229897840135	0.00034941363883712537	0.00013907731906768182	0.00021033631976944355	0.79386265969205438	0.88615718754486461	-0.092294527852810226	1.2073526791452018	1.1730861119367695	0.034266567208432352
34	5.455999999999999e-11	1.4596898266685612	0.079379653337122047	0.68659518734514469	0.68023758400539924	0.0063576033397454434	0.59806994727822704	0.60422366022979768	-0.0061537129515706335	0.31041405855913601	0.27125923261168483	0.039154825947451177	0.20373061387149227	0.24094708209079507	-0.037216468219302801	0.00032683213457630061	0.00013446494389515021	0.0001923671906811504	0.79385277896139095	0.88956901228767182	-0.095716233326280875	1.2077763830532235	1.1634175573385754	0.044358825714648109
35	5.655999999999999e-11	1.4505662164068616	0.061132432813722826	0.67794500677632163	0.67148391153720732	0.0064610952391143117	0.60680799430272525	0.61294249772559506	-0.0061345034228698081	0.30730978900907302	0.26776852146469665	0.039541267544376368	0.20688457393297155	0.24442390212873383	-0.037539328195762278	0.00030572612220004444	0.00013076904242074238	0.00017495707977930206	0.79384757310328302	0.89297920157211796	-0.099131628468834943	1.2082005285941491	1.1464066605763621	0.061793868017786968
36	5.855999999999999e-11	1.4414426061451622	0.042885212290324048	0.66929905224797837	0.66273442556938023	0.00656462667859814	0.61555213094476557	0.62166632478643868	-0.0061141938416731101	0.30417828570535321	0.26427947971624932	0.039898805989103892	0.21006645432494342	0.2479027114663076	-0.037836257141364182	0.00028609523279693461	0.00012731196618007541	0.00015878326661685919	0.79384663266653122	0.89638711911197	-0.10254048644543878	1.208624484394567	1.1084915287711454	0.10013295562342162
37	6.0559999999999996e-11	1.4323189958834628	0.024637991766925271	0.66065750219626929	0.65398915517967326	0.0066683470165960212	0.62430215280825951	0.63039491773948242	-0.0060927649312229049	0.30102180146419777	0.26079211896189614	0.040229682502301634	0.21327393031215391	0.25138342084262749	-0.038109490530473578	0.00026792955561360035	0.00012302902699832499	0.00014490052861527536	0.79384955767997789	0.89979168503491158	-0.10594212735493369	1.2090476555488072	1.0328409840490105	0.17620667149979674
38	6.2560000000000002e-11	1.4231953856217632	0.00639077124352605	0.65202073240258807	0.64524820842337738	0.0067725239792106873	0.63305765319660356	0.6391281525029896	-0.0060704993063860346	0.29784241962187663	0.25730648229139186	0.040535937330484773	0.21650486721363771	0.25486598130002608	-0.03836111408638837	0.00025121211320227807	0.00011824113385438323	0.00013297097934789482	0.79385596090510269	0.90319331898893407	-0.10933735808383138	1.2094694808729709	0.93817653785205712	0.27129294302091378
39	6.4560000000000008e-11	1.4140717753600636	-0.011856449279873171	0.64338892433588424	0.6365116977010038	0.0068772266348804401	0.64181847220852217	0.64786590902112717	-0.0060474368126050004	0.29464207239821866	0.25382261452622928	0.040819457871989373	0.2197573093142855	0.25835034517646033	-0.038593035862174829	0.00023592016844693406	0.00011349583302785737	0.00012242433541907667	0.79386546983713058	0.9065926780273742	-0.11272720819024362	1.2098894292853406	0.84252735501897569	0.36736207426636491
40	6.6560000000000014e-11	1.4049481650983642	-0.030103669803271949	0.63476236285478904	0.62777974002734926	0.0069826228274397772	0.65058420765852876	0.65660807080296313	-0.0060238631444343715	0.29142192901371189	0.25034056233006852	0.041081366683643372	0.22302921886130811	0.26183646594579185	-0.038807247084483742	0.00022220224283451065	0.00010887798313956688	0.00011332425969494377	0.79387772409577506	0.90998990462373097	-0.11611218052795591	1.2103069465451914	0.75017920960242757	0.46012773694276388
41	6.856000000000002e-11	1.3958245548366646	-0.04835089032667117	0.62614127918018936	0.61905269411597508	0.0070885850642142811	0.6593547828440498	0.66535473922620569	-0.005999956382155891	0.28818370032618434	0.24686046874317755	0.041323231583006798	0.22631894782458273	0.26532438394590702	-0.039005436121324288	0.00020996994702794994	0.00010436560365441121	0.00010560434337353872	0.79389240484740764	0.91338488789289696	-0.11949248304548932	1.2107215621078349	0.66248500893579887	0.54823655317203601
42	7.0560000000000026e-11	1.3867009445749652	-0.066598110850069947	0.6175261210720091	0.61033047596111256	0.0071956451108965425	0.66812991659192167	0.67410559755887767	-0.0059756809669559985	0.28492963147394346	0.2433823002711008	0.041547331202842652	0.22962523725741457	0.26881397280641334	-0.039188735548998765	0.00019900308763613414	9.9918171918798832e-05	9.9084915717335308e-05	0.79390920729189518	0.91677769102801787	-0.12286848373612269	1.2111328716369123	0.57971543968452566	0.63141743195238664
43	7.2560000000000032e-11	1.3775773343132656	-0.084845331373469168	0.60891705805083618	0.60161319984191663	0.0073038582089195447	0.67690947619010045	0.68286053219439458	-0.0059510560042941307	0.28166115280320203	0.23990610248322569	0.041755050319976339	0.23294670694936503	0.27230518718748076	-0.039358480238115723	0.00018929693475780787	9.5510121859304181e-05	9.3786812898503691e-05	0.79392782362316805	0.92016829672304068	-0.12624047309987263	1.2115404290852474	0.50205998859724466	0.70948044048800274
44	7.4560000000000038e-11	1.368453724051566	-0.10309255189686839	0.60031447070610211	0.59290100587164574	0.0074134648344563736	0.68569319751820712	0.69161943871368325	-0.005926241195476134	0.27837958083457942	0.23643193125402681	0.04194764958055261	0.23628208317990457	0.27579798543019352	-0.039515902250288948	0.00018083106549909508	9.1127655029062549e-05	8.9703410470032535e-05	0.79394796497904974	0.92355668390433032	-0.12960871892528059	1.211943804728582	0.42955603051248997	0.78238777421609207
45	7.6560000000000044e-11	1.3593301137898666	-0.12133977242026717	0.59171856103900922	0.58419403347276988	0.0075245275662393363	0.69448099760270987	0.70038222385956928	-0.0059012262568594043	0.27508614942824866	0.23295984218229082	0.042126307245957839	0.23963019909499128	0.27929233033043332	-0.039662131235442044	0.00017359341491560848	8.6769537709408841e-05	8.6823877206199638e-05	0.79396935792013046	0.92694284039974661	-0.13297348247961616	1.2123425774946723	0.36209238676907374	0.8502501907255986
46	7.856000000000005e-11	1.350206503528167	-0.13958699294366639	0.58312971173648931	0.57549249916575818	0.0076372125707311334	0.7032726363356705	0.70914884127716749	-0.0058762049414969875	0.27178199743460107	0.22948992160741272	0.042292075827188358	0.24298997667343564	0.28278820338705296	-0.039798226713617324	0.00016756449659990555	8.2447030040760032e-05	8.5117466559145517e-05	0.79399174572555331	0.93032673054578019	-0.13633498482022688	1.2127363340602588	0.29946447440761637	0.91327185965264246
47	8.0560000000000056e-11	1.3410828932664676	-0.15783421346706517	0.57454814554358147	0.56679672333722553	0.0077514222063559401	0.71206805303933363	0.71791929870688642	-0.0058512456675527957	0.26846819348815504	0.22602229729023457	0.042445896197920469	0.24636042674443426	0.28628560767576666	-0.039925180931332405	0.00016273286786841479	7.8184051566783215e-05	8.4548816301631573e-05	0.79401488566493972	0.93370828697304986	-0.13969340130811014	1.2131246634865374	0.2413586565766398	0.97176600690989756
48	8.2560000000000062e-11	1.331959283004768	-0.17608143399046439	0.56597425268160895	0.55810664891710138	0.0078676037645075692	0.72086703044219225	0.72669335628535014	-0.0058263258431578979	0.26514572697858252	0.22255694647500007	0.042588780503582446	0.24974063395028612	0.2897844475396717	-0.04004381358938558	0.00015908514606330706	7.400314199060107e-05	8.5082004072705995e-05	0.79403854922032768	0.93708759142992148	-0.1430490422095938	1.2135071550025913	0.18712151609490021	1.0263856389076911
49	8.4560000000000068e-11	1.3228356727430683	-0.19432865451386361	0.55740827703922424	0.549422443393632	0.0079858336455922441	0.72966952321042966	0.73547093079251447	-0.0058014075820848054	0.26181552767219596	0.21909393595142732	0.042721591720768642	0.25312975623351153	0.2932846897926506	-0.040154933559139072	0.00015661588937328566	6.990327782068391e-05	8.6712611552601751e-05	0.7940625196668768	0.94046460145582211	-0.14640208178894532	1.2138833934677007	0.13679154223650478	1.077091851231196
50	8.6560000000000074e-11	1.313712062481369	-0.21257587503726239	0.5488506211658829	0.5407442813576806	0.0081063398082023008	0.73847533465162363	0.74425194166964315	-0.0057766070180195195	0.25847845899693789	0.21563333534187387	0.042845123655064016	0.25652701211100715	0.29678630231057679	-0.040259290199569642	0.00015532137210608199	6.5775490851280316e-05	8.9545881254801674e-05	0.79408659165381246	0.94383915321266121	-0.14975256155884875	1.2142529563294258	0.092802289798172649	1.1214506665312531
51	8.856000000000008e-11	1.3045884522196693	-0.23082309556066161	0.54030155273276448	0.53207234495424416	0.0082292077785203199	0.74728443075611772	0.75303631096538559	-0.0057518802092678678	0.25513533385247528	0.21217521727972938	0.042960116572745899	0.25993167996593008	0.30028925400953477	-0.040357574043604683	0.0001552059079720329	6.1392249661807474e-05	9.3813658310225428e-05	0.79411056897019439	0.94721095887903606	-0.15310038990884167	1.2146154093647834	0.060828040597506093	1.1537873687672773
52	9.0560000000000086e-11	1.29546484195797	-0.24907031608406038	0.53176149101676562	0.52340701130288125	0.0083544797138843663	0.75609663284310125	0.76182405333255065	-0.0057274204894494085	0.25178690949576121	0.20871973214840753	0.043067177347353686	0.26334308711942905	0.30379355073401498	-0.04045046361458593	0.0001562780654860256	5.678932775435196e-05	9.9488737731673636e-05	0.79413426375082219	0.95057994026568648	-0.1564456765148643	1.2149703030980947	0.041949159393276744	1.1730211437048179
53	9.2560000000000092e-11	1.2863412316962703	-0.2673175366074596	0.52323073088711181	0.51474847643564692	0.0084822544514648879	0.76491191534355452	0.77061507883791669	-0.0057031634943621734	0.24843390053648057	0.20526695812039564	0.04316694241608493	0.26676060915579897	0.30729915662129059	-0.040538547465491626	0.00015855473766055242	5.2262439481247322e-05	0.0001062922981793051	0.7941574943749472	0.95394635369382752	-0.15978885931888032	1.2153171685286317	0.030635888143363911	1.1846812803852678
54	9.4560000000000098e-11	1.2772176214345707	-0.28556475713085883	0.51470971276970046	0.50609678947576198	0.0086129232939384792	0.77373011522587665	0.7794092350821793	-0.0056791198563026501	0.24507697492108746	0.20181691478642216	0.043260060134665296	0.27018366039551511	0.31080601089978038	-0.04062235050426527	0.00016205894210802665	4.7965684359720077e-05	0.00011409325774830658	0.79418008445246258	0.95731034981690155	-0.16313026536443898	1.2156555131325657	0.023206695464973486	1.1924488176675923
55	9.6560000000000104e-11	1.2680940111728713	-0.3038119776542576	0.50619876266166075	0.49745216922395036	0.0087465934377103927	0.7825512131481861	0.78820645374607934	-0.0056552405978932407	0.24171676482235704	0.19836968939735444	0.043347075425002601	0.27361169337412083	0.31431408632407576	-0.040702392949954924	0.0001668224715432147	4.395349804280897e-05	0.00012286897350040571	0.79420186082695121	0.96067190155160243	-0.16647004072465121	1.2159848164038778	0.018015793559697599	1.1979690228441802
56	9.856000000000011e-11	1.2589704009111717	-0.32205919817765682	0.497698346805449	0.48881484457111407	0.0088835022343349279	0.7913750596631679	0.79700666851936408	-0.0056316088561961797	0.23835386337793701	0.19492537322855988	0.043428490149377136	0.27704419041886758	0.31782335645126758	-0.040779166032400005	0.0001728847239397327	4.0238323956677046e-05	0.00013264639998305565	0.7942226524325483	0.9640309290220479	-0.1698082765894996	1.2163045254808595	0.014223069557686754	1.2020814559231727
57	1.0056000000000012e-10	1.2498467906494724	-0.3403064187010556	0.48920882675452082	0.48018505515424909	0.009023771600271735	0.80020163991187021	0.80580981507246063	-0.0056081751605904229	0.23498883398105139	0.19148406184100364	0.043504772140047748	0.28048066333377258	0.32133379562901443	-0.040853132295241845	0.00018029446525427359	3.6814406448550093e-05	0.0001434800588057235	0.79424228838274624	0.9673873254872114	-0.17314503710446516	1.2166140503976863	0.011363563786113704	1.2052504866115725
58	1.0256000000000012e-10	1.2407231803877727	-0.35855363922445482	0.48073069963110887	0.47156340676105857	0.0091672928700503031	0.80903081625322248	0.81461595365849848	-0.0055851374052759972	0.23162220754049773	0.18804599680432854	0.043576210736169185	0.28392064585967836	0.32484542788359266	-0.040924782023914308	0.00018910932686472259	3.3679361266354397e-05	0.0001554299655983682	0.79426059675155092	0.97074083985600634	-0.17648024310445543	1.2169127593435607	0.0091787552989310833	1.2077340040446296
