 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 3.414000000000001e-08  2.306047364088876e-07  2.306047364377155e-07  2.880480832099424e-06  3.176587586345165e-06  1.199999978325323e+00  3.299999994123905e+00 -1.175219033200392e-08 -4.334935388428107e-08 
 3.464000000000001e-08  2.306047364192959e-07  2.306047364375098e-07  2.880480832909973e-06  3.176587586451850e-06  1.199999978325323e+00  3.299999994123906e+00 -1.175218944382550e-08 -4.334935388428107e-08 
 3.514000000000001e-08  2.306047364071528e-07  2.306047364372407e-07  2.880480832891325e-06  3.176587586382461e-06  1.199999978325323e+00  3.299999994123906e+00 -1.175218944382550e-08 -4.334935388428107e-08 
 3.564000000000001e-08  2.306047364279695e-07  2.306047364370902e-07  2.880480832976652e-06  3.176587586502591e-06  1.199999978325323e+00  3.299999994123906e+00 -1.175218766746866e-08 -4.334935388428107e-08 
 3.614000000000000e-08  2.306047364782765e-07  2.306047364373131e-07  2.880480832816623e-06  3.176587586346032e-06  1.199999978325323e+00  3.299999994123908e+00 -1.175218500293340e-08 -4.334935388428107e-08 
 3.664000000000000e-08  2.306047364140917e-07  2.306047364372332e-07  2.880480833318501e-06  3.176587586639201e-06  1.199999978325323e+00  3.299999994123910e+00 -1.175218145021972e-08 -4.334935388428107e-08 
 3.714000000000000e-08  2.306047364522557e-07  2.306047364373062e-07  2.880480832298266e-06  3.176587585064505e-06  1.199999978325323e+00  3.299999994123909e+00 -1.175218233839814e-08 -4.334935388428107e-08 
 3.764000000000000e-08  2.306047364210306e-07  2.306047364372225e-07  2.880480832882326e-06  3.176587586588026e-06  1.199999978325323e+00  3.299999994123910e+00 -1.175218056204130e-08 -4.334935388428107e-08 
 3.814000000000000e-08  2.306047364383779e-07  2.306047364372024e-07  2.880480833362194e-06  3.176587586447080e-06  1.199999978325323e+00  3.299999994123910e+00 -1.175217967386288e-08 -4.334935388428107e-08 
 3.863999999999999e-08  2.306047364366431e-07  2.306047364371921e-07  2.880480832909214e-06  3.176587586680400e-06  1.199999978325323e+00  3.299999994123910e+00 -1.175218056204130e-08 -4.334935388428107e-08 
 3.913999999999999e-08  2.306047364227654e-07  2.306047364370931e-07  2.880480832121975e-06  3.176587585979138e-06  1.199999978325323e+00  3.299999994123911e+00 -1.175217789750604e-08 -4.334935388428107e-08 
 3.963999999999999e-08  2.306047364626640e-07  2.306047364372296e-07  2.880480832913985e-06  3.176587586180800e-06  1.199999978325323e+00  3.299999994123910e+00 -1.175217967386288e-08 -4.334935388428107e-08 
 4.013999999999999e-08  2.306047364106223e-07  2.306047364370987e-07  2.880480833453809e-06  3.176587586463994e-06  1.199999978325323e+00  3.299999994123909e+00 -1.175218233839814e-08 -4.334935388428107e-08 
 4.063999999999999e-08  2.306047364661334e-07  2.306047364372476e-07  2.880480832810552e-06  3.176587584299492e-06  1.199999978325323e+00  3.299999994123911e+00 -1.175217878568446e-08 -4.334935388428107e-08 
 4.113999999999998e-08  2.306047364227654e-07  2.306047364372009e-07  2.880480832265740e-06  3.176587587829221e-06  1.199999978325323e+00  3.299999994123912e+00 -1.175217700932762e-08 -4.334935388428107e-08 
 4.163999999999998e-08  2.306047364054181e-07  2.306047364369750e-07  2.880480833353520e-06  3.176587586136564e-06  1.199999978325323e+00  3.299999994123912e+00 -1.175217612114920e-08 -4.334935388428107e-08 
 4.213999999999998e-08  2.306047364505209e-07  2.306047364369899e-07  2.880480833000721e-06  3.176587586647874e-06  1.199999978325323e+00  3.299999994123912e+00 -1.175217700932762e-08 -4.334935388428107e-08 
 4.263999999999998e-08  2.306047364678682e-07  2.306047364371992e-07  2.880480832917563e-06  3.176587586493917e-06  1.199999978325323e+00  3.299999994123912e+00 -1.175217700932762e-08 -4.334935388428107e-08 
 4.313999999999997e-08  2.306047364123570e-07  2.306047364371041e-07  2.880480832178896e-06  3.176587584139030e-06  1.199999978325323e+00  3.299999994123911e+00 -1.175217878568446e-08 -4.334935388428107e-08 
